App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 01:21:14 AM","17 sec","Trepn_2018.10.21_012112.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
78,3,64,255,78,2598723,1314011,79,320000,0,0,47,1512000,49,1512000,52,1512000,65,1512000,49,100,51,100,63,100,78,3,
157,3,154,255,157,2886015,1601303,158,320000,79,0,147,1512000,150,1512000,151,1512000,154,1512000,149,77,151,80,153,100,157,88,
261,3,254,255,260,3180147,1895435,263,320000,159,0,248,1512000,251,1512000,252,1512000,255,1512000,250,100,252,100,254,100,260,88,
357,3,354,255,357,2851813,1567101,358,320000,266,0,349,1512000,351,1512000,352,1512000,355,1512000,350,90,352,90,354,100,356,60,
456,3,454,255,456,1736846,452134,457,320000,358,0,449,1512000,451,1512000,453,1512000,455,1512000,451,55,452,0,454,100,456,22,
557,3,555,255,557,2427716,1143004,557,320000,457,0,549,1512000,551,1512000,553,1512000,555,1512000,551,62,553,50,554,100,556,66,
658,3,656,255,658,1798409,513697,659,320000,558,0,650,1512000,652,1512000,654,1512000,657,1512000,652,77,654,33,656,40,658,36,
760,3,758,255,760,2564521,1279809,760,320000,659,0,750,1512000,754,1512000,756,1512000,758,1512000,753,72,755,90,757,70,760,66,
858,3,856,255,858,2441396,1156684,859,400000,761,0,851,1512000,853,1512000,854,1512000,856,1512000,852,50,854,63,855,77,858,90,
959,3,956,255,958,1812090,527378,959,400000,860,0,951,1512000,953,1512000,955,1512000,957,1512000,953,70,954,22,956,30,958,66,
1059,3,1057,255,1059,1100472,0,1059,400000,960,0,1052,1512000,1054,1026000,1055,1026000,1057,1512000,1053,30,1055,33,1057,27,1058,22,
1160,3,1158,255,1160,747133,0,1160,400000,1060,0,1152,1512000,1155,1026000,1157,1026000,1159,0,1154,11,1156,10,1158,30,1160,0,
1261,3,1260,255,1261,648661,0,1262,400000,1161,0,1253,1026000,1256,486000,1259,0,1260,0,1255,30,1258,11,1259,0,1261,0,
1371,3,1368,255,1371,684699,0,1372,320000,1263,0,1355,1026000,1361,384000,1366,0,1369,0,1359,33,1365,44,1368,0,1370,0,
1463,3,1461,255,1462,905128,0,1463,320000,1374,0,1455,1026000,1458,1026000,1460,0,1462,0,1457,50,1459,54,1461,0,1462,0,
1566,3,1564,255,1565,715180,0,1566,200000,1465,0,1556,486000,1560,1026000,1563,0,1565,0,1559,33,1562,41,1563,0,1565,0,
1666,3,1664,255,1665,906199,0,1667,128000,1567,0,1657,918000,1660,1026000,1662,0,1664,0,1659,42,1662,69,1663,0,1665,0,
1763,3,1762,255,1763,1330408,45696,1764,128000,1668,0,1757,1026000,1759,1512000,1761,0,1762,0,1759,33,1760,100,1761,0,1762,0,
1865,3,1863,255,1865,1661577,376865,1866,128000,1764,18,1858,1512000,1860,1512000,1862,0,1864,0,1859,50,1861,100,1862,0,1865,0,
1964,3,1963,255,1964,991228,0,1965,128000,1867,18,1958,1512000,1960,1512000,1962,0,1964,0,1960,22,1961,30,1963,0,1964,0,
2065,3,2064,255,2065,1050826,0,2065,128000,1970,18,2058,1026000,2061,1512000,2063,0,2064,0,2060,37,2062,41,2063,0,2065,0,
2167,3,2165,255,2166,856551,0,2167,128000,2066,18,2159,1026000,2162,1512000,2164,0,2166,0,2161,40,2164,11,2165,0,2166,0,
2216,3,2215,255,2216,988758,0,2217,128000,2168,18,2209,1026000,2212,1512000,2214,0,2215,0,2211,50,2213,25,2214,0,2216,0,
2332,3,2328,255,2331,693014,0,2339,128000,2218,18,2312,384000,2318,384000,2326,0,2329,0,2317,36,2324,30,2327,0,2330,0,
2415,3,2414,255,2415,1159766,0,2416,128000,2344,18,2411,1512000,2412,1026000,2414,0,2415,0,2412,50,2413,50,2414,0,2415,0,
2516,3,2515,255,2516,863448,0,2517,128000,2416,18,2511,1512000,2513,1026000,2515,0,2516,0,2513,20,2514,25,2515,0,2516,0,
2619,3,2618,255,2619,872416,0,2620,128000,2517,18,2612,1026000,2615,1026000,2617,0,2618,0,2614,25,2616,40,2617,0,2619,0,
