App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 11:16:45 PM","17 sec","Trepn_2018.10.20_231644.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
44,3,41,255,44,2043592,855594,45,320000,46,0,13,1512000,36,1512000,38,1026000,42,0,35,100,38,100,41,41,44,0,
140,3,132,255,140,2790251,1602253,141,320000,146,0,115,1512000,122,1512000,129,1512000,132,1512000,118,80,128,100,131,100,134,51,
220,3,218,255,220,3180147,1992149,221,320000,221,0,213,1512000,215,1512000,217,1512000,219,1512000,215,88,217,100,218,100,220,100,
323,3,320,255,323,3063862,1875864,324,320000,324,0,314,1512000,316,1512000,318,1512000,321,1512000,315,81,317,90,320,100,322,100,
425,3,422,255,425,2035161,847163,426,320000,427,0,414,1512000,416,1512000,419,1512000,422,1134000,416,33,418,62,421,100,424,41,
523,3,521,255,523,2345469,1157471,524,320000,525,0,515,1512000,517,1512000,519,1512000,522,1134000,517,63,519,58,521,100,523,72,
622,3,620,255,622,1685149,497151,623,320000,623,0,615,1512000,617,1512000,619,1512000,621,1026000,617,33,618,41,620,72,622,44,
724,3,721,255,724,1942055,754057,724,320000,725,0,716,1512000,718,1512000,720,1512000,722,1512000,717,44,719,50,721,25,723,88,
828,3,825,255,827,2708167,1520169,828,320000,831,0,816,1512000,818,1512000,823,1512000,825,1512000,818,83,822,83,825,72,827,81,
923,3,921,255,923,2537160,1349162,923,400000,924,0,916,1512000,918,1512000,920,1512000,922,1512000,918,80,919,70,921,100,923,44,
1025,3,1022,255,1024,1907854,719856,1025,400000,1026,0,1017,1512000,1019,1512000,1020,1512000,1023,1512000,1018,30,1020,62,1022,70,1024,40,
1124,3,1123,255,1124,1814512,626514,1125,400000,1125,0,1117,1134000,1119,1512000,1121,1512000,1123,1512000,1119,63,1121,50,1122,66,1124,33,
1225,3,1223,255,1224,1442714,254716,1225,320000,1226,0,1218,1512000,1220,1512000,1222,1512000,1224,0,1220,44,1221,30,1223,60,1224,0,
1327,3,1325,255,1327,751845,0,1328,320000,1329,0,1318,1512000,1321,1026000,1324,0,1326,0,1321,33,1323,0,1325,0,1327,0,
1424,3,1423,255,1424,1017548,0,1425,320000,1425,0,1419,1512000,1421,1026000,1422,0,1424,0,1420,50,1422,41,1423,0,1424,0,
1527,3,1526,255,1527,668245,0,1528,320000,1529,0,1520,1026000,1523,1026000,1525,0,1526,0,1522,14,1524,25,1525,0,1527,0,
1633,3,1631,255,1633,589982,0,1634,320000,1635,0,1621,384000,1625,594000,1629,0,1632,0,1624,33,1628,22,1630,0,1633,0,
1735,3,1733,255,1735,987874,0,1737,320000,1738,0,1723,918000,1727,1026000,1731,0,1733,0,1726,77,1730,62,1732,0,1734,0,
1832,3,1830,255,1832,1392362,204364,1833,320000,1834,0,1824,1512000,1827,1026000,1829,0,1831,0,1826,100,1828,50,1830,0,1831,0,
1928,3,1928,255,1928,1449554,261556,1929,320000,1929,0,1924,1512000,1926,1512000,1927,0,1928,0,1925,60,1927,75,1927,0,1928,0,
2031,3,2030,255,2031,1018616,0,2031,200000,2032,0,2024,1512000,2027,1512000,2029,0,2030,0,2027,36,2029,36,2030,0,2031,0,
2129,3,2128,255,2129,809201,0,2130,128000,2130,0,2125,1026000,2126,1512000,2128,0,2129,0,2126,27,2127,27,2128,0,2129,0,
2230,3,2229,255,2230,772366,0,2231,128000,2231,11,2225,1026000,2227,1512000,2229,0,2230,0,2227,0,2228,36,2229,0,2230,0,
2333,3,2331,255,2332,1030590,0,2333,128000,2334,11,2326,1026000,2328,1512000,2330,0,2331,0,2327,45,2329,40,2330,0,2332,0,
2431,3,2430,255,2431,1106004,0,2432,128000,2432,11,2426,1512000,2428,1512000,2430,0,2431,0,2428,45,2429,30,2430,0,2431,0,
2537,3,2535,255,2536,768886,0,2537,128000,2538,11,2527,594000,2530,1026000,2533,0,2535,0,2530,28,2533,36,2534,0,2536,0,
2637,3,2634,255,2635,1892637,704639,2639,128000,2641,11,2627,1512000,2631,1512000,2633,0,2635,0,2629,90,2633,100,2634,0,2635,0,
2742,3,2734,255,2742,1584653,396655,2743,128000,2744,11,2728,1512000,2730,1512000,2732,1026000,2734,1026000,2729,55,2731,66,2733,25,2737,20,
2837,3,2835,255,2837,2021193,833195,2837,128000,2838,11,2828,1512000,2831,1512000,2832,1026000,2835,1026000,2830,77,2832,62,2834,54,2837,77,
2937,3,2934,255,2937,1691514,503516,2937,128000,2943,11,2929,1512000,2931,1512000,2932,1026000,2935,1026000,2930,50,2932,44,2934,62,2937,63,
3038,3,3037,255,3038,1721068,533070,3039,128000,3040,11,3029,1512000,3031,1512000,3033,1026000,3038,0,3031,50,3033,100,3036,28,3038,0,
3149,3,3143,255,3149,1637802,449804,3151,128000,3154,11,3130,1026000,3138,1512000,3141,1026000,3144,0,3133,58,3140,100,3143,41,3148,0,
3237,3,3236,255,3237,1753867,565869,3238,128000,3238,17,3230,1512000,3232,1512000,3234,1026000,3236,0,3232,50,3233,100,3235,37,3237,0,
3349,3,3342,255,3348,1707074,519076,3350,128000,3351,17,3332,1026000,3334,1512000,3339,1026000,3343,0,3334,54,3338,100,3341,54,3344,0,
3438,3,3437,255,3437,1894909,706911,3438,200000,3443,17,3431,1512000,3433,1512000,3435,1512000,3437,0,3433,63,3434,45,3436,77,3437,0,
3538,3,3537,255,3538,1333403,145405,3538,200000,3539,17,3532,1512000,3534,1512000,3535,1512000,3537,0,3533,36,3535,20,3536,33,3537,0,
3638,3,3637,255,3638,922986,0,3638,200000,3639,17,3632,1512000,3634,1512000,3635,1512000,3637,0,3634,9,3635,0,3636,20,3638,0,
3746,3,3744,255,3745,906835,0,3747,200000,3748,17,3734,1026000,3739,1026000,3743,0,3744,0,3739,50,3742,0,3744,0,3745,0,
3854,3,3852,255,3854,979722,0,3855,200000,3856,17,3834,1026000,3848,1026000,3851,0,3853,0,3839,37,3850,33,3852,0,3854,0,
3945,3,3942,255,3944,1011111,0,3946,200000,3948,17,3934,702000,3937,1026000,3940,0,3942,0,3937,44,3940,54,3941,0,3944,0,
4046,3,4043,255,4045,965145,0,4047,128000,4048,17,4034,1026000,4038,1026000,4042,0,4044,0,4037,33,4040,33,4043,0,4045,0,
4150,3,4148,255,4150,784556,0,4151,128000,4152,17,4135,1026000,4140,384000,4144,0,4149,0,4139,33,4143,40,4147,0,4149,0,
