App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 01:01:09 AM","17 sec","Trepn_2018.10.21_010108.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
47,3,44,255,46,2389805,1052798,47,320000,48,0,11,1512000,41,1512000,43,1026000,45,1026000,41,100,42,100,44,87,46,49,
124,3,121,255,124,2968098,1631091,125,320000,125,0,112,1512000,114,1512000,115,1512000,121,1512000,113,100,115,57,120,100,123,100,
222,3,217,255,221,3125425,1788418,223,320000,225,0,212,1512000,214,1512000,216,1512000,218,1512000,214,100,215,80,217,100,221,100,
321,3,318,255,321,2995459,1658452,322,320000,322,0,312,1512000,315,1512000,316,1512000,319,1512000,314,81,316,90,318,100,321,90,
420,3,418,255,420,2085701,748694,421,320000,422,0,413,1512000,415,1512000,416,1512000,419,1512000,414,30,416,62,418,100,420,36,
522,3,520,255,522,2222507,885500,522,320000,523,0,513,1512000,516,1512000,518,1512000,520,1512000,515,54,518,50,519,100,522,44,
620,3,619,255,620,1736846,399839,621,320000,621,0,613,1512000,615,1512000,617,1512000,619,0,615,44,617,33,618,100,620,0,
729,3,727,255,729,1825770,488763,730,400000,731,0,714,1512000,716,1512000,718,1512000,728,0,716,50,717,70,727,70,728,0,
821,3,820,255,820,2304590,967583,821,400000,822,0,814,1512000,816,1512000,818,1512000,820,0,816,90,818,90,819,80,820,0,
921,3,920,255,921,2318271,981264,921,400000,922,0,915,1512000,917,1512000,918,1512000,920,0,916,81,918,81,919,100,921,0,
1022,3,1021,255,1022,1818930,481923,1022,400000,1023,0,1016,1512000,1018,1512000,1019,1512000,1021,0,1017,63,1019,76,1021,50,1022,0,
1123,3,1122,255,1123,868130,0,1123,400000,1124,0,1116,1512000,1119,1512000,1120,1512000,1122,0,1118,0,1120,20,1122,30,1123,0,
1223,3,1222,255,1223,676602,0,1223,400000,1224,0,1217,1512000,1219,1512000,1220,1512000,1222,0,1218,0,1220,11,1221,11,1222,0,
1328,3,1324,255,1327,624513,0,1328,400000,1330,0,1317,1026000,1321,1026000,1323,0,1325,0,1320,27,1323,0,1324,0,1325,0,
1423,3,1422,255,1423,1011662,0,1423,400000,1424,0,1418,1512000,1420,1026000,1421,0,1422,0,1419,55,1421,30,1422,0,1423,0,
1526,3,1525,255,1526,810375,0,1527,400000,1528,0,1518,1026000,1521,1026000,1524,0,1525,0,1521,45,1523,33,1524,0,1525,0,
1628,3,1626,255,1628,729370,0,1629,320000,1630,0,1619,1026000,1622,594000,1625,0,1627,0,1622,40,1624,36,1625,0,1628,0,
1737,3,1734,255,1736,890551,0,1738,200000,1739,19,1721,1026000,1725,1026000,1732,0,1735,0,1724,63,1727,37,1733,0,1736,0,
1850,3,1844,255,1847,1563196,226189,1850,128000,1853,19,1823,1026000,1832,1512000,1838,0,1846,0,1829,36,1836,100,1841,0,1847,0,
1932,3,1927,255,1932,1804461,467454,1934,128000,1935,19,1922,1512000,1924,1512000,1926,0,1928,0,1923,70,1925,100,1927,0,1931,0,
2028,3,2027,255,2028,1154634,0,2028,128000,2029,19,2022,1512000,2024,1512000,2026,0,2027,0,2024,30,2025,45,2026,0,2028,0,
2134,3,2133,255,2133,906476,0,2134,128000,2135,19,2123,1026000,2125,1512000,2131,0,2133,0,2125,22,2131,27,2132,0,2133,0,
2229,3,2228,255,2229,814805,0,2229,128000,2230,19,2223,1026000,2225,1512000,2227,0,2228,0,2225,25,2227,12,2228,0,2229,0,
2350,3,2347,255,2350,790938,0,2352,128000,2353,19,2324,1026000,2334,384000,2343,0,2348,0,2333,35,2342,25,2345,0,2349,0,
2432,3,2430,255,2432,1078935,0,2432,128000,2433,19,2424,1026000,2427,1026000,2430,0,2431,0,2427,63,2429,57,2430,0,2431,0,
2548,3,2545,255,2548,733338,0,2550,128000,2551,19,2525,384000,2534,1026000,2542,0,2546,0,2533,30,2539,18,2544,0,2547,0,
2633,3,2631,255,2632,992265,0,2633,128000,2634,19,2625,918000,2628,1026000,2630,0,2632,0,2627,55,2630,50,2631,0,2632,0,
2736,3,2734,255,2735,852985,0,2736,128000,2737,17,2726,1026000,2731,1026000,2733,0,2735,0,2729,33,2733,25,2734,0,2735,0,
2841,3,2838,255,2841,759755,0,2842,128000,2844,17,2827,1026000,2832,384000,2836,0,2839,0,2831,25,2835,45,2837,0,2840,0,
2932,3,2931,255,2932,1135466,0,2933,128000,2933,17,2927,1026000,2929,1512000,2931,0,2932,0,2929,45,2930,50,2931,0,2932,0,
3033,3,3032,255,3033,738786,0,3033,128000,3034,17,3027,1026000,3030,1512000,3031,0,3032,0,3029,30,3031,0,3031,0,3033,0,
