Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.21,20.21,screen bright,18.268934592
0,20.21,20.21,wifi running,0.2728252992
0,20.21,20.21,phone_scanning,10.5918378816
0.0,11.433892,11.433892,core 0 cpu_idle start,0.170959553184
11.433892,11.842064,0.408171999996,core 0 cpu_idle,0.00610298774394
11.842064,11.854149,0.0120850000094,core 0 cpu_frequency,0.00894697990295
11.854149,11.885704,0.0315549999941,core 0 cpu_idle,0.000471810359912
11.885704,11.886376,0.000671999994665,core 0 cpu_frequency,0.000497506863251
11.886376,11.935631,0.0492550000054,core 0 cpu_idle,0.00073646076008
11.935631,11.936211,0.000580000007176,core 0 cpu_frequency,0.000429395813313
11.936211,11.98565,0.0494389999949,core 0 cpu_idle,0.000739211927924
11.98565,11.98626,0.00061000000278,core 0 cpu_frequency,0.000451605938058
11.98626,12.035698,0.0494380000018,core 0 cpu_idle,0.000739196976027
12.035698,12.058312,0.0226139999868,core 0 cpu_frequency,0.00894580893557
12.058312,12.088494,0.0301820000022,core 0 cpu_idle,0.000451281264034
12.088494,12.088616,0.000121999997646,core 0 cpu_frequency,0.000124927802389
12.088616,12.839257,0.750641000006,core 0 cpu_idle,0.0112235842321
12.839257,12.839318,6.09999988228e-05,core 0 cpu_frequency,3.46847945306e-05
12.839318,12.886345,0.0470270000078,core 0 cpu_idle,0.000703147704117
12.886345,12.88662,0.00027499999851,core 0 cpu_frequency,0.000203592838897
12.88662,12.938378,0.0517580000014,core 0 cpu_idle,0.000773885616021
12.938378,12.938469,9.0999994427e-05,core 0 cpu_frequency,3.59984329954e-05
12.938469,12.989464,0.0509949999978,core 0 cpu_idle,0.000762477239967
12.989464,12.989861,0.000396999996156,core 0 cpu_frequency,0.000406527360863
12.989861,13.240441,0.250580000007,core 0 cpu_idle,0.00374667216011
13.240441,13.240532,9.0999994427e-05,core 0 cpu_frequency,6.73707174741e-05
13.240532,13.285607,0.0450750000018,core 0 cpu_idle,0.000673961400027
13.285607,13.28579,0.000182999996468,core 0 cpu_frequency,0.000135481778185
13.28579,13.335808,0.050018000009,core 0 cpu_idle,0.000747869136135
13.335808,13.336449,0.000640999991447,core 0 cpu_frequency,0.000474556395268
13.336449,13.535729,0.199280000001,core 0 cpu_idle,0.00297963456001
13.535729,13.536583,0.000853999998071,core 0 cpu_frequency,0.000433416613421
13.536583,13.586724,0.0501410000143,core 0 cpu_idle,0.000749708232213
13.586724,13.587029,0.000304999994114,core 0 cpu_frequency,0.000173423972653
13.587029,13.636376,0.0493469999928,core 0 cpu_idle,0.000737836343893
13.636376,13.638421,0.00204500000109,core 0 cpu_frequency,0.00151399039281
13.638421,13.737633,0.099212000001,core 0 cpu_idle,0.00148341782401
13.737633,13.737725,9.20000020415e-05,core 0 cpu_frequency,3.63940232076e-05
13.737725,13.791069,0.0533439999999,core 0 cpu_idle,0.000797599487999
13.791069,13.791802,0.00073300000804,core 0 cpu_frequency,0.000750590835433
13.791802,14.039177,0.247374999992,core 0 cpu_idle,0.00369875099988
14.039177,14.039208,3.10000032187e-05,core 0 cpu_frequency,2.29504679829e-05
14.039208,14.086235,0.0470269999932,core 0 cpu_idle,0.000703147703899
14.086235,14.086297,6.20000064373e-05,core 0 cpu_frequency,4.59009359658e-05
14.086297,14.137291,0.0509940000047,core 0 cpu_idle,0.000762462288071
14.137291,14.137413,0.000121999997646,core 0 cpu_frequency,6.19166580051e-05
14.137413,14.189293,0.0518799999991,core 0 cpu_idle,0.000775709759986
14.189293,14.189507,0.000213999999687,core 0 cpu_frequency,0.00021913565728
14.189507,14.439202,0.249694999991,core 0 cpu_idle,0.00373343963987
14.439202,14.439263,6.10000133747e-05,core 0 cpu_frequency,4.51606035018e-05
14.439263,14.48626,0.0469969999976,core 0 cpu_idle,0.000702699143965
14.48626,14.486962,0.00070199999027,core 0 cpu_frequency,0.000519716987996
14.486962,14.535943,0.0489809999999,core 0 cpu_idle,0.000732363911999
14.535943,14.538445,0.00250200000301,core 0 cpu_frequency,0.00116077587979
14.538445,14.586785,0.0483400000085,core 0 cpu_idle,0.000722779680127
14.586785,14.5906,0.00381499998912,core 0 cpu_frequency,0.00282438793594
14.5906,14.735863,0.145262999999,core 0 cpu_idle,0.00217197237598
14.735863,14.736901,0.00103800000215,core 0 cpu_frequency,0.000410619514452
14.736901,14.786095,0.0491940000065,core 0 cpu_idle,0.000735548688098
14.786095,14.788323,0.00222799999756,core 0 cpu_frequency,0.00126684792821
14.788323,14.885979,0.0976559999981,core 0 cpu_idle,0.00146015251197
14.885979,14.886528,0.000549000003957,core 0 cpu_frequency,0.00040644534533
14.886528,14.936181,0.0496529999946,core 0 cpu_idle,0.000742411655919
14.936181,14.936272,9.10000089789e-05,core 0 cpu_frequency,3.59984387519e-05
14.936272,14.988183,0.0519109999877,core 0 cpu_idle,0.000776173271817
14.988183,14.990441,0.00225800000771,core 0 cpu_frequency,0.00128390602999
14.990441,15.086541,0.0960999999952,core 0 cpu_idle,0.00143688719993
15.086541,15.08944,0.00289899999916,core 0 cpu_frequency,0.00214623870178
15.08944,15.185662,0.0962220000074,core 0 cpu_idle,0.00143871134411
15.185662,15.186333,0.000671000001603,core 0 cpu_frequency,0.000496766530787
15.186333,15.236199,0.0498660000012,core 0 cpu_idle,0.000745596432018
15.236199,15.236901,0.00070199999027,core 0 cpu_frequency,0.000277702210551
15.236901,15.286156,0.0492550000054,core 0 cpu_idle,0.00073646076008
15.286156,15.286736,0.000579999992624,core 0 cpu_frequency,0.000329789851806
15.286736,15.386376,0.0996400000004,core 0 cpu_idle,0.00148981728001
15.386376,15.386437,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
15.386437,15.438591,0.0521540000045,core 0 cpu_idle,0.000779806608068
15.438591,15.438683,9.20000020415e-05,core 0 cpu_frequency,3.63940232076e-05
15.438683,15.486992,0.0483090000052,core 0 cpu_idle,0.000722316168078
15.486992,15.491112,0.00411999999778,core 0 cpu_frequency,0.00234264518274
15.491112,15.586846,0.0957340000023,core 0 cpu_idle,0.00143141476803
15.586846,15.586907,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
15.586907,15.635643,0.048735999997,core 0 cpu_idle,0.000728700671955
15.635643,15.636223,0.000579999992624,core 0 cpu_frequency,0.000429395802539
15.636223,15.685692,0.049469000005,core 0 cpu_idle,0.000739660488075
15.685692,15.686455,0.000763000003644,core 0 cpu_frequency,0.000564877591498
15.686455,15.835686,0.149231000003,core 0 cpu_idle,0.00223130191205
15.835686,15.836754,0.00106799999776,core 0 cpu_frequency,0.000422487128713
15.836754,15.886071,0.0493169999972,core 0 cpu_idle,0.000737387783959
15.886071,15.888146,0.00207499999669,core 0 cpu_frequency,0.00117985163812
15.888146,16.036065,0.14791900001,core 0 cpu_idle,0.00221168488815
16.036065,16.036736,0.000670999987051,core 0 cpu_frequency,0.000496766520013
16.036736,16.0859,0.0491640000109,core 0 cpu_idle,0.000735100128163
16.0859,16.08651,0.000609999988228,core 0 cpu_frequency,0.000451605927285
16.08651,16.185845,0.0993350000062,core 0 cpu_idle,0.00148525692009
16.185845,16.186638,0.000792999999248,core 0 cpu_frequency,0.000587087716244
16.186638,16.23568,0.0490419999987,core 0 cpu_idle,0.000733275983981
16.23568,16.236718,0.00103800000215,core 0 cpu_frequency,0.000410619514452
16.236718,16.286095,0.049377000003,core 0 cpu_idle,0.000738284904045
16.286095,16.287713,0.00161799999478,core 0 cpu_frequency,0.000919999974631
16.287713,16.385918,0.0982050000021,core 0 cpu_idle,0.00146836116003
16.385918,16.386406,0.000488000005134,core 0 cpu_frequency,0.000361284752601
16.386406,16.435753,0.0493469999928,core 0 cpu_idle,0.000737836343893
16.435753,16.435814,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
16.435814,16.585656,0.149841999999,core 0 cpu_idle,0.00224043758398
16.585656,16.586297,0.000641000005999,core 0 cpu_frequency,0.000474556406041
16.586297,16.635674,0.049377000003,core 0 cpu_idle,0.000738284904045
16.635674,16.636284,0.00061000000278,core 0 cpu_frequency,0.000451605938058
16.636284,16.688958,0.0526739999914,core 0 cpu_idle,0.000787581647871
16.688958,16.705407,0.0164490000025,core 0 cpu_frequency,0.0168437496841
16.705407,17.040337,0.334929999997,core 0 cpu_idle,0.00500787335996
17.040337,17.043969,0.0036320000072,core 0 cpu_frequency,0.00268890616853
17.043969,17.135735,0.0917659999977,core 0 cpu_idle,0.00137208523197
17.135735,17.136254,0.000518999993801,core 0 cpu_frequency,0.000384235209811
17.136254,17.185662,0.0494080000062,core 0 cpu_idle,0.000738748416093
17.185662,17.18615,0.000487999990582,core 0 cpu_frequency,0.000361284741828
17.18615,17.238732,0.0525820000039,core 0 cpu_idle,0.000786206064058
17.238732,17.238762,2.99999956042e-05,core 0 cpu_frequency,2.22101247456e-05
17.238762,17.28582,0.047058000011,core 0 cpu_idle,0.000703611216165
17.28582,17.285973,0.000153000000864,core 0 cpu_frequency,0.00011327165344
17.285973,17.339898,0.0539250000002,core 0 cpu_idle,0.000806286600002
17.339898,17.47448,0.134581999999,core 0 cpu_frequency,0.137811752668
17.47448,18.435875,0.961394999991,core 0 cpu_idle,0.0143747780399
18.435875,18.436669,0.000794000006863,core 0 cpu_frequency,0.000710617302142
18.436669,18.485711,0.0490419999987,core 0 cpu_idle,0.000733275983981
18.485711,18.500878,0.015167000005,core 0 cpu_frequency,0.0112287003829
18.500878,18.535607,0.0347289999918,core 0 cpu_idle,0.000519268007877
18.535607,18.536156,0.000549000003957,core 0 cpu_frequency,0.00040644534533
18.536156,18.586174,0.0500179999945,core 0 cpu_idle,0.000747869135917
18.586174,18.586846,0.000672000009217,core 0 cpu_frequency,0.000497506874024
18.586846,18.685784,0.0989379999955,core 0 cpu_idle,0.00147932097593
18.685784,18.698204,0.0124199999991,core 0 cpu_frequency,0.0127180601271
18.698204,19.03814,0.339936000004,core 0 cpu_idle,0.00508272307206
19.03814,19.038201,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
19.038201,19.085625,0.047424000004,core 0 cpu_idle,0.000709083648059
19.085625,19.095971,0.0103459999955,core 0 cpu_frequency,0.00765953280625
19.095971,19.536187,0.440216000003,core 0 cpu_idle,0.00658210963204
19.536187,19.536309,0.000121999997646,core 0 cpu_frequency,9.0321185457e-05
19.536309,19.735802,0.199492999993,core 0 cpu_idle,0.00298281933589
19.735802,19.73629,0.000488000005134,core 0 cpu_frequency,0.000361284752601
19.73629,19.786156,0.0498660000012,core 0 cpu_idle,0.000745596432018
19.786156,19.786309,0.000153000000864,core 0 cpu_frequency,0.00011327165344
19.786309,19.985619,0.199309999996,core 0 cpu_idle,0.00298008311995
19.985619,19.986199,0.000580000007176,core 0 cpu_frequency,0.000429395813313
19.986199,20.185631,0.199431999994,core 0 cpu_idle,0.00298190726391
20.185631,20.186211,0.000580000007176,core 0 cpu_frequency,0.000429395813313
20.186211,20.786278,0.600066999992,core 0 cpu_idle,0.00897220178388
20.786278,20.786339,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
20.786339,20.885613,0.0992740000074,core 0 cpu_idle,0.00148434484811
20.885613,20.886254,0.000640999991447,core 0 cpu_frequency,0.000474556395268
20.886254,20.98565,0.0993960000051,core 0 cpu_idle,0.00148616899208
20.98565,20.989495,0.00384499999927,core 0 cpu_frequency,0.00284659807146
20.989495,21.185601,0.196106000003,core 0 cpu_idle,0.00293217691205
21.185601,21.186272,0.000671000001603,core 0 cpu_frequency,0.000496766530787
21.186272,21.237267,0.0509949999978,core 0 cpu_idle,0.000762477239967
21.237267,21.237328,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
21.237328,21.285607,0.0482789999951,core 0 cpu_idle,0.000721867607927
21.285607,21.286889,0.00128199999745,core 0 cpu_frequency,0.000949112801309
21.286889,21.335625,0.0487360000116,core 0 cpu_idle,0.000728700672173
21.335625,21.335686,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
21.335686,21.385613,0.049927,core 0 cpu_idle,0.000746508504
21.385613,21.385674,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
21.385674,21.438042,0.0523679999897,core 0 cpu_idle,0.000783006335845
21.438042,21.439141,0.00109900000098,core 0 cpu_frequency,0.0011253742426
21.439141,21.83767,0.398528999998,core 0 cpu_idle,0.00595880560797
21.83767,21.8377,3.00000101561e-05,core 0 cpu_frequency,2.22101355189e-05
21.8377,21.885643,0.0479429999978,core 0 cpu_idle,0.000716843735966
21.885643,21.886528,0.00088500000129,core 0 cpu_frequency,0.000655198776955
21.886528,22.036187,0.149659000002,core 0 cpu_idle,0.00223770136804
22.036187,22.036278,9.0999994427e-05,core 0 cpu_frequency,6.73707174741e-05
22.036278,22.236321,0.200043000004,core 0 cpu_idle,0.00299104293607
22.236321,22.236504,0.000182999996468,core 0 cpu_frequency,0.000135481778185
22.236504,22.286248,0.0497440000036,core 0 cpu_idle,0.000743772288053
22.286248,22.286309,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
22.286309,22.48565,0.199341,core 0 cpu_idle,0.00298054663199
22.48565,22.48626,0.00061000000278,core 0 cpu_frequency,0.000451605938058
22.48626,22.68612,0.199859999993,core 0 cpu_idle,0.0029883067199
22.68612,22.686181,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
22.686181,22.785698,0.0995170000097,core 0 cpu_idle,0.00148797818414
22.785698,22.786583,0.000884999986738,core 0 cpu_frequency,0.000655198766182
22.786583,23.085686,0.299103000012,core 0 cpu_idle,0.00447218805618
23.085686,23.086235,0.000548999989405,core 0 cpu_frequency,0.000406445334556
23.086235,23.136132,0.0498970000044,core 0 cpu_idle,0.000746059944066
23.136132,23.139885,0.00375299999723,core 0 cpu_frequency,0.00277848701075
23.139885,23.385643,0.245758000005,core 0 cpu_idle,0.00367457361607
23.385643,23.386132,0.000488999998197,core 0 cpu_frequency,0.000362025085065
23.386132,23.435631,0.0494990000007,core 0 cpu_idle,0.00074010904801
23.435631,23.437951,0.0023199999996,core 0 cpu_frequency,0.0017175832317
23.437951,23.535637,0.0976859999937,core 0 cpu_idle,0.00146060107191
23.535637,23.536889,0.00125200000184,core 0 cpu_frequency,0.000926902676563
23.536889,23.835656,0.298767,core 0 cpu_idle,0.004467164184
23.835656,23.836297,0.000641000005999,core 0 cpu_frequency,0.000474556406041
23.836297,24.035668,0.199370999995,core 0 cpu_idle,0.00298099519193
24.035668,24.036309,0.000641000005999,core 0 cpu_frequency,0.000474556406041
24.036309,24.435631,0.399321999997,core 0 cpu_idle,0.00597066254396
24.435631,24.435662,3.10000032187e-05,core 0 cpu_frequency,2.29504679829e-05
24.435662,24.59591,0.160248,core 0 cpu_idle,0.002396028096
24.59591,24.599694,0.00378400000045,core 0 cpu_frequency,0.00387480994606
24.599694,25.237603,0.637908999997,core 0 cpu_idle,0.00953801536796
25.237603,25.238701,0.00109799999336,core 0 cpu_frequency,0.000812890679886
25.238701,25.485619,0.246918000004,core 0 cpu_idle,0.00369191793607
25.485619,25.486382,0.000763000003644,core 0 cpu_frequency,0.000564877591498
25.486382,25.685662,0.199280000001,core 0 cpu_idle,0.00297963456001
25.685662,25.691796,0.00613399999565,core 0 cpu_frequency,0.00454123083518
25.691796,25.73565,0.0438540000032,core 0 cpu_idle,0.000655705008048
25.73565,25.736229,0.000578999999561,core 0 cpu_frequency,0.000428655470075
25.736229,25.835625,0.0993960000051,core 0 cpu_idle,0.00148616899208
25.835625,25.836235,0.000609999988228,core 0 cpu_frequency,0.000451605927285
25.836235,26.085778,0.249543000013,core 0 cpu_idle,0.00373116693619
26.085778,26.092614,0.00683599998592,core 0 cpu_frequency,0.00506094782318
26.092614,26.23568,0.143066000004,core 0 cpu_idle,0.00213912283206
26.23568,26.236321,0.000641000005999,core 0 cpu_frequency,0.000474556406041
26.236321,26.285637,0.0493159999896,core 0 cpu_idle,0.000737372831845
26.285637,26.295861,0.0102240000124,core 0 cpu_frequency,0.00756921163157
26.295861,26.385643,0.0897819999955,core 0 cpu_idle,0.00134242046393
26.385643,26.390862,0.00521899999876,core 0 cpu_frequency,0.00386382193348
26.390862,26.435723,0.0448610000021,core 0 cpu_idle,0.000670761672032
26.435723,26.436333,0.00061000000278,core 0 cpu_frequency,0.000451605938058
26.436333,26.485955,0.0496219999914,core 0 cpu_idle,0.000741948143871
26.485955,26.490502,0.0045470000041,core 0 cpu_frequency,0.00336631507023
26.490502,26.53756,0.0470579999965,core 0 cpu_idle,0.000703611215947
26.53756,26.540123,0.00256300000183,core 0 cpu_frequency,0.00262450790107
0.0,11.431939,11.431939,core 1 cpu_idle start,0.170930351928
11.431939,11.8359,0.403961000004,core 1 cpu_idle,0.00604002487205
11.8359,11.835961,6.09999988228e-05,core 1 cpu_frequency,4.51605927285e-05
11.835961,11.935601,0.0996400000004,core 1 cpu_idle,0.00148981728001
11.935601,11.935723,0.000121999997646,core 1 cpu_frequency,9.0321185457e-05
11.935723,11.98565,0.049927,core 1 cpu_idle,0.000746508504
11.98565,11.98568,2.99999956042e-05,core 1 cpu_frequency,2.22101247456e-05
11.98568,12.035637,0.0499569999956,core 1 cpu_idle,0.000746957063935
12.035637,12.035729,9.20000020415e-05,core 1 cpu_frequency,6.81110607114e-05
12.035729,12.235619,0.199890000004,core 1 cpu_idle,0.00298875528005
12.235619,12.23568,6.09999988228e-05,core 1 cpu_frequency,4.51605927285e-05
12.23568,12.285607,0.049927,core 1 cpu_idle,0.000746508504
12.285607,12.285637,2.99999956042e-05,core 1 cpu_frequency,2.22101247456e-05
12.285637,12.335625,0.0499880000134,core 1 cpu_idle,0.0007474205762
12.335625,12.335656,3.09999886667e-05,core 1 cpu_frequency,2.29504572096e-05
12.335656,12.385613,0.0499570000102,core 1 cpu_idle,0.000746957064152
12.385613,12.385674,6.09999988228e-05,core 1 cpu_frequency,4.51605927285e-05
12.385674,12.435601,0.049927,core 1 cpu_idle,0.000746508504
12.435601,12.435662,6.09999988228e-05,core 1 cpu_frequency,4.51605927285e-05
12.435662,12.587456,0.15179399999,core 1 cpu_idle,0.00226962388786
12.587456,12.587731,0.000275000013062,core 1 cpu_frequency,0.00020359284967
12.587731,12.635613,0.0478819999989,core 1 cpu_idle,0.000715931663984
12.635613,12.635674,6.09999988228e-05,core 1 cpu_frequency,4.51605927285e-05
12.635674,12.735619,0.0999449999945,core 1 cpu_idle,0.00149437763992
12.735619,12.73568,6.09999988228e-05,core 1 cpu_frequency,4.51605927285e-05
12.73568,12.785607,0.049927,core 1 cpu_idle,0.000746508504
12.785607,12.785668,6.09999988228e-05,core 1 cpu_frequency,4.51605927285e-05
12.785668,12.84063,0.0549620000093,core 1 cpu_idle,0.000821791824138
12.84063,12.840691,6.09999988228e-05,core 1 cpu_frequency,4.51605927285e-05
12.840691,12.885674,0.0449829999998,core 1 cpu_idle,0.000672585815997
12.885674,12.885735,6.09999988228e-05,core 1 cpu_frequency,4.51605927285e-05
12.885735,12.935692,0.0499569999956,core 1 cpu_idle,0.000746957063935
12.935692,12.938897,0.00320500000089,core 1 cpu_frequency,0.00126785697635
12.938897,12.989617,0.0507199999993,core 1 cpu_idle,0.000758365439989
12.989617,12.990746,0.00112899999658,core 1 cpu_frequency,0.000835841147869
12.990746,13.085625,0.0948790000111,core 1 cpu_idle,0.00141863080817
13.085625,13.085656,3.09999886667e-05,core 1 cpu_frequency,2.29504572096e-05
13.085656,13.135613,0.0499570000102,core 1 cpu_idle,0.000746957064152
13.135613,13.135643,2.99999956042e-05,core 1 cpu_frequency,2.22101247456e-05
13.135643,13.245659,0.110016000006,core 1 cpu_idle,0.00164495923209
13.245659,13.24569,3.09999886667e-05,core 1 cpu_frequency,2.29504572096e-05
13.24569,13.285668,0.0399780000007,core 1 cpu_idle,0.00059775105601
13.285668,13.285729,6.09999988228e-05,core 1 cpu_frequency,2.41308187343e-05
13.285729,13.385796,0.100067000007,core 1 cpu_idle,0.0014962017841
13.385796,13.385857,6.09999988228e-05,core 1 cpu_frequency,3.46847945306e-05
13.385857,13.436455,0.0505980000016,core 1 cpu_idle,0.000756541296024
13.436455,13.43676,0.000304999994114,core 1 cpu_frequency,0.000225802963642
13.43676,13.485711,0.0489510000043,core 1 cpu_idle,0.000731915352064
13.485711,13.485802,9.0999994427e-05,core 1 cpu_frequency,3.59984329954e-05
13.485802,13.586907,0.101105000009,core 1 cpu_idle,0.00151172196013
13.586907,13.586968,6.09999988228e-05,core 1 cpu_frequency,3.46847945306e-05
13.586968,13.635796,0.048827999999,core 1 cpu_idle,0.000730076255986
13.635796,13.63662,0.000824000002467,core 1 cpu_frequency,0.000610038184226
13.63662,13.685662,0.0490419999987,core 1 cpu_idle,0.000733275983981
13.685662,13.685723,6.09999988228e-05,core 1 cpu_frequency,4.51605927285e-05
13.685723,13.73568,0.0499569999956,core 1 cpu_idle,0.000746957063935
13.73568,13.735833,0.000153000000864,core 1 cpu_frequency,6.05248419419e-05
13.735833,13.786705,0.0508720000071,core 1 cpu_idle,0.000760638144106
13.786705,13.791741,0.00503599998774,core 1 cpu_frequency,0.00286348570823
13.791741,13.885735,0.0939940000098,core 1 cpu_idle,0.00140539828815
13.885735,13.885827,9.20000020415e-05,core 1 cpu_frequency,6.81110607114e-05
13.885827,13.935601,0.0497739999992,core 1 cpu_idle,0.000744220847987
13.935601,13.935662,6.09999988228e-05,core 1 cpu_frequency,4.51605927285e-05
13.935662,14.135674,0.200012000001,core 1 cpu_idle,0.00299057942402
14.135674,14.136345,0.000671000001603,core 1 cpu_frequency,0.000265439011834
14.136345,14.191918,0.0555729999905,core 1 cpu_idle,0.000830927495859
14.191918,14.19207,0.000152000007802,core 1 cpu_frequency,0.000112531320976
14.19207,14.285668,0.0935979999922,core 1 cpu_idle,0.00139947729588
14.285668,14.285698,3.00000101561e-05,core 1 cpu_frequency,2.22101355189e-05
14.285698,14.335656,0.0499579999887,core 1 cpu_idle,0.000746972015831
14.335656,14.335717,6.09999988228e-05,core 1 cpu_frequency,4.51605927285e-05
14.335717,14.535729,0.200012000001,core 1 cpu_idle,0.00299057942402
14.535729,14.53579,6.09999988228e-05,core 1 cpu_frequency,2.83002906539e-05
14.53579,14.585808,0.050018000009,core 1 cpu_idle,0.000747869136135
14.585808,14.5859,9.20000020415e-05,core 1 cpu_frequency,5.23114955608e-05
14.5859,14.635918,0.0500179999945,core 1 cpu_idle,0.000747869135917
14.635918,14.636376,0.000457999994978,core 1 cpu_frequency,0.000339074617082
14.636376,15.435662,0.799286000009,core 1 cpu_idle,0.0119509242721
15.435662,15.435845,0.000182999996468,core 1 cpu_frequency,7.2392456203e-05
15.435845,15.48684,0.0509949999978,core 1 cpu_idle,0.000762477239967
15.48684,15.488976,0.00213600001007,core 1 cpu_frequency,0.00121453644092
15.488976,15.535729,0.0467529999878,core 1 cpu_idle,0.000699050855818
15.535729,15.536248,0.000519000008353,core 1 cpu_frequency,0.000384235220584
15.536248,15.635643,0.0993949999975,core 1 cpu_idle,0.00148615403996
15.635643,15.635674,3.10000032187e-05,core 1 cpu_frequency,2.29504679829e-05
