App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 01:01:58 AM","17 sec","Trepn_2018.10.21_010157.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
37,3,35,255,36,2090968,715029,38,320000,40,0,95,1512000,30,1512000,32,1026000,35,0,29,100,31,100,34,54,36,0,
102,3,100,255,102,2824452,1448513,103,320000,104,0,196,1512000,97,1512000,99,1512000,101,1512000,97,87,98,100,100,100,102,49,
212,3,201,255,212,3262231,1886292,212,320000,213,0,296,1512000,198,1512000,200,1512000,202,1512000,198,100,199,100,201,100,208,100,
304,3,302,255,304,2557681,1181742,305,320000,305,0,397,1512000,298,1512000,300,1512000,302,1512000,298,75,300,50,302,72,304,100,
405,3,402,255,404,2133583,757644,405,320000,405,0,497,1512000,399,1512000,400,1512000,403,1512000,398,70,400,20,402,45,404,100,
505,3,503,255,505,2140423,764484,505,320000,506,0,598,1512000,499,1512000,501,1512000,503,1512000,499,70,500,33,502,33,504,100,
605,3,603,255,604,1641082,265143,605,320000,606,0,698,1512000,599,1512000,601,1512000,603,0,599,40,601,33,602,90,604,0,
705,3,703,255,705,1716326,340387,705,320000,706,0,798,1512000,700,1512000,702,1512000,704,0,700,37,701,87,703,50,704,0,
839,3,817,255,837,2311431,935492,853,320000,854,0,899,1512000,801,1512000,807,0,818,1512000,800,80,803,81,809,0,836,100,
912,3,906,255,912,3029661,1653722,913,320000,914,0,1000,1512000,901,1512000,903,1512000,906,1512000,901,81,902,100,905,100,912,85,
