Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.317,20.317,screen bright,18.3656577984
0,20.317,20.317,wifi running,0.27426974784
0,20.317,20.317,phone_scanning,10.6479154003
0.0,11.469069,11.469069,core 0 cpu_idle start,0.171485519688
11.469069,12.179487,0.710418000002,core 0 cpu_idle,0.010622169936
12.179487,12.179518,3.10000032187e-05,core 0 cpu_frequency,2.29504679829e-05
12.179518,12.279463,0.0999449999945,core 0 cpu_idle,0.00149437763992
12.279463,12.330915,0.0514519999997,core 0 cpu_frequency,0.038091850195
12.330915,12.358412,0.0274970000028,core 0 cpu_frequency,0.0281568840076
12.358412,12.979475,0.621062999999,core 0 cpu_idle,0.00928613397598
12.979475,12.979506,3.10000032187e-05,core 0 cpu_frequency,2.77445068806e-05
12.979506,13.079481,0.0999749999901,core 0 cpu_idle,0.00149482619985
13.079481,13.079542,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
13.079542,13.129377,0.049834999998,core 0 cpu_idle,0.00074513291997
13.129377,13.129408,3.10000032187e-05,core 0 cpu_frequency,2.29504679829e-05
13.129408,13.179365,0.0499570000102,core 0 cpu_idle,0.000746957064152
13.179365,13.180098,0.000732999993488,core 0 cpu_frequency,0.000542667455979
13.180098,13.279524,0.0994260000007,core 0 cpu_idle,0.00148661755201
13.279524,13.305586,0.0260620000045,core 0 cpu_frequency,0.0266874463054
13.305586,14.179548,0.873961999998,core 0 cpu_idle,0.013067479824
14.179548,14.179609,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
14.179609,14.279554,0.0999449999945,core 0 cpu_idle,0.00149437763992
14.279554,14.285261,0.00570700000389,core 0 cpu_frequency,0.00584395887279
14.285261,14.979444,0.694183,core 0 cpu_idle,0.010379424216
14.979444,14.991224,0.0117800000007,core 0 cpu_frequency,0.0105429115207
14.991224,15.079481,0.0882569999958,core 0 cpu_idle,0.00131961866394
15.079481,15.083906,0.00442500000645,core 0 cpu_frequency,0.00327599388477
15.083906,15.129347,0.0454409999948,core 0 cpu_idle,0.000679433831922
15.129347,15.129408,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
15.129408,15.179487,0.0500790000078,core 0 cpu_idle,0.000748781208117
15.179487,15.186171,0.00668399999267,core 0 cpu_frequency,0.00494841651298
15.186171,15.229383,0.0432120000041,core 0 cpu_idle,0.000646105824062
15.229383,15.229414,3.10000032187e-05,core 0 cpu_frequency,2.29504679829e-05
15.229414,15.279371,0.0499569999956,core 0 cpu_idle,0.000746957063935
15.279371,15.279432,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
15.279432,15.329359,0.049927,core 0 cpu_idle,0.000746508504
15.329359,15.32939,3.10000032187e-05,core 0 cpu_frequency,2.29504679829e-05
15.32939,15.429365,0.0999750000046,core 0 cpu_idle,0.00149482620007
15.429365,15.429426,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
15.429426,15.629377,0.199950999988,core 0 cpu_idle,0.00298966735182
15.629377,15.629408,3.10000032187e-05,core 0 cpu_frequency,2.29504679829e-05
15.629408,15.679487,0.0500790000078,core 0 cpu_idle,0.000748781208117
15.679487,15.73274,0.0532529999909,core 0 cpu_frequency,0.0270266217362
15.73274,15.732862,0.000122000012198,core 0 cpu_frequency,0.00012492781729
15.732862,15.982557,0.249694999991,core 0 cpu_idle,0.00373343963987
15.982557,15.982618,6.09999988228e-05,core 0 cpu_frequency,3.16358681895e-05
15.982618,16.031446,0.048827999999,core 0 cpu_idle,0.000730076255986
16.031446,16.031569,0.00012300000526,core 0 cpu_frequency,4.86572276808e-05
16.031569,16.129683,0.0981139999931,core 0 cpu_idle,0.0014670005279
16.129683,16.129774,9.10000089789e-05,core 0 cpu_frequency,5.17428963054e-05
16.129774,16.229506,0.0997320000024,core 0 cpu_idle,0.00149119286404
16.229506,16.283918,0.0544119999977,core 0 cpu_frequency,0.0402832494895
16.283918,16.395185,0.111267,core 0 cpu_frequency,0.113937229973
16.395185,16.579451,0.184265999997,core 0 cpu_idle,0.00275514523195
16.579451,16.579481,2.99999956042e-05,core 0 cpu_frequency,2.22101247456e-05
16.579481,16.679518,0.100037000011,core 0 cpu_idle,0.00149575322417
16.679518,16.679579,6.09999988228e-05,core 0 cpu_frequency,3.09583290026e-05
16.679579,16.732191,0.0526119999995,core 0 cpu_idle,0.000786654623993
16.732191,16.732557,0.000365999992937,core 0 cpu_frequency,0.000374783407167
16.732557,17.179457,0.446899999995,core 0 cpu_idle,0.00668204879993
17.179457,17.179548,9.10000089789e-05,core 0 cpu_frequency,6.73707282474e-05
17.179548,17.229811,0.0502629999974,core 0 cpu_idle,0.00075153237596
17.229811,17.230452,0.000641000005999,core 0 cpu_frequency,0.000325316220644
17.230452,17.279615,0.0491629999888,core 0 cpu_idle,0.000735085175832
17.279615,17.279676,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
