App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 12:05:38 AM","17 sec","Trepn_2018.10.21_000537.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
7,3,2,255,4,1894173,853218,13,320000,23,0,60,1512000,62,1512000,1,0,3,0,62,100,64,100,2,0,4,0,
77,3,74,255,77,2605563,1564608,78,320000,78,0,111,1512000,114,1512000,64,1512000,74,1512000,113,80,115,100,73,57,77,47,
119,3,117,255,119,2817612,1776657,120,320000,120,0,211,1512000,213,1512000,115,1512000,118,1512000,213,100,215,100,117,75,119,80,
219,3,217,255,219,2940737,1899782,219,320000,220,0,312,1512000,314,1512000,215,1512000,217,1512000,314,100,315,100,216,76,218,77,
337,3,318,255,337,3125425,2084470,338,320000,339,0,412,1512000,414,1512000,316,1512000,335,1512000,414,77,423,100,318,80,337,100,
431,3,427,255,430,2899695,1858740,431,320000,441,0,513,1512000,515,1512000,424,1512000,428,1512000,514,66,516,100,426,90,430,80,
520,3,518,255,520,2290910,1249955,520,320000,521,0,613,1512000,616,1512000,516,1512000,518,1512000,615,66,617,100,517,37,520,55,
622,3,619,255,622,2105660,1064705,622,320000,623,0,714,1512000,716,1512000,618,1026000,620,1512000,716,11,718,88,619,28,622,50,
722,3,720,255,722,1243392,202437,722,320000,723,0,815,1512000,820,1512000,718,1026000,721,0,819,54,822,88,720,11,721,0,
828,3,826,255,827,1716098,675143,828,400000,831,0,916,1512000,918,1512000,824,1026000,827,0,917,100,919,80,826,60,827,0,
923,3,921,255,923,2626084,1585129,924,400000,924,0,1016,1512000,1018,1512000,919,1512000,921,1512000,1017,66,1019,60,920,77,923,50,
1025,3,1021,255,1024,2352472,1311517,1025,400000,1025,0,1116,1512000,1119,1512000,1019,1512000,1021,1512000,1119,50,1121,33,1020,50,1024,91,
1128,3,1126,255,1128,1727536,686581,1128,400000,1129,0,1217,1026000,1219,1026000,1122,1512000,1126,1026000,1219,33,1220,27,1125,66,1128,50,
1225,3,1223,255,1225,965958,0,1225,400000,1226,0,1318,1026000,1320,1512000,1221,1134000,1223,1026000,1319,33,1321,40,1222,33,1225,22,
1325,3,1323,255,1324,996903,0,1325,320000,1325,0,1419,1026000,1424,384000,1321,1134000,1323,1026000,1423,20,1428,20,1322,18,1324,0,
1436,3,1432,255,1436,616421,0,1438,320000,1441,0,1519,1026000,1522,1026000,1430,0,1434,0,1522,66,1524,60,1431,0,1435,0,
1527,3,1526,255,1527,985304,0,1528,200000,1529,0,1619,1512000,1621,1512000,1525,0,1527,0,1621,77,1623,66,1525,0,1527,0,
1624,3,1624,255,1624,1504277,463322,1625,128000,1625,0,1719,1512000,1722,1512000,1623,0,1624,0,1721,88,1723,63,1623,0,1624,0,
1727,3,1726,255,1727,1610020,569065,1728,128000,1729,0,1820,1512000,1828,1026000,1724,1026000,1726,0,1828,100,1830,18,1726,14,1727,0,
1836,3,1835,255,1836,1374140,333185,1836,128000,1837,22,1920,1512000,1922,1026000,1830,1026000,1835,0,1922,44,1924,50,1834,27,1836,0,
1927,3,1926,255,1927,1234149,193194,1927,128000,1928,22,2021,810000,2027,1026000,1924,1026000,1926,0,2026,10,2029,10,1926,25,1927,0,
2035,3,2034,255,2035,758009,0,2036,128000,2037,22,2121,1026000,2124,1026000,2030,1026000,2034,0,2124,30,2126,33,2033,10,2035,0,
2130,3,2129,255,2130,998774,0,2131,128000,2132,22,2223,384000,2228,702000,2127,1026000,2129,0,2227,22,2233,11,2128,30,2130,0,
2242,3,2239,255,2241,744684,0,2244,128000,2246,22,2323,1026000,2326,1026000,2234,486000,2240,0,2325,44,2327,33,2238,36,2241,0,
2331,3,2330,255,2331,980552,0,2332,128000,2333,22,2424,594000,2434,594000,2328,1026000,2330,0,2429,11,2438,41,2329,11,2331,0,
2445,3,2443,255,2445,778584,0,2447,128000,2448,22,2524,1026000,2526,1512000,2439,384000,2444,0,2525,50,2527,60,2442,41,2445,0,
2529,3,2528,255,2529,1252484,211529,2529,128000,2530,22,2625,1026000,2628,702000,2527,0,2528,0,2627,20,2635,30,2528,0,2528,0,
2654,3,2643,255,2651,793895,0,2657,128000,2662,22,2725,1026000,2727,1512000,2637,0,2645,0,2727,60,2728,60,2641,0,2650,0,
2730,3,2730,255,2730,1288928,247973,2731,128000,2731,22,2828,1026000,2832,1026000,2729,0,2730,0,2830,33,2835,50,2729,0,2730,0,
2840,3,2837,255,2840,962331,0,2842,128000,2844,17,2926,1512000,2928,1512000,2835,0,2838,0,2928,75,2930,100,2836,0,2839,0,
