Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.417,20.417,screen bright,18.4560533184
0,20.417,20.417,wifi running,0.27561969984
0,20.417,20.417,phone_scanning,10.7003242963
0.0,11.544953,11.544953,core 0 cpu_idle start,0.172620137256
11.544953,12.229127,0.684173999995,core 0 cpu_idle,0.0102297696479
12.229127,12.229188,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
12.229188,12.329285,0.100097000002,core 0 cpu_idle,0.00149665034403
12.329285,12.331483,0.00219800000195,core 0 cpu_frequency,0.00119532866986
12.331483,12.379334,0.0478509999957,core 0 cpu_idle,0.000715468151936
12.379334,12.379395,6.09999988228e-05,core 0 cpu_frequency,3.46847945306e-05
12.379395,12.429291,0.0498959999968,core 0 cpu_idle,0.000746044991952
12.429291,12.429322,3.10000032187e-05,core 0 cpu_frequency,2.29504679829e-05
12.429322,12.479401,0.0500790000078,core 0 cpu_idle,0.000748781208117
12.479401,12.479432,3.09999886667e-05,core 0 cpu_frequency,2.29504572096e-05
12.479432,12.532258,0.0528259999992,core 0 cpu_idle,0.000789854351988
12.532258,12.582947,0.0506890000106,core 0 cpu_frequency,0.0375269726143
12.582947,12.612549,0.0296019999951,core 0 cpu_frequency,0.0303124006317
12.612549,12.829133,0.216583999994,core 0 cpu_idle,0.00323836396792
12.829133,12.83136,0.0022270000045,core 0 cpu_frequency,0.00164873183853
12.83136,12.879212,0.0478520000033,core 0 cpu_idle,0.00071548310405
12.879212,12.879243,3.10000032187e-05,core 0 cpu_frequency,2.29504679829e-05
12.879243,13.029023,0.149779999992,core 0 cpu_idle,0.00223951055989
13.029023,13.032319,0.00329600000987,core 0 cpu_frequency,0.00244015273691
13.032319,13.079072,0.0467529999878,core 0 cpu_idle,0.000699050855818
13.079072,13.079133,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
13.079133,13.179017,0.0998840000102,core 0 cpu_idle,0.00149346556815
13.179017,13.179047,2.99999956042e-05,core 0 cpu_frequency,2.22101247456e-05
13.179047,13.234406,0.0553590000054,core 0 cpu_idle,0.000827727768081
13.234406,13.24173,0.00732399999106,core 0 cpu_frequency,0.00542223257578
13.24173,13.28296,0.0412300000025,core 0 cpu_idle,0.000616470960038
13.28296,13.345002,0.062042000005,core 0 cpu_frequency,0.0635309087379
13.345002,13.632233,0.287230999995,core 0 cpu_idle,0.00429467791192
13.632233,13.676728,0.0444949999946,core 0 cpu_frequency,0.032941321508
13.676728,13.682068,0.00534000000334,core 0 cpu_idle,7.984368005e-05
13.682068,13.713959,0.031891000006,core 0 cpu_frequency,0.0326563329805
13.713959,14.429108,0.715148999996,core 0 cpu_idle,0.0106929078479
14.429108,14.429169,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
