App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 12:18:29 AM","17 sec","Trepn_2018.10.21_001828.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
61,3,59,255,61,1894173,827808,62,320000,63,0,50,1512000,52,1512000,57,0,60,0,52,100,54,100,59,1,61,0,
159,3,157,255,159,2537160,1470795,160,320000,161,0,151,1512000,153,1512000,155,1512000,157,1512000,152,88,154,100,156,90,159,16,
259,3,257,255,259,2838133,1771768,260,320000,260,0,252,1512000,254,1512000,256,1512000,258,1512000,253,100,255,100,257,66,259,72,
360,3,358,255,360,3036501,1970136,361,320000,361,0,353,1512000,355,1512000,357,1512000,359,1512000,354,100,356,90,358,100,360,77,
460,3,458,255,460,2981779,1915414,460,320000,461,0,453,1512000,455,1512000,456,1512000,458,1512000,454,88,456,71,458,100,460,100,
561,3,559,255,560,2126743,1060378,561,320000,562,0,553,1512000,555,1512000,557,1512000,559,1512000,555,40,556,36,558,100,560,58,
662,3,660,255,661,2174625,1108260,662,320000,663,0,654,1512000,656,1512000,658,1512000,660,1512000,656,20,657,44,659,100,661,77,
763,3,761,255,763,1421517,355152,763,320000,764,0,755,1026000,758,1026000,759,1512000,762,0,757,33,759,25,761,100,763,0,
877,3,873,255,877,1609058,542693,878,320000,879,0,855,1026000,857,1026000,864,1512000,874,0,857,81,861,66,871,80,877,0,
964,3,962,255,964,2564521,1498156,966,320000,966,0,956,1512000,958,1512000,960,1512000,962,1512000,957,90,959,90,961,81,963,37,
1063,3,1062,255,1063,2838133,1771768,1064,320000,1064,0,1056,1512000,1058,1512000,1060,1512000,1062,1512000,1058,100,1060,63,1061,87,1063,88,
1167,3,1165,255,1166,1805135,738770,1167,320000,1168,0,1159,1512000,1161,1512000,1162,1512000,1165,1026000,1160,53,1162,63,1164,55,1166,30,
1269,3,1266,255,1269,850300,0,1270,320000,1271,0,1259,1512000,1262,1512000,1264,1512000,1267,1026000,1261,20,1263,11,1266,10,1269,12,
1369,3,1367,255,1369,952505,0,1370,320000,1370,0,1360,1026000,1362,1026000,1365,1026000,1367,1026000,1362,40,1364,27,1366,30,1369,20,
1487,3,1485,255,1487,736325,0,1488,320000,1489,0,1461,594000,1481,918000,1484,0,1486,0,1479,30,1483,53,1485,0,1487,0,
1577,3,1575,255,1577,886813,0,1578,320000,1581,0,1561,918000,1564,1026000,1573,0,1575,0,1563,44,1565,62,1574,0,1577,0,
1669,3,1669,255,1669,766757,0,1670,320000,1670,0,1661,1512000,1666,1026000,1668,0,1669,0,1665,16,1668,36,1668,0,1669,0,
1771,3,1769,255,1771,650023,0,1772,200000,1773,0,1762,1026000,1765,1026000,1768,0,1770,0,1764,22,1767,12,1768,0,1770,0,
1873,3,1872,255,1873,926994,0,1874,128000,1875,19,1863,1026000,1867,1026000,1871,0,1872,0,1866,66,1870,44,1871,0,1873,0,
1981,3,1979,255,1981,813193,0,1982,128000,1983,19,1964,384000,1975,1026000,1977,0,1979,0,1969,38,1976,38,1978,0,1980,0,
2073,3,2072,255,2073,1044173,0,2074,128000,2075,19,2064,918000,2068,1026000,2071,0,2072,0,2067,66,2070,55,2071,0,2073,0,
2178,3,2176,255,2178,768361,0,2180,128000,2181,19,2165,384000,2170,1026000,2174,0,2177,0,2169,20,2173,30,2175,0,2178,0,
