App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 12:37:06 AM","17 sec","Trepn_2018.10.21_003705.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
42,3,41,255,42,1832611,745128,43,320000,44,0,10,1512000,37,1512000,39,0,41,0,36,91,39,100,40,0,42,0,
126,3,116,255,125,2218520,1131037,127,320000,129,0,110,1512000,112,1512000,114,1026000,117,1026000,112,100,114,100,115,45,124,44,
229,3,227,255,229,2933897,1846414,230,320000,230,0,211,1512000,213,1512000,215,1512000,228,1512000,213,85,215,100,227,90,229,77,
318,3,316,255,318,3262231,2174748,318,320000,319,0,311,1512000,313,1512000,314,1512000,316,1512000,312,100,314,100,316,100,318,100,
419,3,417,255,419,3193828,2106345,419,320000,420,0,412,1512000,414,1512000,415,1512000,417,1512000,413,100,415,100,417,100,419,90,
519,3,517,255,519,2523480,1435997,520,320000,520,0,512,1512000,514,1512000,516,1512000,518,1512000,514,55,515,100,517,77,519,60,
621,3,618,255,621,2099382,1011899,621,320000,622,0,613,1512000,615,1512000,616,1512000,619,1512000,614,70,616,100,618,46,620,14,
720,3,718,255,720,1894173,806690,721,320000,721,0,713,1512000,715,1512000,717,1512000,719,1512000,715,25,716,100,718,30,720,45,
879,3,877,255,879,2012687,925204,880,320000,882,0,864,1512000,867,1512000,870,1134000,877,1026000,866,64,869,78,875,66,879,64,
928,3,926,255,928,3029661,1942178,929,320000,929,0,914,1512000,922,1512000,924,1512000,927,1512000,921,83,924,83,926,100,928,100,
1022,3,1019,255,1022,1928375,840892,1023,400000,1024,0,1014,1512000,1016,1512000,1018,1512000,1020,1512000,1016,80,1017,33,1019,22,1021,70,
1122,3,1120,255,1121,1695805,608322,1122,400000,1123,0,1115,1512000,1117,1512000,1118,1512000,1120,1512000,1116,54,1118,40,1119,37,1121,40,
1221,3,1220,255,1221,724484,0,1221,400000,1222,0,1215,1512000,1217,1512000,1218,1512000,1220,0,1217,0,1218,11,1219,18,1221,0,
1330,3,1328,255,1330,668152,0,1331,400000,1332,0,1316,1026000,1321,384000,1323,1026000,1329,0,1320,11,1323,25,1328,22,1330,0,
1431,3,1428,255,1431,775751,0,1432,400000,1432,0,1417,486000,1421,918000,1425,1026000,1429,0,1420,63,1424,33,1428,20,1430,0,
1531,3,1529,255,1531,720915,0,1532,320000,1533,0,1518,384000,1521,1026000,1524,1026000,1530,0,1520,27,1523,27,1529,20,1531,0,
1627,3,1626,255,1627,765504,0,1628,320000,1629,0,1618,384000,1620,1026000,1623,702000,1626,0,1620,44,1622,30,1625,45,1627,0,
1730,3,1728,255,1729,770904,0,1731,200000,1732,0,1719,384000,1722,1026000,1725,1026000,1728,0,1721,30,1724,30,1727,30,1729,0,
1829,3,1827,255,1828,1527203,439720,1829,200000,1830,18,1819,1512000,1822,1026000,1825,1026000,1827,0,1821,100,1824,37,1826,50,1828,0,
1927,3,1926,255,1926,1602540,515057,1927,128000,1928,18,1920,1512000,1922,1026000,1924,1026000,1926,0,1921,100,1923,20,1925,30,1926,0,
2027,3,2026,255,2027,1030248,0,2027,128000,2028,18,2020,1512000,2022,1026000,2024,1026000,2026,0,2022,30,2023,14,2025,38,2026,0,
2126,3,2125,255,2126,822463,0,2126,128000,2127,18,2121,1512000,2122,1026000,2124,0,2125,0,2122,22,2123,10,2124,0,2126,0,
2225,3,2224,255,2225,886716,0,2226,128000,2226,18,2221,1512000,2223,1026000,2224,0,2225,0,2222,25,2224,22,2224,0,2225,0,
2339,3,2334,255,2338,807435,0,2339,128000,2341,18,2322,384000,2327,1026000,2332,0,2334,0,2326,30,2331,40,2333,0,2338,0,
2433,3,2432,255,2433,919700,0,2434,128000,2435,18,2425,918000,2428,1026000,2430,0,2432,0,2427,44,2430,41,2431,0,2433,0,
2541,3,2538,255,2541,765412,0,2542,128000,2544,18,2526,486000,2531,810000,2536,0,2539,0,2529,45,2535,30,2538,0,2540,0,
2633,3,2632,255,2633,1296766,209283,2634,128000,2635,18,2626,918000,2628,1512000,2630,1026000,2633,0,2628,70,2630,60,2632,10,2633,0,
2735,3,2734,255,2735,715709,0,2735,128000,2736,18,2727,1026000,2729,1512000,2732,1026000,2734,0,2729,12,2731,0,2733,10,2734,0,
2838,3,2836,255,2837,918113,0,2838,128000,2839,18,2827,1026000,2829,1512000,2834,1026000,2837,0,2829,22,2833,20,2835,18,2837,0,
2941,3,2939,255,2941,790634,0,2942,128000,2943,18,2929,384000,2934,1026000,2937,0,2939,0,2933,40,2936,33,2938,0,2940,0,
3037,3,3036,255,3037,907450,0,3038,128000,3039,18,3029,918000,3032,1026000,3035,0,3037,0,3032,40,3034,41,3036,0,3037,0,
3143,3,3141,255,3143,721041,0,3144,128000,3145,18,3131,594000,3135,486000,3139,0,3142,0,3134,37,3138,22,3139,0,3142,0,
