App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 12:51:32 AM","17 sec","Trepn_2018.10.21_005131.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
24,3,22,255,24,1884863,884206,25,320000,31,0,90,1512000,11,1512000,15,1026000,23,0,10,91,13,81,20,50,23,0,
109,3,105,255,109,2489278,1488621,110,320000,110,0,191,1512000,92,1512000,94,1512000,106,0,92,100,93,100,103,87,109,41,
199,3,197,255,199,2441396,1440739,199,320000,200,0,291,1512000,192,1512000,194,1512000,197,1512000,192,80,194,45,196,55,199,100,
300,3,296,255,300,2831293,1830636,301,320000,301,0,391,1512000,293,1512000,294,1512000,296,1512000,292,90,294,77,296,70,300,100,
399,3,397,255,399,3125425,2124768,400,320000,400,0,492,1512000,393,1512000,395,1512000,397,1512000,393,100,394,80,396,100,398,100,
499,3,497,255,499,2632924,1632267,499,320000,500,0,542,1512000,494,1512000,495,1512000,497,1512000,493,100,495,66,496,42,498,100,
549,3,547,255,549,2201986,1201329,549,320000,550,0,642,1512000,544,1512000,545,1512000,547,1512000,543,60,545,25,547,60,549,100,
649,3,647,255,649,2037819,1037162,650,320000,650,0,743,1026000,644,1512000,646,1512000,648,1512000,644,54,645,27,647,40,649,100,
752,3,750,255,752,1723443,722786,753,320000,753,0,844,1026000,746,1026000,748,1512000,750,1512000,745,20,747,27,749,50,752,100,
852,3,851,255,852,1552713,552056,853,320000,853,0,944,1512000,846,1026000,848,1512000,851,0,845,44,848,50,850,100,852,0,
952,3,951,255,952,2352472,1351815,953,400000,954,0,1045,1512000,946,1512000,948,1512000,951,0,946,90,948,100,950,77,952,0,
1053,3,1051,255,1053,2968098,1967441,1054,400000,1058,0,1145,1512000,1047,1512000,1050,1512000,1052,1512000,1047,100,1049,90,1051,77,1053,90,
1153,3,1151,255,1153,2181465,1180808,1153,400000,1154,0,1246,1512000,1147,1512000,1149,1512000,1151,1512000,1147,45,1149,80,1150,54,1152,63,
1253,3,1252,255,1253,1577612,576955,1254,400000,1255,0,1347,1026000,1248,1512000,1250,1512000,1252,1026000,1248,44,1250,44,1251,54,1253,22,
1358,3,1354,255,1358,602647,0,1359,400000,1359,0,1449,384000,1350,1026000,1352,1026000,1354,1026000,1349,0,1351,12,1353,9,1357,0,
1472,3,1467,255,1471,582725,0,1473,400000,1475,0,1548,1026000,1454,384000,1460,384000,1469,0,1453,27,1459,18,1465,20,1470,0,
1557,3,1555,255,1557,1050902,50245,1557,400000,1558,0,1649,1026000,1551,1026000,1553,1026000,1556,0,1550,58,1553,44,1555,42,1556,0,
1658,3,1657,255,1658,737488,0,1659,400000,1660,0,1750,1026000,1652,1026000,1655,1026000,1657,0,1651,11,1654,27,1656,20,1658,0,
1759,3,1758,255,1759,996237,0,1760,400000,1761,0,1851,1026000,1752,1026000,1755,1026000,1758,0,1752,36,1754,33,1757,60,1759,0,
1861,3,1860,255,1861,1541780,541123,1862,320000,1862,17,1952,1026000,1854,1026000,1858,1512000,1860,0,1853,33,1857,58,1859,100,1861,0,
1959,3,1958,255,1959,1614331,613674,1960,320000,1961,17,2052,1026000,1954,1026000,1956,1512000,1959,0,1953,50,1956,33,1958,54,1959,0,
2058,3,2058,255,2058,1369932,369275,2059,200000,2059,17,2153,702000,2054,1026000,2056,1512000,2058,0,2054,40,2055,36,2057,22,2058,0,
2165,3,2163,255,2164,825322,0,2166,128000,2167,17,2253,1026000,2158,594000,2161,0,2163,0,2157,40,2160,12,2162,0,2164,0,
2262,3,2261,255,2262,921004,0,2263,128000,2263,17,2356,384000,2258,1026000,2260,0,2261,0,2257,40,2259,40,2260,0,2262,0,
2372,3,2368,255,2371,713549,0,2373,128000,2375,17,2455,1512000,2360,486000,2365,0,2370,0,2359,40,2363,41,2367,0,2371,0,
2461,3,2460,255,2461,1225766,225109,2461,128000,2462,17,2555,1026000,2458,918000,2459,0,2460,0,2458,63,2459,54,2460,0,2461,0,
2563,3,2562,255,2563,702343,0,2564,128000,2565,17,2656,1026000,2559,1026000,2561,0,2563,0,2558,0,2560,20,2562,0,2563,0,
2663,3,2662,255,2663,808029,0,2664,128000,2665,17,2757,384000,2658,1026000,2661,0,2663,0,2658,33,2660,16,2662,0,2663,0,
2776,3,2772,255,2776,787101,0,2777,128000,2784,17,2857,1512000,2763,1026000,2770,0,2773,0,2762,22,2768,38,2771,0,2775,0,
2862,3,2861,255,2862,1094424,93767,2863,128000,2864,18,2958,702000,2859,1026000,2860,0,2861,0,2858,44,2860,45,2860,0,2862,0,
2971,3,2968,255,2971,740173,0,2972,128000,2973,18,3058,1026000,2963,1026000,2967,0,2969,0,2961,12,2966,22,2968,0,2970,0,
3068,3,3066,255,3067,835973,0,3068,128000,3069,18,3160,486000,3061,1026000,3065,0,3067,0,3061,25,3063,30,3066,0,3067,0,
3175,3,3172,255,3175,712329,0,3181,128000,3183,18,3260,1026000,3166,384000,3171,0,3173,0,3165,40,3169,33,3172,0,3174,0,
3269,3,3267,255,3269,952499,0,3270,128000,3271,18,3361,1026000,3263,918000,3265,0,3268,0,3262,50,3264,44,3265,0,3269,0,
3369,3,3368,255,3369,776217,0,3370,128000,3371,18,3461,1026000,3364,384000,3367,0,3368,0,3364,30,3366,36,3367,0,3369,0,
3469,3,3467,255,3469,906010,0,3469,128000,3470,18,3562,384000,3464,918000,3466,0,3468,0,3464,28,3466,55,3467,0,3468,0,
3572,3,3570,255,3572,711583,0,3573,128000,3574,18,3663,918000,3566,1026000,3568,0,3571,0,3565,12,3568,18,3569,0,3571,0,
3672,3,3671,255,3672,1012215,11558,3673,128000,3674,18,3764,1026000,3666,918000,3669,0,3671,0,3666,60,3668,63,3670,0,3672,0,
3773,3,3771,255,3773,835973,0,3773,128000,3774,18,3866,486000,3768,1026000,3770,0,3772,0,3767,30,3770,25,3771,0,3772,0,
3880,3,3877,255,3879,731310,0,3881,128000,3883,18,3966,1512000,3871,384000,3875,0,3878,0,3870,50,3874,41,3876,0,3878,0,
3971,3,3970,255,3971,981527,0,3971,128000,3972,18,4066,1512000,3968,1026000,3970,0,3970,0,3967,33,3969,33,3970,0,3971,0,
4071,3,4070,255,4071,961006,0,4072,128000,4072,18,4167,594000,4068,1026000,4070,0,4071,0,4068,30,4069,33,4070,0,4071,0,
4180,3,4178,255,4180,710748,0,4181,128000,4183,18,4267,1512000,4173,1026000,4176,0,4179,0,4172,22,4175,11,4177,0,4180,0,
4273,3,4273,255,4273,1171204,170547,4274,128000,4275,18,4368,1512000,4270,1026000,4272,0,4273,0,4269,57,4271,40,4272,0,4273,0,
4375,3,4373,255,4375,675621,0,4376,128000,4379,18,4468,1512000,4370,1026000,4372,0,4374,0,4370,0,4372,11,4372,0,4374,0,
4474,3,4473,255,4474,908583,0,4475,128000,4475,18,4569,1026000,4471,1026000,4472,0,4474,0,4470,25,4472,28,4473,0,4474,0,
4583,3,4582,255,4583,744864,0,4585,128000,4586,18,4669,918000,4572,1026000,4580,0,4582,0,4571,10,4579,20,4581,0,4583,0,
4677,3,4676,255,4677,921322,0,4678,128000,4679,18,4771,1026000,4673,1026000,4675,0,4677,0,4672,60,4675,28,4676,0,4677,0,
4794,3,4790,255,4793,739773,0,4798,128000,4799,18,4871,918000,4784,384000,4789,0,4791,0,4783,20,4788,36,4789,0,4793,0,
4880,3,4879,255,4880,1018340,17683,4881,128000,4881,18,4971,918000,4874,918000,4877,0,4879,0,4873,63,4877,62,4878,0,4880,0,
4985,3,4984,255,4985,755827,0,4986,128000,4987,17,5073,384000,4980,1026000,4983,0,4984,0,4979,25,4982,12,4983,0,4985,0,
5087,3,5085,255,5087,804198,0,5088,128000,5097,17,5173,1026000,5078,1026000,5083,0,5086,0,5077,50,5082,36,5084,0,5086,0,
5180,3,5179,255,5179,1334225,333568,5180,128000,5183,17,5273,1026000,5176,1512000,5178,0,5179,0,5175,62,5177,70,5178,0,5179,0,
5278,3,5277,255,5278,839148,0,5278,128000,5279,17,5374,1026000,5275,1512000,5276,0,5277,0,5274,20,5276,20,5277,0,5278,0,
5385,3,5382,255,5385,789807,0,5386,128000,5387,17,5474,384000,5378,1026000,5381,0,5382,0,5377,22,5380,22,5381,0,5384,0,
5484,3,5482,255,5484,782425,0,5485,128000,5487,17,5575,918000,5477,1026000,5480,0,5482,0,5476,25,5479,36,5481,0,5483,0,
5584,3,5583,255,5584,860978,0,5585,128000,5586,17,5676,384000,5579,1026000,5582,0,5583,0,5579,28,5581,40,5582,0,5584,0,
5690,3,5688,255,5690,687807,0,5691,128000,5692,17,5776,1026000,5681,384000,5687,0,5689,0,5680,30,5686,37,5687,0,5690,0,
5784,3,5783,255,5784,918307,0,5785,128000,5786,17,5877,1026000,5780,918000,5782,0,5783,0,5779,28,5782,61,5783,0,5784,0,
5886,3,5884,255,5885,760652,0,5886,128000,5888,17,5978,918000,5880,1026000,5882,0,5884,0,5879,36,5881,0,5883,0,5885,0,
5985,3,5983,255,5985,928199,0,5985,128000,5986,19,6080,1026000,5980,1026000,5983,0,5984,0,5980,44,5982,45,5983,0,5984,0,
6090,3,6088,255,6090,680804,0,6090,128000,6092,19,6178,1512000,6083,384000,6086,0,6088,0,6082,0,6085,45,6087,0,6089,0,
6184,3,6182,255,6183,1927587,926930,6184,128000,6189,19,6279,1512000,6180,1512000,6182,0,6183,0,6180,100,6181,88,6182,0,6183,0,
6284,3,6283,255,6284,1640295,639638,6285,128000,6285,19,6381,1512000,6281,1512000,6282,0,6283,0,6280,80,6282,66,6283,0,6284,0,
6404,3,6394,255,6403,1592413,591756,6404,128000,6405,19,6479,1512000,6384,1512000,6392,0,6395,0,6383,70,6392,69,6394,0,6402,0,
6484,3,6483,255,6484,1660815,660158,6484,128000,6485,19,6580,1512000,6481,1512000,6482,0,6483,0,6481,87,6482,62,6483,0,6484,0,
6591,3,6585,255,6591,1503489,502832,6592,128000,6594,19,6681,1512000,6582,1512000,6584,0,6589,0,6582,63,6583,63,6585,0,6590,0,
6687,3,6686,255,6687,2064392,1063735,6687,128000,6688,19,6781,1512000,6683,1512000,6684,1512000,6686,0,6682,66,6684,100,6686,42,6687,0,
6803,3,6802,255,6803,1713068,712411,6804,128000,6805,19,6882,1512000,6783,1512000,6800,1026000,6802,0,6783,80,6799,50,6801,50,6803,0,
6890,3,6888,255,6890,2187518,1186861,6890,128000,6891,19,6982,1512000,6884,1512000,6886,1512000,6888,1026000,6883,80,6885,80,6887,66,6889,0,
6992,3,6989,255,6991,2871546,1870889,6992,200000,6993,18,7082,1512000,6984,1512000,6987,1512000,6990,1512000,6984,75,6986,100,6989,71,6991,80,
7091,3,7090,255,7091,2603692,1603035,7092,320000,7092,18,7185,1134000,7086,1512000,7088,1512000,7090,1512000,7086,58,7088,100,7089,55,7091,60,
7194,3,7191,255,7194,2031283,1030626,7194,320000,7195,18,7285,1026000,7187,1512000,7189,1134000,7192,1134000,7187,22,7189,100,7191,22,7193,45,
7293,3,7291,255,7293,2052640,1051983,7294,320000,7294,18,7385,1026000,7287,1512000,7289,1134000,7291,1512000,7287,45,7289,44,7290,22,7293,77,
7398,3,7396,255,7398,1992470,991813,7399,320000,7399,18,7485,1512000,7388,1134000,7391,1026000,7396,1512000,7387,22,7390,50,7396,60,7398,75,
