Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.5,20.5,screen bright,16.505329
0,20.5,20.5,wifi running,0.2464879
0,20.5,20.5,phone_scanning,9.5693467
0.0,23.938007,23.938007,core 0 cpu_idle start,0.318794408222
23.938007,24.124775,0.186768,core 0 cpu_idle,0.00248728284001
24.124775,24.125599,0.000823999999739,core 0 cpu_frequency,0.000751536203762
24.125599,24.52776,0.402161,core 0 cpu_idle,0.0053557791175
24.52776,24.530567,0.00280699999985,core 0 cpu_frequency,0.0018509540454
24.530567,24.621876,0.0913090000004,core 0 cpu_idle,0.0012160076075
24.621876,24.622822,0.000946000000113,core 0 cpu_frequency,0.00033331647804
24.622822,24.722187,0.099365,core 0 cpu_idle,0.0013232933875
24.722187,24.722797,0.000610000000052,core 0 cpu_frequency,0.000402237965034
24.722797,24.871662,0.148864999999,core 0 cpu_idle,0.00198250963749
24.871662,24.873005,0.00134299999991,core 0 cpu_frequency,0.000473196648967
24.873005,24.926869,0.0538640000004,core 0 cpu_idle,0.000717333820006
24.926869,24.926899,3.00000001516e-05,core 0 cpu_frequency,2.73617551383e-05
24.926899,25.325764,0.398865,core 0 cpu_idle,0.0053118846375
25.325764,25.325825,6.09999997323e-05,core 0 cpu_frequency,3.08931753644e-05
25.325825,25.372425,0.0465999999997,core 0 cpu_idle,0.000620595499996
25.372425,25.374348,0.00192300000072,core 0 cpu_frequency,0.00126803869997
25.374348,25.421558,0.0472099999997,core 0 cpu_idle,0.000628719174996
25.421558,25.421803,0.000245000000177,core 0 cpu_frequency,0.000161554592617
25.421803,25.521595,0.099792,core 0 cpu_idle,0.00132897996
25.521595,25.521839,0.000243999999839,core 0 cpu_frequency,0.000160895185894
25.521839,25.571583,0.0497439999999,core 0 cpu_idle,0.000662465719999
25.571583,25.571827,0.000243999999839,core 0 cpu_frequency,0.000160895185894
25.571827,25.771595,0.199768,core 0 cpu_idle,0.00266041034001
25.771595,25.772205,0.000610000000052,core 0 cpu_frequency,0.000402237965034
25.772205,25.822254,0.0500489999995,core 0 cpu_idle,0.000666527557493
25.822254,25.822376,0.000122000000374,core 0 cpu_frequency,4.29858461318e-05
25.822376,25.871815,0.0494389999994,core 0 cpu_idle,0.000658403882493
25.871815,25.872517,0.000702000000274,core 0 cpu_frequency,0.000355524741139
25.872517,25.972675,0.100158,core 0 cpu_idle,0.001333854165
25.972675,25.972736,6.09999997323e-05,core 0 cpu_frequency,4.02237963235e-05
25.972736,26.022297,0.0495609999998,core 0 cpu_idle,0.000660028617498
26.022297,26.022358,6.10000006418e-05,core 0 cpu_frequency,4.02237969232e-05
26.022358,26.133473,0.111115,core 0 cpu_idle,0.0014797740125
26.133473,26.136952,0.00347899999997,core 0 cpu_frequency,0.00317305152147
26.136952,26.321735,0.184783,core 0 cpu_idle,0.0024608476025
26.321735,26.322376,0.000641000000542,core 0 cpu_frequency,0.000422679566857
26.322376,26.371998,0.0496219999995,core 0 cpu_idle,0.000660840984994
26.371998,26.372059,6.10000006418e-05,core 0 cpu_frequency,4.02237969232e-05
26.372059,26.421833,0.0497740000001,core 0 cpu_idle,0.000662865245001
26.421833,26.422535,0.000701999999364,core 0 cpu_frequency,0.000462903362581
26.422535,26.52718,0.104645,core 0 cpu_idle,0.0013936097875
26.52718,26.528889,0.00170900000012,core 0 cpu_frequency,0.00112692570858
26.528889,26.624714,0.0958249999994,core 0 cpu_idle,0.00127614943749
26.624714,26.626789,0.00207500000033,core 0 cpu_frequency,0.0018925213878
26.626789,26.925739,0.29895,core 0 cpu_idle,0.003981266625
26.925739,26.92577,3.09999995807e-05,core 0 cpu_frequency,1.56998102876e-05
26.92577,26.971729,0.045959,core 0 cpu_idle,0.000612058982501
26.971729,26.972523,0.000793999999587,core 0 cpu_frequency,0.000523568760728
26.972523,27.121632,0.149109000001,core 0 cpu_idle,0.00198575910751
27.121632,27.122242,0.000609999999142,core 0 cpu_frequency,0.000402237964434
27.122242,27.171803,0.0495610000007,core 0 cpu_idle,0.00066002861751
27.171803,27.172871,0.00106799999958,core 0 cpu_frequency,0.000482772311809
27.172871,27.224812,0.0519409999997,core 0 cpu_idle,0.000691724267496
27.224812,27.286182,0.0613700000004,core 0 cpu_frequency,0.0559730301453
27.286182,27.52541,0.239228,core 0 cpu_idle,0.00318591889
27.52541,27.525471,6.09999997323e-05,core 0 cpu_frequency,4.02237963235e-05
27.525471,27.571735,0.0462639999996,core 0 cpu_idle,0.000616120819995
27.571735,27.572865,0.00113000000056,core 0 cpu_frequency,0.000745129345368
27.572865,27.771595,0.19873,core 0 cpu_idle,0.002646586775
27.771595,27.772114,0.000519000000168,core 0 cpu_frequency,0.000342231973611
27.772114,27.824024,0.0519099999992,core 0 cpu_idle,0.00069131142499
27.824024,27.824513,0.000489000000016,core 0 cpu_frequency,0.000322449778511
27.824513,27.925678,0.101165,core 0 cpu_idle,0.0013472648875
27.925678,27.925984,0.00030599999991,core 0 cpu_frequency,0.00020177838894
27.925984,28.025532,0.0995480000001,core 0 cpu_idle,0.00132573049
28.025532,28.025776,0.000243999999839,core 0 cpu_frequency,0.000222542273853
28.025776,28.121662,0.0958860000001,core 0 cpu_idle,0.001276961805
28.121662,28.121723,6.10000006418e-05,core 0 cpu_frequency,4.02237969232e-05
28.121723,28.275227,0.153504,core 0 cpu_idle,0.00204428952
28.275227,28.284443,0.00921599999947,core 0 cpu_frequency,0.00840553113552
28.284443,28.524677,0.240234000001,core 0 cpu_idle,0.00319931629501
28.524677,28.524708,3.09999995807e-05,core 0 cpu_frequency,2.04416012235e-05
28.524708,28.571583,0.046875,core 0 cpu_idle,0.0006242578125
28.571583,28.574268,0.00268500000038,core 0 cpu_frequency,0.00177050645275
28.574268,28.721546,0.147277999999,core 0 cpu_idle,0.00196137476499
28.721546,28.723072,0.00152600000001,core 0 cpu_frequency,0.00100625431901
28.723072,28.771595,0.0485230000004,core 0 cpu_idle,0.000646205052505
28.771595,28.772205,0.000610000000052,core 0 cpu_frequency,0.000402237965034
28.772205,28.821766,0.0495609999998,core 0 cpu_idle,0.000660028617498
28.821766,28.824207,0.00244099999964,core 0 cpu_frequency,0.00160961126626
28.824207,28.922169,0.0979619999998,core 0 cpu_idle,0.001304608935
