Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.343,20.343,screen bright,16.378922334
0,20.343,20.343,wifi running,0.2446001634
0,20.343,20.343,phone_scanning,9.4960595082
0.0,23.772836,23.772836,core 0 cpu_idle start,0.31659474343
23.772836,23.850716,0.0778800000007,core 0 cpu_idle,0.00103716690001
23.850716,23.851327,0.000610999999481,core 0 cpu_frequency,0.000402897371157
23.851327,24.05079,0.199463000001,core 0 cpu_idle,0.00265634850251
24.05079,24.060403,0.00961299999835,core 0 cpu_frequency,0.008767618359
24.060403,24.452309,0.391906000001,core 0 cpu_idle,0.00521920815501
24.452309,24.452462,0.000153000000864,core 0 cpu_frequency,7.06748313992e-05
24.452462,24.500771,0.0483089999998,core 0 cpu_idle,0.000643355107497
24.500771,24.501321,0.000549999998839,core 0 cpu_frequency,0.000362673574234
24.501321,24.550576,0.0492549999999,core 0 cpu_idle,0.000655953462499
24.550576,24.551095,0.000519000001077,core 0 cpu_frequency,0.00034223197421
24.551095,24.600564,0.0494689999996,core 0 cpu_idle,0.000658803407495
24.600564,24.601174,0.000609999999142,core 0 cpu_frequency,0.000402237964434
24.601174,24.650735,0.0495610000016,core 0 cpu_idle,0.000660028617522
24.650735,24.651711,0.000975999999355,core 0 cpu_frequency,0.000343886767773
24.651711,24.70173,0.0500190000002,core 0 cpu_idle,0.000666128032503
24.70173,24.706246,0.00451599999906,core 0 cpu_frequency,0.00228710787752
24.706246,24.851357,0.145111,core 0 cpu_idle,0.0019325157425
24.851357,24.851449,9.20000002225e-05,core 0 cpu_frequency,3.24155560784e-05
24.851449,24.902078,0.0506290000012,core 0 cpu_idle,0.000674251707516
24.902078,24.92463,0.0225519999985,core 0 cpu_frequency,0.014870935387
24.92463,25.001229,0.076599,core 0 cpu_idle,0.0010201071825
25.001229,25.00129,6.10000006418e-05,core 0 cpu_frequency,5.56355690854e-05
25.00129,25.055032,0.0537420000001,core 0 cpu_idle,0.000715709085001
25.055032,25.055062,2.99999992421e-05,core 0 cpu_frequency,1.97821945003e-05
25.055062,25.100564,0.0455020000009,core 0 cpu_idle,0.000605972885011
25.100564,25.100808,0.000244000000748,core 0 cpu_frequency,0.000160895186493
25.100808,25.150735,0.049927,core 0 cpu_idle,0.0006649028225
25.150735,25.151254,0.000518999999258,core 0 cpu_frequency,0.000342231973011
25.151254,25.251199,0.0999449999999,core 0 cpu_idle,0.0013310175375
25.251199,25.252236,0.001037,core 0 cpu_frequency,0.000365379690999
25.252236,25.301858,0.0496220000005,core 0 cpu_idle,0.000660840985006
25.301858,25.302102,0.000243999998929,core 0 cpu_frequency,0.000123572701458
25.302102,25.400735,0.0986330000014,core 0 cpu_idle,0.00131354497752
25.400735,25.400948,0.000212999999349,core 0 cpu_frequency,0.00014045358407
25.400948,25.45057,0.0496220000005,core 0 cpu_idle,0.000660840985006
25.45057,25.452248,0.00167799999872,core 0 cpu_frequency,0.00110648410616
25.452248,25.500588,0.0483400000012,core 0 cpu_idle,0.000643767950016
