App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 06:03:35 PM","17 sec","Trepn_2018.10.19_180334.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
33,3,26,255,32,2072021,775178,33,320000,34,0,98,1512000,21,1512000,23,1512000,27,0,21,63,23,63,26,100,32,0,
105,3,103,255,105,2573031,1276188,106,320000,106,0,198,1512000,100,1512000,101,1512000,104,1134000,99,100,101,100,103,88,105,18,
206,3,204,255,206,2776570,1479727,207,320000,208,0,298,1512000,200,1512000,202,1512000,205,1512000,200,66,202,100,204,100,206,63,
307,3,304,255,307,2783411,1486568,307,320000,308,0,399,1512000,300,1512000,302,1512000,305,1512000,300,80,302,100,304,100,306,50,
407,3,404,255,406,2010458,713615,407,320000,408,0,499,1512000,401,1512000,403,1512000,405,1512000,401,40,402,100,404,55,406,22,
507,3,505,255,506,2195146,898303,507,320000,508,0,599,1512000,502,1512000,503,1512000,505,1512000,501,45,503,100,504,36,506,63,
606,3,605,255,606,2140423,843580,607,320000,608,0,700,1512000,602,1512000,603,1512000,606,0,601,66,603,100,605,70,606,0,
711,3,709,255,710,1805249,508406,711,320000,712,0,800,1512000,704,1512000,706,1512000,710,0,703,54,705,45,708,88,710,0,
820,3,811,255,820,2119903,823060,823,320000,824,0,901,1512000,803,1512000,807,1512000,813,0,802,80,805,83,809,70,817,0,
916,3,913,255,916,2666898,1370055,916,320000,917,0,1001,1512000,903,1512000,911,1512000,914,1026000,902,100,909,90,913,91,915,60,
1008,3,1006,255,1008,2133583,836740,1008,320000,1009,0,1101,1512000,1003,1512000,1005,1512000,1006,1512000,1003,66,1004,81,1006,25,1008,63,
1109,3,1107,255,1109,1743687,446844,1110,320000,1110,0,1202,1512000,1103,1512000,1105,1512000,1108,1512000,1103,70,1105,22,1107,36,1109,50,
1210,3,1208,255,1209,710803,0,1210,320000,1211,0,1303,1512000,1205,1134000,1207,1026000,1209,0,1204,27,1206,0,1208,0,1209,0,
1309,3,1308,255,1309,877098,0,1310,320000,1311,0,1403,486000,1305,1026000,1308,0,1309,0,1305,30,1307,40,1308,0,1309,0,
1413,3,1411,255,1413,636326,0,1413,320000,1414,0,1504,918000,1407,1026000,1409,0,1412,0,1406,25,1408,22,1410,0,1412,0,
1512,3,1511,255,1512,833893,0,1513,320000,1514,0,1605,384000,1508,1026000,1510,0,1511,0,1507,41,1509,50,1510,0,1512,0,
1614,3,1613,255,1614,645964,0,1615,320000,1616,0,1705,918000,1609,1026000,1611,0,1613,0,1608,33,1611,25,1612,0,1614,0,
1714,3,1712,255,1713,837262,0,1714,320000,1715,0,1808,1026000,1709,1026000,1711,0,1713,0,1708,54,1710,40,1712,0,1713,0,
1822,3,1820,255,1822,1007170,0,1823,200000,1823,16,1907,1026000,1816,1026000,1819,0,1821,0,1814,72,1818,60,1820,0,1822,0,
1915,3,1913,255,1914,997200,0,1915,200000,1916,16,2007,384000,1910,1026000,1912,0,1914,0,1909,50,1912,28,1913,0,1914,0,
2016,3,2014,255,2016,844044,0,2017,128000,2018,16,2108,918000,2010,1026000,2013,0,2015,0,2010,25,2012,30,2013,0,2015,0,
2125,3,2121,255,2125,911340,0,2126,128000,2127,16,2209,1512000,2112,1026000,2115,0,2124,0,2111,50,2114,37,2115,0,2125,0,
2215,3,2214,255,2215,1033680,0,2215,128000,2216,16,2309,1512000,2211,1026000,2213,0,2214,0,2211,44,2213,30,2214,0,2215,0,
2316,3,2315,255,2316,1015401,0,2318,128000,2319,16,2412,384000,2312,1026000,2313,0,2315,0,2311,36,2313,40,2314,0,2316,0,
2436,3,2429,255,2436,672148,0,2438,128000,2440,16,2512,1026000,2420,384000,2426,0,2431,0,2418,20,2425,36,2427,0,2434,0,
2527,3,2526,255,2527,1026090,0,2528,128000,2529,16,2612,1026000,2516,918000,2524,0,2526,0,2514,50,2520,72,2525,0,2527,0,
2622,3,2618,255,2619,925858,0,2625,128000,2648,16,2713,1512000,2614,1026000,2616,0,2618,0,2614,33,2616,50,2617,0,2618,0,
2718,3,2717,255,2718,1462148,165305,2719,128000,2720,16,2813,1512000,2715,1026000,2717,0,2718,0,2714,80,2716,80,2717,0,2718,0,
2818,3,2817,255,2818,1044613,0,2819,128000,2819,16,2914,1512000,2815,1026000,2817,0,2818,0,2815,44,2816,33,2817,0,2818,0,
2920,3,2919,255,2919,905956,0,2920,128000,2921,16,3017,384000,2916,1026000,2918,0,2919,0,2916,20,2918,40,2918,0,2919,0,
3029,3,3027,255,3029,705844,0,3030,128000,3031,16,3117,918000,3022,1026000,3026,0,3028,0,3021,11,3025,20,3026,0,3029,0,
3126,3,3123,255,3126,941871,0,3127,128000,3128,16,3218,1026000,3120,918000,3122,0,3124,0,3119,60,3121,44,3123,0,3125,0,
3225,3,3224,255,3225,863904,0,3225,128000,3226,16,3318,384000,3220,1026000,3223,0,3224,0,3220,33,3222,33,3223,0,3225,0,
3325,3,3324,255,3325,790923,0,3326,128000,3327,16,3419,918000,3321,1026000,3323,0,3325,0,3320,25,3322,40,3324,0,3325,0,
3427,3,3425,255,3426,845712,0,3427,128000,3428,16,3519,486000,3422,1026000,3424,0,3426,0,3421,25,3424,40,3425,0,3426,0,
3536,3,3533,255,3535,763622,0,3537,128000,3539,16,3620,1026000,3524,1026000,3530,0,3533,0,3523,50,3528,22,3531,0,3534,0,
3628,3,3626,255,3627,1024255,0,3628,128000,3629,16,3720,1026000,3623,1026000,3625,0,3627,0,3622,55,3624,55,3626,0,3627,0,
3749,3,3736,255,3748,1315363,18520,3751,128000,3753,16,3821,1512000,3724,1512000,3732,0,3743,0,3722,66,3728,66,3733,0,3746,0,
3828,3,3826,255,3828,2408692,1111849,3829,128000,3829,19,3921,1512000,3823,1512000,3825,1512000,3827,1512000,3822,91,3824,88,3826,57,3828,25,
3928,3,3926,255,3928,1058870,0,3928,128000,3929,19,4022,1026000,3923,1512000,3925,1512000,3926,1512000,3923,18,3924,0,3926,10,3928,33,
4032,3,4029,255,4032,976893,0,4033,128000,4034,19,4123,384000,4025,1026000,4027,1026000,4030,1026000,4024,33,4027,20,4029,12,4032,27,
4145,3,4143,255,4145,742638,0,4146,128000,4147,19,4223,918000,4129,384000,4137,384000,4144,0,4128,40,4135,36,4141,40,4145,0,
4232,3,4231,255,4232,1112528,0,4233,128000,4234,19,4324,1026000,4226,1026000,4229,1026000,4231,0,4226,55,4228,50,4230,33,4232,0,
4333,3,4331,255,4333,856629,0,4334,128000,4335,19,4425,918000,4327,1026000,4329,1026000,4332,0,4326,22,4328,27,4331,10,4333,0,
4438,3,4432,255,4437,1062947,0,4438,128000,4441,19,4525,1026000,4427,1026000,4429,1026000,4433,0,4427,40,4429,37,4431,45,4436,0,
4535,3,4534,255,4535,914939,0,4536,128000,4537,19,4626,1026000,4529,1026000,4533,0,4534,0,4528,30,4531,45,4533,0,4535,0,
4637,3,4635,255,4637,1078935,0,4638,128000,4645,19,4726,1512000,4629,1026000,4633,0,4636,0,4628,66,4632,54,4634,0,4637,0,
4732,3,4730,255,4731,1425661,128818,4732,128000,4733,19,4827,1512000,4728,1026000,4730,0,4731,0,4728,72,4729,80,4730,0,4731,0,
4837,3,4831,255,4836,1674496,377653,4837,128000,4838,18,4927,1512000,4829,1512000,4830,0,4833,0,4828,81,4830,70,4831,0,4835,0,
4933,3,4932,255,4933,1504250,207407,4934,128000,4934,18,5030,1512000,4929,1512000,4931,0,4933,0,4929,50,4930,77,4932,0,4933,0,
5036,3,5035,255,5036,1285361,0,5036,128000,5037,18,5129,1512000,5032,1512000,5034,0,5036,0,5032,50,5033,45,5035,0,5036,0,
5149,3,5146,255,5149,1504250,207407,5153,128000,5154,18,5231,1512000,5135,1512000,5142,1512000,5148,0,5131,66,5137,60,5145,1,5149,0,
5237,3,5236,255,5237,1847825,550982,5237,128000,5238,18,5335,1512000,5233,1134000,5235,1512000,5236,0,5233,66,5234,66,5236,70,5236,0,
5349,3,5345,255,5349,1031316,0,5350,128000,5351,18,5435,1026000,5339,1026000,5341,1512000,5346,1026000,5337,22,5340,11,5345,30,5348,0,
5446,3,5443,255,5446,1430002,133159,5446,128000,5447,18,5536,1026000,5438,1026000,5440,1026000,5444,1026000,5437,54,5440,50,5442,53,5445,61,
5546,3,5543,255,5546,1043701,0,5547,128000,5547,18,5637,702000,5539,1026000,5541,1026000,5544,1026000,5538,33,5540,30,5543,12,5546,37,
5654,3,5648,255,5653,1199557,0,5655,128000,5656,18,5737,918000,5640,1026000,5644,1026000,5649,1026000,5640,55,5643,44,5647,40,5652,40,
5753,3,5749,255,5752,1251489,0,5754,128000,5755,18,5838,1026000,5741,1026000,5744,1026000,5750,1026000,5740,50,5743,33,5748,44,5752,50,
5857,3,5851,255,5857,991343,0,5858,128000,5860,56,5938,918000,5843,918000,5847,594000,5852,384000,5842,37,5846,44,5851,30,5856,44,
5952,3,5950,255,5952,1384087,87244,5953,128000,5954,56,6039,1026000,5944,1026000,5947,1026000,5951,0,5943,50,5946,50,5949,50,5952,0,
6048,3,6047,255,6048,1865652,568809,6048,128000,6049,56,6139,1026000,6041,1026000,6044,1512000,6047,0,6040,66,6044,58,6046,80,6048,0,
6150,3,6147,255,6150,2346209,1049366,6151,128000,6152,56,6239,1026000,6143,1026000,6145,1512000,6148,1512000,6142,77,6144,70,6147,66,6150,72,
6248,3,6246,255,6248,1609145,312302,6249,128000,6249,56,6340,1026000,6241,1026000,6244,1512000,6247,1512000,6241,30,6244,33,6246,45,6248,30,
6351,3,6348,255,6351,986793,0,6352,128000,6352,56,6442,1026000,6342,1026000,6346,1026000,6349,1026000,6341,22,6345,0,6348,11,6351,0,
6456,3,6454,255,6456,1374042,77199,6457,128000,6458,56,6542,1026000,6449,1026000,6452,918000,6455,0,6448,44,6451,44,6454,61,6456,0,
6556,3,6555,255,6556,1460559,163716,6557,128000,6558,56,6643,1026000,6548,1026000,6552,1026000,6556,0,6544,44,6552,58,6555,61,6556,0,
6668,3,6666,255,6668,1453270,156427,6670,128000,6671,56,6744,1026000,6646,1026000,6662,1026000,6667,0,6645,28,6654,63,6665,70,6668,0,
6758,3,6756,255,6758,1391316,94473,6759,128000,6760,56,6844,1512000,6747,1026000,6754,1026000,6757,0,6746,50,6753,44,6756,50,6758,0,
6853,3,6852,255,6853,1723465,426622,6854,128000,6854,61,6945,1026000,6846,1026000,6848,1026000,6853,0,6846,72,6848,60,6851,40,6853,0,
6959,3,6954,255,6957,1104652,0,6960,128000,6961,61,7046,1026000,6948,1026000,6950,1026000,6956,0,6947,12,6950,12,6954,33,6956,0,
7062,3,7058,255,7061,1505530,208687,7062,128000,7063,61,7146,1026000,7048,1026000,7051,1026000,7059,0,7048,63,7050,50,7057,54,7061,0,
7155,3,7152,255,7154,1484789,187946,7155,128000,7156,61,7246,1026000,7148,1026000,7150,1026000,7152,1512000,7148,28,7149,33,7151,44,7154,30,
7255,3,7252,255,7254,1274256,0,7255,128000,7257,61,7348,1026000,7248,1026000,7250,1026000,7253,1512000,7248,14,7250,12,7252,40,7254,20,
7360,3,7357,255,7360,1323313,26470,7361,128000,7363,61,7447,1026000,7350,1026000,7354,1026000,7358,0,7350,41,7353,36,7356,40,7359,0,
7454,3,7453,255,7454,1637575,340732,7455,128000,7455,61,7548,1026000,7449,1026000,7451,1512000,7453,0,7449,50,7451,50,7453,55,7454,0,
7556,3,7555,255,7556,1343613,46770,7557,128000,7557,61,7649,1026000,7550,1026000,7552,1512000,7555,0,7550,33,7552,22,7554,36,7556,0,
7658,3,7656,255,7657,1500935,204092,7658,128000,7659,61,7751,1026000,7652,1026000,7654,918000,7657,0,7651,63,7653,54,7656,58,7657,0,
7770,3,7768,255,7769,1436288,139445,7771,128000,7772,61,7850,1026000,7755,1026000,7762,1026000,7769,0,7754,54,7761,50,7767,44,7769,0,
7859,3,7858,255,7859,1618505,321662,7860,128000,7861,59,7951,1026000,7853,1026000,7855,1026000,7858,0,7852,72,7855,66,7857,60,7859,0,
7962,3,7960,255,7962,1431418,134575,7962,128000,7964,59,8051,1026000,7956,1026000,7958,1026000,7961,0,7955,55,7957,40,7960,55,7962,0,
8063,3,8062,255,8063,1376753,79910,8063,128000,8064,59,8152,1026000,8057,1026000,8059,1026000,8062,0,8054,36,8059,45,8061,54,8063,0,
8161,3,8159,255,8160,1522527,225684,8161,128000,8162,59,8254,1026000,8155,1026000,8157,1026000,8160,0,8154,60,8156,54,8159,61,8160,0,
8270,3,8266,255,8270,1358531,61688,8271,128000,8272,59,8353,1512000,8260,1026000,8263,1026000,8266,0,8259,40,8262,50,8265,40,8269,0,
8362,3,8360,255,8361,1896900,600057,8362,128000,8363,59,8454,1512000,8355,1512000,8359,1026000,8361,0,8355,50,8356,66,8360,60,8361,0,
8460,3,8459,255,8460,1540365,243522,8461,128000,8461,59,8556,1026000,8456,1512000,8458,1026000,8460,0,8456,41,8457,33,8459,41,8460,0,
8565,3,8564,255,8565,1165381,0,8565,128000,8566,59,8657,1026000,8559,1026000,8561,1026000,8564,0,8558,25,8560,22,8563,30,8565,0,
8668,3,8666,255,8667,1426582,129739,8668,128000,8669,59,8756,1026000,8660,1026000,8664,810000,8666,0,8660,60,8663,54,8665,50,8667,0,
8767,3,8766,255,8767,1504305,207462,8768,128000,8769,59,8860,1026000,8761,1026000,8764,1026000,8766,0,8760,63,8763,44,8765,63,8767,0,
8873,3,8871,255,8872,1671946,375103,8874,128000,8877,61,8960,1026000,8863,1026000,8867,1026000,8872,0,8862,72,8866,72,8870,72,8872,0,
8968,3,8966,255,8968,1645563,348720,8968,128000,8969,61,9064,384000,8962,1134000,8964,1026000,8966,1512000,8962,58,8964,50,8965,40,8968,26,
9084,3,9076,255,9083,1065231,0,9085,128000,9087,61,9164,918000,9068,486000,9072,384000,9078,486000,9067,40,9071,40,9075,36,9083,45,
9175,3,9172,255,9175,1549169,252326,9176,128000,9177,61,9265,1026000,9167,1026000,9170,1026000,9173,1026000,9166,44,9169,50,9172,55,9175,37,
9275,3,9273,255,9275,1465442,168599,9276,128000,9277,61,9366,1026000,9268,1026000,9270,1026000,9273,1026000,9267,40,9270,41,9272,53,9275,22,
9379,3,9376,255,9378,1618289,321446,9379,128000,9380,61,9467,1026000,9370,918000,9373,1026000,9376,1026000,9369,50,9372,63,9375,45,9378,50,
9477,3,9475,255,9477,1516463,219620,9478,128000,9479,61,9568,486000,9470,1026000,9472,1026000,9475,1026000,9469,45,9472,40,9474,40,9477,45,
9588,3,9584,255,9587,1383503,86660,9588,128000,9592,61,9668,918000,9572,1026000,9574,1026000,9585,1026000,9571,41,9574,30,9583,50,9587,40,
9678,3,9675,255,9677,2226197,929354,9678,128000,9679,61,9769,1026000,9671,1512000,9673,1026000,9676,1026000,9671,70,9673,90,9675,62,9677,75,
9779,3,9777,255,9779,2087517,790674,9780,128000,9781,61,9869,1026000,9772,1512000,9775,1026000,9777,1026000,9771,44,9774,100,9776,50,9779,45,
9880,3,9877,255,9880,2105739,808896,9880,128000,9881,61,9969,1026000,9873,1512000,9875,1026000,9878,1026000,9873,50,9875,100,9877,50,9879,44,
9982,3,9979,255,9982,1857923,561080,9983,128000,9983,61,10070,1026000,9974,1512000,9977,1026000,9979,1026000,9973,16,9976,100,9978,30,9981,30,
10082,3,10080,255,10082,2091162,794319,10083,128000,10084,61,10170,1026000,10075,1512000,10078,1026000,10080,1026000,10075,50,10077,100,10079,40,10082,50,
10182,3,10179,255,10181,2202180,905337,10182,128000,10183,61,10271,1026000,10173,1512000,10176,1026000,10179,1512000,10172,36,10175,45,10178,50,10181,100,
10282,3,10279,255,10282,2204422,907579,10283,128000,10284,61,10371,1026000,10273,1512000,10276,1026000,10280,1512000,10273,60,10275,40,10279,36,10282,100,
10385,3,10383,255,10385,1959965,663122,10386,128000,10386,61,10472,1026000,10374,1026000,10380,1026000,10383,1512000,10373,41,10379,41,10382,22,10385,100,
10485,3,10482,255,10485,2007341,710498,10486,128000,10486,61,10572,1026000,10474,1026000,10476,1026000,10482,1512000,10474,44,10476,33,10481,40,10484,100,
10584,3,10580,255,10583,2120316,823473,10586,128000,10587,61,10676,1026000,10575,1026000,10577,1026000,10581,1512000,10574,66,10576,54,10579,28,10583,100,
10691,3,10688,255,10690,2018943,722100,10691,128000,10692,61,10773,1512000,10679,1026000,10685,1026000,10688,1512000,10678,70,10685,60,10687,54,10690,66,
10781,3,10779,255,10781,1972806,675963,10782,200000,10782,61,10874,1512000,10775,1026000,10777,1026000,10779,1512000,10775,90,10777,45,10779,40,10781,22,
10881,3,10879,255,10881,1753366,456523,10881,200000,10882,57,10974,1026000,10876,1026000,10877,1026000,10879,1512000,10875,0,10877,58,10879,27,10881,30,
10982,3,10980,255,10982,1988685,691842,10983,200000,10984,57,11075,1026000,10976,1512000,10978,1026000,10981,0,10976,11,10978,100,10980,20,10982,0,
11081,3,11080,255,11081,1383096,86253,11082,200000,11082,57,11176,1026000,11077,1512000,11079,1026000,11080,0,11077,20,11078,12,11080,10,11081,0,
11188,3,11185,255,11188,1247280,0,11189,200000,11190,57,11276,1026000,11179,810000,11183,0,11187,0,11179,0,11182,22,11184,0,11188,0,
11285,3,11284,255,11285,1556117,259274,11286,200000,11287,57,11379,384000,11280,1026000,11283,0,11284,0,11279,50,11282,50,11283,0,11285,0,
11451,3,11449,255,11451,1577635,280792,11452,128000,11453,57,11477,1512000,11392,1026000,11440,1026000,11450,0,11385,54,11436,60,11449,33,11451,0,
11495,3,11494,255,11495,2500597,1203754,11495,128000,11496,57,11577,1512000,11486,1512000,11489,1512000,11494,0,11485,88,11487,75,11492,75,11495,0,
11584,3,11583,255,11584,1276185,0,11584,320000,11585,57,11678,1512000,11580,1512000,11581,1512000,11583,0,11579,12,11581,20,11583,27,11584,0,
11685,3,11684,255,11685,2565130,1268287,11685,320000,11686,57,11779,1026000,11680,1512000,11682,1512000,11684,0,11680,33,11682,28,11683,33,11684,0,
