App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 07:10:14 PM","17 sec","Trepn_2018.10.19_191013.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
62,3,59,255,61,2713043,1428087,62,320000,0,0,54,1512000,56,1512000,58,1512000,60,1026000,55,100,57,100,59,100,61,37,
162,3,160,255,162,2742369,1457413,162,320000,63,0,154,1512000,156,1512000,158,1512000,160,1512000,156,100,158,66,159,100,161,58,
263,3,261,255,263,2810772,1525816,264,320000,163,0,255,1512000,256,1512000,259,1512000,261,1512000,256,100,258,71,260,100,263,63,
363,3,360,255,363,2769730,1484774,363,320000,264,0,355,1512000,357,1512000,359,1512000,361,1512000,357,100,358,73,360,100,362,55,
466,3,462,255,466,2523480,1238524,466,320000,364,0,456,1512000,458,1512000,460,1512000,463,1512000,457,75,459,57,461,100,465,60,
564,3,562,255,564,1894173,609217,564,320000,467,0,556,1512000,558,1512000,560,1512000,562,1512000,558,12,560,33,561,100,564,55,
665,3,662,255,664,1996378,711422,665,320000,565,0,657,1026000,659,1026000,661,1512000,663,1512000,658,33,660,72,662,90,664,69,
769,3,766,255,769,1964362,679406,770,320000,666,0,757,1026000,760,1026000,763,1512000,767,1512000,760,60,762,70,765,81,769,60,
869,3,866,255,869,2667289,1382333,870,320000,773,0,861,1512000,863,1026000,864,1512000,867,1512000,862,100,864,77,866,100,868,72,
970,3,967,255,969,1880321,595365,970,320000,870,0,961,1512000,963,1026000,965,1512000,968,1512000,963,81,965,45,967,33,969,60,
1069,3,1067,255,1069,1386924,101968,1070,320000,971,0,1062,1512000,1064,1026000,1066,1512000,1068,1512000,1064,44,1065,41,1067,30,1069,30,
