Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.365,20.365,screen bright,16.39663537
0,20.365,20.365,wifi running,0.244864687
0,20.365,20.365,phone_scanning,9.506329051
0.0,23.735095,23.735095,core 0 cpu_idle start,0.316092127663
23.735095,24.252094,0.516998999999,core 0 cpu_idle,0.00688513418249
24.252094,24.252185,9.10000007934e-05,core 0 cpu_frequency,7.25404231325e-05
24.252185,24.30202,0.0498349999998,core 0 cpu_idle,0.000663677612497
24.30202,24.302051,3.09999995807e-05,core 0 cpu_frequency,2.04416012235e-05
24.302051,24.351917,0.0498660000003,core 0 cpu_idle,0.000664090455004
24.351917,24.351947,3.00000001516e-05,core 0 cpu_frequency,1.97821951e-05
24.351947,24.401904,0.0499570000002,core 0 cpu_idle,0.000665302347502
24.401904,24.402545,0.000640999999632,core 0 cpu_frequency,0.000422679566257
24.402545,24.651996,0.249451,core 0 cpu_idle,0.0033220636925
24.651996,24.652637,0.000641000000542,core 0 cpu_frequency,0.000422679566857
24.652637,24.752033,0.0993959999996,core 0 cpu_idle,0.00132370622999
24.752033,24.752094,6.09999997323e-05,core 0 cpu_frequency,4.02237963235e-05
24.752094,24.801959,0.049865,core 0 cpu_idle,0.000664077137499
24.801959,24.802051,9.20000002225e-05,core 0 cpu_frequency,3.24155560784e-05
24.802051,24.852191,0.0501400000003,core 0 cpu_idle,0.000667739450004
24.852191,24.882861,0.0306700000001,core 0 cpu_frequency,0.0155326834851
24.882861,24.904987,0.0221259999998,core 0 cpu_idle,0.000294663004998
24.904987,24.905017,3.00000001516e-05,core 0 cpu_frequency,2.73617551383e-05
24.905017,25.05202,0.147003,core 0 cpu_idle,0.0019577124525
25.05202,25.052051,3.09999995807e-05,core 0 cpu_frequency,2.47115721657e-05
25.052051,25.102039,0.0499879999998,core 0 cpu_idle,0.000665715189997
25.102039,25.102283,0.000244000000748,core 0 cpu_frequency,0.000160895186493
25.102283,25.151904,0.0496210000001,core 0 cpu_idle,0.000660827667502
25.151904,25.151935,3.09999995807e-05,core 0 cpu_frequency,2.04416012235e-05
25.151935,25.201923,0.0499879999998,core 0 cpu_idle,0.000665715189997
