App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 05:34:18 PM","17 sec","Trepn_2018.10.19_173417.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
53,3,50,255,53,2014437,699611,54,320000,55,0,5,1512000,41,1512000,48,1026000,50,0,40,100,44,100,49,33,53,0,
114,3,112,255,114,2578202,1263376,115,320000,116,0,106,1512000,108,1512000,109,1512000,112,0,107,100,109,100,111,100,113,0,
215,3,213,255,215,2359313,1044487,215,320000,216,0,206,1512000,208,1512000,210,1512000,213,1512000,208,71,210,55,212,100,214,42,
315,3,312,255,315,2331952,1017126,316,320000,316,0,307,1512000,309,1512000,311,1512000,314,1512000,308,33,310,50,312,81,315,100,
415,3,413,255,415,2119903,805077,416,320000,417,0,407,1512000,409,1512000,411,1512000,413,1512000,409,50,411,50,413,33,415,100,
516,3,513,255,516,2372993,1058167,516,320000,517,0,508,1512000,510,1512000,512,1512000,514,1512000,509,54,511,66,513,50,515,100,
616,3,614,255,615,1784728,469902,616,320000,617,0,608,1512000,610,1512000,612,1512000,614,1512000,610,40,611,33,613,11,615,100,
717,3,714,255,717,1394042,79216,718,320000,719,0,708,1026000,711,1026000,713,1026000,715,1512000,710,25,712,41,714,22,716,80,
831,3,826,255,830,1902906,588080,832,400000,833,0,809,1026000,813,1026000,821,1026000,827,1512000,812,72,819,70,824,80,830,83,
916,3,914,255,916,2961258,1646432,917,400000,918,0,909,1512000,911,1512000,913,1512000,915,1512000,911,90,912,88,914,88,916,90,
1017,3,1015,255,1017,2010458,695632,1018,400000,1018,0,1010,1512000,1012,1512000,1014,1512000,1016,1512000,1012,55,1013,60,1015,30,1017,72,
1117,3,1115,255,1117,927116,0,1118,400000,1118,0,1110,1134000,1112,1026000,1114,1026000,1116,1512000,1112,10,1113,20,1115,22,1117,30,
1228,3,1225,255,1228,587976,0,1229,400000,1231,0,1212,384000,1217,1026000,1224,0,1227,0,1216,25,1220,11,1225,0,1227,0,
1319,3,1318,255,1319,890457,0,1320,400000,1321,0,1312,918000,1315,1026000,1317,0,1318,0,1314,44,1316,63,1318,0,1319,0,
1436,3,1432,255,1435,575757,0,1438,400000,1440,0,1414,384000,1422,384000,1429,0,1433,0,1420,27,1427,30,1430,0,1434,0,
1522,3,1521,255,1522,941937,0,1523,400000,1524,0,1513,1026000,1517,918000,1520,0,1521,0,1516,62,1519,62,1520,0,1522,0,
1622,3,1621,255,1622,890551,0,1623,320000,1624,0,1614,1026000,1617,1026000,1620,0,1621,0,1617,60,1619,40,1620,0,1622,0,
1723,3,1721,255,1723,766643,0,1724,200000,1728,0,1715,1026000,1718,1026000,1720,0,1722,0,1717,41,1719,25,1721,0,1722,0,
1825,3,1823,255,1825,817664,0,1825,128000,1826,17,1816,1026000,1820,1026000,1822,0,1824,0,1819,66,1822,14,1823,0,1824,0,
1944,3,1935,255,1942,1146953,0,1946,128000,1954,17,1918,1026000,1922,1026000,1933,0,1938,0,1921,70,1924,72,1934,0,1942,0,
2023,3,2022,255,2022,1313484,0,2023,128000,2023,17,2018,1512000,2020,1512000,2021,0,2022,0,2019,50,2021,50,2022,0,2022,0,
2131,3,2128,255,2130,746075,0,2132,128000,2136,17,2119,1026000,2123,1026000,2126,0,2128,0,2122,10,2125,22,2127,0,2130,0,
2226,3,2225,255,2226,935581,0,2226,128000,2227,17,2219,1026000,2222,1026000,2224,0,2225,0,2221,44,2223,40,2224,0,2226,0,
2346,3,2343,255,2345,705143,0,2347,128000,2349,17,2320,486000,2330,486000,2340,0,2344,0,2324,25,2339,38,2341,0,2345,0,
2427,3,2426,255,2427,986602,0,2428,128000,2429,17,2420,1026000,2423,1026000,2425,0,2426,0,2422,54,2425,44,2426,0,2427,0,
2545,3,2543,255,2545,818775,0,2546,128000,2547,17,2522,1026000,2529,384000,2536,0,2543,0,2526,40,2535,50,2537,0,2545,0,
2628,3,2627,255,2628,924648,0,2629,128000,2631,17,2622,1026000,2624,1026000,2626,0,2627,0,2624,44,2626,37,2627,0,2628,0,
2811,3,2791,255,2811,975729,0,2819,128000,2820,18,2745,1026000,2766,918000,2781,0,2795,0,2761,53,2780,50,2789,33,2810,0,
2837,3,2830,255,2836,2783384,1468558,2837,128000,2838,18,2823,1512000,2825,1512000,2827,1512000,2834,1512000,2825,100,2827,100,2830,100,2836,14,
2932,3,2930,255,2932,1194203,0,2933,128000,2933,18,2923,1512000,2926,1134000,2928,1512000,2931,1026000,2925,30,2928,20,2930,20,2932,36,
3031,3,3029,255,3031,1016625,0,3032,128000,3032,18,3024,1512000,3026,1026000,3027,1512000,3030,1026000,3025,18,3027,10,3029,18,3031,27,
3140,3,3134,255,3140,868772,0,3141,128000,3143,18,3124,1026000,3127,1026000,3130,1026000,3135,0,3127,33,3129,11,3133,20,3139,0,
3235,3,3234,255,3235,856071,0,3236,128000,3237,18,3225,1026000,3228,384000,3232,0,3234,0,3227,50,3230,44,3233,0,3235,0,
3335,3,3334,255,3335,959881,0,3336,128000,3337,18,3328,1026000,3331,1026000,3333,0,3334,0,3330,44,3333,45,3334,0,3335,0,
3441,3,3438,255,3440,744449,0,3442,128000,3443,18,3428,1026000,3433,384000,3436,0,3439,0,3432,22,3436,33,3437,0,3440,0,
3537,3,3535,255,3537,927082,0,3538,128000,3538,18,3529,1026000,3532,1026000,3534,0,3536,0,3531,40,3534,40,3535,0,3537,0,
3645,3,3642,255,3645,817349,0,3647,128000,3648,18,3630,486000,3636,1026000,3641,0,3643,0,3634,30,3639,40,3642,0,3644,0,
3736,3,3734,255,3735,1627375,312549,3737,128000,3737,18,3730,1512000,3732,1512000,3733,0,3735,0,3732,75,3733,70,3734,0,3735,0,
3835,3,3834,255,3835,710777,0,3835,128000,3836,20,3830,1512000,3832,1512000,3834,0,3835,0,3832,0,3833,11,3834,0,3835,0,
3942,3,3940,255,3942,964750,0,3942,128000,3943,20,3933,1026000,3937,1026000,3939,0,3941,0,3936,50,3939,37,3940,0,3941,0,
4077,3,4075,255,4077,841722,0,4078,128000,4080,20,4032,486000,4036,1026000,4072,0,4075,0,4035,25,4069,45,4074,0,4076,0,
4141,3,4140,255,4141,1418060,103234,4142,128000,4142,20,4135,1512000,4137,1026000,4139,0,4141,0,4137,70,4139,80,4140,0,4141,0,
4238,3,4237,255,4238,1160713,0,4238,128000,4239,20,4233,1512000,4235,1512000,4236,0,4237,0,4234,25,4236,50,4237,0,4238,0,
4342,3,4341,255,4341,832430,0,4342,128000,4343,20,4333,1134000,4338,1026000,4340,0,4341,0,4337,33,4339,12,4340,0,4341,0,
4454,3,4452,255,4454,690366,0,4455,128000,4462,20,4435,384000,4441,384000,4448,0,4453,0,4440,12,4445,37,4449,0,4454,0,
4550,3,4542,255,4549,1150612,0,4553,128000,4554,20,4535,1026000,4538,1026000,4541,0,4545,0,4537,72,4541,66,4542,0,4547,0,
4642,3,4641,255,4642,1103015,0,4643,128000,4643,20,4635,1512000,4638,1026000,4641,0,4642,0,4637,33,4639,63,4641,0,4642,0,
4748,3,4746,255,4748,931951,0,4749,128000,4750,20,4736,1026000,4740,1026000,4745,0,4747,0,4739,45,4742,33,4746,0,4747,0,
4847,3,4845,255,4846,928307,0,4847,128000,4848,18,4838,1026000,4842,1026000,4844,0,4846,0,4841,33,4844,44,4845,0,4846,0,
4952,3,4950,255,4951,740644,0,4952,128000,4953,18,4940,1026000,4944,384000,4948,0,4951,0,4943,20,4947,37,4949,0,4951,0,
5047,3,5046,255,5047,1094722,0,5048,128000,5048,18,5040,1026000,5043,1026000,5045,0,5046,0,5042,63,5044,63,5045,0,5047,0,
5156,3,5154,255,5156,890638,0,5157,128000,5159,18,5141,1026000,5150,1026000,5153,0,5154,0,5149,37,5152,33,5153,0,5155,0,
5246,3,5245,255,5246,1165261,0,5246,128000,5247,18,5241,1512000,5243,1026000,5244,0,5245,0,5242,54,5244,44,5245,0,5246,0,
5348,3,5347,255,5348,884417,0,5348,128000,5349,18,5341,1512000,5344,1026000,5346,0,5347,0,5343,22,5345,27,5347,0,5348,0,
5448,3,5447,255,5448,986516,0,5448,128000,5449,18,5441,1512000,5444,1026000,5446,0,5447,0,5443,30,5445,40,5446,0,5447,0,
5558,3,5557,255,5558,934370,0,5559,128000,5559,18,5546,1026000,5553,1026000,5556,0,5557,0,5552,41,5555,41,5556,0,5558,0,
5655,3,5653,255,5655,1025479,0,5656,128000,5657,18,5646,1026000,5649,1026000,5652,0,5654,0,5648,50,5651,57,5653,0,5655,0,
5757,3,5755,255,5757,934370,0,5757,128000,5758,18,5746,1026000,5752,1026000,5754,0,5756,0,5751,42,5754,40,5755,0,5756,0,
5876,3,5859,255,5874,715813,0,5878,128000,5882,18,5848,486000,5853,384000,5857,0,5859,0,5852,40,5856,37,5858,0,5860,0,
5961,3,5960,255,5961,1165647,0,5962,128000,5963,18,5948,1026000,5952,918000,5957,0,5961,0,5951,90,5957,66,5960,0,5961,0,
6070,3,6062,255,6068,1286478,0,6073,128000,6077,18,6048,1512000,6054,1026000,6058,0,6067,0,6050,60,6055,66,6059,0,6068,0,
6155,3,6154,255,6154,1688938,374112,6155,128000,6156,18,6149,1512000,6151,1512000,6153,0,6154,0,6150,77,6152,77,6153,0,6154,0,
6256,3,6254,255,6255,772339,0,6256,128000,6257,18,6249,1512000,6251,1512000,6253,0,6255,0,6251,0,6253,20,6254,0,6255,0,
6362,3,6359,255,6361,981747,0,6363,128000,6364,18,6350,1026000,6353,1026000,6358,0,6360,0,6353,50,6357,45,6359,0,6361,0,
6468,3,6461,255,6468,995373,0,6469,128000,6471,18,6451,918000,6456,1026000,6459,0,6462,0,6455,58,6458,50,6460,0,6464,0,
6564,3,6562,255,6563,1105655,0,6564,128000,6565,18,6551,1026000,6559,1026000,6561,0,6563,0,6554,60,6561,69,6562,0,6563,0,
6662,3,6659,255,6661,823071,0,6664,128000,6665,18,6652,702000,6655,1026000,6658,0,6660,0,6654,33,6657,33,6659,0,6661,0,
6763,3,6762,255,6763,1442687,127861,6763,128000,6764,18,6752,1512000,6756,1512000,6761,0,6762,0,6755,55,6760,63,6761,0,6763,0,
6858,3,6857,255,6858,991228,0,6859,128000,6859,19,6852,1512000,6855,1512000,6856,0,6857,0,6854,12,6856,40,6857,0,6858,0,
6965,3,6963,255,6965,814566,0,6967,128000,6968,19,6953,1026000,6958,594000,6961,0,6964,0,6956,33,6961,33,6962,0,6965,0,
7068,3,7060,255,7067,1035203,0,7070,128000,7072,19,7054,1026000,7057,1026000,7059,0,7061,0,7056,50,7059,58,7060,0,7064,0,
7159,3,7158,255,7159,1218268,0,7160,128000,7160,19,7154,1512000,7156,1026000,7158,0,7159,0,7156,55,7157,55,7158,0,7159,0,
7262,3,7261,255,7262,947518,0,7263,128000,7264,19,7255,1512000,7258,1026000,7260,0,7261,0,7257,33,7259,22,7261,0,7262,0,
7361,3,7360,255,7361,1054567,0,7362,128000,7363,19,7355,1134000,7357,1026000,7359,0,7360,0,7357,54,7359,50,7360,0,7361,0,
7468,3,7464,255,7468,917863,0,7469,128000,7470,19,7457,1134000,7461,918000,7463,0,7465,0,7461,41,7463,33,7464,0,7468,0,
7574,3,7572,255,7574,785780,0,7575,128000,7577,19,7558,384000,7564,1026000,7569,0,7573,0,7563,40,7568,30,7570,0,7574,0,
7666,3,7665,255,7666,1811302,496476,7667,128000,7668,19,7660,1512000,7662,1512000,7664,0,7665,0,7661,100,7663,71,7664,0,7666,0,
7765,3,7764,255,7765,1674496,359670,7766,128000,7766,19,7760,1512000,7762,1512000,7764,0,7765,0,7762,61,7763,90,7764,0,7765,0,
7866,3,7865,255,7865,1496649,181823,7866,128000,7867,20,7861,1512000,7862,1512000,7864,0,7865,0,7862,25,7864,100,7864,0,7865,0,
7985,3,7978,255,7985,1492072,177246,7988,128000,7990,20,7962,1026000,7967,1512000,7975,0,7980,0,7964,44,7973,100,7976,0,7985,0,
8068,3,8067,255,8068,1742138,427312,8069,128000,8069,20,8062,1512000,8064,1512000,8066,0,8067,0,8063,60,8065,100,8066,0,8068,0,
8168,3,8166,255,8167,1721617,406791,8170,128000,8174,20,8162,1512000,8164,1512000,8165,0,8166,0,8163,85,8165,72,8166,0,8166,0,
8276,3,8274,255,8275,2631375,1316549,8276,128000,8277,20,8263,1512000,8265,1512000,8268,1512000,8275,0,8265,90,8267,100,8269,100,8275,0,
8369,3,8368,255,8369,2309881,995055,8369,128000,8370,20,8363,1512000,8365,1512000,8366,1512000,8368,0,8364,63,8366,90,8368,90,8369,0,
8470,3,8469,255,8470,1707936,393110,8471,128000,8475,20,8464,1512000,8466,1512000,8467,1512000,8469,0,8465,14,8467,41,8468,100,8469,0,
8572,3,8571,255,8572,1583181,268355,8572,128000,8574,20,8564,1026000,8566,1026000,8568,1512000,8571,0,8566,36,8568,33,8570,100,8572,0,
8672,3,8670,255,8671,1346909,32083,8672,128000,8673,20,8665,1026000,8667,1026000,8668,1512000,8671,0,8666,33,8668,50,8670,58,8671,0,
8774,3,8772,255,8773,887597,0,8775,128000,8776,20,8765,1026000,8768,1026000,8770,594000,8773,0,8767,27,8770,27,8772,27,8773,0,
