Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.554,20.554,screen bright,16.548806452
0,20.554,20.554,wifi running,0.2471371852
0,20.554,20.554,phone_scanning,9.5945537596
0.0,24.118153,24.118153,core 0 cpu_idle start,0.321193502578
24.118153,24.593983,0.475829999999,core 0 cpu_idle,0.00633686602499
24.593983,24.594013,3.00000010611e-05,core 0 cpu_frequency,1.97821956997e-05
24.594013,24.651112,0.0570989999997,core 0 cpu_idle,0.000760415932495
24.651112,24.663685,0.012573,core 0 cpu_frequency,0.00443000853899
24.663685,24.691242,0.0275569999994,core 0 cpu_idle,0.000366990347492
24.691242,24.691731,0.000489000000016,core 0 cpu_frequency,0.000247651849508
24.691731,24.742329,0.0505979999998,core 0 cpu_idle,0.000673838864997
24.742329,24.742512,0.000183000000106,core 0 cpu_frequency,0.00012067138957
24.742512,24.841358,0.0988460000008,core 0 cpu_idle,0.00131638160501
24.841358,24.841419,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
24.841419,24.891621,0.0502020000004,core 0 cpu_idle,0.000668565135005
24.891621,24.891712,9.09999998839e-05,core 0 cpu_frequency,3.20632129591e-05
24.891712,24.942066,0.0503540000009,core 0 cpu_idle,0.000670589395012
24.942066,24.942158,9.20000002225e-05,core 0 cpu_frequency,4.65929861127e-05
24.942158,25.041035,0.0988770000004,core 0 cpu_idle,0.0013167944475
25.041035,25.041096,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
25.041096,25.091633,0.050537000001,core 0 cpu_idle,0.000673026497513
25.091633,25.091725,9.20000002225e-05,core 0 cpu_frequency,3.24155560784e-05
25.091725,25.141255,0.0495299999984,core 0 cpu_idle,0.000659615774979
25.141255,25.144306,0.00305100000151,core 0 cpu_frequency,0.00154516522126
25.144306,25.344044,0.199737999999,core 0 cpu_idle,0.00266001081499
25.344044,25.344075,3.09999995807e-05,core 0 cpu_frequency,2.82738131175e-05
25.344075,25.394917,0.0508420000006,core 0 cpu_idle,0.000677088335007
25.394917,25.394978,6.10000006418e-05,core 0 cpu_frequency,2.81775472965e-05
25.394978,25.44109,0.046112,core 0 cpu_idle,0.00061409656
25.44109,25.441944,0.00085399999989,core 0 cpu_frequency,0.000432504456944
25.441944,25.491108,0.049164,core 0 cpu_idle,0.00065474157
25.491108,25.491719,0.000610999999481,core 0 cpu_frequency,0.000402897371157
25.491719,25.541279,0.0495599999995,core 0 cpu_idle,0.000660015299993
25.541279,25.541401,0.000121999999465,core 0 cpu_frequency,4.29858458114e-05
25.541401,25.642353,0.100952000001,core 0 cpu_idle,0.00134442826001
