App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 05:52:30 PM","17 sec","Trepn_2018.10.19_175229.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
27,3,19,255,27,2796863,1647151,28,320000,30,0,13,1512000,15,1512000,17,1512000,22,1026000,15,100,17,100,19,100,24,60,
122,3,120,255,122,2844973,1695261,122,320000,123,0,114,1512000,116,1512000,117,1512000,120,1512000,115,88,117,88,119,63,121,100,
222,3,219,255,222,2482438,1332726,223,320000,223,0,214,1512000,216,1512000,218,1512000,220,1512000,216,100,217,58,219,28,222,100,
323,3,320,255,322,2749209,1599497,323,320000,323,0,315,1512000,316,1512000,318,1512000,321,1512000,316,100,318,70,320,55,322,100,
423,3,421,255,423,2119903,970191,424,320000,424,0,415,1512000,417,1512000,419,1512000,421,1512000,417,60,418,33,420,40,423,100,
525,3,521,255,525,1784728,635016,526,320000,527,0,515,1512000,517,1512000,520,1512000,522,1512000,517,27,519,30,521,27,524,100,
625,3,623,255,625,1869772,720060,626,320000,627,0,616,1026000,619,1026000,621,1026000,624,1512000,618,55,621,66,623,60,625,100,
726,3,724,255,726,1229206,79494,727,320000,728,0,716,1026000,719,1026000,721,1026000,724,1512000,718,12,721,12,723,0,726,90,
829,3,825,255,829,1697868,548156,830,320000,831,0,817,1026000,820,1026000,822,1026000,826,1512000,819,63,821,54,824,60,829,77,
933,3,929,255,933,1962560,812848,934,320000,935,0,918,1026000,921,1026000,924,1026000,929,1512000,920,91,923,81,928,72,933,80,
1024,3,1022,255,1024,2325111,1175399,1024,320000,1025,0,1018,1512000,1020,1512000,1021,1512000,1023,1512000,1019,55,1021,75,1022,62,1024,71,
1125,3,1123,255,1125,1675284,525572,1126,320000,1126,0,1118,1512000,1120,1512000,1122,1512000,1124,1512000,1120,22,1121,55,1123,46,1125,45,
1226,3,1225,255,1226,1002074,0,1227,320000,1227,0,1219,1512000,1222,1512000,1224,1026000,1226,0,1222,22,1223,30,1225,33,1226,0,
1327,3,1325,255,1326,662921,0,1327,320000,1328,0,1319,1512000,1321,1512000,1323,1026000,1326,0,1321,20,1323,0,1325,0,1326,0,
1429,3,1428,255,1429,919706,0,1430,320000,1431,0,1420,1026000,1423,1026000,1426,1026000,1428,0,1422,45,1425,33,1427,30,1429,0,
1529,3,1528,255,1529,700562,0,1530,320000,1531,0,1520,384000,1523,1026000,1525,1026000,1528,0,1523,12,1525,18,1527,27,1529,0,
1633,3,1632,255,1633,762998,0,1634,320000,1635,0,1624,1026000,1628,1026000,1631,0,1632,0,1627,25,1630,40,1631,0,1633,0,
1740,3,1737,255,1740,710370,0,1741,320000,1741,0,1724,1026000,1730,384000,1735,0,1739,0,1728,41,1734,40,1736,0,1739,0,
1831,3,1830,255,1831,1355299,205587,1831,200000,1832,17,1825,1026000,1827,1512000,1829,0,1830,0,1827,83,1829,77,1829,0,1831,0,
1934,3,1932,255,1933,1376124,226412,1934,200000,1935,17,1925,1026000,1929,1512000,1931,0,1933,0,1928,38,1931,75,1932,0,1933,0,
2031,3,2030,255,2031,1057321,0,2031,128000,2032,17,2025,1026000,2027,1512000,2029,0,2030,0,2026,50,2029,22,2029,0,2030,0,
2131,3,2130,255,2131,928072,0,2131,128000,2132,17,2126,1026000,2128,1512000,2129,0,2130,0,2127,20,2129,33,2130,0,2131,0,
2246,3,2241,255,2245,688703,0,2247,128000,2249,17,2226,384000,2234,1026000,2239,0,2243,0,2233,22,2238,11,2240,0,2244,0,
2337,3,2335,255,2337,1032016,0,2338,128000,2340,17,2327,918000,2331,1026000,2333,0,2336,0,2330,66,2333,55,2334,0,2336,0,
2439,3,2437,255,2438,852097,0,2439,128000,2440,17,2428,918000,2433,1026000,2436,0,2437,0,2432,37,2435,30,2436,0,2438,0,
2539,3,2536,255,2538,799843,0,2540,128000,2541,17,2529,384000,2532,1026000,2535,0,2537,0,2531,45,2534,36,2536,0,2538,0,
2640,3,2639,255,2640,912734,0,2641,128000,2642,17,2629,918000,2634,1026000,2637,0,2639,0,2632,33,2637,50,2638,0,2640,0,
2742,3,2741,255,2742,767526,0,2743,128000,2744,17,2730,384000,2736,1026000,2739,0,2741,0,2735,33,2738,30,2740,0,2742,0,
2842,3,2840,255,2841,1044818,0,2842,128000,2843,17,2831,918000,2836,1026000,2839,0,2841,0,2835,44,2839,77,2840,0,2841,0,
2945,3,2941,255,2944,822606,0,2951,128000,2952,17,2931,1026000,2936,1026000,2938,0,2941,0,2934,33,2938,20,2940,0,2943,0,
3054,3,3052,255,3053,1172464,22752,3054,128000,3062,17,3032,1026000,3036,1026000,3051,0,3053,0,3035,66,3051,83,3052,0,3053,0,
3140,3,3137,255,3140,1840186,690474,3140,128000,3141,17,3132,1512000,3134,1512000,3136,1512000,3138,1512000,3134,58,3135,55,3137,35,3139,29,
3241,3,3239,255,3241,866973,0,3242,128000,3242,17,3233,1134000,3235,1512000,3237,1026000,3239,1026000,3234,30,3236,0,3238,20,3241,10,
3343,3,3341,255,3343,887030,0,3344,128000,3345,17,3333,1026000,3335,1512000,3340,0,3342,0,3335,20,3338,27,3341,0,3343,0,
3446,3,3444,255,3446,749304,0,3447,128000,3448,17,3434,1026000,3439,384000,3442,0,3445,0,3438,25,3441,33,3443,0,3445,0,
3543,3,3541,255,3542,939561,0,3543,128000,3545,17,3534,918000,3537,1026000,3540,0,3542,0,3537,37,3539,54,3541,0,3542,0,
3645,3,3644,255,3645,782518,0,3646,128000,3647,17,3635,1026000,3640,1026000,3643,0,3644,0,3638,22,3642,20,3643,0,3645,0,
3745,3,3743,255,3745,958242,0,3746,128000,3747,17,3735,1026000,3738,918000,3741,0,3744,0,3738,44,3740,55,3742,0,3744,0,
3849,3,3843,255,3849,855405,0,3850,128000,3851,17,3836,1026000,3839,1026000,3842,0,3847,0,3839,25,3841,37,3843,0,3848,0,
3945,3,3943,255,3944,1187889,38177,3945,128000,3946,20,3937,1512000,3939,1026000,3941,0,3944,0,3939,55,3940,50,3941,0,3944,0,
4043,3,4042,255,4042,938962,0,4043,128000,4045,20,4037,1512000,4039,1026000,4041,0,4042,0,4038,25,4040,33,4041,0,4042,0,
4144,3,4143,255,4144,1130882,0,4149,128000,4150,20,4137,1512000,4140,1026000,4142,0,4143,0,4139,44,4141,50,4142,0,4143,0,
4245,3,4243,255,4244,1244925,95213,4245,128000,4246,20,4238,1026000,4240,1512000,4242,0,4244,0,4239,40,4241,66,4243,0,4244,0,
4343,3,4342,255,4343,1109970,0,4344,128000,4344,20,4338,1026000,4340,1512000,4342,0,4343,0,4340,33,4341,50,4342,0,4343,0,
4443,3,4442,255,4443,687779,0,4444,128000,4444,20,4439,1026000,4440,1512000,4442,0,4443,0,4440,11,4441,0,4442,0,4443,0,
4549,3,4548,255,4549,974118,0,4550,128000,4550,20,4541,1026000,4544,1512000,4546,0,4548,0,4544,22,4546,36,4547,0,4549,0,
4650,3,4649,255,4650,934920,0,4651,128000,4652,20,4642,1026000,4645,918000,4647,0,4649,0,4644,41,4646,45,4648,0,4650,0,
4752,3,4750,255,4751,972039,0,4752,128000,4753,20,4742,1026000,4746,1026000,4748,1026000,4751,0,4745,50,4748,33,4750,6,4751,0,
4861,3,4856,255,4860,772130,0,4862,128000,4863,20,4844,918000,4849,486000,4852,384000,4858,0,4847,22,4851,33,4856,20,4859,0,
4954,3,4952,255,4954,1037637,0,4954,128000,4955,19,4944,1026000,4948,1026000,4950,1026000,4953,0,4947,41,4950,33,4952,33,4953,0,
5061,3,5058,255,5060,751971,0,5063,128000,5064,19,5045,1026000,5050,486000,5054,918000,5059,0,5049,11,5053,33,5057,10,5060,0,
5155,3,5154,255,5155,1027914,0,5156,128000,5157,19,5146,1026000,5149,1026000,5152,1026000,5154,0,5149,50,5151,36,5153,20,5155,0,
5269,3,5265,255,5269,731892,0,5271,128000,5272,19,5247,486000,5252,384000,5260,384000,5266,0,5250,36,5259,27,5264,27,5268,0,
5357,3,5355,255,5357,1042491,0,5357,128000,5358,19,5347,1026000,5351,1026000,5353,1026000,5356,0,5350,33,5353,33,5355,44,5356,0,
5472,3,5469,255,5472,725220,0,5473,128000,5475,19,5449,384000,5455,384000,5462,384000,5470,0,5454,36,5460,33,5467,27,5471,0,
5558,3,5557,255,5558,1159170,9458,5559,128000,5560,19,5549,1026000,5552,918000,5555,1026000,5557,0,5552,50,5554,50,5556,50,5558,0,
