App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 05:23:09 PM","17 sec","Trepn_2018.10.19_172307.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
13,3,61,255,13,2270389,1062953,14,320000,15,0,56,1512000,58,1512000,60,1512000,8,0,58,100,59,100,61,100,13,0,
64,3,161,255,63,2672955,1465519,64,320000,65,0,156,1512000,158,1512000,160,1512000,62,1026000,158,100,159,100,161,55,63,26,
163,3,262,255,163,2461917,1254481,164,320000,164,0,257,1512000,259,1512000,260,1512000,162,1512000,258,100,260,100,262,25,163,28,
264,3,363,255,264,2366153,1158717,265,320000,265,0,357,1512000,359,1512000,361,1512000,262,1512000,359,90,360,100,362,66,264,44,
364,3,463,255,364,2619244,1411808,365,320000,365,0,458,1512000,460,1512000,461,1512000,363,1512000,459,22,461,100,462,12,364,50,
465,3,565,255,465,1894173,686737,465,320000,466,0,558,1512000,561,1512000,563,1512000,463,1512000,560,20,562,100,564,25,464,66,
566,3,664,255,566,1928375,720939,567,320000,568,0,659,1026000,660,1512000,662,1026000,565,1512000,660,33,662,42,664,30,566,60,
667,3,773,255,666,1658628,451192,667,320000,668,0,760,1026000,764,1512000,770,1026000,665,1512000,761,77,768,72,772,81,666,90,
779,3,867,255,779,2107445,900009,781,320000,782,0,860,1512000,862,1512000,864,1512000,776,1512000,862,70,864,75,866,90,778,75,
869,3,966,255,869,2660285,1452849,870,400000,870,0,961,1512000,962,1512000,964,1512000,867,1512000,962,70,964,50,966,63,869,77,
968,3,1066,255,968,2188305,980869,968,400000,969,0,1061,1512000,1063,1512000,1065,1512000,966,1512000,1063,50,1064,33,1066,33,968,60,
1068,3,1166,255,1068,1695805,488369,1068,400000,1069,0,1161,1512000,1163,1512000,1165,1512000,1067,1512000,1163,12,1164,10,1166,10,1068,55,
1167,3,1278,255,1167,745005,0,1167,400000,1168,0,1262,702000,1270,1026000,1276,0,1166,0,1265,25,1275,36,1277,0,1167,0,
1281,3,1369,255,1281,708277,0,1282,400000,1283,0,1363,918000,1366,1026000,1368,0,1279,0,1365,58,1367,37,1368,0,1280,0,
1370,3,1477,255,1370,838579,0,1371,400000,1372,0,1464,384000,1471,1026000,1474,0,1369,0,1470,22,1473,20,1476,0,1370,0,
1478,3,1572,255,1478,618163,0,1479,400000,1480,0,1564,918000,1569,1026000,1571,0,1477,0,1569,58,1571,50,1572,0,1478,0,
1574,3,1700,255,1573,885955,0,1574,320000,1575,0,1672,384000,1697,1512000,1699,0,1573,0,1695,36,1698,50,1699,0,1573,0,
1702,3,1772,255,1701,899483,0,1703,200000,1704,16,1766,1512000,1768,1512000,1770,1026000,1700,0,1767,87,1769,75,1771,75,1701,0,
1773,3,1871,255,1772,2094394,886958,1773,200000,1774,16,1866,1512000,1868,1512000,1869,1512000,1772,0,1867,60,1869,54,1871,61,1772,0,
1872,3,1972,255,1872,1909991,702555,1872,128000,1873,16,1966,1512000,1968,1512000,1970,1512000,1871,0,1968,0,1970,20,1971,10,1872,0,
1973,3,2073,255,1973,828585,0,1973,128000,1974,16,2067,1512000,2069,1026000,2071,1026000,1972,0,2069,22,2071,38,2072,10,1972,0,
2074,3,2173,255,2074,948792,0,2074,128000,2075,16,2167,1512000,2170,1026000,2172,0,2073,0,2169,27,2171,22,2173,0,2073,0,
2174,3,2287,255,2174,888240,0,2175,128000,2175,16,2270,384000,2277,384000,2285,0,2173,0,2275,11,2284,30,2286,0,2174,0,
2296,3,2335,255,2296,659084,0,2297,128000,2299,16,2320,918000,2326,384000,2332,0,2289,0,2325,80,2330,66,2334,0,2295,0,
2340,3,2428,255,2339,925853,0,2341,128000,2345,16,2420,1026000,2423,1026000,2425,1026000,2336,0,2422,50,2425,45,2427,45,2338,0,
2429,3,2528,255,2429,1133586,0,2430,128000,2430,16,2520,1026000,2523,1026000,2526,1026000,2428,0,2523,36,2525,33,2527,46,2429,0,
