Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.314,20.314,screen bright,16.355573332
0,20.314,20.314,wifi running,0.2442514732
0,20.314,20.314,phone_scanning,9.4825223836
0.0,23.558664,23.558664,core 0 cpu_idle start,0.31374250782
23.558664,24.01417,0.455505999998,core 0 cpu_idle,0.00606620115498
24.01417,24.0142,3.00000010611e-05,core 0 cpu_frequency,1.97821956997e-05
24.0142,24.06373,0.0495300000002,core 0 cpu_idle,0.000659615775003
24.06373,24.064463,0.000732999998945,core 0 cpu_frequency,0.000483344963804
24.064463,24.11381,0.0493470000001,core 0 cpu_idle,0.000657178672502
24.11381,24.120127,0.00631700000122,core 0 cpu_frequency,0.0041654708613
24.120127,24.263651,0.143523999999,core 0 cpu_idle,0.00191138086999
24.263651,24.264322,0.000670999999784,core 0 cpu_frequency,0.000442461761357
24.264322,24.313639,0.0493170000009,core 0 cpu_idle,0.000656779147512
24.313639,24.314219,0.0005799999999,core 0 cpu_frequency,0.000382455769934
24.314219,24.473642,0.159422999999,core 0 cpu_idle,0.00212311580249
24.473642,24.473673,3.09999995807e-05,core 0 cpu_frequency,2.04416012235e-05
24.473673,24.51362,0.0399470000011,core 0 cpu_idle,0.000531994172515
24.51362,24.513834,0.000213999999687,core 0 cpu_frequency,0.000141112990794
24.513834,24.666758,0.152924,core 0 cpu_idle,0.00203656537
24.666758,24.671854,0.00509600000078,core 0 cpu_frequency,0.00464785011671
24.671854,25.013712,0.341858,core 0 cpu_idle,0.004552693915
25.013712,25.016214,0.00250199999937,core 0 cpu_frequency,0.00164983506258
25.016214,25.114359,0.0981449999999,core 0 cpu_idle,0.0013070460375
25.114359,25.114634,0.000275000000329,core 0 cpu_frequency,9.68943251159e-05
25.114634,25.164072,0.049438,core 0 cpu_idle,0.000658390565
25.164072,25.170084,0.00601199999983,core 0 cpu_frequency,0.00304475034591
25.170084,25.314554,0.144469999999,core 0 cpu_idle,0.00192397922499
25.314554,25.314615,6.10000006418e-05,core 0 cpu_frequency,4.02237969232e-05
25.314615,25.364145,0.0495300000002,core 0 cpu_idle,0.000659615775003
25.364145,25.36442,0.000275000000329,core 0 cpu_frequency,0.000181336787717
25.36442,25.414072,0.0496519999997,core 0 cpu_idle,0.000661240509996
25.414072,25.415934,0.00186199999916,core 0 cpu_frequency,0.000656062665706
25.415934,25.465128,0.0491940000011,core 0 cpu_idle,0.000655141095014
25.465128,25.468912,0.00378399999863,core 0 cpu_frequency,0.00191638977131
25.468912,25.516916,0.0480040000002,core 0 cpu_idle,0.000639293270003
25.516916,25.521341,0.00442500000099,core 0 cpu_frequency,0.00403585886341
