App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 06:34:53 PM","17 sec","Trepn_2018.10.19_183452.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
43,3,41,255,42,2222507,831088,43,320000,44,0,13,1512000,37,1512000,39,1512000,41,0,36,100,38,100,41,48,42,0,
124,3,120,255,123,2578202,1186783,126,320000,128,0,113,1512000,115,1512000,118,1512000,121,0,114,100,116,100,120,100,122,0,
233,3,228,255,233,2933897,1542478,234,320000,235,0,214,1512000,216,1512000,225,1512000,229,1512000,215,100,224,100,228,100,232,52,
322,3,320,255,322,3015980,1624561,323,320000,323,0,314,1512000,316,1512000,317,1512000,320,1512000,315,83,317,100,319,100,322,81,
421,3,420,255,421,2133583,742164,422,320000,422,0,414,1512000,416,1512000,418,1512000,420,1512000,416,33,418,36,419,100,421,66,
524,3,521,255,523,2290910,899491,524,320000,525,0,515,1512000,517,1512000,519,1512000,522,1512000,516,50,518,100,520,45,523,63,
622,3,620,255,622,2263549,872130,623,320000,623,0,615,1512000,617,1512000,619,1512000,621,1512000,617,50,618,81,620,81,622,42,
724,3,722,255,724,1702645,311226,724,320000,725,0,716,1512000,718,1512000,720,1512000,722,1512000,718,22,719,30,721,83,723,37,
826,3,824,255,826,2701327,1309908,827,400000,829,0,816,1512000,818,1512000,820,1512000,824,1512000,818,80,820,88,824,75,826,75,
923,3,922,255,923,2564521,1173102,924,400000,924,0,917,1512000,919,1512000,920,1512000,922,1512000,918,72,920,66,921,70,923,90,
1025,3,1023,255,1025,1853131,461712,1025,400000,1026,0,1017,1512000,1019,1512000,1021,1512000,1023,1512000,1019,62,1021,22,1022,50,1024,60,
1125,3,1123,255,1124,1073339,0,1125,400000,1125,0,1118,1512000,1120,1512000,1121,1512000,1123,1512000,1119,22,1121,22,1123,25,1124,11,
1225,3,1223,255,1225,1045977,0,1226,400000,1226,0,1218,1512000,1220,1512000,1222,1512000,1224,1512000,1220,25,1222,33,1223,0,1225,18,
1329,3,1326,255,1329,733844,0,1330,400000,1331,0,1319,1026000,1322,1026000,1324,0,1327,0,1321,30,1324,27,1325,0,1328,0,
1428,3,1426,255,1428,868685,0,1429,320000,1430,0,1420,1026000,1423,1026000,1425,0,1427,0,1422,44,1425,50,1426,0,1428,0,
1532,3,1530,255,1532,766643,0,1533,200000,1534,0,1521,1026000,1524,1026000,1527,0,1530,0,1524,30,1527,36,1529,0,1531,0,
1630,3,1628,255,1630,806731,0,1631,200000,1631,0,1622,1026000,1625,1026000,1627,0,1629,0,1624,37,1626,40,1627,0,1629,0,
1744,3,1743,255,1744,678603,0,1745,128000,1746,19,1723,384000,1731,1026000,1739,0,1743,0,1729,37,1738,33,1742,0,1744,0,
1833,3,1830,255,1832,865294,0,1833,128000,1834,19,1823,918000,1826,1026000,1829,0,1831,0,1826,54,1829,16,1830,0,1832,0,
1959,3,1949,255,1957,721386,0,1961,128000,1965,19,1924,1026000,1932,486000,1942,0,1953,0,1928,12,1936,30,1946,0,1956,0,
2029,3,2028,255,2029,1804461,413042,2029,128000,2030,19,2024,1512000,2026,1512000,2028,0,2028,0,2026,90,2027,80,2028,0,2029,0,
2133,3,2131,255,2133,901543,0,2134,128000,2134,19,2125,1512000,2127,1512000,2130,0,2132,0,2126,18,2129,20,2130,0,2133,0,
2232,3,2231,255,2232,1140954,0,2233,128000,2233,19,2225,1512000,2227,1512000,2230,0,2231,0,2227,33,2229,40,2231,0,2232,0,
2337,3,2336,255,2337,888753,0,2338,128000,2339,19,2327,1026000,2331,918000,2335,0,2336,0,2330,30,2334,45,2336,0,2337,0,
