App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 06:38:56 PM","17 sec","Trepn_2018.10.19_183855.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
82,3,63,255,81,2734909,1390232,83,320000,86,0,57,1512000,59,1512000,61,1512000,64,1026000,58,100,60,100,62,100,80,43,
191,3,168,255,191,2920216,1575539,192,320000,192,0,158,1512000,165,1512000,167,1512000,169,1512000,164,88,166,62,168,100,191,100,
266,3,264,255,266,2605563,1260886,266,320000,267,0,258,1512000,261,1512000,262,1512000,264,1512000,260,66,262,50,264,100,266,88,
366,3,364,255,366,2106222,761545,366,320000,367,0,359,1512000,360,1512000,362,1512000,364,1512000,360,44,362,33,363,100,365,54,
466,3,465,255,466,1853131,508454,466,320000,467,0,459,1512000,462,1512000,463,1512000,465,0,461,50,463,44,464,100,466,0,
567,3,566,255,567,1983097,638420,567,320000,568,0,560,1512000,562,1512000,563,1512000,566,0,561,50,563,63,565,100,567,0,
666,3,665,255,666,1791569,446892,667,320000,667,0,660,1512000,662,1512000,664,1512000,666,0,661,100,663,25,665,60,666,0,
772,3,770,255,772,2591882,1247205,773,320000,774,0,760,1512000,767,1512000,769,1512000,771,1512000,766,83,768,76,770,72,772,71,
872,3,869,255,872,2605563,1260886,872,320000,873,0,861,1512000,863,1512000,865,1512000,870,1512000,862,62,864,90,868,71,871,81,
969,3,967,255,969,1873652,528975,970,400000,970,0,961,1512000,963,1512000,965,1512000,968,1512000,963,28,964,14,967,55,969,100,
1069,3,1067,255,1069,1733327,388650,1070,400000,1070,0,1062,1512000,1064,1512000,1065,1512000,1068,1134000,1063,50,1065,66,1067,33,1069,44,
1169,3,1168,255,1169,826917,0,1170,400000,1170,0,1163,1026000,1165,1512000,1167,1026000,1169,0,1165,27,1166,20,1168,18,1169,0,
1270,3,1269,255,1270,762216,0,1270,400000,1271,0,1264,1026000,1266,1512000,1267,1026000,1269,0,1265,11,1267,18,1269,20,1270,0,
1380,3,1378,255,1380,569272,0,1381,400000,1383,0,1365,486000,1371,384000,1376,0,1379,0,1370,12,1375,33,1377,0,1380,0,
1477,3,1475,255,1476,974371,0,1477,320000,1478,0,1466,1026000,1470,1026000,1474,0,1476,0,1469,60,1473,63,1475,0,1476,0,
1578,3,1576,255,1578,679178,0,1579,320000,1581,0,1567,1026000,1571,1026000,1574,0,1577,0,1570,22,1573,20,1576,0,1578,0,
1627,3,1625,255,1626,948860,0,1628,200000,1628,0,1617,1026000,1621,1026000,1624,0,1626,0,1620,66,1624,50,1625,0,1626,0,
1735,3,1726,255,1733,926994,0,1736,200000,1737,17,1718,1026000,1721,1026000,1725,0,1727,0,1720,60,1724,50,1726,0,1731,0,
1827,3,1825,255,1826,1019810,0,1827,128000,1828,17,1818,1026000,1821,1026000,1824,0,1826,0,1821,41,1824,40,1825,0,1826,0,
1962,3,1942,255,1958,891908,0,1963,128000,1964,17,1919,918000,1922,1026000,1933,0,1945,0,1922,50,1926,30,1938,0,1948,0,
2028,3,2026,255,2028,1632280,287603,2029,128000,2029,17,2019,1026000,2021,1512000,2024,1026000,2027,0,2021,90,2023,88,2026,20,2028,0,
2127,3,2126,255,2127,1009536,0,2128,128000,2129,17,2120,1026000,2122,1512000,2124,1026000,2126,0,2122,30,2124,22,2125,33,2127,0,
2227,3,2226,255,2227,792669,0,2228,128000,2228,17,2220,1026000,2223,1512000,2224,1026000,2227,0,2222,11,2224,18,2226,0,2227,0,
2340,3,2338,255,2340,686962,0,2341,128000,2342,17,2321,1026000,2333,384000,2336,0,2338,0,2332,11,2335,20,2337,0,2339,0,
2431,3,2430,255,2431,990246,0,2432,128000,2433,17,2422,1026000,2425,1026000,2429,0,2430,0,2424,55,2428,44,2429,0,2431,0,
2538,3,2536,255,2538,811673,0,2539,128000,2540,17,2522,1026000,2531,1026000,2535,0,2537,0,2525,30,2534,20,2536,0,2537,0,
2631,3,2629,255,2631,993891,0,2632,128000,2633,17,2623,1026000,2625,1026000,2628,0,2630,0,2625,50,2627,50,2628,0,2631,0,
2741,3,2739,255,2740,768879,0,2741,128000,2742,17,2724,384000,2729,1026000,2738,0,2739,0,2728,22,2737,33,2738,0,2740,0,
2832,3,2830,255,2832,924984,0,2833,128000,2834,19,2824,918000,2826,1026000,2828,0,2831,0,2826,37,2828,50,2829,0,2832,0,
2944,3,2943,255,2944,743240,0,2946,128000,2947,19,2927,1026000,2938,384000,2941,0,2943,0,2937,20,2940,33,2942,0,2944,0,
3035,3,3033,255,3035,984607,0,3036,128000,3037,19,3025,918000,3028,918000,3031,0,3034,0,3028,62,3030,50,3031,0,3035,0,
3137,3,3136,255,3137,934078,0,3138,128000,3139,19,3126,918000,3131,1026000,3135,0,3137,0,3130,36,3134,50,3135,0,3137,0,
3238,3,3235,255,3237,1093512,0,3238,128000,3239,19,3227,1026000,3231,1026000,3233,0,3237,0,3230,80,3233,44,3235,0,3237,0,
3335,3,3334,255,3335,947518,0,3335,128000,3336,19,3327,1512000,3331,1026000,3333,0,3334,0,3330,33,3333,22,3334,0,3335,0,
3449,3,3448,255,3449,957497,0,3450,128000,3451,19,3428,1512000,3444,1026000,3446,0,3448,0,3430,27,3446,36,3447,0,3449,0,
3538,3,3536,255,3538,1275289,0,3540,128000,3541,19,3530,1512000,3532,1026000,3535,0,3537,0,3532,66,3534,50,3535,0,3537,0,
3636,3,3635,255,3636,1131643,0,3637,128000,3637,19,3630,1512000,3632,1026000,3634,0,3635,0,3632,45,3634,50,3634,0,3636,0,
3752,3,3748,255,3752,1078935,0,3753,128000,3754,19,3732,1026000,3735,1026000,3747,0,3751,0,3734,60,3747,60,3748,0,3752,0,
3837,3,3836,255,3837,1124803,0,3838,128000,3838,19,3832,1512000,3834,1026000,3836,0,3836,0,3834,44,3835,50,3836,0,3837,0,
3958,3,3956,255,3958,863918,0,3959,128000,3961,19,3942,1026000,3951,1026000,3955,0,3957,0,3948,20,3954,41,3956,0,3957,0,
4042,3,4041,255,4042,1049780,0,4043,128000,4045,19,4034,1026000,4037,1026000,4039,0,4041,0,4036,62,4038,50,4040,0,4042,0,
4147,3,4144,255,4146,893073,0,4148,128000,4150,19,4135,1026000,4138,1026000,4142,0,4145,0,4137,25,4141,44,4143,0,4146,0,
4246,3,4243,255,4245,1006048,0,4247,128000,4248,19,4235,1026000,4238,1026000,4241,0,4244,0,4237,50,4241,50,4242,0,4245,0,
4345,3,4343,255,4345,1016981,0,4345,128000,4347,19,4336,1026000,4340,1026000,4342,0,4344,0,4339,50,4342,53,4343,0,4344,0,
4447,3,4444,255,4446,754494,0,4451,128000,4452,19,4436,1026000,4440,384000,4443,0,4445,0,4439,25,4442,25,4443,0,4446,0,
4546,3,4544,255,4546,1102636,0,4546,128000,4547,19,4537,1026000,4540,918000,4542,0,4545,0,4539,66,4542,72,4544,0,4545,0,
4698,3,4695,255,4698,748761,0,4699,128000,4709,19,4639,1026000,4655,594000,4681,0,4696,0,4650,11,4677,42,4694,0,4698,0,
4752,3,4746,255,4752,2323084,978407,4753,128000,4754,19,4739,1512000,4741,1512000,4744,1026000,4749,1026000,4740,100,4743,100,4745,36,4751,50,
4846,3,4844,255,4846,1920746,576069,4846,128000,4847,18,4839,1512000,4841,1512000,4843,1512000,4844,1512000,4841,50,4842,37,4844,45,4846,55,
4948,3,4946,255,4948,1065658,0,4949,128000,4949,18,4940,1134000,4942,1512000,4944,1026000,4946,1026000,4942,12,4944,41,4946,27,4948,0,
5049,3,5047,255,5049,856551,0,5050,128000,5050,18,5040,1026000,5043,1512000,5045,1026000,5047,1026000,5042,0,5044,11,5046,20,5049,20,
5152,3,5150,255,5151,769571,0,5152,128000,5153,18,5141,1026000,5144,384000,5147,1026000,5151,0,5143,20,5146,20,5149,12,5151,0,
5249,3,5248,255,5249,952592,0,5250,128000,5251,18,5241,1026000,5244,1026000,5246,0,5248,0,5244,37,5246,50,5247,0,5249,0,
5356,3,5354,255,5356,810276,0,5357,128000,5358,18,5343,384000,5349,1026000,5352,0,5355,0,5347,50,5352,36,5353,0,5356,0,
5462,3,5459,255,5462,832329,0,5463,128000,5465,18,5450,1026000,5454,1026000,5456,0,5460,0,5453,40,5456,14,5458,0,5461,0,
5561,3,5559,255,5560,967170,0,5561,128000,5562,18,5551,1026000,5555,1026000,5557,0,5559,0,5554,66,5556,25,5558,0,5560,0,
5661,3,5659,255,5661,854195,0,5662,128000,5668,18,5652,1026000,5655,1026000,5657,0,5659,0,5655,30,5657,30,5658,0,5660,0,
5764,3,5762,255,5764,1004408,0,5765,128000,5766,18,5752,918000,5756,1026000,5759,0,5763,0,5755,55,5758,55,5760,0,5764,0,
5863,3,5861,255,5863,905216,0,5869,128000,5870,19,5853,1026000,5857,1026000,5859,0,5862,0,5856,33,5858,41,5860,0,5862,0,
5973,3,5968,255,5972,1028708,0,5974,128000,5977,19,5954,918000,5957,1026000,5960,0,5969,0,5956,55,5959,60,5966,0,5970,0,
6061,3,6060,255,6061,1727311,382634,6061,128000,6067,19,6054,1512000,6056,1512000,6058,1026000,6060,0,6056,72,6058,75,6060,22,6061,0,
6161,3,6160,255,6161,1268449,0,6161,128000,6162,19,6155,1512000,6157,1512000,6159,1026000,6160,0,6157,25,6158,40,6160,50,6161,0,
6263,3,6262,255,6263,1106752,0,6264,128000,6268,19,6255,1512000,6258,1512000,6260,1026000,6262,0,6257,27,6259,41,6261,0,6263,0,
6367,3,6365,255,6367,812897,0,6368,128000,6369,19,6356,1026000,6361,1026000,6364,0,6366,0,6359,25,6363,22,6364,0,6366,0,
6476,3,6473,255,6475,947738,0,6476,128000,6478,19,6457,1026000,6461,1026000,6471,0,6474,0,6460,40,6468,44,6472,0,6475,0,
6569,3,6568,255,6569,805422,0,6570,128000,6571,19,6558,384000,6563,1026000,6566,0,6568,0,6562,50,6565,33,6567,0,6569,0,
6671,3,6668,255,6671,986140,0,6672,128000,6673,19,6659,918000,6663,1026000,6667,0,6670,0,6662,53,6666,50,6667,0,6671,0,
6767,3,6766,255,6767,1068002,0,6768,128000,6769,19,6759,1026000,6763,1026000,6765,0,6767,0,6762,55,6764,62,6766,0,6767,0,
6874,3,6870,255,6874,1053424,0,6875,128000,6876,19,6861,1026000,6864,1026000,6869,0,6873,0,6863,63,6867,50,6870,0,6874,0,
6981,3,6978,255,6981,728408,0,6983,128000,6985,19,6963,486000,6968,384000,6975,0,6979,0,6966,36,6972,50,6976,0,6980,0,
7069,3,7068,255,7069,1146451,0,7069,128000,7070,19,7061,1512000,7065,918000,7067,0,7068,0,7064,55,7066,42,7068,0,7069,0,
7168,3,7166,255,7167,818506,0,7168,128000,7169,19,7162,1512000,7164,1026000,7165,0,7167,0,7163,20,7165,11,7166,0,7167,0,
7270,3,7269,255,7270,1088359,0,7270,128000,7271,19,7262,1512000,7265,1026000,7268,0,7269,0,7264,44,7268,40,7268,0,7269,0,
7372,3,7370,255,7372,757830,0,7373,128000,7374,19,7363,1026000,7366,486000,7369,0,7370,0,7365,22,7368,30,7369,0,7371,0,
7482,3,7481,255,7482,1111734,0,7483,128000,7484,19,7470,1026000,7474,1026000,7480,0,7481,0,7472,63,7478,66,7480,0,7482,0,
7573,3,7571,255,7572,736366,0,7574,128000,7575,19,7564,1026000,7567,1026000,7570,0,7571,0,7566,14,7569,12,7570,0,7572,0,
7691,3,7690,255,7691,1068002,0,7692,128000,7693,19,7667,1026000,7686,1026000,7689,0,7690,0,7680,63,7688,54,7689,0,7691,0,
7788,3,7787,255,7788,987826,0,7789,128000,7790,19,7768,1026000,7773,1026000,7786,0,7787,0,7772,45,7785,50,7786,0,7788,0,
7877,3,7876,255,7877,1155466,0,7878,128000,7879,17,7868,1026000,7872,1026000,7875,0,7876,0,7871,75,7874,66,7875,0,7877,0,
7975,3,7974,255,7975,880916,0,7976,128000,7977,17,7968,1026000,7971,1026000,7973,0,7974,0,7970,36,7973,33,7974,0,7975,0,
8078,3,8077,255,8078,838410,0,8079,128000,8080,17,8069,810000,8073,1026000,8075,0,8077,0,8072,25,8075,40,8076,0,8078,0,
8192,3,8189,255,8192,746692,0,8193,128000,8195,17,8174,384000,8181,1026000,8187,0,8190,0,8179,30,8185,25,8188,0,8191,0,
