Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.335,20.335,screen bright,16.37248123
0,20.335,20.335,wifi running,0.244503973
0,20.335,20.335,phone_scanning,9.492325129
0.0,23.757442,23.757442,core 0 cpu_idle start,0.316389733835
23.757442,23.880794,0.123352000002,core 0 cpu_idle,0.00164274026003
23.880794,23.880855,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
23.880855,23.981166,0.100310999998,core 0 cpu_idle,0.00133589174248
23.981166,23.983912,0.00274600000193,core 0 cpu_frequency,0.00250451264276
23.983912,24.485072,0.50116,core 0 cpu_idle,0.0066741983
24.485072,24.485255,0.000183000000106,core 0 cpu_frequency,8.86408995515e-05
24.485255,24.530787,0.0455320000001,core 0 cpu_idle,0.000606372410001
24.530787,24.530818,3.09999995807e-05,core 0 cpu_frequency,2.04416012235e-05
24.530818,24.58108,0.0502620000007,core 0 cpu_idle,0.000669364185009
24.58108,24.581172,9.19999984035e-05,core 0 cpu_frequency,3.24155554375e-05
24.581172,24.630855,0.0496830000011,core 0 cpu_idle,0.000661653352515
24.630855,24.630885,2.99999992421e-05,core 0 cpu_frequency,1.51933646162e-05
24.630885,24.730769,0.0998839999993,core 0 cpu_idle,0.00133020516999
24.730769,24.73083,6.10000024608e-05,core 0 cpu_frequency,4.02237981227e-05
24.73083,24.780604,0.0497739999992,core 0 cpu_idle,0.000662865244989
24.780604,24.780696,9.19999984035e-05,core 0 cpu_frequency,6.06653969472e-05
24.780696,24.830958,0.0502620000007,core 0 cpu_idle,0.000669364185009
24.830958,24.831111,0.000153000000864,core 0 cpu_frequency,7.06748313992e-05
24.831111,24.880794,0.0496830000011,core 0 cpu_idle,0.000661653352515
24.880794,24.88119,0.000395999999455,core 0 cpu_frequency,0.000200552417724
24.88119,24.930842,0.0496519999979,core 0 cpu_idle,0.000661240509972
24.930842,24.930873,3.09999995807e-05,core 0 cpu_frequency,2.04416012235e-05
24.930873,24.9808,0.049927,core 0 cpu_idle,0.0006649028225
24.9808,24.982112,0.00131200000033,core 0 cpu_frequency,0.000865141328215
24.982112,25.030757,0.0486450000026,core 0 cpu_idle,0.000647829787534
25.030757,25.030818,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
25.030818,25.084376,0.0535579999996,core 0 cpu_idle,0.000713258664995
25.084376,25.084407,3.09999995807e-05,core 0 cpu_frequency,2.82738131175e-05
25.084407,25.28509,0.200682999999,core 0 cpu_idle,0.00267259585249
25.28509,25.285151,6.10000024608e-05,core 0 cpu_frequency,4.02237981227e-05
25.285151,25.331019,0.0458679999974,core 0 cpu_idle,0.000610847089966
25.331019,25.33105,3.10000032187e-05,core 0 cpu_frequency,2.04416036224e-05
25.33105,25.381068,0.0500179999981,core 0 cpu_idle,0.000666114714975
25.381068,25.381953,0.00088500000129,core 0 cpu_frequency,0.000311823555454
25.381953,25.48083,0.0988770000004,core 0 cpu_idle,0.0013167944475
25.48083,25.481044,0.000213999999687,core 0 cpu_frequency,0.000108379336842
25.481044,25.580745,0.0997009999992,core 0 cpu_idle,0.00132776806749
25.580745,25.580775,2.99999992421e-05,core 0 cpu_frequency,1.97821945003e-05
25.580775,25.631404,0.0506290000012,core 0 cpu_idle,0.000674251707516
25.631404,25.631526,0.000121999997646,core 0 cpu_frequency,8.04475914475e-05
25.631526,25.730617,0.099091,core 0 cpu_idle,0.0013196443925
25.730617,25.730647,3.00000028801e-05,core 0 cpu_frequency,1.97821968992e-05
25.730647,25.780635,0.0499879999988,core 0 cpu_idle,0.000665715189985
25.780635,25.780665,2.99999992421e-05,core 0 cpu_frequency,1.97821945003e-05
25.780665,25.830653,0.0499880000025,core 0 cpu_idle,0.000665715190033
25.830653,25.830714,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
25.830714,25.883449,0.0527350000011,core 0 cpu_idle,0.000702298362515
25.883449,25.88351,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
25.88351,25.93072,0.0472100000006,core 0 cpu_idle,0.000628719175008
25.93072,25.930812,9.19999984035e-05,core 0 cpu_frequency,3.80165153403e-05
25.930812,25.98083,0.0500180000017,core 0 cpu_idle,0.000666114715023
25.98083,25.982631,0.00180099999852,core 0 cpu_frequency,0.000912108344752
25.982631,26.030818,0.0481870000003,core 0 cpu_idle,0.000641730372504
26.030818,26.031001,0.000183000000106,core 0 cpu_frequency,0.00012067138957
26.031001,26.18069,0.149688999998,core 0 cpu_idle,0.00199348325747
26.18069,26.180751,6.10000024608e-05,core 0 cpu_frequency,2.1492923867e-05
26.180751,26.283992,0.103241000001,core 0 cpu_idle,0.00137491201751
26.283992,26.284022,2.99999992421e-05,core 0 cpu_frequency,2.73617543088e-05
26.284022,26.880702,0.596679999999,core 0 cpu_idle,0.00794628589998
26.880702,26.880763,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
26.880763,26.933345,0.0525820000003,core 0 cpu_idle,0.000700260785003
26.933345,26.933375,3.00000028801e-05,core 0 cpu_frequency,1.97821968992e-05
26.933375,27.030635,0.0972599999986,core 0 cpu_idle,0.00129526004998
27.030635,27.030696,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
27.030696,27.080775,0.0500790000006,core 0 cpu_idle,0.000666927082507
27.080775,27.080836,6.09999988228e-05,core 0 cpu_frequency,2.52066025136e-05
27.080836,27.133296,0.0524600000026,core 0 cpu_idle,0.000698636050035
27.133296,27.134425,0.00112900000022,core 0 cpu_frequency,0.000397795247077
27.134425,27.181941,0.0475159999987,core 0 cpu_idle,0.000632794329983
27.181941,27.182002,6.09999988228e-05,core 0 cpu_frequency,3.08931749038e-05
27.182002,27.23083,0.0488280000027,core 0 cpu_idle,0.000650266890036
27.23083,27.230891,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
27.230891,27.280635,0.0497439999999,core 0 cpu_idle,0.000662465719999
27.280635,27.280696,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
27.280696,27.331111,0.0504150000015,core 0 cpu_idle,0.00067140176252
27.331111,27.331172,6.09999988228e-05,core 0 cpu_frequency,2.14929225852e-05
