App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 08:43:07 PM","17 sec","Trepn_2018.10.19_204306.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
77,3,73,255,77,1517957,387396,78,320000,79,0,42,1512000,61,1512000,72,0,73,0,60,45,66,100,72,0,77,0,
153,3,150,255,153,2441168,1310607,154,320000,155,0,142,1512000,144,1512000,147,1026000,150,1512000,144,100,146,100,149,60,152,48,
252,3,249,255,252,2211011,1080450,253,320000,254,0,242,1512000,244,1512000,246,1026000,250,1512000,244,63,245,100,248,25,252,70,
352,3,350,255,352,2391941,1261380,352,320000,353,0,343,1512000,345,1512000,347,1026000,350,1512000,345,100,347,100,349,54,352,44,
458,3,454,255,458,2475598,1345037,459,320000,460,0,443,1512000,445,1512000,447,1512000,455,1512000,445,100,446,100,453,44,457,41,
551,3,549,255,551,2461917,1331356,552,320000,552,0,544,1512000,545,1512000,547,1512000,549,1512000,545,100,547,100,548,55,551,28,
651,3,649,255,651,2030979,900418,652,320000,652,0,644,1512000,646,1512000,647,1512000,649,1512000,645,50,647,100,649,33,651,37,
751,3,749,255,750,1552159,421598,751,320000,752,0,744,1512000,746,1512000,748,1512000,750,0,746,25,747,100,749,25,750,0,
855,3,851,255,855,1887333,756772,856,320000,858,0,845,1512000,847,1512000,849,1512000,854,0,846,72,848,100,850,27,854,0,
959,3,956,255,959,2694487,1563926,960,320000,961,0,945,1512000,948,1512000,952,1512000,957,1512000,947,90,951,83,954,90,959,54,
1059,3,1054,255,1058,2892855,1762294,1060,320000,1060,0,1046,1512000,1048,1512000,1052,1512000,1056,1512000,1048,90,1050,87,1054,88,1058,81,
1153,3,1150,255,1152,2379834,1249273,1153,400000,1154,0,1146,1512000,1148,1512000,1149,1512000,1151,1512000,1147,55,1149,90,1150,60,1152,66,
1254,3,1252,255,1254,1723166,592605,1254,400000,1255,0,1246,1512000,1248,1512000,1250,1512000,1252,1512000,1248,44,1250,20,1252,30,1253,81,
1356,3,1353,255,1355,566203,0,1356,400000,1357,0,1347,1026000,1350,1026000,1351,1026000,1354,1512000,1349,11,1351,0,1353,0,1355,0,
1457,3,1456,255,1457,792153,0,1458,400000,1459,0,1449,1026000,1452,1026000,1455,0,1457,0,1451,33,1454,40,1455,0,1457,0,
1558,3,1556,255,1558,835885,0,1559,400000,1560,0,1549,1026000,1552,1026000,1555,0,1557,0,1551,45,1554,40,1555,0,1558,0,
1659,3,1658,255,1659,803086,0,1660,400000,1660,0,1652,1026000,1655,1026000,1657,0,1658,0,1654,40,1656,36,1657,0,1659,0,
1770,3,1768,255,1770,670283,0,1772,320000,1773,0,1753,384000,1759,1026000,1767,0,1769,0,1758,40,1765,30,1768,0,1769,0,
1862,3,1861,255,1862,843081,0,1864,320000,1865,0,1853,918000,1857,1026000,1859,0,1861,0,1856,44,1859,50,1860,0,1862,0,
1968,3,1966,255,1967,688307,0,1968,200000,1969,17,1954,486000,1959,1026000,1963,0,1966,0,1958,44,1962,30,1965,0,1967,0,
2082,3,2074,255,2082,998280,0,2083,128000,2084,17,2055,918000,2058,1026000,2072,0,2075,0,2057,37,2071,44,2073,0,2081,0,
2160,3,2159,255,2160,1243117,112556,2160,128000,2161,17,2155,1026000,2157,1512000,2158,0,2159,0,2156,37,2158,70,2159,0,2160,0,
2261,3,2260,255,2261,751627,0,2262,128000,2262,17,2255,1026000,2258,1512000,2260,0,2261,0,2257,11,2259,12,2260,0,2261,0,
2367,3,2364,255,2366,778459,0,2367,128000,2368,17,2356,384000,2360,1026000,2363,0,2365,0,2359,33,2362,33,2363,0,2366,0,
2466,3,2463,255,2466,884467,0,2467,128000,2469,17,2457,918000,2460,1026000,2462,0,2464,0,2459,44,2462,33,2463,0,2465,0,
