Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.437,20.437,screen bright,16.454605306
0,20.437,20.437,wifi running,0.2457304006
0,20.437,20.437,phone_scanning,9.5399384638
0.0,23.870244,23.870244,core 0 cpu_idle start,0.31789197447
23.870244,24.365849,0.495605,core 0 cpu_idle,0.0066002195875
24.365849,24.36591,6.09999997323e-05,core 0 cpu_frequency,4.02237963235e-05
24.36591,24.415715,0.0498050000006,core 0 cpu_idle,0.000663278087507
24.415715,24.416539,0.000823999999739,core 0 cpu_frequency,0.000543350955828
24.416539,24.465672,0.0491330000004,core 0 cpu_idle,0.000654328727506
24.465672,24.465733,6.09999997323e-05,core 0 cpu_frequency,4.02237963235e-05
24.465733,24.515691,0.0499579999996,core 0 cpu_idle,0.000665315664995
24.515691,24.515752,6.10000006418e-05,core 0 cpu_frequency,4.02237969232e-05
24.515752,24.565801,0.0500489999995,core 0 cpu_idle,0.000666527557493
24.565801,24.565862,6.09999997323e-05,core 0 cpu_frequency,2.81775468763e-05
24.565862,24.615849,0.0499870000003,core 0 cpu_idle,0.000665701872504
24.615849,24.618749,0.00290000000041,core 0 cpu_frequency,0.00146869195021
24.618749,24.665898,0.047149,core 0 cpu_idle,0.0006279068075
24.665898,24.666081,0.000182999999197,core 0 cpu_frequency,0.00012067138897
24.666081,24.715794,0.0497130000003,core 0 cpu_idle,0.000662052877505
24.715794,24.715825,3.10000004902e-05,core 0 cpu_frequency,2.04416018232e-05
24.715825,24.765721,0.0498959999995,core 0 cpu_idle,0.000664489979994
24.765721,24.765752,3.10000004902e-05,core 0 cpu_frequency,2.04416018232e-05
24.765752,24.915685,0.149933,core 0 cpu_idle,0.0019967327275
24.915685,24.915837,0.000151999999616,core 0 cpu_frequency,0.000100229787747
24.915837,24.968846,0.0530090000002,core 0 cpu_idle,0.000705947357503
24.968846,24.976933,0.00808700000016,core 0 cpu_frequency,0.00533262036561
24.976933,25.023076,0.0461429999996,core 0 cpu_idle,0.000614509402494
25.023076,25.056004,0.0329280000005,core 0 cpu_frequency,0.0300322622885
25.056004,25.165776,0.109772,core 0 cpu_idle,0.00146188861
25.165776,25.165837,6.09999997323e-05,core 0 cpu_frequency,4.02237963235e-05
25.165837,25.315709,0.149872,core 0 cpu_idle,0.00199592036
25.315709,25.31577,6.10000006418e-05,core 0 cpu_frequency,4.02237969232e-05
25.31577,25.365758,0.0499879999998,core 0 cpu_idle,0.000665715189997
25.365758,25.365819,6.09999997323e-05,core 0 cpu_frequency,4.02237963235e-05
25.365819,25.515691,0.149872,core 0 cpu_idle,0.00199592036
25.515691,25.515721,3.00000001516e-05,core 0 cpu_frequency,1.97821951e-05
25.515721,25.56577,0.0500490000004,core 0 cpu_idle,0.000666527557505
25.56577,25.565862,9.1999999313e-05,core 0 cpu_frequency,3.24155557579e-05
25.565862,25.61588,0.0500180000008,core 0 cpu_idle,0.000666114715011
25.61588,25.616673,0.000792999999248,core 0 cpu_frequency,0.000401611281119
25.616673,25.765843,0.149170000001,core 0 cpu_idle,0.00198657147501
25.765843,25.765904,6.09999997323e-05,core 0 cpu_frequency,4.02237963235e-05
25.765904,25.918614,0.15271,core 0 cpu_idle,0.002033715425
25.918614,25.950841,0.0322269999997,core 0 cpu_frequency,0.0293929092792
25.950841,26.169194,0.218353,core 0 cpu_idle,0.0029079160775
26.169194,26.169225,3.09999995807e-05,core 0 cpu_frequency,2.04416012235e-05
26.169225,26.215886,0.0466610000003,core 0 cpu_idle,0.000621407867504
26.215886,26.215978,9.20000002225e-05,core 0 cpu_frequency,3.24155560784e-05
26.215978,26.266911,0.0509329999995,core 0 cpu_idle,0.000678300227494
26.266911,26.267156,0.000245000000177,core 0 cpu_frequency,0.00012407914759
26.267156,26.415807,0.148651,core 0 cpu_idle,0.00197965969249
26.415807,26.415868,6.10000006418e-05,core 0 cpu_frequency,4.02237969232e-05
26.415868,26.465825,0.0499570000002,core 0 cpu_idle,0.000665302347502
26.465825,26.470708,0.00488299999961,core 0 cpu_frequency,0.00172049086886
26.470708,26.519444,0.0487359999997,core 0 cpu_idle,0.000649041679996
26.519444,26.521031,0.00158700000065,core 0 cpu_frequency,0.0014474368401
26.521031,26.766057,0.245026,core 0 cpu_idle,0.00326313375499
26.766057,26.766087,3.00000001516e-05,core 0 cpu_frequency,1.97821951e-05
26.766087,26.815678,0.049591,core 0 cpu_idle,0.0006604281425
26.815678,26.815709,3.09999995807e-05,core 0 cpu_frequency,2.04416012235e-05
26.815709,26.865666,0.0499570000002,core 0 cpu_idle,0.000665302347502
26.865666,26.86588,0.000214000000597,core 0 cpu_frequency,0.000141112991393
26.86588,26.915898,0.0500179999999,core 0 cpu_idle,0.000666114714999
26.915898,26.916112,0.000213999999687,core 0 cpu_frequency,0.000195180518715
26.916112,27.165776,0.249664,core 0 cpu_idle,0.00332490032
27.165776,27.165837,6.09999997323e-05,core 0 cpu_frequency,4.02237963235e-05
27.165837,27.215794,0.0499570000002,core 0 cpu_idle,0.000665302347502
27.215794,27.21906,0.00326599999971,core 0 cpu_frequency,0.00147634304387
27.21906,27.268315,0.0492550000008,core 0 cpu_idle,0.000655953462511
27.268315,27.268498,0.000182999999197,core 0 cpu_frequency,9.26795260933e-05
27.268498,27.415868,0.147370000001,core 0 cpu_idle,0.00196259997501
27.415868,27.415929,6.09999997323e-05,core 0 cpu_frequency,4.02237963235e-05
27.415929,27.465825,0.0498960000004,core 0 cpu_idle,0.000664489980006
27.465825,27.469731,0.00390599999992,core 0 cpu_frequency,0.00257564178894
27.469731,27.666142,0.196411,core 0 cpu_idle,0.0026157034925
27.666142,27.666234,9.20000002225e-05,core 0 cpu_frequency,3.24155560784e-05
27.666234,27.715947,0.0497129999994,core 0 cpu_idle,0.000662052877492
27.715947,27.720372,0.00442500000008,core 0 cpu_frequency,0.00224102133754
27.720372,27.816289,0.0959169999996,core 0 cpu_idle,0.0012773746475
27.816289,27.81635,6.10000006418e-05,core 0 cpu_frequency,4.02237969232e-05
27.81635,27.866094,0.0497439999999,core 0 cpu_idle,0.000662465719999
27.866094,27.866338,0.000243999999839,core 0 cpu_frequency,8.59716919432e-05
27.866338,27.915959,0.0496210000001,core 0 cpu_idle,0.000660827667502
27.915959,27.91602,6.09999997323e-05,core 0 cpu_frequency,3.08931753644e-05
27.91602,28.067479,0.151459000001,core 0 cpu_idle,0.00201705523251
28.067479,28.06754,6.09999997323e-05,core 0 cpu_frequency,4.02237963235e-05
28.06754,28.265721,0.198181,core 0 cpu_idle,0.0026392754675
28.265721,28.265782,6.09999997323e-05,core 0 cpu_frequency,4.02237963235e-05
28.265782,28.315984,0.0502020000004,core 0 cpu_idle,0.000668565135005
28.315984,28.316045,6.09999997323e-05,core 0 cpu_frequency,2.52066028894e-05
28.316045,28.368596,0.0525510000007,core 0 cpu_idle,0.000699847942509
28.368596,28.394322,0.0257259999998,core 0 cpu_frequency,0.0234636169709
28.394322,28.568791,0.174469,core 0 cpu_idle,0.00232349090749
28.568791,28.569066,0.000275000000329,core 0 cpu_frequency,0.000181336787717
28.569066,28.715703,0.146637,core 0 cpu_idle,0.0019528382475
28.715703,28.719975,0.00427200000013,core 0 cpu_frequency,0.00281698456808
28.719975,28.765752,0.0457770000003,core 0 cpu_idle,0.000609635197504
28.765752,28.765904,0.000151999999616,core 0 cpu_frequency,0.000100229787747
28.765904,28.915715,0.149811,core 0 cpu_idle,0.0019951079925
28.915715,28.92133,0.00561500000003,core 0 cpu_frequency,0.00370256749752
28.92133,28.965703,0.0443729999997,core 0 cpu_idle,0.000590937427496
28.965703,28.966435,0.000732000000426,core 0 cpu_frequency,0.000482685558281
28.966435,29.066014,0.0995789999997,core 0 cpu_idle,0.0013261433325
29.066014,29.066075,6.09999997323e-05,core 0 cpu_frequency,4.02237963235e-05
29.066075,29.115788,0.0497130000003,core 0 cpu_idle,0.000662052877505
29.115788,29.116429,0.000640999999632,core 0 cpu_frequency,0.000422679566257
