Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.385,20.385,screen bright,16.41273813
0,20.385,20.385,wifi running,0.245105163
0,20.385,20.385,phone_scanning,9.515664999
0.0,23.601068,23.601068,core 0 cpu_idle start,0.31430722309
23.601068,24.471063,0.869994999999,core 0 cpu_idle,0.0115861584125
24.471063,24.471124,6.10000006418e-05,core 0 cpu_frequency,2.81775472965e-05
24.471124,24.517602,0.0464780000002,core 0 cpu_idle,0.000618970765003
24.517602,24.517908,0.00030599999991,core 0 cpu_frequency,0.00020177838894
24.517908,24.565393,0.0474849999991,core 0 cpu_idle,0.000632381487489
24.565393,24.567255,0.00186200000098,core 0 cpu_frequency,0.0016982529279
24.567255,24.66485,0.0975949999993,core 0 cpu_idle,0.00129972141249
24.66485,24.665277,0.000427000000855,core 0 cpu_frequency,0.000340381983181
24.665277,24.714685,0.0494079999989,core 0 cpu_idle,0.000657991039986
24.714685,24.715814,0.00112900000022,core 0 cpu_frequency,0.000744469938644
24.715814,24.764764,0.0489500000003,core 0 cpu_idle,0.000651891625004
24.764764,24.76629,0.00152600000001,core 0 cpu_frequency,0.00139180127101
24.76629,25.064691,0.298401,core 0 cpu_idle,0.0039739553175
25.064691,25.064752,6.10000006418e-05,core 0 cpu_frequency,4.86259980116e-05
25.064752,25.214746,0.149993999999,core 0 cpu_idle,0.00199754509499
25.214746,25.214777,3.09999995807e-05,core 0 cpu_frequency,2.04416012235e-05
25.214777,25.314844,0.100067000001,core 0 cpu_idle,0.00133264227252
25.314844,25.31701,0.0021659999984,core 0 cpu_frequency,0.00197551870954
25.31701,25.464716,0.147706000002,core 0 cpu_idle,0.00196707465502
25.464716,25.464746,2.99999992421e-05,core 0 cpu_frequency,1.97821945003e-05
25.464746,25.5646,0.0998540000001,core 0 cpu_idle,0.001329805645
25.5646,25.564661,6.10000006418e-05,core 0 cpu_frequency,4.02237969232e-05
25.564661,25.614587,0.0499259999997,core 0 cpu_idle,0.000664889504996
25.614587,25.614618,3.09999995807e-05,core 0 cpu_frequency,2.04416012235e-05
25.614618,25.665277,0.0506590000005,core 0 cpu_idle,0.000674651232506
25.665277,25.6672,0.00192299999981,core 0 cpu_frequency,0.00126803869937
25.6672,25.717035,0.0498349999998,core 0 cpu_idle,0.000663677612497
25.717035,25.779779,0.0627440000007,core 0 cpu_frequency,0.0572261985247
25.779779,26.067316,0.287536999998,core 0 cpu_idle,0.00382927399748
26.067316,26.067377,6.10000006418e-05,core 0 cpu_frequency,4.02237969232e-05
26.067377,26.214716,0.147339000001,core 0 cpu_idle,0.00196218713251
26.214716,26.214746,2.99999992421e-05,core 0 cpu_frequency,1.97821945003e-05
26.214746,26.264703,0.0499569999993,core 0 cpu_idle,0.00066530234749
26.264703,26.264764,6.10000006418e-05,core 0 cpu_frequency,2.14929232261e-05
26.264764,26.314844,0.0500800000009,core 0 cpu_idle,0.000666940400012
26.314844,26.367425,0.0525809999999,core 0 cpu_frequency,0.0266294108355
26.367425,26.412927,0.045501999999,core 0 cpu_frequency,0.0415004858661
26.412927,26.464746,0.0518190000003,core 0 cpu_idle,0.000690099532503
26.464746,26.464807,6.10000006418e-05,core 0 cpu_frequency,4.02237969232e-05
26.464807,26.514581,0.0497739999992,core 0 cpu_idle,0.000662865244989
26.514581,26.514642,6.10000006418e-05,core 0 cpu_frequency,4.02237969232e-05
26.514642,26.614587,0.0999449999999,core 0 cpu_idle,0.0013310175375
26.614587,26.614618,3.09999995807e-05,core 0 cpu_frequency,2.04416012235e-05
26.614618,26.667688,0.0530699999999,core 0 cpu_idle,0.000706759724999
26.667688,26.667718,2.99999992421e-05,core 0 cpu_frequency,1.97821945003e-05
26.667718,26.717401,0.0496830000011,core 0 cpu_idle,0.000661653352515
26.717401,26.718256,0.000855000000229,core 0 cpu_frequency,0.000779810017709
26.718256,26.867212,0.148955999999,core 0 cpu_idle,0.00198372152999
26.867212,26.867273,6.10000006418e-05,core 0 cpu_frequency,3.0893175825e-05
26.867273,27.014764,0.147491,core 0 cpu_idle,0.0019642113925
27.014764,27.014825,6.10000006418e-05,core 0 cpu_frequency,4.02237969232e-05
27.014825,27.06463,0.0498049999987,core 0 cpu_idle,0.000663278087483
27.06463,27.064661,3.10000013997e-05,core 0 cpu_frequency,2.04416024229e-05
27.064661,27.114618,0.0499569999993,core 0 cpu_idle,0.00066530234749
27.114618,27.115259,0.000641000000542,core 0 cpu_frequency,0.000422679566857
27.115259,27.314661,0.199402,core 0 cpu_idle,0.002655536135
27.314661,27.314722,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
27.314722,27.367029,0.0523069999999,core 0 cpu_idle,0.000696598472499
27.367029,27.375085,0.00805600000058,core 0 cpu_frequency,0.00364158590426
27.375085,27.417932,0.0428470000006,core 0 cpu_idle,0.000570614922508
27.417932,27.418024,9.19999984035e-05,core 0 cpu_frequency,8.39093805439e-05
27.418024,27.667322,0.249298000001,core 0 cpu_idle,0.00332002611501
27.667322,27.667352,3.00000010611e-05,core 0 cpu_frequency,1.97821956997e-05
27.667352,27.71615,0.0487979999998,core 0 cpu_idle,0.000649867364997
27.71615,27.71618,2.99999992421e-05,core 0 cpu_frequency,1.97821945003e-05
27.71618,27.764795,0.0486149999997,core 0 cpu_idle,0.000647430262496
27.764795,27.776697,0.0119020000002,core 0 cpu_frequency,0.00491818014608
27.776697,27.814783,0.0380860000005,core 0 cpu_idle,0.000507210305006
27.814783,27.816949,0.00216600000022,core 0 cpu_frequency,0.00109696095311
27.816949,27.914941,0.0979919999991,core 0 cpu_idle,0.00130500845999
27.914941,27.914972,3.10000013997e-05,core 0 cpu_frequency,2.04416024229e-05
27.914972,27.964593,0.0496209999983,core 0 cpu_idle,0.000660827667477
27.964593,27.964624,3.10000013997e-05,core 0 cpu_frequency,2.04416024229e-05
27.964624,28.069818,0.105194,core 0 cpu_idle,0.001400921095
28.069818,28.069879,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
28.069879,28.114587,0.0447080000013,core 0 cpu_idle,0.000595398790017
28.114587,28.114648,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
28.114648,28.164636,0.0499880000007,core 0 cpu_idle,0.000665715190009
28.164636,28.164697,6.10000006418e-05,core 0 cpu_frequency,4.02237969232e-05
28.164697,28.264581,0.0998839999993,core 0 cpu_idle,0.00133020516999
28.264581,28.264642,6.10000006418e-05,core 0 cpu_frequency,4.02237969232e-05
28.264642,28.314752,0.0501100000001,core 0 cpu_idle,0.000667339925002
28.314752,28.314813,6.09999988228e-05,core 0 cpu_frequency,2.75740734679e-05
28.314813,28.368005,0.0531920000012,core 0 cpu_idle,0.000708384460016
28.368005,28.368646,0.000640999998723,core 0 cpu_frequency,0.000584629497335
28.368646,28.467676,0.0990300000012,core 0 cpu_idle,0.00131883202502
28.467676,28.467706,2.99999992421e-05,core 0 cpu_frequency,1.97821945003e-05
28.467706,28.514734,0.0470280000009,core 0 cpu_idle,0.000626295390012
28.514734,28.516992,0.00225799999862,core 0 cpu_frequency,0.00104303116536
