App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 06:56:06 PM","17 sec","Trepn_2018.10.19_185605.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
11,3,2,255,9,1839451,619681,13,320000,16,0,54,1512000,56,1512000,57,0,5,0,55,100,57,100,0,0,8,0,
59,3,58,255,59,1894173,674403,59,320000,60,0,155,1512000,165,1512000,168,1512000,58,0,164,100,168,100,58,0,59,0,
175,3,172,255,175,2416163,1196393,176,320000,179,0,255,1512000,257,1512000,259,1512000,173,1026000,257,77,258,100,170,55,175,40,
262,3,260,255,262,2762890,1543120,263,320000,263,0,356,1512000,358,1512000,360,1512000,261,1512000,358,55,360,100,260,100,262,50,
364,3,362,255,364,2639764,1419994,365,320000,365,0,456,1512000,458,1512000,460,1512000,362,1512000,458,60,460,50,361,100,364,54,
464,3,462,255,464,2304590,1084820,465,320000,465,0,556,1512000,558,1512000,560,1512000,463,1512000,558,45,559,41,462,100,464,50,
564,3,562,255,563,2229347,1009577,564,320000,565,0,657,1512000,659,1512000,660,1512000,562,1512000,658,25,660,36,561,100,563,63,
665,3,662,255,665,1935215,715445,665,320000,666,0,757,1026000,760,1026000,762,1512000,662,1512000,759,30,761,22,662,100,665,45,
766,3,764,255,766,1371336,151566,767,320000,768,0,808,1026000,810,1026000,816,1512000,764,1026000,810,50,815,75,763,90,766,11,
820,3,818,255,820,1542335,322565,821,320000,821,0,909,1026000,915,1026000,921,1512000,818,1026000,915,88,921,87,817,50,820,60,
934,3,925,255,934,1717940,498170,935,320000,935,0,1009,1512000,1012,1512000,1014,1512000,933,0,1011,90,1013,81,924,81,934,0,
1018,3,1016,255,1018,2402368,1182598,1019,320000,1019,0,1110,1512000,1112,1512000,1113,1512000,1016,1026000,1111,12,1113,30,1015,66,1018,70,
1117,3,1115,255,1117,1506348,286578,1117,320000,1118,0,1210,1512000,1213,1134000,1215,1512000,1115,1026000,1212,33,1214,50,1115,72,1117,55,
1219,3,1217,255,1219,1417113,197343,1220,320000,1220,0,1311,1512000,1315,1026000,1317,1026000,1217,1026000,1314,40,1316,0,1216,25,1219,77,
1320,3,1319,255,1320,872614,0,1320,320000,1321,0,1411,1512000,1413,1026000,1415,1026000,1319,0,1413,20,1414,0,1318,20,1320,0,
1417,3,1416,255,1417,735808,0,1418,320000,1418,0,1512,1512000,1516,1026000,1519,0,1417,0,1516,22,1518,33,1416,20,1417,0,
1521,3,1520,255,1521,796865,0,1522,320000,1522,0,1615,1026000,1619,918000,1623,0,1520,0,1618,20,1622,25,1519,0,1521,0,
1626,3,1624,255,1625,675564,0,1626,320000,1627,0,1713,1026000,1716,1026000,1719,0,1625,0,1716,50,1718,44,1624,0,1625,0,
1722,3,1721,255,1722,868685,0,1723,320000,1724,0,1815,486000,1820,1026000,1824,0,1721,0,1819,22,1822,14,1720,0,1722,0,
1829,3,1826,255,1829,603567,0,1829,320000,1831,0,1914,1026000,1918,1026000,1921,0,1826,0,1917,54,1920,54,1825,0,1828,0,
1923,3,1922,255,1923,919706,0,1924,200000,1924,0,2016,1026000,2019,486000,2022,0,1922,0,2018,12,2021,11,1921,0,1923,0,
2025,3,2023,255,2025,583063,0,2026,200000,2027,0,2115,1026000,2118,1026000,2121,0,2024,0,2118,55,2120,60,2023,0,2025,0,
2124,3,2122,255,2124,945216,0,2125,128000,2126,0,2216,1026000,2219,1026000,2222,0,2123,0,2219,33,2221,12,2121,0,2123,0,
2224,3,2223,255,2224,690111,0,2225,128000,2226,14,2316,918000,2320,918000,2327,0,2223,0,2319,33,2326,45,2222,0,2224,0,
2329,3,2328,255,2329,850089,0,2330,128000,2331,14,2417,1026000,2420,1026000,2423,0,2328,0,2420,33,2422,44,2327,0,2329,0,
2425,3,2424,255,2425,891834,0,2426,128000,2427,14,2518,384000,2522,1026000,2525,0,2424,0,2521,36,2524,50,2423,0,2425,0,
2528,3,2526,255,2527,824789,0,2528,128000,2529,14,2618,918000,2622,1026000,2625,0,2527,0,2621,44,2624,44,2526,0,2527,0,
2627,3,2626,255,2627,906318,0,2628,128000,2629,14,2719,384000,2722,1026000,2725,0,2626,0,2721,22,2725,20,2625,0,2627,0,
