App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 06:13:43 PM","17 sec","Trepn_2018.10.19_181342.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
58,3,53,255,58,2178433,1002925,60,320000,61,0,44,1512000,46,1512000,48,1026000,54,1026000,45,100,47,100,50,40,56,38,
153,3,151,255,153,2838133,1662625,154,320000,154,0,144,1512000,147,1512000,149,1512000,152,1512000,146,57,149,100,151,81,153,100,
266,3,257,255,265,2598723,1423215,266,320000,267,0,244,1512000,246,1512000,248,1512000,261,1512000,246,66,248,37,257,100,265,100,
353,3,351,255,353,2735529,1560021,353,320000,354,0,345,1512000,347,1512000,349,1512000,351,1512000,346,70,348,63,350,90,353,100,
453,3,451,255,453,2331952,1156444,453,320000,454,0,445,1512000,447,1512000,449,1512000,451,1512000,447,44,448,60,450,60,453,100,
553,3,551,255,553,2037819,862311,554,320000,554,0,546,1512000,548,1512000,549,1512000,552,1512000,547,25,549,36,550,60,553,100,
658,3,652,255,658,1736846,561338,658,320000,659,0,646,1512000,648,1512000,650,1512000,652,1512000,648,22,649,25,651,30,658,100,
759,3,754,255,759,1999401,823893,759,320000,760,0,747,1512000,749,1134000,751,1026000,756,1512000,748,70,750,90,753,66,758,54,
857,3,854,255,856,2557518,1382010,857,400000,858,0,847,1512000,850,1134000,853,1512000,855,1512000,849,90,852,72,854,81,856,81,
955,3,953,255,955,1764037,588529,955,400000,956,0,948,1512000,949,1026000,951,1512000,953,1512000,949,60,951,45,952,72,954,25,
1055,3,1053,255,1055,1693840,518332,1056,400000,1056,0,1048,1512000,1050,1026000,1052,1512000,1054,1512000,1050,66,1051,37,1053,44,1055,41,
1162,3,1159,255,1162,599003,0,1163,400000,1164,0,1149,1026000,1152,1026000,1155,1026000,1161,0,1152,20,1154,0,1158,0,1162,0,
1261,3,1258,255,1261,846818,0,1262,400000,1263,0,1249,1026000,1252,1026000,1255,1026000,1258,0,1251,25,1255,41,1257,22,1259,0,
1359,3,1357,255,1359,732128,0,1360,400000,1361,0,1350,918000,1353,1026000,1355,0,1358,0,1352,28,1354,33,1356,0,1359,0,
1459,3,1457,255,1459,817664,0,1459,400000,1460,0,1450,1026000,1453,1026000,1456,0,1458,0,1453,40,1456,40,1457,0,1458,0,
1568,3,1565,255,1567,590998,0,1569,400000,1571,0,1552,384000,1557,594000,1563,0,1566,0,1556,25,1562,27,1564,0,1567,0,
1656,3,1655,255,1656,1169103,0,1657,400000,1657,0,1651,1512000,1653,1512000,1655,0,1656,0,1653,54,1654,40,1655,0,1656,0,
1759,3,1758,255,1759,679178,0,1761,400000,1762,15,1752,1026000,1755,1026000,1757,0,1758,0,1754,22,1756,20,1757,0,1759,0,
1865,3,1859,255,1864,1942418,766910,1865,320000,1866,15,1853,1512000,1855,1026000,1858,0,1861,0,1854,100,1857,55,1858,0,1864,0,
1958,3,1957,255,1958,1808257,632749,1959,320000,1959,15,1953,1134000,1955,1512000,1957,0,1958,0,1954,54,1956,100,1957,0,1958,0,
2060,3,2059,255,2060,2042659,867151,2061,200000,2061,15,2055,1512000,2057,1512000,2059,0,2060,0,2057,90,2058,78,2059,0,2060,0,
2169,3,2166,255,2169,1611022,435514,2171,200000,2172,15,2156,1512000,2159,1512000,2163,0,2166,0,2158,100,2161,33,2164,0,2168,0,
2264,3,2262,255,2264,1693105,517597,2264,128000,2265,15,2257,1512000,2259,1512000,2261,0,2263,0,2259,100,2261,45,2262,0,2263,0,
2365,3,2363,255,2365,1493607,318099,2366,128000,2367,15,2357,1512000,2360,1134000,2362,0,2364,0,2359,100,2361,45,2363,0,2365,0,
2485,3,2479,255,2482,1410657,235149,2485,128000,2487,15,2462,1512000,2470,1026000,2476,0,2481,0,2468,100,2475,30,2478,0,2481,0,
2564,3,2563,255,2564,1556431,380923,2565,128000,2566,15,2558,1512000,2560,1026000,2562,0,2563,0,2560,100,2562,70,2563,0,2564,0,
2683,3,2679,255,2682,1410657,235149,2685,128000,2690,15,2659,1512000,2669,1026000,2674,0,2680,0,2666,100,2674,30,2677,0,2682,0,
2766,3,2765,255,2766,1825672,650164,2767,128000,2767,13,2759,1512000,2761,1512000,2763,1026000,2765,0,2761,100,2763,66,2765,20,2766,0,
2876,3,2874,255,2876,1849844,674336,2877,128000,2877,13,2859,1512000,2862,1512000,2871,1026000,2874,0,2861,100,2866,50,2873,60,2876,0,
2966,3,2965,255,2966,1778149,602641,2966,128000,2967,13,2959,1512000,2961,1512000,2963,1134000,2965,0,2961,44,2963,100,2964,44,2965,0,
3068,3,3066,255,3068,1583187,407679,3069,128000,3069,13,3060,1512000,3062,1512000,3064,1026000,3067,0,3062,27,3064,100,3066,30,3068,0,
3168,3,3167,255,3168,1529696,354188,3169,128000,3170,13,3161,1026000,3163,1512000,3165,1026000,3167,0,3162,30,3164,100,3166,36,3168,0,
3269,3,3268,255,3269,1617160,441652,3270,128000,3270,13,3261,1026000,3264,1512000,3266,1026000,3268,0,3263,50,3265,100,3267,40,3268,0,
3374,3,3370,255,3374,1646315,470807,3375,128000,3376,13,3361,1026000,3364,1512000,3366,1026000,3371,0,3363,44,3366,100,3368,54,3374,0,
3469,3,3467,255,3469,2616184,1440676,3469,128000,3470,13,3462,1512000,3464,1512000,3465,1512000,3467,1512000,3463,88,3465,100,3466,90,3468,16,
3571,3,3569,255,3571,1336170,160662,3572,128000,3572,13,3562,1134000,3565,1512000,3567,1134000,3570,1026000,3565,11,3567,100,3569,0,3571,0,
3672,3,3669,255,3672,1431298,255790,3672,128000,3673,13,3663,1026000,3665,1512000,3667,1026000,3670,1026000,3664,10,3666,100,3669,18,3672,11,
3771,3,3770,255,3771,1544273,368765,3772,128000,3773,17,3763,1026000,3766,1512000,3768,1026000,3771,0,3765,37,3767,100,3769,33,3771,0,
3894,3,3892,255,3893,1517568,342060,3894,128000,3895,17,3864,1026000,3869,1512000,3889,1026000,3892,0,3868,20,3889,100,3891,36,3893,0,
3972,3,3971,255,3972,1625276,449768,3973,128000,3974,17,3964,1512000,3967,1512000,3969,1026000,3972,0,3966,100,3968,28,3971,33,3972,0,
4074,3,4073,255,4074,1573301,397793,4074,128000,4075,17,4064,1512000,4067,1512000,4071,1026000,4073,0,4066,100,4070,22,4073,30,4074,0,
