App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 04:55:47 PM","17 sec","Trepn_2018.10.19_165546.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
50,3,47,255,50,2188305,964098,51,320000,52,0,11,1512000,41,1512000,43,1512000,48,0,40,80,43,63,45,100,49,0,
130,3,118,255,130,2749486,1525279,131,320000,133,0,112,1512000,114,1512000,116,1512000,118,1026000,114,100,115,100,117,100,129,47,
224,3,221,255,224,2776570,1552363,224,320000,225,0,213,1512000,215,1512000,218,1512000,221,1512000,214,66,217,63,220,100,224,100,
321,3,318,255,321,2119903,895696,321,320000,322,0,313,1512000,315,1512000,317,1512000,319,1512000,314,33,316,50,318,100,320,50,
421,3,419,255,421,2092541,868334,421,320000,422,0,413,1512000,415,1512000,417,1512000,419,1512000,415,63,417,30,418,100,421,36,
521,3,520,255,521,1928375,704168,522,320000,522,0,514,1512000,516,1512000,518,1512000,521,0,516,55,518,50,520,100,521,0,
621,3,620,255,621,1839451,615244,622,320000,622,0,614,1512000,617,1512000,618,1512000,620,0,616,75,618,57,620,60,621,0,
725,3,723,255,724,2113062,888855,725,320000,726,0,715,1512000,717,1512000,720,1512000,724,0,717,80,719,80,722,72,724,0,
823,3,821,255,823,2906536,1682329,824,320000,824,0,815,1512000,818,1512000,819,1512000,821,1512000,817,88,819,100,821,88,823,72,
922,3,920,255,922,2208826,984619,922,320000,923,0,916,1512000,918,1512000,919,1512000,921,1512000,917,72,919,54,920,70,922,50,
1025,3,1023,255,1025,1679654,455447,1026,320000,1026,0,1016,1512000,1019,1512000,1021,1512000,1023,1026000,1018,37,1020,33,1022,72,1025,50,
1126,3,1123,255,1125,863361,0,1126,320000,1127,0,1117,1026000,1119,1026000,1121,1512000,1125,0,1119,22,1121,33,1123,20,1125,0,
1223,3,1222,255,1223,671050,0,1223,320000,1224,0,1217,1026000,1219,1026000,1221,1512000,1222,0,1219,11,1220,10,1222,10,1223,0,
1336,3,1333,255,1335,640637,0,1337,320000,1338,0,1318,1026000,1323,486000,1329,384000,1334,0,1322,18,1327,11,1332,41,1335,0,
1430,3,1428,255,1430,755710,0,1430,320000,1432,0,1418,1026000,1422,1026000,1427,0,1429,0,1421,33,1425,30,1428,0,1429,0,
1549,3,1547,255,1549,650640,0,1551,320000,1555,0,1520,384000,1530,1026000,1541,0,1548,0,1528,30,1540,27,1542,0,1549,0,
