App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 07:24:24 PM","17 sec","Trepn_2018.10.19_192423.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
59,3,55,255,58,1926972,605785,0,320000,0,0,49,1512000,51,1512000,52,1026000,55,0,50,100,52,100,54,9,58,0,
157,3,155,255,157,2455077,1133890,59,320000,60,0,149,1512000,151,1512000,153,1512000,156,1512000,151,88,153,100,155,57,157,37,
257,3,255,255,257,2762890,1441703,158,320000,158,0,250,1512000,252,1512000,253,1512000,255,1512000,251,72,253,100,255,55,257,100,
357,3,355,255,357,2236188,915001,258,320000,258,0,350,1512000,352,1512000,354,1512000,356,1512000,352,40,353,100,355,30,357,80,
467,3,464,255,467,2003618,682431,358,320000,358,0,451,1512000,455,1512000,461,1512000,464,1512000,453,33,459,100,463,30,466,53,
558,3,556,255,558,2838133,1516946,468,320000,470,0,551,1512000,553,1512000,555,1512000,557,1512000,553,81,554,100,556,100,558,57,
663,3,659,255,663,2160944,839757,559,320000,560,0,653,1512000,655,1512000,656,1512000,659,1512000,654,60,656,100,658,54,662,25,
764,3,761,255,764,2523480,1202293,663,320000,664,0,753,1512000,756,1512000,758,1512000,762,1512000,755,63,758,72,760,69,764,88,
864,3,860,255,864,2988619,1667432,765,320000,766,0,853,1512000,856,1512000,858,1512000,861,1512000,855,90,857,80,859,100,864,90,
965,3,961,255,965,2222507,901320,865,400000,867,0,954,1512000,956,1512000,959,1512000,961,1512000,956,66,958,54,960,70,962,58,
1061,3,1059,255,1060,1141741,0,965,400000,966,0,1054,1512000,1056,1512000,1057,1512000,1059,1512000,1056,27,1057,22,1058,30,1060,11,
1167,3,1164,255,1167,671890,0,1061,400000,1062,0,1155,1026000,1158,1026000,1161,1026000,1165,0,1157,20,1160,10,1163,10,1167,0,
1264,3,1263,255,1264,861396,0,1168,400000,1169,0,1255,1026000,1258,1026000,1260,1026000,1263,0,1257,40,1260,11,1262,41,1264,0,
1380,3,1377,255,1380,601885,0,1265,400000,1266,0,1357,384000,1364,384000,1370,384000,1378,0,1363,22,1369,30,1375,35,1379,0,
1465,3,1464,255,1465,836251,0,1382,400000,1384,0,1457,918000,1459,1026000,1462,0,1464,0,1459,62,1461,33,1463,0,1465,0,
1565,3,1564,255,1565,755710,0,1466,400000,1467,0,1558,1026000,1561,1026000,1563,0,1565,0,1560,30,1562,33,1564,0,1565,0,
1707,3,1685,255,1707,781127,0,1566,400000,1567,0,1659,1026000,1665,918000,1669,0,1694,0,1664,33,1667,44,1671,0,1702,0,
1728,3,1725,255,1727,1822515,501328,1707,320000,1710,15,1712,1512000,1718,918000,1722,0,1725,0,1715,100,1719,80,1724,0,1727,0,
1815,3,1813,255,1815,1926374,605187,1728,320000,1730,15,1809,1512000,1811,1512000,1813,0,1814,0,1811,63,1812,88,1813,0,1815,0,
1914,3,1913,255,1914,1043977,0,1815,320000,1816,15,1910,1512000,1911,1512000,1913,0,1914,0,1911,11,1912,11,1913,0,1914,0,
2018,3,2017,255,2018,1207274,0,1915,200000,1929,15,2010,1512000,2015,1026000,2016,0,2017,0,2014,50,2016,45,2017,0,2018,0,
2116,3,2115,255,2116,895393,0,2018,128000,2019,15,2110,1512000,2113,1026000,2114,0,2115,0,2112,30,2114,20,2115,0,2116,0,
2234,3,2231,255,2233,731371,0,2116,128000,2117,15,2216,384000,2222,1026000,2230,0,2232,0,2220,18,2226,27,2231,0,2233,0,
2319,3,2318,255,2319,1001484,0,2234,128000,2235,15,2312,918000,2315,1026000,2317,0,2318,0,2314,60,2316,55,2317,0,2319,0,
2421,3,2420,255,2421,927067,0,2320,128000,2320,15,2413,1026000,2417,1026000,2419,0,2421,0,2415,45,2419,40,2420,0,2421,0,
2525,3,2521,255,2524,826036,0,2422,128000,2423,15,2513,594000,2517,1026000,2520,0,2522,0,2516,44,2519,38,2521,0,2524,0,
2623,3,2621,255,2623,959867,0,2526,128000,2528,15,2614,1026000,2618,1026000,2620,0,2622,0,2617,50,2620,44,2621,0,2622,0,
2804,3,2797,255,2798,813678,0,2624,128000,2625,15,2715,384000,2722,1026000,2735,0,2798,0,2719,33,2732,46,2797,0,2798,0,
2828,3,2824,255,2828,1860707,539520,2805,128000,2806,17,2815,1512000,2819,1512000,2822,0,2824,0,2819,90,2821,90,2822,0,2825,0,
2924,3,2921,255,2924,1252142,0,2829,128000,2829,17,2915,1512000,2917,1512000,2919,1026000,2922,1026000,2917,25,2919,33,2921,33,2923,29,
3027,3,3024,255,3026,742430,0,2924,128000,2925,17,3016,1026000,3019,1026000,3021,1026000,3024,1026000,3018,11,3021,0,3023,0,3026,20,
3125,3,3123,255,3125,818962,0,3027,128000,3028,17,3116,1026000,3119,1026000,3122,0,3124,0,3119,22,3121,30,3123,0,3125,0,
3243,3,3237,255,3242,679097,0,3126,128000,3126,17,3219,384000,3228,384000,3234,0,3239,0,3226,30,3233,27,3236,0,3241,0,
3323,3,3322,255,3323,1313484,0,3245,128000,3247,17,3317,1512000,3319,1512000,3321,0,3322,0,3319,50,3321,50,3321,0,3323,0,
3425,3,3423,255,3425,806349,0,3323,128000,3324,17,3418,1512000,3420,1026000,3422,0,3424,0,3419,20,3421,11,3423,0,3424,0,
3523,3,3522,255,3523,791715,0,3425,128000,3426,17,3518,1512000,3520,1026000,3522,0,3523,0,3519,12,3521,22,3522,0,3523,0,
