App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 07:29:26 PM","17 sec","Trepn_2018.10.19_192925.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
47,3,46,255,47,1894173,712609,48,320000,49,0,2,1512000,36,1512000,45,0,46,0,32,100,38,100,45,0,47,0,
113,3,111,255,113,2482438,1300874,114,320000,114,0,102,1512000,104,1512000,107,1512000,111,1512000,104,100,106,100,110,46,113,40,
210,3,208,255,210,2742369,1560805,210,320000,211,0,202,1512000,204,1512000,206,1512000,208,1512000,204,90,206,72,207,72,209,90,
310,3,308,255,310,2701327,1519763,311,320000,311,0,303,1512000,305,1512000,306,1512000,309,1512000,304,100,306,55,308,100,310,63,
411,3,409,255,411,2318271,1136707,411,320000,412,0,403,1512000,405,1512000,407,1512000,409,1512000,405,66,407,33,409,100,411,63,
511,3,509,255,511,1634242,452678,512,320000,512,0,504,1512000,506,1512000,508,1512000,510,1512000,505,12,507,20,509,100,511,30,
611,3,609,255,611,2496118,1314554,612,320000,612,0,604,1512000,606,1512000,608,1512000,610,1512000,606,60,607,58,609,100,611,70,
712,3,710,255,711,1632669,451105,712,320000,713,0,704,1512000,707,1512000,708,1026000,710,1512000,706,33,708,12,710,54,711,88,
813,3,811,255,813,1891703,710139,813,320000,814,0,805,1512000,807,1512000,809,1026000,811,1512000,807,55,808,63,810,50,812,55,
916,3,913,255,916,2817612,1636048,916,320000,917,0,906,1512000,909,1512000,911,1512000,914,1512000,908,87,911,90,913,81,915,77,
1014,3,1012,255,1014,2017298,835734,1015,320000,1015,0,1006,1512000,1008,1512000,1010,1512000,1013,1512000,1008,50,1010,22,1012,66,1014,80,
1116,3,1114,255,1116,1423772,242208,1116,320000,1117,0,1107,1134000,1109,1134000,1112,1512000,1114,1512000,1109,14,1111,44,1113,50,1116,45,
1215,3,1214,255,1215,812731,0,1215,320000,1216,0,1207,1026000,1210,1026000,1212,1512000,1214,0,1209,25,1211,33,1213,11,1215,0,
1328,3,1326,255,1328,534825,0,1329,320000,1330,0,1308,1026000,1314,1026000,1324,384000,1327,0,1313,0,1322,0,1326,10,1328,0,
1419,3,1417,255,1419,956149,0,1420,320000,1421,0,1409,1026000,1412,1026000,1414,1026000,1418,0,1411,41,1414,33,1416,44,1419,0,
1520,3,1518,255,1520,970726,0,1520,320000,1521,0,1509,1026000,1512,1026000,1515,1026000,1518,0,1512,50,1514,22,1517,50,1519,0,
1625,3,1623,255,1625,623576,0,1627,320000,1629,0,1610,486000,1615,486000,1619,384000,1624,0,1614,27,1618,36,1622,25,1625,0,
1720,3,1719,255,1720,945216,0,1721,200000,1722,0,1710,1026000,1713,1026000,1716,1026000,1719,0,1713,45,1715,30,1718,40,1720,0,
1822,3,1820,255,1821,794767,0,1823,128000,1824,17,1811,594000,1814,702000,1817,1026000,1820,0,1813,12,1816,33,1819,50,1821,0,
1917,3,1916,255,1917,2106958,925394,1918,128000,1918,17,1911,1512000,1913,1512000,1915,1512000,1917,0,1913,90,1915,76,1916,50,1917,0,
2018,3,2017,255,2018,1060394,0,2019,128000,2019,17,2012,1512000,2014,1512000,2016,1512000,2018,0,2014,18,2015,18,2017,27,2018,0,
2121,3,2120,255,2121,749719,0,2122,128000,2123,17,2112,1026000,2115,1026000,2118,1026000,2120,0,2115,22,2117,11,2119,0,2121,0,
2226,3,2224,255,2226,717272,0,2228,128000,2229,17,2213,594000,2217,384000,2221,594000,2225,0,2216,22,2220,11,2223,27,2226,0,
2322,3,2321,255,2322,986602,0,2323,128000,2324,17,2314,1026000,2316,1026000,2319,1026000,2321,0,2316,45,2318,12,2320,41,2322,0,
2440,3,2437,255,2440,678650,0,2444,128000,2446,17,2414,486000,2419,384000,2423,486000,2438,0,2418,14,2422,22,2435,11,2439,0,
2523,3,2522,255,2523,995420,0,2524,128000,2524,17,2515,918000,2518,1026000,2520,0,2522,0,2517,60,2519,50,2521,0,2523,0,
2634,3,2631,255,2633,735437,0,2635,128000,2645,17,2617,384000,2622,1026000,2629,0,2632,0,2621,38,2628,20,2630,0,2633,0,
2725,3,2723,255,2724,1112345,0,2725,128000,2726,17,2716,918000,2719,1026000,2722,0,2724,0,2718,72,2721,72,2723,0,2724,0,
2825,3,2824,255,2825,1008468,0,2826,128000,2827,19,2817,1026000,2820,1026000,2823,0,2824,0,2820,54,2822,50,2823,0,2825,0,
