App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 09:46:51 PM","17 sec","Trepn_2018.10.19_214650.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
59,3,57,255,58,2625856,1331060,59,320000,60,0,51,1512000,53,1026000,55,1512000,57,1512000,53,88,54,60,56,100,58,87,
160,3,157,255,159,2824452,1529656,160,320000,161,0,152,1512000,154,1512000,156,1512000,158,1512000,153,70,155,100,157,100,159,66,
260,3,258,255,260,2496118,1201322,260,320000,261,0,252,1512000,254,1512000,256,1512000,258,1512000,254,33,256,100,257,100,259,55,
361,3,358,255,360,2065180,770384,361,320000,362,0,353,1512000,355,1512000,356,1512000,359,1512000,354,63,356,40,358,100,360,22,
461,3,459,255,461,2099382,804586,462,320000,462,0,453,1512000,455,1512000,457,1512000,460,1512000,454,75,456,22,459,100,461,33,
562,3,560,255,562,2379834,1085038,562,320000,563,0,553,1512000,555,1512000,557,1512000,560,1512000,555,58,557,58,559,100,561,55,
662,3,659,255,661,1490596,195800,662,320000,663,0,654,1512000,656,1512000,658,1512000,660,1512000,656,11,657,75,659,44,661,11,
763,3,760,255,763,2195146,900350,764,320000,765,0,754,1512000,757,1512000,759,1512000,761,1512000,756,63,758,63,760,60,763,58,
869,3,866,255,869,2376964,1082168,870,320000,871,0,855,1026000,857,1512000,859,1512000,867,1026000,856,72,859,100,866,88,869,83,
965,3,961,255,964,2263549,968753,965,320000,966,0,955,1512000,957,1512000,959,1512000,961,1512000,957,62,959,50,960,55,964,87,
1062,3,1060,255,1062,2400354,1105558,1063,320000,1063,0,1056,1512000,1057,1512000,1059,1512000,1061,1512000,1057,81,1058,70,1060,60,1062,63,
1163,3,1161,255,1163,1121221,0,1163,320000,1164,0,1156,1512000,1158,1512000,1160,1512000,1162,1512000,1158,40,1159,11,1161,11,1163,25,
1269,3,1265,255,1269,728717,0,1269,320000,1270,0,1257,486000,1260,1026000,1263,1026000,1266,1026000,1260,20,1262,18,1265,11,1268,20,
1409,3,1394,255,1397,569661,0,1410,200000,1411,0,1380,384000,1389,0,1392,0,1396,0,1389,50,1391,0,1394,0,1397,0,
1464,3,1463,255,1464,936533,0,1465,200000,1471,0,1458,1512000,1461,0,1462,0,1463,0,1460,60,1461,0,1462,0,1464,0,
1564,3,1563,255,1563,1162262,0,1564,128000,1565,0,1558,1512000,1560,1512000,1562,0,1563,0,1560,63,1561,30,1562,0,1563,0,
1669,3,1666,255,1668,783690,0,1670,128000,1671,0,1659,1512000,1661,1026000,1663,0,1667,0,1661,27,1663,20,1666,0,1668,0,
1766,3,1765,255,1766,963723,0,1767,128000,1768,20,1759,1512000,1761,1026000,1763,0,1765,0,1761,40,1763,45,1764,0,1766,0,
1869,3,1866,255,1868,1120903,0,1869,128000,1870,20,1860,1512000,1862,1026000,1865,0,1867,0,1862,50,1864,36,1865,0,1868,0,
1966,3,1965,255,1966,998674,0,1966,128000,1967,20,1960,1512000,1962,1026000,1964,0,1965,0,1962,30,1964,40,1964,0,1965,0,
2072,3,2070,255,2072,917374,0,2072,128000,2074,20,2061,1026000,2064,1026000,2068,0,2071,0,2063,33,2067,41,2069,0,2071,0,
2169,3,2168,255,2169,818976,0,2170,128000,2171,20,2162,1026000,2164,1026000,2167,0,2168,0,2164,27,2166,20,2167,0,2169,0,
