App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 07:48:35 PM","17 sec","Trepn_2018.10.19_194834.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
75,3,73,255,74,1894173,688525,75,320000,76,0,25,1512000,61,1512000,72,0,74,0,60,100,62,100,73,0,74,0,
131,3,130,255,131,1894173,688525,133,320000,134,0,125,1512000,127,1512000,129,0,130,0,127,100,128,100,129,0,131,0,
233,3,231,255,232,2284070,1078422,233,320000,234,0,225,1512000,227,1512000,229,1512000,231,1512000,227,100,228,80,230,70,232,7,
334,3,331,255,333,2667126,1461478,334,320000,335,0,326,1512000,328,1512000,330,1512000,332,1512000,327,100,329,55,331,58,333,100,
434,3,432,255,434,2249868,1044220,434,320000,435,0,426,1512000,428,1512000,430,1512000,432,1512000,428,70,429,54,431,28,433,100,
533,3,531,255,533,2044659,839011,534,320000,534,0,526,1512000,528,1512000,530,1512000,532,1512000,528,37,529,63,531,22,533,100,
634,3,632,255,634,2502959,1297311,634,320000,635,0,627,1512000,629,1512000,630,1512000,632,1512000,628,58,630,77,632,54,633,100,
734,3,733,255,734,1695805,490157,735,320000,735,0,727,1512000,729,1512000,731,1512000,733,1512000,729,33,731,11,732,27,734,100,
839,3,836,255,838,2079978,874330,839,320000,840,0,828,1512000,830,1512000,833,1512000,836,1026000,830,63,833,75,835,54,838,66,
937,3,934,255,936,2803931,1598283,937,320000,938,0,928,1512000,930,1512000,932,1512000,934,1512000,930,100,931,90,933,62,936,81,
1036,3,1034,255,1036,2201986,996338,1037,400000,1037,0,1029,1512000,1030,1512000,1032,1512000,1035,1512000,1030,45,1032,45,1034,55,1036,100,
1137,3,1135,255,1137,1750527,544879,1138,400000,1138,0,1129,1512000,1131,1512000,1133,1512000,1136,1512000,1131,44,1132,44,1134,50,1137,41,
1235,3,1234,255,1235,1052818,0,1236,400000,1236,0,1230,1512000,1232,1512000,1233,1512000,1235,0,1231,22,1233,25,1234,30,1235,0,
1341,3,1338,255,1340,543679,0,1341,400000,1342,0,1331,594000,1334,1026000,1336,594000,1339,0,1333,11,1335,0,1338,0,1340,0,
1439,3,1438,255,1439,901484,0,1439,400000,1440,0,1431,1026000,1434,1026000,1437,0,1438,0,1434,53,1436,50,1437,0,1438,0,
1564,3,1562,255,1564,636706,0,1565,320000,1567,0,1533,384000,1544,1026000,1560,0,1563,0,1537,14,1554,27,1561,0,1563,0,
1637,3,1637,255,1637,902331,0,1638,320000,1638,0,1632,1512000,1634,1026000,1636,0,1637,0,1634,55,1636,0,1636,0,1637,0,
1749,3,1744,255,1748,825012,0,1750,200000,1751,0,1733,918000,1738,1026000,1742,0,1747,0,1736,50,1741,40,1743,0,1748,0,
1856,3,1854,255,1856,928676,0,1857,128000,1858,17,1834,918000,1849,1026000,1852,0,1855,0,1839,66,1851,55,1853,0,1856,0,
1950,3,1948,255,1950,2134319,928671,1950,128000,1951,17,1936,1512000,1938,1512000,1944,594000,1948,1512000,1938,100,1942,100,1947,0,1950,20,
2044,3,2042,255,2044,2572097,1366449,2045,128000,2045,17,2037,1512000,2039,1512000,2041,1512000,2043,1512000,2038,100,2040,66,2042,63,2044,55,
2145,3,2143,255,2145,1116796,0,2145,128000,2146,17,2137,1512000,2140,1512000,2141,1026000,2143,1026000,2139,11,2141,40,2143,27,2144,11,
