Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.269,20.269,screen bright,16.319342122
0,20.269,20.269,wifi running,0.2437104022
0,20.269,20.269,phone_scanning,9.4615165006
0.0,23.708442,23.708442,core 0 cpu_idle start,0.315737176335
23.708442,23.800635,0.0921930000004,core 0 cpu_idle,0.00122778027751
23.800635,23.800696,6.10000006418e-05,core 0 cpu_frequency,4.02237969232e-05
23.800696,23.90055,0.0998540000001,core 0 cpu_idle,0.001329805645
23.90055,23.903327,0.0027769999997,core 0 cpu_frequency,0.0018311718503
23.903327,24.003272,0.0999449999999,core 0 cpu_idle,0.0013310175375
24.003272,24.012549,0.0092769999992,core 0 cpu_frequency,0.00846116670377
24.012549,24.400733,0.388184000001,core 0 cpu_idle,0.00516964042002
24.400733,24.400794,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
24.400794,24.550605,0.149811000001,core 0 cpu_idle,0.00199510799252
24.550605,24.550788,0.000183000000106,core 0 cpu_frequency,0.00012067138957
24.550788,24.600776,0.0499879999988,core 0 cpu_idle,0.000665715189985
24.600776,24.600837,6.10000006418e-05,core 0 cpu_frequency,4.02237969232e-05
24.600837,24.650885,0.0500479999992,core 0 cpu_idle,0.000666514239989
24.650885,24.650946,6.10000006418e-05,core 0 cpu_frequency,2.14929232261e-05
24.650946,24.704169,0.053222999999,core 0 cpu_idle,0.000708797302486
24.704169,24.704871,0.000702000001183,core 0 cpu_frequency,0.00046290336378
24.704871,24.802405,0.0975340000005,core 0 cpu_idle,0.00129890904501
24.802405,24.802497,9.19999984035e-05,core 0 cpu_frequency,6.06653969472e-05
24.802497,24.850959,0.0484620000007,core 0 cpu_idle,0.000645392685009
24.850959,24.851081,0.000121999999465,core 0 cpu_frequency,8.0447592647e-05
24.851081,24.950721,0.0996400000004,core 0 cpu_idle,0.0013269557
24.950721,24.986396,0.035675000001,core 0 cpu_frequency,0.0325376869884
24.986396,25.203254,0.216858,core 0 cpu_idle,0.002888006415
25.203254,25.203315,6.09999988228e-05,core 0 cpu_frequency,3.08931749038e-05
25.203315,25.251105,0.0477900000005,core 0 cpu_idle,0.000636443325007
25.251105,25.251319,0.000213999999687,core 0 cpu_frequency,9.67352758585e-05
25.251319,25.300879,0.0495600000013,core 0 cpu_idle,0.000660015300017
25.300879,25.30094,6.09999988228e-05,core 0 cpu_frequency,3.08931749038e-05
25.30094,25.400672,0.0997320000006,core 0 cpu_idle,0.00132818091001
25.400672,25.400733,6.10000006418e-05,core 0 cpu_frequency,4.02237969232e-05
25.400733,25.45066,0.049927,core 0 cpu_idle,0.0006649028225
25.45066,25.456702,0.00604199999907,core 0 cpu_frequency,0.00398413407239
25.456702,25.65058,0.193878,core 0 cpu_idle,0.002581970265
25.65058,25.650611,3.09999995807e-05,core 0 cpu_frequency,2.04416012235e-05
25.650611,25.850592,0.199981,core 0 cpu_idle,0.0026632469675
25.850592,25.851661,0.00106899999992,core 0 cpu_frequency,0.000704905548444
25.851661,25.904334,0.0526730000001,core 0 cpu_idle,0.000701472677502
25.904334,25.991858,0.0875240000005,core 0 cpu_frequency,0.0798270081544
25.991858,26.200629,0.208771,core 0 cpu_idle,0.00278030779249
26.200629,26.20069,6.10000006418e-05,core 0 cpu_frequency,4.02237969232e-05
26.20069,26.310523,0.109833,core 0 cpu_idle,0.00146270097751
26.310523,26.310584,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
26.310584,26.350562,0.0399780000007,core 0 cpu_idle,0.000532407015009
