App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 09:37:44 PM","17 sec","Trepn_2018.10.19_213743.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
49,3,43,255,48,2051500,547467,50,320000,51,0,10,1512000,38,1512000,41,1512000,46,0,37,45,41,78,43,100,48,0,
125,3,117,255,125,2700651,1196618,126,320000,126,0,110,1512000,112,1512000,115,1512000,118,1026000,112,87,113,100,117,100,124,58,
220,3,217,255,220,2947577,1443544,220,320000,221,0,211,1512000,213,1512000,215,1512000,218,1512000,212,77,215,77,217,100,219,100,
319,3,317,255,319,2509799,1005766,319,320000,320,0,311,1512000,313,1512000,315,1512000,317,1512000,312,60,314,50,316,100,319,80,
419,3,417,255,419,2085701,581668,419,320000,420,0,411,1512000,413,1512000,415,1512000,417,1512000,413,77,415,11,417,100,419,40,
520,3,518,255,520,2372993,868960,521,320000,522,0,512,1512000,514,1512000,516,1512000,519,1512000,513,75,515,45,518,100,520,50,
620,3,618,255,620,1894173,390140,621,320000,621,0,612,1512000,614,1512000,616,1512000,618,1512000,614,33,616,40,618,83,620,44,
722,3,719,255,722,1996777,492744,722,320000,723,0,713,1512000,715,1512000,717,1512000,720,1512000,714,63,716,40,719,40,721,72,
822,3,820,255,822,2680806,1176773,823,320000,824,0,813,1512000,816,1512000,818,1512000,820,1512000,815,72,817,88,819,85,822,70,
921,3,919,255,920,2448236,944203,923,320000,923,0,913,1512000,915,1512000,917,1512000,919,1512000,915,88,916,63,918,58,920,72,
1022,3,1019,255,1021,1461457,0,1022,320000,1023,0,1014,1512000,1016,1134000,1018,1512000,1020,1512000,1016,30,1017,30,1019,44,1021,44,
1121,3,1119,255,1121,1087019,0,1122,320000,1122,0,1114,1512000,1116,1026000,1118,1512000,1120,1512000,1116,22,1118,0,1119,27,1121,33,
1227,3,1226,255,1227,721500,0,1228,320000,1230,0,1215,918000,1219,1026000,1224,0,1226,0,1218,40,1223,20,1225,0,1227,0,
1324,3,1323,255,1324,926994,0,1325,320000,1329,0,1316,1026000,1319,1026000,1322,0,1323,0,1318,50,1321,60,1322,0,1324,0,
1423,3,1422,255,1423,686052,0,1426,320000,1427,0,1416,384000,1419,1026000,1421,0,1423,0,1418,33,1421,36,1422,0,1423,0,
1528,3,1526,255,1528,839313,0,1529,200000,1530,0,1517,918000,1521,1026000,1525,0,1526,0,1520,63,1524,33,1525,0,1527,0,
1625,3,1623,255,1625,781220,0,1626,200000,1626,0,1617,1026000,1620,1026000,1622,0,1624,0,1619,25,1622,45,1623,0,1625,0,
1727,3,1725,255,1727,792042,0,1728,128000,1729,18,1718,702000,1721,1026000,1724,0,1726,0,1720,50,1723,45,1725,0,1727,0,
1825,3,1823,255,1824,1524486,20453,1825,128000,1826,18,1818,1512000,1821,1026000,1822,0,1824,0,1820,90,1822,75,1823,0,1824,0,
1926,3,1925,255,1926,1601131,97098,1926,128000,1927,18,1919,1512000,1921,1026000,1923,1512000,1925,0,1920,66,1922,66,1924,40,1926,0,
2026,3,2025,255,2026,802334,0,2026,128000,2027,18,2019,1512000,2021,1026000,2023,1026000,2025,0,2021,10,2023,27,2024,0,2025,0,
2127,3,2126,255,2127,986516,0,2128,128000,2128,18,2119,1512000,2122,1026000,2123,1026000,2126,0,2121,30,2123,30,2125,10,2127,0,
2230,3,2228,255,2230,886994,0,2231,128000,2231,18,2220,1026000,2224,1026000,2226,1026000,2229,0,2223,25,2225,33,2228,11,2230,0,
2337,3,2335,255,2337,731914,0,2338,128000,2340,18,2321,594000,2326,594000,2330,384000,2335,0,2325,14,2329,30,2334,30,2336,0,
