App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 08:15:51 PM","17 sec","Trepn_2018.10.19_201550.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
51,3,49,255,51,2072021,772604,52,320000,52,0,11,1512000,40,1512000,42,1512000,50,0,40,92,42,83,44,51,50,0,
122,3,121,255,122,2865494,1566077,123,320000,124,0,113,1512000,115,1512000,118,1512000,121,1512000,115,100,118,100,120,100,122,42,
221,3,219,255,221,2872334,1572917,221,320000,222,0,213,1512000,215,1512000,217,1512000,219,1512000,215,81,217,100,218,100,221,62,
322,3,319,255,321,2509799,1210382,322,320000,323,0,314,1512000,316,1512000,317,1512000,320,1512000,315,90,317,50,319,100,321,50,
423,3,421,255,423,2256708,957291,423,320000,424,0,414,1512000,417,1512000,419,1512000,421,1512000,416,50,418,50,420,100,423,53,
522,3,520,255,522,2277229,977812,522,320000,523,0,515,1512000,517,1512000,518,1512000,520,1512000,516,54,518,66,520,81,522,55,
625,3,621,255,624,2290910,991493,627,320000,628,0,615,1512000,617,1512000,619,1512000,622,1512000,617,70,619,58,621,50,624,80,
725,3,723,255,724,2879175,1579758,725,320000,726,0,715,1512000,718,1512000,720,1512000,723,1512000,717,77,720,77,722,100,724,90,
825,3,823,255,825,2393514,1094097,825,320000,826,0,816,1512000,818,1512000,821,1512000,823,1512000,817,50,821,66,822,80,824,77,
925,3,922,255,924,1549297,249880,925,320000,926,0,916,1512000,919,1512000,921,1512000,923,1026000,918,66,920,22,922,44,924,33,
1026,3,1024,255,1026,909408,0,1026,320000,1027,0,1017,1134000,1020,1026000,1022,1026000,1024,1026000,1019,30,1021,20,1023,30,1025,20,
1144,3,1141,255,1144,567919,0,1145,320000,1146,0,1123,384000,1133,384000,1140,0,1142,0,1132,30,1139,18,1141,0,1143,0,
1237,3,1234,255,1236,862985,0,1238,200000,1239,0,1222,918000,1228,918000,1232,0,1235,0,1227,60,1232,50,1233,0,1236,0,
1334,3,1332,255,1334,916061,0,1335,200000,1336,0,1322,1026000,1327,1026000,1330,0,1332,0,1326,44,1330,63,1331,0,1333,0,
1433,3,1431,255,1432,850463,0,1433,128000,1434,0,1423,1026000,1426,1026000,1430,0,1432,0,1425,45,1430,44,1431,0,1432,0,
1534,3,1532,255,1534,686467,0,1535,128000,1536,0,1524,1026000,1527,1026000,1530,0,1532,0,1526,22,1530,22,1531,0,1533,0,
1635,3,1633,255,1635,1094634,0,1636,128000,1637,19,1624,1026000,1627,1026000,1632,0,1634,0,1626,81,1629,75,1633,0,1634,0,
1731,3,1730,255,1731,1106752,0,1731,128000,1732,19,1725,1512000,1727,1512000,1729,0,1730,0,1726,22,1729,46,1730,0,1731,0,
1835,3,1831,255,1834,842052,0,1835,128000,1836,19,1825,1026000,1828,1026000,1830,0,1833,0,1827,33,1830,22,1831,0,1834,0,
1943,3,1942,255,1943,696480,0,1944,128000,1944,19,1927,384000,1935,384000,1940,0,1942,0,1933,33,1940,30,1941,0,1943,0,
2037,3,2033,255,2037,1012169,0,2038,128000,2039,19,2027,918000,2030,918000,2032,0,2034,0,2029,58,2031,63,2033,0,2036,0,
2140,3,2138,255,2140,790616,0,2141,128000,2142,19,2127,384000,2132,1026000,2136,0,2139,0,2130,33,2135,33,2138,0,2140,0,
2236,3,2235,255,2236,1016764,0,2237,128000,2238,19,2228,918000,2231,1026000,2234,0,2235,0,2230,63,2233,50,2234,0,2236,0,
2339,3,2337,255,2339,764663,0,2339,128000,2340,19,2329,918000,2333,1026000,2336,0,2338,0,2331,14,2335,22,2337,0,2338,0,
2440,3,2438,255,2439,830932,0,2440,128000,2441,19,2429,1026000,2433,384000,2437,0,2439,0,2432,40,2437,50,2438,0,2439,0,
2540,3,2539,255,2540,947738,0,2541,128000,2542,19,2531,1026000,2534,1026000,2538,0,2539,0,2533,44,2537,40,2538,0,2540,0,
2651,3,2647,255,2650,867256,0,2651,128000,2652,19,2632,1026000,2637,594000,2641,0,2650,0,2636,33,2640,66,2645,0,2650,0,
2739,3,2738,255,2739,947518,0,2739,128000,2740,19,2732,1026000,2734,1512000,2737,0,2738,0,2734,22,2736,33,2737,0,2738,0,
2842,3,2840,255,2842,944094,0,2842,128000,2843,19,2832,1026000,2836,1026000,2839,0,2841,0,2835,33,2839,50,2840,0,2841,0,
2956,3,2947,255,2955,812897,0,2956,128000,2958,19,2933,1026000,2939,1026000,2944,0,2954,0,2936,11,2943,36,2945,0,2955,0,
3045,3,3043,255,3044,994898,0,3045,128000,3046,19,3034,918000,3038,1026000,3041,0,3043,0,3037,63,3041,44,3042,0,3044,0,
3171,3,3161,255,3171,1111823,0,3172,128000,3173,19,3134,918000,3139,1026000,3144,0,3162,0,3138,75,3143,66,3146,0,3170,0,
3243,3,3241,255,3243,1666645,367228,3244,128000,3245,19,3235,1512000,3237,1512000,3239,1026000,3242,1026000,3237,66,3239,70,3241,16,3243,10,
3342,3,3340,255,3342,756944,0,3343,128000,3343,19,3335,1512000,3337,1512000,3339,1026000,3341,1026000,3337,11,3338,0,3340,0,3342,11,
3454,3,3450,255,3454,881497,0,3455,128000,3457,19,3436,1026000,3441,1026000,3446,1026000,3451,384000,3440,33,3445,18,3449,11,3454,16,
3548,3,3546,255,3548,972573,0,3548,128000,3549,19,3537,918000,3540,1026000,3543,1026000,3547,0,3540,45,3542,33,3545,20,3547,0,
3650,3,3648,255,3650,833317,0,3651,128000,3652,20,3637,1026000,3641,384000,3644,1026000,3649,0,3640,22,3643,36,3648,22,3650,0,
3743,3,3742,255,3743,1972237,672820,3744,128000,3744,20,3737,1512000,3739,1512000,3741,1026000,3743,0,3739,77,3740,90,3742,50,3743,0,
3851,3,3845,255,3850,1766637,467220,3852,128000,3856,20,3838,1512000,3841,1512000,3843,1026000,3849,0,3840,66,3842,80,3845,33,3850,0,
3946,3,3944,255,3946,3014431,1715014,3946,128000,3947,20,3938,1512000,3941,1512000,3942,1512000,3944,1512000,3940,66,3942,100,3944,80,3945,100,
4045,3,4043,255,4045,1297405,0,4046,400000,4046,20,4039,1512000,4041,1512000,4042,1026000,4044,1512000,4040,30,4042,22,4043,30,4045,27,
4145,3,4144,255,4145,1871374,571957,4146,400000,4146,20,4139,1512000,4141,1512000,4142,1512000,4144,1512000,4140,41,4142,20,4143,12,4145,20,
4248,3,4246,255,4247,1542364,242947,4248,200000,4249,20,4241,1026000,4243,1512000,4245,1026000,4247,0,4242,28,4244,14,4246,30,4247,0,
4350,3,4349,255,4350,1204037,0,4350,200000,4351,20,4341,1026000,4344,1512000,4347,1026000,4349,0,4344,30,4346,33,4348,30,4349,0,
4452,3,4451,255,4452,1411986,112569,4453,200000,4454,20,4443,1026000,4446,1026000,4449,1026000,4451,0,4446,60,4448,61,4450,58,4452,0,
4555,3,4553,255,4555,1164170,0,4556,200000,4556,20,4545,1026000,4548,1026000,4551,1026000,4554,0,4548,50,4550,28,4553,33,4555,0,
4658,3,4656,255,4657,1532249,232832,4658,200000,4659,41,4646,1026000,4649,1026000,4652,1026000,4657,0,4648,70,4651,76,4655,66,4657,0,
4757,3,4756,255,4757,1587952,288535,4758,200000,4759,41,4748,1026000,4751,1026000,4754,1026000,4757,0,4750,55,4753,55,4755,50,4757,0,
4860,3,4858,255,4860,1580663,281246,4861,200000,4861,41,4849,1026000,4853,1026000,4856,1026000,4859,0,4852,54,4855,54,4858,50,4860,0,
4968,3,4963,255,4968,1547864,248447,4970,200000,4971,41,4950,1026000,4955,1026000,4960,1026000,4966,0,4954,58,4959,54,4962,37,4967,0,
5064,3,5062,255,5064,1569730,270313,5064,200000,5066,41,5051,1026000,5054,1026000,5059,1026000,5063,0,5053,55,5056,37,5061,63,5063,0,
5163,3,5162,255,5163,1700927,401510,5164,200000,5165,41,5154,1026000,5157,1026000,5160,1026000,5162,0,5156,63,5159,58,5161,70,5163,0,
5272,3,5266,255,5271,1478510,179093,5273,200000,5274,41,5255,1026000,5260,702000,5263,1026000,5267,0,5258,57,5262,50,5265,45,5268,0,
5362,3,5361,255,5362,2106020,806603,5363,200000,5364,41,5354,1026000,5356,1512000,5359,1026000,5362,0,5356,75,5358,80,5361,77,5362,0,
5462,3,5461,255,5462,1782064,482647,5463,200000,5463,41,5456,1026000,5458,1512000,5459,1026000,5461,1512000,5457,50,5459,30,5460,30,5462,41,
5565,3,5563,255,5565,1543999,244582,5566,200000,5567,41,5556,1026000,5559,1512000,5561,1026000,5564,1026000,5559,33,5561,33,5563,20,5565,33,
