App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 08:23:57 PM","17 sec","Trepn_2018.10.19_202356.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
35,3,34,255,35,1894173,595837,36,320000,36,0,7,1512000,32,1512000,33,0,34,0,31,100,33,100,34,0,35,0,
118,3,113,255,115,1894173,595837,119,320000,120,0,108,1512000,109,1512000,111,0,114,0,109,100,111,100,112,0,115,0,
216,3,213,255,216,2523480,1225144,217,320000,217,0,208,1512000,210,1512000,212,1512000,215,1512000,209,100,211,100,213,76,216,16,
316,3,314,255,316,2119903,821567,317,320000,317,0,308,1512000,310,1512000,312,1512000,314,1512000,310,100,311,37,313,33,316,63,
417,3,414,255,417,2044659,746323,417,320000,418,0,409,1512000,411,1512000,412,1512000,414,1512000,410,100,412,12,414,50,417,60,
516,3,514,255,516,2379834,1081498,517,320000,517,0,509,1512000,511,1512000,512,1512000,514,1512000,510,100,512,55,514,50,516,66,
616,3,614,255,616,1789791,491455,617,320000,617,0,609,1512000,611,1512000,613,1512000,615,1134000,611,100,612,33,614,33,616,30,
719,3,716,255,718,1412548,114212,719,320000,720,0,710,1512000,712,1512000,714,1512000,717,1026000,712,100,714,10,716,10,718,18,
820,3,817,255,820,976621,0,821,320000,821,0,810,1512000,814,1026000,816,0,817,0,814,60,816,11,817,0,819,0,
924,3,922,255,923,1731678,433342,924,320000,925,0,911,1512000,917,1026000,919,1026000,922,0,917,91,919,90,921,70,923,0,
1019,3,1017,255,1019,2913376,1615040,1019,400000,1020,0,1011,1512000,1013,1512000,1015,1512000,1017,1512000,1013,90,1014,90,1016,100,1019,69,
1119,3,1117,255,1118,2749209,1450873,1119,400000,1119,0,1111,1512000,1113,1512000,1115,1512000,1117,1512000,1113,80,1115,90,1116,80,1118,75,
1227,3,1222,255,1227,1514378,216042,1230,400000,1231,0,1213,1026000,1216,1512000,1219,1512000,1223,1134000,1215,30,1218,66,1222,50,1226,20,
1322,3,1320,255,1322,1456949,158613,1322,400000,1323,0,1313,1026000,1316,1512000,1318,1512000,1320,1026000,1316,54,1317,46,1319,40,1322,40,
1427,3,1422,255,1427,744777,0,1427,400000,1428,0,1414,1026000,1417,1026000,1419,1026000,1423,1026000,1416,0,1419,11,1421,16,1426,33,
1525,3,1524,255,1525,679178,0,1526,400000,1527,0,1515,1026000,1520,1026000,1523,0,1524,0,1519,22,1522,20,1523,0,1525,0,
1627,3,1622,255,1626,799442,0,1627,400000,1630,0,1615,1026000,1618,1026000,1620,0,1623,0,1617,25,1620,50,1622,0,1626,0,
1722,3,1721,255,1722,726555,0,1723,400000,1724,0,1716,1026000,1718,1026000,1720,0,1722,0,1718,44,1720,11,1721,0,1722,0,
1829,3,1828,255,1829,694550,0,1830,400000,1833,0,1816,918000,1823,918000,1827,0,1828,0,1822,33,1826,22,1827,0,1829,0,
1924,3,1922,255,1923,836251,0,1924,400000,1925,16,1917,1026000,1919,918000,1922,0,1923,0,1919,33,1921,62,1922,0,1923,0,
2036,3,2031,255,2035,1508861,210525,2037,320000,2038,16,2017,1026000,2025,1026000,2029,0,2032,0,2025,60,2028,54,2030,0,2032,0,
2125,3,2123,255,2125,1220464,0,2125,200000,2126,16,2118,1026000,2120,1026000,2123,0,2124,0,2120,28,2122,55,2123,0,2124,0,
2244,3,2243,255,2244,862333,0,2245,128000,2246,16,2226,1026000,2233,384000,2241,0,2243,0,2231,30,2240,46,2241,0,2244,0,
2333,3,2332,255,2333,903992,0,2334,128000,2335,16,2325,1026000,2328,1026000,2330,0,2332,0,2327,37,2330,40,2331,0,2333,0,
2447,3,2444,255,2446,1060699,0,2448,128000,2449,16,2432,1026000,2435,1026000,2442,0,2445,0,2434,63,2441,57,2443,0,2446,0,
2531,3,2530,255,2531,958551,0,2531,128000,2532,16,2526,1512000,2528,1512000,2529,0,2530,0,2528,16,2529,33,2530,0,2531,0,
2641,3,2636,255,2641,794661,0,2642,128000,2644,16,2627,1026000,2630,1026000,2634,0,2636,0,2630,11,2633,36,2635,0,2637,0,
2735,3,2733,255,2734,969370,0,2735,128000,2736,16,2727,1512000,2730,1026000,2732,0,2734,0,2729,33,2732,33,2733,0,2734,0,
2841,3,2838,255,2840,870770,0,2841,128000,2843,16,2828,810000,2831,1026000,2835,0,2839,0,2830,33,2833,45,2836,0,2840,0,
2935,3,2934,255,2934,1245166,0,2935,128000,2936,18,2928,1512000,2931,1026000,2933,0,2934,0,2930,60,2932,58,2933,0,2934,0,
3039,3,3038,255,3039,811396,0,3040,128000,3041,18,3029,810000,3033,1026000,3036,0,3038,0,3032,22,3035,33,3037,0,3039,0,
3138,3,3137,255,3138,937340,0,3139,128000,3140,18,3130,918000,3133,1026000,3136,0,3137,0,3133,45,3135,45,3136,0,3138,0,
3242,3,3240,255,3241,779701,0,3242,128000,3243,18,3230,384000,3234,1026000,3237,0,3241,0,3233,40,3236,30,3239,0,3241,0,
3340,3,3338,255,3340,952499,0,3341,128000,3342,18,3331,918000,3334,1026000,3337,0,3339,0,3334,44,3336,50,3338,0,3340,0,
3444,3,3442,255,3443,832329,0,3445,128000,3446,18,3432,1026000,3436,1026000,3440,0,3443,0,3435,36,3439,18,3441,0,3443,0,
3541,3,3539,255,3540,963525,0,3541,128000,3542,18,3532,1026000,3535,1026000,3538,0,3539,0,3535,45,3537,45,3538,0,3540,0,
3644,3,3643,255,3644,795885,0,3645,128000,3646,18,3633,1026000,3638,1026000,3641,0,3643,0,3637,22,3640,22,3642,0,3644,0,
3741,3,3740,255,3741,1171253,0,3748,128000,3756,18,3734,1026000,3736,1026000,3739,0,3740,0,3736,66,3738,81,3739,0,3740,0,
3838,3,3838,255,3838,1237479,0,3839,128000,3840,18,3834,1512000,3836,1512000,3837,0,3838,0,3835,44,3837,44,3837,0,3838,0,
3939,3,3938,255,3939,895464,0,3940,128000,3940,18,3934,1512000,3936,1512000,3938,0,3939,0,3936,27,3937,11,3938,0,3939,0,
4047,3,4045,255,4046,795885,0,4047,128000,4048,17,4036,1026000,4040,1026000,4043,0,4046,0,4039,14,4042,30,4044,0,4046,0,
