App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 08:34:03 PM","17 sec","Trepn_2018.10.19_203402.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
40,3,37,255,40,2407195,1249400,41,320000,42,0,5,1512000,33,1512000,35,1512000,37,0,32,91,34,100,36,84,38,0,
115,3,112,255,115,2702110,1544315,116,320000,116,0,105,1512000,108,1512000,110,1512000,114,1026000,107,100,109,100,112,100,115,34,
216,3,212,255,215,2708167,1550372,216,320000,217,0,206,1512000,208,1512000,210,1512000,213,1512000,207,57,210,100,212,100,215,62,
315,3,312,255,315,2482438,1324643,316,320000,317,0,306,1512000,308,1512000,310,1512000,312,1512000,308,66,310,70,311,100,315,50,
415,3,413,255,415,2208826,1051031,415,320000,416,0,407,1512000,409,1512000,411,1512000,413,1512000,408,41,410,45,412,100,414,60,
515,3,514,255,515,2030979,873184,515,320000,517,0,507,1512000,509,1512000,512,1512000,514,0,509,63,511,57,513,100,515,0,
614,3,613,255,614,1552159,394364,614,320000,615,0,607,1512000,609,1512000,611,1512000,613,0,609,50,611,0,612,100,614,0,
719,3,718,255,719,1470075,312280,720,320000,720,0,708,1512000,714,1512000,716,1512000,719,0,713,83,715,25,718,30,719,0,
822,3,818,255,822,2250548,1092753,822,320000,824,0,808,1512000,814,1134000,816,1512000,820,1512000,814,100,816,77,818,90,821,14,
917,3,915,255,917,2646605,1488810,917,400000,918,0,909,1512000,911,1512000,913,1512000,915,1512000,911,81,912,75,914,77,916,77,
1016,3,1014,255,1016,1901013,743218,1017,400000,1017,0,1009,1512000,1011,1512000,1013,1512000,1015,1512000,1011,14,1012,72,1014,25,1016,90,
1118,3,1116,255,1118,1556341,398546,1119,400000,1119,0,1110,1512000,1112,1512000,1114,1512000,1116,1134000,1112,22,1113,41,1116,62,1118,41,
1219,3,1217,255,1219,770287,0,1222,400000,1223,0,1210,1026000,1213,1026000,1215,1026000,1218,0,1212,36,1215,11,1217,20,1219,0,
1336,3,1325,255,1327,604082,0,1338,400000,1340,0,1312,384000,1317,486000,1322,0,1326,0,1316,44,1320,33,1323,0,1327,0,
1420,3,1418,255,1420,821215,0,1420,400000,1421,0,1412,918000,1415,1026000,1417,0,1419,0,1415,44,1417,44,1418,0,1419,0,
1540,3,1531,255,1540,630355,0,1541,400000,1542,0,1514,1026000,1520,384000,1527,0,1535,0,1519,20,1526,36,1529,0,1539,0,
1622,3,1621,255,1622,839530,0,1623,400000,1624,0,1614,1026000,1618,1026000,1620,0,1621,0,1617,42,1619,44,1620,0,1622,0,
1730,3,1727,255,1729,817664,0,1730,400000,1732,0,1715,1026000,1721,1026000,1725,0,1728,0,1720,36,1724,44,1725,0,1729,0,
1820,3,1819,255,1820,1472538,314743,1820,320000,1821,16,1815,1026000,1817,1512000,1818,0,1819,0,1817,72,1818,100,1819,0,1820,0,
1921,3,1920,255,1921,1253157,95362,1921,200000,1922,16,1916,1512000,1918,1512000,1919,0,1920,0,1917,22,1919,27,1920,0,1921,0,
2024,3,2023,255,2024,887869,0,2025,128000,2026,16,2016,1026000,2020,1026000,2022,0,2023,0,2019,12,2022,36,2022,0,2024,0,
2146,3,2138,255,2145,698275,0,2146,128000,2147,16,2118,384000,2124,384000,2134,0,2141,0,2123,36,2133,50,2136,0,2145,0,
2222,3,2221,255,2222,1375808,218013,2223,128000,2223,16,2217,1512000,2219,1512000,2221,0,2222,0,2219,60,2220,50,2221,0,2222,0,
2334,3,2329,255,2334,917509,0,2335,128000,2340,16,2318,1512000,2321,1512000,2326,0,2330,0,2320,25,2322,18,2328,0,2332,0,
2423,3,2422,255,2423,1121144,0,2423,128000,2424,16,2418,1026000,2420,1512000,2421,0,2422,0,2420,54,2421,44,2422,0,2423,0,
2530,3,2529,255,2530,844899,0,2531,128000,2531,16,2519,1026000,2521,1512000,2525,0,2529,0,2521,27,2524,18,2527,0,2530,0,
2628,3,2626,255,2628,823816,0,2628,128000,2629,16,2620,1026000,2623,1026000,2625,0,2627,0,2622,33,2625,22,2626,0,2627,0,
2746,3,2741,255,2746,816295,0,2746,128000,2749,16,2721,384000,2729,702000,2735,0,2742,0,2728,60,2731,69,2736,0,2743,0,
2825,3,2824,255,2825,1321086,163291,2826,128000,2826,16,2821,1512000,2822,1512000,2824,0,2825,0,2822,58,2823,44,2824,0,2825,0,
2930,3,2930,255,2930,869627,0,2931,128000,2931,16,2921,1512000,2923,1512000,2929,0,2930,0,2922,0,2928,36,2929,0,2930,0,
3030,3,3028,255,3030,761862,0,3031,128000,3032,16,3022,1026000,3025,1026000,3027,0,3029,0,3024,20,3026,18,3027,0,3030,0,
3132,3,3131,255,3132,940435,0,3132,128000,3133,16,3122,1026000,3126,1026000,3129,0,3131,0,3125,50,3128,37,3130,0,3132,0,
3232,3,3229,255,3231,700203,0,3233,128000,3234,16,3223,384000,3226,1026000,3228,0,3230,0,3225,38,3228,12,3229,0,3231,0,
3333,3,3332,255,3333,895998,0,3334,128000,3334,16,3324,918000,3327,1026000,3331,0,3332,0,3326,20,3330,58,3331,0,3333,0,
3432,3,3430,255,3432,769151,0,3433,128000,3434,16,3424,1026000,3427,1026000,3429,0,3431,0,3426,20,3429,20,3430,0,3431,0,
3537,3,3535,255,3537,889750,0,3538,128000,3539,16,3525,918000,3529,1026000,3534,0,3536,0,3528,37,3534,42,3535,0,3536,0,
3632,3,3631,255,3632,842038,0,3633,128000,3633,16,3625,1026000,3628,1026000,3630,0,3631,0,3627,30,3630,30,3630,0,3632,0,
3742,3,3741,255,3742,695997,0,3743,128000,3748,16,3727,384000,3735,486000,3740,0,3741,0,3732,42,3738,30,3740,0,3742,0,
3834,3,3832,255,3833,984167,0,3834,128000,3835,19,3827,1026000,3829,1026000,3831,0,3833,0,3829,44,3831,55,3832,0,3833,0,
3958,3,3948,255,3955,847573,0,3959,128000,3964,19,3928,384000,3933,1026000,3944,0,3951,0,3931,44,3944,46,3945,0,3955,0,
4032,3,4032,255,4032,1469287,311492,4033,128000,4033,19,4028,1512000,4030,1512000,4031,0,4032,0,4029,66,4031,55,4031,0,4032,0,
4134,3,4132,255,4133,1010988,0,4134,128000,4134,19,4128,1512000,4130,1512000,4132,0,4133,0,4130,18,4132,36,4132,0,4133,0,
4236,3,4235,255,4236,871207,0,4237,128000,4237,19,4229,1026000,4232,1026000,4234,0,4235,0,4231,36,4233,27,4234,0,4236,0,
4340,3,4337,255,4339,849864,0,4341,128000,4342,19,4330,384000,4333,1026000,4336,0,4338,0,4332,55,4335,44,4337,0,4339,0,
4439,3,4438,255,4439,915704,0,4440,128000,4441,19,4430,918000,4434,1026000,4437,0,4438,0,4433,30,4436,50,4437,0,4439,0,
4546,3,4544,255,4546,765334,0,4547,128000,4548,19,4533,384000,4538,1026000,4543,0,4545,0,4537,50,4542,22,4544,0,4545,0,
4642,3,4641,255,4642,800095,0,4643,128000,4643,19,4633,918000,4637,1026000,4639,0,4641,0,4636,22,4639,25,4640,0,4642,0,
4748,3,4746,255,4747,914999,0,4749,128000,4750,19,4735,1026000,4741,918000,4744,0,4747,0,4739,33,4744,50,4745,0,4747,0,
4845,3,4843,255,4844,991530,0,4845,128000,4846,19,4835,1026000,4839,918000,4842,0,4844,0,4838,54,4842,50,4843,0,4844,0,
4950,3,4948,255,4950,779268,0,4951,128000,4952,19,4936,1026000,4943,594000,4947,0,4949,0,4942,22,4946,36,4947,0,4950,0,
5050,3,5049,255,5050,1025646,0,5051,128000,5052,19,5043,918000,5045,1026000,5048,0,5049,0,5045,54,5047,60,5048,0,5050,0,
5164,3,5162,255,5163,1006048,0,5170,128000,5175,19,5145,1026000,5148,1026000,5161,0,5163,0,5147,50,5158,50,5162,0,5163,0,
5257,3,5254,255,5256,2444864,1287069,5257,128000,5264,19,5246,1512000,5248,1512000,5251,1026000,5254,1512000,5248,81,5250,90,5253,80,5256,50,
5355,3,5352,255,5355,2189532,1031737,5355,128000,5356,19,5346,1512000,5349,1512000,5351,1026000,5353,1512000,5348,66,5350,60,5352,70,5355,63,
5461,3,5458,255,5461,1043282,0,5461,200000,5462,19,5447,1512000,5449,1512000,5451,1026000,5459,1026000,5448,27,5451,20,5458,11,5461,11,
5553,3,5552,255,5553,1190682,32887,5553,200000,5554,19,5547,1512000,5549,1512000,5550,1026000,5552,0,5548,33,5550,20,5551,22,5553,0,
5661,3,5658,255,5660,1017653,0,5661,200000,5662,19,5649,1026000,5653,1026000,5656,0,5659,0,5652,33,5655,41,5657,0,5660,0,
5775,3,5767,255,5775,805451,0,5777,200000,5779,19,5750,384000,5755,384000,5763,0,5770,0,5754,36,5759,30,5765,0,5774,0,
5855,3,5854,255,5855,1408503,250708,5855,200000,5856,17,5849,1512000,5851,1026000,5853,0,5854,0,5851,63,5853,63,5854,0,5855,0,
5954,3,5953,255,5954,1059678,0,5954,200000,5955,17,5949,1512000,5951,1026000,5953,0,5953,0,5951,33,5952,30,5953,0,5954,0,
6061,3,6056,255,6061,1307159,149364,6062,200000,6063,17,6050,1512000,6052,1026000,6055,0,6056,0,6052,50,6054,66,6055,0,6057,0,
6155,3,6154,255,6155,1436007,278212,6155,128000,6155,17,6150,1512000,6152,1512000,6153,0,6154,0,6152,60,6153,44,6154,0,6154,0,
6256,3,6255,255,6256,1051980,0,6257,128000,6257,17,6251,1512000,6253,1026000,6255,0,6256,0,6252,33,6254,54,6255,0,6256,0,
6356,3,6355,255,6355,823674,0,6356,128000,6356,17,6351,1512000,6353,1026000,6354,0,6355,0,6352,22,6354,12,6354,0,6355,0,
6465,3,6463,255,6464,796292,0,6470,128000,6471,17,6452,1026000,6457,384000,6461,0,6463,0,6456,41,6460,20,6462,0,6464,0,
6560,3,6558,255,6559,1037623,0,6560,128000,6561,17,6552,1026000,6555,1026000,6557,0,6559,0,6555,50,6557,62,6558,0,6559,0,
6686,3,6681,255,6685,686936,0,6687,128000,6691,17,6657,384000,6669,384000,6676,0,6682,0,6667,33,6675,33,6679,0,6684,0,
6763,3,6762,255,6763,1340812,183017,6763,128000,6764,17,6755,918000,6757,1512000,6760,1026000,6762,0,6757,70,6759,62,6761,20,6763,0,
