App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 09:28:38 PM","17 sec","Trepn_2018.10.19_212837.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
43,3,42,255,43,1839451,737252,44,320000,46,0,93,1512000,28,1512000,40,0,42,0,28,92,30,100,41,0,43,0,
103,3,102,255,103,2181465,1079266,104,320000,105,0,194,1512000,95,1512000,97,1512000,102,0,95,100,97,100,101,42,103,0,
202,3,199,255,201,2667126,1564927,202,320000,203,0,294,1512000,196,1512000,198,1512000,200,1512000,195,70,197,100,199,100,201,43,
302,3,300,255,302,2687647,1585448,302,320000,303,0,395,1512000,296,1512000,298,1512000,300,1512000,296,100,298,55,299,100,302,61,
402,3,400,255,402,2434556,1332357,403,320000,403,0,495,1512000,397,1512000,399,1512000,401,1512000,396,80,398,55,400,100,402,44,
503,3,500,255,502,2026829,924630,503,320000,504,0,595,1512000,497,1512000,499,1512000,501,1026000,496,63,498,50,500,100,502,12,
604,3,602,255,604,2003618,901419,604,320000,605,0,696,1512000,598,1512000,600,1512000,603,0,597,54,600,62,602,100,603,0,
703,3,701,255,702,1511117,408918,703,320000,704,0,796,1512000,698,1512000,700,1512000,702,0,698,30,699,44,701,70,702,0,
812,3,810,255,812,1812090,709891,813,320000,814,0,897,1512000,804,1512000,807,1512000,810,0,798,42,806,55,809,91,812,0,
913,3,905,255,913,2981779,1879580,914,400000,914,0,997,1512000,900,1512000,902,1512000,910,1512000,900,88,902,81,904,100,913,90,
1007,3,1005,255,1006,2475598,1373399,1007,400000,1008,0,1098,1512000,1001,1512000,1003,1512000,1005,1512000,1001,72,1003,87,1004,72,1006,54,
1106,3,1104,255,1106,1825770,723571,1107,400000,1107,0,1198,1512000,1100,1512000,1103,1512000,1105,1512000,1100,71,1102,33,1104,36,1106,50,
1206,3,1205,255,1206,1223825,121626,1207,400000,1208,0,1299,1026000,1200,1512000,1203,1512000,1205,1512000,1200,27,1202,20,1204,22,1206,33,
1310,3,1307,255,1310,890416,0,1311,400000,1311,0,1405,384000,1302,594000,1304,1026000,1308,1026000,1301,30,1304,41,1307,30,1310,22,
1434,3,1432,255,1434,593176,0,1434,400000,1435,0,1501,918000,1413,384000,1431,0,1433,0,1411,41,1430,36,1432,0,1433,0,
1513,3,1511,255,1513,880688,0,1514,400000,1515,0,1601,1026000,1504,1026000,1510,0,1512,0,1503,42,1509,62,1511,0,1512,0,
1609,3,1608,255,1609,660957,0,1610,400000,1611,0,1702,594000,1604,1026000,1607,0,1609,0,1604,25,1606,12,1607,0,1609,0,
1720,3,1718,255,1720,625835,0,1721,320000,1722,0,1803,918000,1710,384000,1716,0,1719,0,1708,33,1715,54,1717,0,1719,0,
1810,3,1809,255,1810,1047584,0,1810,320000,1811,17,1903,1026000,1805,1512000,1807,0,1809,0,1804,72,1807,44,1808,0,1809,0,
1912,3,1911,255,1912,1633173,530974,1913,200000,1913,17,2003,1026000,1907,1512000,1910,0,1911,0,1906,45,1909,77,1910,0,1912,0,
2009,3,2008,255,2009,1006301,0,2009,200000,2010,17,2105,1026000,2006,1512000,2007,0,2008,0,2005,36,2007,22,2008,0,2009,0,
2118,3,2116,255,2118,877494,0,2119,128000,2121,17,2205,1026000,2110,384000,2114,0,2117,0,2109,30,2113,50,2115,0,2118,0,
2214,3,2212,255,2214,946514,0,2218,128000,2220,17,2306,384000,2208,1026000,2211,0,2212,0,2208,50,2210,37,2212,0,2213,0,
2323,3,2319,255,2322,803970,0,2324,128000,2326,17,2406,1512000,2313,1026000,2317,0,2320,0,2311,33,2316,40,2319,0,2321,0,
2412,3,2411,255,2412,889272,0,2413,128000,2414,17,2506,1512000,2409,1026000,2411,0,2412,0,2408,22,2410,30,2411,0,2412,0,
2512,3,2511,255,2512,860118,0,2513,128000,2514,17,2606,1512000,2509,1026000,2510,0,2512,0,2508,22,2510,22,2511,0,2512,0,
2613,3,2612,255,2613,914840,0,2614,128000,2614,17,2707,702000,2609,1026000,2611,0,2612,0,2608,30,2611,22,2612,0,2613,0,
2715,3,2714,255,2715,820079,0,2716,128000,2717,17,2808,1026000,2711,1026000,2713,0,2715,0,2710,22,2712,40,2714,0,2715,0,
2846,3,2839,255,2846,728470,0,2848,128000,2854,16,2911,1512000,2823,384000,2834,0,2842,0,2821,20,2831,30,2836,0,2843,0,
2929,3,2921,255,2929,1462727,360528,2929,128000,2930,16,3011,1512000,2914,918000,2917,594000,2928,0,2914,88,2917,77,2920,1,2928,0,
3020,3,3017,255,3020,1920675,818476,3020,128000,3021,16,3111,1512000,3013,1512000,3015,1512000,3018,1026000,3013,54,3015,100,3017,25,3019,20,
3119,3,3116,255,3118,1489900,387701,3119,128000,3120,16,3211,1512000,3113,1512000,3115,1026000,3117,1026000,3113,25,3114,50,3116,57,3118,40,
3219,3,3217,255,3219,1489737,387538,3219,320000,3220,0,3312,1026000,3213,1512000,3215,1512000,3217,1026000,3213,36,3215,0,3216,80,3219,20,
3318,3,3317,255,3318,837793,0,3319,320000,3319,0,3415,384000,3314,1026000,3316,1512000,3318,0,3314,30,3315,33,3317,12,3318,0,
3439,3,3437,255,3438,653304,0,3440,320000,3441,0,3514,918000,3429,918000,3436,0,3438,0,3426,30,3435,33,3436,0,3438,0,
3522,3,3521,255,3522,919489,0,3523,320000,3523,0,3615,1026000,3517,1026000,3520,0,3521,0,3517,63,3519,55,3520,0,3522,0,
3641,3,3638,255,3640,653253,0,3648,320000,3650,0,3716,918000,3627,384000,3635,0,3639,0,3624,27,3633,33,3636,0,3640,0,
3725,3,3723,255,3725,974154,0,3725,200000,3726,0,3816,1026000,3718,1026000,3722,0,3724,0,3718,63,3721,70,3723,0,3724,0,
3830,3,3825,255,3829,963438,0,3830,200000,3831,0,3917,1026000,3820,1026000,3823,0,3826,0,3819,66,3822,54,3824,0,3829,0,
3929,3,3926,255,3929,835885,0,3930,128000,3931,0,4017,1026000,3921,1026000,3924,0,3927,0,3920,45,3923,40,3925,0,3928,0,
4030,3,4026,255,4029,963438,0,4031,128000,4034,0,4118,702000,4021,1026000,4024,0,4028,0,4020,60,4023,60,4025,0,4029,0,
4125,3,4124,255,4125,814466,0,4126,128000,4126,0,4219,918000,4121,1026000,4123,0,4124,0,4120,61,4123,45,4123,0,4125,0,
4231,3,4229,255,4231,937711,0,4234,128000,4236,13,4320,918000,4223,1026000,4227,0,4230,0,4221,63,4226,60,4228,0,4230,0,
4327,3,4326,255,4327,977229,0,4328,128000,4328,13,4421,1512000,4322,1026000,4325,0,4326,0,4322,62,4324,50,4325,0,4326,0,
4426,3,4425,255,4426,1434942,332743,4426,128000,4427,13,4522,1512000,4423,1026000,4424,0,4425,0,4422,100,4424,40,4425,0,4425,0,
4529,3,4528,255,4529,1945836,843637,4529,128000,4530,13,4622,1512000,4524,1512000,4526,1512000,4528,0,4524,90,4525,90,4527,16,4529,0,
4628,3,4627,255,4628,1310442,208243,4628,128000,4629,13,4722,1512000,4624,1512000,4625,1134000,4627,0,4623,30,4625,45,4626,45,4628,0,
4729,3,4728,255,4728,915138,0,4729,128000,4729,13,4823,1512000,4725,1512000,4726,1026000,4728,0,4724,12,4726,20,4727,25,4728,0,
4833,3,4832,255,4833,829915,0,4834,320000,4835,0,4925,1026000,4825,1512000,4829,1026000,4832,0,4825,16,4827,11,4831,11,4833,0,
4946,3,4942,255,4945,1123292,21093,4948,320000,4949,0,5025,1512000,4931,1512000,4940,0,4945,0,4931,55,4933,58,4940,0,4945,0,
5032,3,5030,255,5031,1805249,703050,5032,320000,5033,0,5125,1512000,5027,1512000,5029,0,5031,0,5026,100,5028,87,5029,0,5031,0,
5131,3,5130,255,5130,1456395,354196,5131,320000,5132,0,5225,1512000,5127,1512000,5129,0,5130,0,5127,100,5129,36,5129,0,5130,0,
5231,3,5230,255,5231,862521,0,5231,320000,5232,0,5326,1512000,5228,1026000,5229,0,5230,0,5227,30,5229,36,5230,0,5231,0,
5331,3,5330,255,5331,608199,0,5332,320000,5332,0,5427,1512000,5328,1026000,5330,0,5331,0,5328,12,5329,0,5330,0,5331,0,
5440,3,5437,255,5440,879454,0,5441,320000,5442,0,5528,918000,5432,1026000,5436,0,5438,0,5429,41,5435,20,5436,0,5439,0,
5536,3,5535,255,5536,843234,0,5537,320000,5538,0,5630,384000,5531,1026000,5534,0,5535,0,5531,50,5533,45,5534,0,5536,0,
5647,3,5644,255,5647,568790,0,5649,320000,5651,0,5730,918000,5636,384000,5642,0,5645,0,5635,11,5641,38,5643,0,5647,0,
5739,3,5737,255,5739,879677,0,5740,320000,5741,0,5830,1026000,5733,1026000,5736,0,5738,0,5733,50,5735,55,5737,0,5738,0,
5839,3,5838,255,5839,744777,0,5840,320000,5840,0,5931,918000,5834,1026000,5836,0,5838,0,5833,30,5836,30,5837,0,5839,0,
5948,3,5945,255,5948,698341,0,5949,320000,5951,0,6032,1026000,5937,384000,5942,0,5946,0,5936,46,5941,36,5944,0,5948,0,
6041,3,6039,255,6041,937927,0,6042,320000,6043,0,6132,702000,6035,1026000,6038,0,6040,0,6034,63,6037,50,6039,0,6040,0,
6152,3,6150,255,6152,796552,0,6153,320000,6154,0,6233,1512000,6136,1026000,6148,0,6150,0,6135,54,6138,44,6149,0,6151,0,
6240,3,6239,255,6240,1798295,696096,6241,320000,6242,0,6333,1512000,6235,1512000,6237,1026000,6240,0,6235,90,6237,80,6239,30,6240,0,
6341,3,6340,255,6341,634606,0,6342,320000,6342,0,6434,1026000,6336,1512000,6338,1026000,6340,0,6335,10,6337,0,6339,11,6341,0,
6441,3,6440,255,6441,739844,0,6442,320000,6443,0,6535,1026000,6436,1512000,6438,1026000,6441,0,6436,11,6438,11,6440,27,6441,0,
6545,3,6543,255,6544,587364,0,6545,320000,6547,0,6635,1026000,6538,918000,6541,0,6543,0,6538,0,6540,20,6542,0,6544,0,
6644,3,6643,255,6644,737488,0,6645,320000,6646,0,6735,1026000,6639,1026000,6642,0,6643,0,6638,22,6641,36,6642,0,6644,0,
6744,3,6743,255,6744,722911,0,6745,320000,6746,0,6836,918000,6739,1026000,6742,0,6743,0,6738,36,6741,18,6742,0,6744,0,
6848,3,6846,255,6848,759138,0,6849,320000,6850,0,6937,918000,6842,1026000,6845,0,6847,0,6840,63,6844,11,6846,0,6848,0,
6946,3,6945,255,6946,781127,0,6947,320000,6948,0,7038,1026000,6941,1026000,6944,0,6945,0,6940,44,6943,33,6944,0,6946,0,
7049,3,7048,255,7049,603728,0,7050,320000,7051,0,7138,1026000,7042,486000,7046,0,7048,0,7041,18,7045,10,7047,0,7049,0,
7147,3,7146,255,7147,799778,0,7148,320000,7149,0,7240,1026000,7142,918000,7144,0,7146,0,7141,44,7144,37,7145,0,7147,0,
7256,3,7253,255,7255,549630,0,7257,320000,7260,0,7339,1026000,7246,384000,7251,0,7254,0,7244,0,7250,27,7252,0,7255,0,
7348,3,7347,255,7348,733844,0,7349,320000,7349,0,7441,384000,7343,1026000,7345,0,7347,0,7342,12,7345,45,7346,0,7348,0,
7468,3,7465,255,7468,559210,0,7470,320000,7472,0,7541,918000,7453,384000,7462,0,7466,0,7451,20,7460,18,7464,0,7467,0,
7550,3,7549,255,7550,892080,0,7551,320000,7552,0,7642,1026000,7544,1026000,7547,0,7549,0,7544,60,7547,50,7548,0,7550,0,
7651,3,7650,255,7651,752065,0,7652,320000,7652,0,7743,486000,7646,1026000,7648,0,7650,0,7644,40,7648,22,7649,0,7650,0,
7759,3,7756,255,7759,579575,0,7761,320000,7762,0,7843,1026000,7748,384000,7754,0,7757,0,7747,30,7752,20,7755,0,7759,0,
7853,3,7851,255,7852,781220,0,7853,320000,7854,0,7944,1026000,7847,1026000,7850,0,7852,0,7847,40,7850,30,7851,0,7852,0,
7953,3,7951,255,7953,978015,0,7954,320000,7955,0,8045,1026000,7948,1026000,7950,0,7952,0,7947,54,7950,70,7951,0,7953,0,
8053,3,8052,255,8053,748421,0,8054,320000,8055,0,8145,384000,8048,1026000,8051,0,8053,0,8047,36,8050,25,8052,0,8053,0,
8158,3,8155,255,8158,556749,0,8160,320000,8161,0,8246,1026000,8149,486000,8153,0,8156,0,8148,20,8152,11,8154,0,8157,0,
8255,3,8253,255,8254,726555,0,8255,320000,8256,0,8346,1026000,8250,1026000,8252,0,8254,0,8248,41,8252,14,8253,0,8254,0,
8355,3,8354,255,8355,652864,0,8356,320000,8356,0,8448,1026000,8350,384000,8352,0,8354,0,8349,30,8352,20,8353,0,8355,0,
8458,3,8456,255,8458,693786,0,8459,320000,8460,0,8549,1026000,8453,918000,8455,0,8457,0,8452,25,8455,25,8456,0,8457,0,
8566,3,8562,255,8565,632097,0,8567,320000,8569,0,8649,1026000,8554,384000,8560,0,8563,0,8553,20,8558,38,8561,0,8564,0,
8658,3,8656,255,8657,752065,0,8658,320000,8659,0,8750,384000,8653,1026000,8655,0,8657,0,8651,22,8654,40,8656,0,8657,0,
8768,3,8765,255,8768,572274,0,8770,320000,8772,0,8850,1026000,8756,384000,8762,0,8766,0,8755,12,8761,41,8764,0,8768,0,
8859,3,8858,255,8859,792153,0,8860,320000,8861,0,8952,1026000,8854,1026000,8856,0,8858,0,8853,36,8856,37,8857,0,8859,0,
8967,3,8964,255,8966,593362,0,8968,320000,8970,0,9052,1026000,8957,384000,8962,0,8965,0,8956,12,8961,27,8963,0,8966,0,
9061,3,9059,255,9060,726555,0,9061,320000,9062,0,9152,384000,9055,1026000,9058,0,9060,0,9054,22,9057,33,9059,0,9060,0,
9164,3,9162,255,9163,616421,0,9165,320000,9166,0,9253,918000,9156,1026000,9161,0,9162,0,9155,20,9160,20,9161,0,9163,0,
9262,3,9260,255,9262,740487,0,9263,320000,9263,0,9354,1026000,9257,918000,9259,0,9261,0,9255,25,9259,45,9260,0,9261,0,
9371,3,9368,255,9370,579977,0,9372,320000,9374,0,9454,1026000,9359,384000,9365,0,9368,0,9358,10,9363,20,9366,0,9369,0,
9463,3,9462,255,9463,781220,0,9464,320000,9465,0,9555,1026000,9458,1026000,9461,0,9462,0,9457,37,9460,33,9461,0,9463,0,
9566,3,9564,255,9566,571268,0,9567,320000,9568,0,9655,1026000,9559,384000,9563,0,9565,0,9559,10,9562,10,9564,0,9566,0,
9665,3,9663,255,9664,828597,0,9665,320000,9666,0,9758,384000,9660,1026000,9662,0,9664,0,9658,33,9662,50,9663,0,9664,0,
9775,3,9772,255,9774,560952,0,9777,320000,9779,0,9857,1026000,9764,384000,9770,0,9773,0,9763,20,9768,20,9771,0,9774,0,
9866,3,9865,255,9866,890551,0,9867,320000,9867,0,9958,1026000,9861,1026000,9864,0,9865,0,9860,50,9863,50,9864,0,9866,0,
9969,3,9967,255,9969,628157,0,9970,320000,9972,0,10059,1026000,9962,1026000,9966,0,9968,0,9961,18,9964,10,9966,0,9968,0,
10067,3,10066,255,10067,748421,0,10068,320000,10069,0,10160,384000,10062,1026000,10065,0,10066,0,10061,25,10064,36,10065,0,10067,0,
10184,3,10182,255,10184,574016,0,10185,320000,10186,0,10260,918000,10170,384000,10177,0,10183,0,10168,22,10176,33,10181,0,10183,0,
10269,3,10268,255,10269,813986,0,10270,320000,10271,0,10361,1026000,10264,918000,10267,0,10268,0,10263,44,10266,50,10267,0,10269,0,
10371,3,10369,255,10371,566203,0,10372,320000,10373,0,10461,1026000,10365,918000,10368,0,10370,0,10364,11,10367,0,10369,0,10371,0,
10471,3,10470,255,10471,810375,0,10471,320000,10472,0,10563,384000,10465,1026000,10468,0,10470,0,10464,45,10468,33,10469,0,10470,0,
10582,3,10581,255,10582,556597,0,10583,320000,10584,0,10663,1026000,10569,384000,10575,0,10581,0,10567,10,10574,25,10577,0,10582,0,
10672,3,10670,255,10672,905128,0,10672,320000,10673,0,10764,1026000,10667,1026000,10669,0,10671,0,10665,44,10669,60,10670,0,10671,0,
10789,3,10784,255,10789,572139,0,10790,320000,10793,0,10864,918000,10774,384000,10781,0,10785,0,10772,10,10780,11,10783,0,10786,0,
10873,3,10872,255,10873,881359,0,10874,320000,10875,0,10964,1026000,10867,918000,10871,0,10872,0,10867,50,10870,66,10871,0,10873,0,
10974,3,10972,255,10974,642735,0,10975,320000,10976,0,11065,1512000,10967,1026000,10970,0,10972,0,10967,10,10969,22,10971,0,10973,0,
11070,3,11069,255,11070,1483756,381557,11070,320000,11071,0,11165,1512000,11067,1512000,11068,0,11069,0,11066,50,11068,90,11068,0,11070,0,
11171,3,11170,255,11170,1045977,0,11171,320000,11172,0,11266,1026000,11167,1512000,11169,0,11170,0,11167,40,11168,36,11169,0,11170,0,
11274,3,11273,255,11274,591714,0,11275,320000,11276,0,11367,384000,11269,1026000,11272,0,11274,0,11269,0,11271,18,11273,0,11274,0,
11375,3,11373,255,11375,668152,0,11375,320000,11376,0,11468,1026000,11370,1026000,11372,0,11374,0,11369,25,11372,33,11373,0,11374,0,
11476,3,11475,255,11476,595358,0,11477,320000,11478,0,11568,1026000,11471,1026000,11474,0,11475,0,11470,10,11473,9,11474,0,11476,0,
11574,3,11573,255,11574,901263,0,11574,320000,11575,0,11668,1026000,11570,1512000,11572,0,11573,0,11570,41,11571,33,11572,0,11573,0,
11679,3,11677,255,11679,526116,0,11680,320000,11681,0,11769,1026000,11672,486000,11675,0,11677,0,11671,0,11675,0,11676,0,11678,0,
