Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.334,20.334,screen bright,16.371676092
0,20.334,20.334,wifi running,0.2444919492
0,20.334,20.334,phone_scanning,9.4918583316
0.0,23.717847,23.717847,core 0 cpu_idle start,0.315862427423
23.717847,24.433149,0.715301999997,core 0 cpu_idle,0.00952603438496
24.433149,24.433179,3.00000028801e-05,core 0 cpu_frequency,1.97821968992e-05
24.433179,24.483289,0.0501100000001,core 0 cpu_idle,0.000667339925002
24.483289,24.483381,9.19999984035e-05,core 0 cpu_frequency,3.24155554375e-05
24.483381,24.533308,0.049927,core 0 cpu_idle,0.0006649028225
24.533308,24.53343,0.000122000001284,core 0 cpu_frequency,6.17863516501e-05
24.53343,24.583417,0.0499869999985,core 0 cpu_idle,0.00066570187248
24.583417,24.583478,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
24.583478,24.633253,0.0497750000031,core 0 cpu_idle,0.000662878562542
24.633253,24.633497,0.000243999998929,core 0 cpu_frequency,8.59716916227e-05
24.633497,24.683393,0.0498960000004,core 0 cpu_idle,0.000664489980006
24.683393,24.683454,6.09999988228e-05,core 0 cpu_frequency,3.08931749038e-05
24.683454,24.783185,0.0997310000021,core 0 cpu_idle,0.00132816759253
24.783185,24.783246,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
24.783246,24.833204,0.0499579999996,core 0 cpu_idle,0.000665315664995
24.833204,24.833295,9.09999980649e-05,core 0 cpu_frequency,3.20632123182e-05
24.833295,24.883649,0.0503540000027,core 0 cpu_idle,0.000670589395036
24.883649,24.893842,0.0101929999983,core 0 cpu_frequency,0.00672133045335
24.893842,24.936048,0.0422060000019,core 0 cpu_idle,0.000562078405025
24.936048,24.936292,0.000243999998929,core 0 cpu_frequency,0.000222542273023
24.936292,25.037824,0.101532000001,core 0 cpu_idle,0.00135215241001
25.037824,25.037855,3.09999995807e-05,core 0 cpu_frequency,2.04416012235e-05
25.037855,25.183118,0.145262999999,core 0 cpu_idle,0.00193454000248
25.183118,25.183179,6.10000024608e-05,core 0 cpu_frequency,4.02237981227e-05
25.183179,25.383069,0.19989,core 0 cpu_idle,0.002662035075
25.383069,25.383131,6.19999991613e-05,core 0 cpu_frequency,4.0883202447e-05
25.383131,25.433088,0.0499569999993,core 0 cpu_idle,0.00066530234749
25.433088,25.433118,2.99999992421e-05,core 0 cpu_frequency,1.97821945003e-05
25.433118,25.583112,0.149994000003,core 0 cpu_idle,0.00199754509504
25.583112,25.583173,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
25.583173,25.633131,0.0499579999996,core 0 cpu_idle,0.000665315664995
25.633131,25.633283,0.000152000000526,core 0 cpu_frequency,5.35561361852e-05
25.633283,25.688367,0.0550839999996,core 0 cpu_idle,0.000733581169995
25.688367,25.688398,3.09999995807e-05,core 0 cpu_frequency,2.82738131175e-05
25.688398,26.040571,0.352172999999,core 0 cpu_idle,0.00469006392749
26.040571,26.040632,6.10000024608e-05,core 0 cpu_frequency,4.02237981227e-05
26.040632,26.083112,0.0424800000001,core 0 cpu_idle,0.000565727400001
26.083112,26.083143,3.09999995807e-05,core 0 cpu_frequency,2.04416012235e-05
26.083143,26.186567,0.103423999997,core 0 cpu_idle,0.00137734911996
26.186567,26.198224,0.0116570000027,core 0 cpu_frequency,0.010631865937
26.198224,26.433149,0.234924999997,core 0 cpu_idle,0.00312861368746
26.433149,26.433271,0.000122000001284,core 0 cpu_frequency,8.04475938464e-05
26.433271,26.483076,0.0498049999987,core 0 cpu_idle,0.000663278087483
26.483076,26.492261,0.00918500000262,core 0 cpu_frequency,0.00605664870423
26.492261,26.633253,0.140992000001,core 0 cpu_idle,0.00187766096001
26.633253,26.633558,0.000304999997752,core 0 cpu_frequency,0.000201118981018
26.633558,26.683332,0.0497739999992,core 0 cpu_idle,0.000662865244989
26.683332,26.683393,6.10000024608e-05,core 0 cpu_frequency,4.02237981227e-05
26.683393,26.733076,0.0496829999975,core 0 cpu_idle,0.000661653352466
26.733076,26.733198,0.000122000001284,core 0 cpu_frequency,8.04475938464e-05
26.733198,26.783063,0.0498650000009,core 0 cpu_idle,0.000664077137512
26.783063,26.783094,3.09999995807e-05,core 0 cpu_frequency,2.04416012235e-05
26.783094,26.837903,0.0548090000011,core 0 cpu_idle,0.000729918857515
26.837903,26.848127,0.0102239999978,core 0 cpu_frequency,0.00674177205457
26.848127,27.033277,0.185150000001,core 0 cpu_idle,0.00246573512502
27.033277,27.033521,0.000243999998929,core 0 cpu_frequency,0.000160895185294
27.033521,27.085889,0.0523680000006,core 0 cpu_idle,0.000697410840008
27.085889,27.08592,3.09999995807e-05,core 0 cpu_frequency,2.82738131175e-05
27.08592,27.245283,0.159363000002,core 0 cpu_idle,0.00212231675253
27.245283,27.286024,0.0407409999971,core 0 cpu_frequency,0.0268648802146
27.286024,27.287641,0.00161700000172,core 0 cpu_frequency,0.00147479859606
27.287641,27.433149,0.145507999998,core 0 cpu_idle,0.00193780278997
27.433149,27.433179,3.00000028801e-05,core 0 cpu_frequency,2.39144272959e-05
27.433179,27.483198,0.0500189999984,core 0 cpu_idle,0.000666128032479
27.483198,27.483228,2.99999992421e-05,core 0 cpu_frequency,1.97821945003e-05
27.483228,27.583082,0.0998540000001,core 0 cpu_idle,0.001329805645
27.583082,27.583112,3.00000028801e-05,core 0 cpu_frequency,1.97821968992e-05
27.583112,27.633283,0.050170999999,core 0 cpu_idle,0.000668152292486
27.633283,27.633527,0.000243999998929,core 0 cpu_frequency,0.000160895185294
27.633527,27.683271,0.0497439999999,core 0 cpu_idle,0.000662465719999
27.683271,27.684278,0.00100699999894,core 0 cpu_frequency,0.000918442908529
27.684278,27.833173,0.148895000002,core 0 cpu_idle,0.00198290916253
27.833173,27.833234,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
27.833234,27.933057,0.0998230000005,core 0 cpu_idle,0.00132939280251
27.933057,27.937513,0.00445599999875,core 0 cpu_frequency,0.00293831536318
27.937513,28.133375,0.195862,core 0 cpu_idle,0.00260839218501
28.133375,28.138929,0.00555399999939,core 0 cpu_frequency,0.0036623437006
28.138929,28.287824,0.148895000002,core 0 cpu_idle,0.00198290916253
28.287824,28.291974,0.00415000000066,core 0 cpu_frequency,0.00378504277561
28.291974,28.833173,0.541198999999,core 0 cpu_idle,0.00720741768249
28.833173,28.833204,3.09999995807e-05,core 0 cpu_frequency,2.04416012235e-05
28.833204,28.936231,0.103027000001,core 0 cpu_idle,0.00137206207251
28.936231,28.936262,3.09999995807e-05,core 0 cpu_frequency,2.82738131175e-05
28.936262,29.433149,0.496886999998,core 0 cpu_idle,0.00661729262247
29.433149,29.43321,6.10000024608e-05,core 0 cpu_frequency,4.02237981227e-05
29.43321,29.483228,0.0500179999981,core 0 cpu_idle,0.000666114714975
29.483228,29.483442,0.000213999999687,core 0 cpu_frequency,9.88523778555e-05
29.483442,29.533246,0.049804000002,core 0 cpu_idle,0.000663264770027
29.533246,29.533643,0.000396999999793,core 0 cpu_frequency,0.000201058863395
29.533643,29.633222,0.0995789999979,core 0 cpu_idle,0.00132614333247
29.633222,29.633283,6.10000024608e-05,core 0 cpu_frequency,4.02237981227e-05
29.633283,29.683454,0.050170999999,core 0 cpu_idle,0.000668152292486
29.683454,29.683759,0.00030500000139,core 0 cpu_frequency,0.000201118983417
29.683759,29.8831,0.199341,core 0 cpu_idle,0.00265472376749
29.8831,29.911787,0.0286869999982,core 0 cpu_frequency,0.0189163942643
29.911787,30.333143,0.421356000003,core 0 cpu_idle,0.00561140853003
30.333143,30.333204,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
30.333204,30.488691,0.155487,core 0 cpu_idle,0.0020706981225
30.488691,30.517286,0.0285949999998,core 0 cpu_frequency,0.0260803128073
30.517286,30.836439,0.319153,core 0 cpu_idle,0.0042503200775
30.836439,30.83653,9.09999980649e-05,core 0 cpu_frequency,6.0005990224e-05
30.83653,30.883924,0.0473940000011,core 0 cpu_idle,0.000631169595014
30.883924,30.902082,0.0181579999989,core 0 cpu_frequency,0.0119735032263
30.902082,31.03581,0.133728000001,core 0 cpu_idle,0.00178092264001
31.03581,31.040235,0.00442499999917,core 0 cpu_frequency,0.00403585886175
31.040235,32.233259,1.193024,core 0 cpu_idle,0.01588809712
32.233259,32.23332,6.10000024608e-05,core 0 cpu_frequency,4.02237981227e-05
32.23332,32.333112,0.0997920000009,core 0 cpu_idle,0.00132897996001
32.333112,32.333143,3.09999995807e-05,core 0 cpu_frequency,2.04416012235e-05
32.333143,32.383863,0.0507199999993,core 0 cpu_idle,0.00067546359999
32.383863,32.383924,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
32.383924,32.436292,0.0523680000006,core 0 cpu_idle,0.000697410840008
32.436292,32.436323,3.09999995807e-05,core 0 cpu_frequency,2.82738131175e-05
32.436323,33.236249,0.799926,core 0 cpu_idle,0.010653014505
33.236249,33.23631,6.10000024608e-05,core 0 cpu_frequency,4.02237981227e-05
33.23631,33.436017,0.199707,core 0 cpu_idle,0.0026595979725
33.436017,33.446912,0.0108949999994,core 0 cpu_frequency,0.00993687735699
33.446912,34.233198,0.786285999999,core 0 cpu_idle,0.010471363805
