App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 08:59:18 PM","17 sec","Trepn_2018.10.19_205917.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
1,3,0,255,1,1461605,143779,3,320000,4,0,49,1512000,52,1512000,54,1512000,0,0,51,100,53,100,56,33,1,0,
59,3,56,255,59,2448236,1130410,59,320000,60,0,150,1512000,153,1512000,155,1512000,57,1512000,153,100,155,54,156,33,58,48,
160,3,157,255,160,2331952,1014126,160,320000,161,0,250,1512000,252,1512000,254,1512000,157,1512000,252,100,254,60,255,83,160,77,
258,3,256,255,258,2489278,1171452,259,320000,259,0,350,1512000,353,1512000,354,1512000,256,1512000,352,100,354,72,356,100,258,44,
359,3,356,255,359,2612403,1294577,359,320000,360,0,451,1512000,453,1512000,455,1512000,356,1512000,452,100,454,50,456,63,358,33,
459,3,457,255,459,2325111,1007285,460,320000,461,0,551,1512000,553,1512000,555,1512000,457,1512000,553,100,555,33,556,66,459,50,
559,3,557,255,559,2058340,740514,559,320000,560,0,652,1512000,654,1512000,655,1512000,557,1512000,653,72,655,60,657,22,558,25,
658,3,657,255,658,1579520,261694,659,320000,660,0,752,1512000,754,1512000,756,1026000,658,0,754,62,756,63,757,30,658,0,
759,3,758,255,759,1490482,172656,759,320000,760,0,853,1512000,855,1512000,856,1026000,758,0,854,90,856,66,862,66,759,0,
867,3,863,255,867,1833728,515902,868,320000,869,0,953,1512000,955,1512000,958,1512000,865,0,955,90,958,80,960,88,866,0,
963,3,961,255,963,2454906,1137080,963,320000,964,0,1053,1512000,1056,1512000,1057,1512000,961,1026000,1055,63,1057,60,1059,54,963,45,
1061,3,1059,255,1061,2338792,1020966,1061,320000,1062,0,1154,1512000,1156,1512000,1158,1512000,1059,1512000,1156,60,1157,30,1159,40,1060,88,
1162,3,1160,255,1162,1757367,439541,1162,320000,1163,0,1254,1512000,1256,1512000,1258,1512000,1160,1512000,1256,12,1257,20,1259,11,1161,50,
1261,3,1259,255,1261,888651,0,1262,320000,1262,0,1355,1026000,1362,1026000,1364,1026000,1260,1512000,1361,22,1364,36,1366,11,1261,10,
1368,3,1367,255,1368,777576,0,1369,320000,1370,0,1457,918000,1461,1026000,1464,0,1367,0,1460,27,1463,37,1464,0,1368,0,
1466,3,1465,255,1466,743643,0,1467,320000,1468,0,1558,1026000,1564,1026000,1567,0,1466,0,1563,55,1566,58,1567,0,1466,0,
1569,3,1568,255,1569,937927,0,1570,320000,1571,0,1659,384000,1665,1026000,1670,0,1568,0,1664,22,1669,30,1673,0,1569,0,
1681,3,1676,255,1681,654606,0,1682,320000,1685,0,1759,1512000,1761,1026000,1762,0,1680,0,1760,50,1762,37,1763,0,1681,0,
1764,3,1763,255,1764,1002971,0,1764,320000,1764,0,1859,1512000,1861,1026000,1863,0,1763,0,1861,53,1863,38,1863,0,1763,0,
1865,3,1864,255,1865,1027136,0,1865,200000,1866,16,1960,1512000,1962,1026000,1963,0,1864,0,1961,33,1963,33,1963,0,1864,0,
1965,3,1964,255,1964,1058934,0,1965,200000,1965,16,2060,1512000,2062,1026000,2064,0,1964,0,2062,36,2064,46,2065,0,1964,0,
2066,3,2065,255,2066,1126831,0,2067,128000,2067,16,2161,1026000,2165,384000,2167,0,2065,0,2164,30,2166,30,2167,0,2066,0,
2169,3,2168,255,2169,758834,0,2169,128000,2170,16,2262,1026000,2266,918000,2274,0,2168,0,2265,37,2273,41,2274,0,2169,0,
2276,3,2275,255,2276,883778,0,2277,128000,2278,16,2363,1026000,2368,384000,2372,0,2275,0,2367,30,2371,36,2372,0,2276,0,
2376,3,2373,255,2376,764060,0,2377,128000,2378,16,2463,1026000,2467,918000,2471,0,2374,0,2466,57,2470,33,2472,0,2376,0,
2474,3,2473,255,2474,932165,0,2475,128000,2476,16,2565,384000,2573,1026000,2580,0,2473,0,2572,20,2579,20,2582,0,2474,0,
2587,3,2583,255,2586,713682,0,2589,128000,2591,16,2664,1512000,2668,1026000,2669,0,2584,0,2667,50,2669,50,2670,0,2586,0,
2671,3,2670,255,2671,1147609,0,2671,128000,2672,16,2765,594000,2769,1026000,2774,0,2670,0,2768,11,2772,33,2775,0,2671,0,
2779,3,2776,255,2779,761204,0,2780,128000,2782,16,2866,918000,2874,1026000,2878,0,2777,0,2871,62,2877,72,2878,0,2778,0,
2885,3,2880,255,2885,1075642,0,2897,128000,2935,17,2940,1026000,2954,1512000,2958,0,2880,0,2946,100,2957,100,2959,0,2881,0,
2962,3,2959,255,2962,1677920,360094,2963,128000,2963,17,3016,1512000,3018,1512000,3020,1026000,2960,0,3018,62,3020,33,3022,40,2961,0,
3024,3,3022,255,3024,1534502,216676,3025,128000,3025,17,3117,1026000,3119,1026000,3122,1026000,3022,1512000,3119,38,3121,18,3124,12,3024,16,
3127,3,3125,255,3127,917359,0,3128,128000,3129,17,3217,1026000,3220,1026000,3223,1026000,3125,1026000,3220,22,3222,36,3228,55,3127,11,
3231,3,3229,255,3231,1041267,0,3232,128000,3233,17,3318,1026000,3320,1026000,3323,0,3230,0,3320,62,3322,50,3324,0,3230,0,
3327,3,3325,255,3327,1037623,0,3328,128000,3330,17,3418,1512000,3421,1026000,3423,0,3326,0,3420,81,3422,66,3423,0,3327,0,
3429,3,3425,255,3429,1424046,106220,3430,128000,3431,17,3519,1512000,3525,1026000,3532,0,3428,0,3524,100,3531,36,3536,0,3429,0,
3542,3,3538,255,3542,1444681,126855,3544,128000,3556,17,3619,1512000,3621,1026000,3622,0,3541,0,3620,80,3622,62,3623,0,3542,0,
3625,3,3623,255,3624,1402628,84802,3625,128000,3629,17,3720,1512000,3722,1026000,3724,0,3624,0,3721,55,3723,22,3724,0,3624,0,
3726,3,3725,255,3725,1085847,0,3726,128000,3727,17,3820,1512000,3822,1026000,3824,0,3725,0,3822,66,3823,40,3824,0,3725,0,
3826,3,3825,255,3825,1226689,0,3826,128000,3827,17,3921,1512000,3927,1026000,3935,0,3825,0,3922,60,3934,62,3940,0,3825,0,
3941,3,3941,255,3941,1265823,0,3942,128000,3945,18,4021,1512000,4028,1512000,4031,1026000,3941,0,4022,100,4030,100,4033,80,3941,0,
4053,3,4034,255,4051,2338871,1021045,4053,128000,4056,18,4125,1512000,4127,1512000,4129,1026000,4034,1026000,4127,60,4128,54,4130,45,4051,12,
4132,3,4130,255,4132,2030781,712955,4132,128000,4133,18,4226,1512000,4228,1512000,4229,1026000,4130,1512000,4227,33,4229,22,4231,33,4132,66,
4233,3,4231,255,4233,1357742,39916,4233,128000,4234,18,4331,1026000,4334,1026000,4337,0,4231,1512000,4333,12,4336,40,4337,0,4233,33,
