App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 09:04:23 PM","17 sec","Trepn_2018.10.19_210422.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
54,3,50,255,53,1839451,607023,55,320000,63,0,5,1512000,45,1512000,47,0,53,0,40,92,46,100,50,0,53,0,
116,3,113,255,115,2256708,1024280,116,320000,120,0,106,1512000,107,1512000,110,1512000,115,0,107,100,109,100,112,53,115,0,
216,3,212,255,215,2632924,1400496,216,320000,217,0,206,1512000,208,1512000,210,1512000,213,1512000,208,90,210,81,212,100,215,37,
316,3,313,255,316,2776570,1544142,317,320000,317,0,307,1512000,309,1512000,311,1512000,314,1512000,309,66,311,63,313,100,316,100,
416,3,414,255,416,2154104,921676,417,320000,417,0,407,1512000,409,1512000,411,1512000,415,1512000,409,50,411,25,414,100,416,63,
515,3,513,255,515,2270389,1037961,516,320000,516,0,507,1512000,509,1512000,511,1512000,513,1512000,509,61,511,50,513,100,515,44,
616,3,614,255,616,2468757,1236329,617,320000,617,0,608,1512000,610,1512000,613,1512000,615,1512000,609,63,611,66,614,100,616,55,
715,3,713,255,715,1490596,258168,716,320000,716,0,708,1512000,710,1512000,712,1512000,714,1512000,710,22,711,11,713,90,715,18,
832,3,827,255,832,1853131,620703,835,320000,840,0,809,1512000,819,1512000,823,1512000,828,0,819,54,822,50,825,90,831,0,
917,3,915,255,917,2769730,1537302,918,320000,918,0,909,1512000,912,1512000,914,1512000,916,1512000,912,100,913,90,915,88,917,50,
1019,3,1016,255,1018,2123767,891339,1019,320000,1020,0,1010,1512000,1012,1512000,1014,1026000,1017,1512000,1012,88,1014,62,1016,63,1018,50,
1117,3,1116,255,1117,1930503,698075,1118,320000,1118,0,1110,1512000,1112,1512000,1114,1026000,1116,1512000,1112,58,1114,63,1115,40,1117,63,
1217,3,1216,255,1217,911805,0,1218,320000,1218,0,1211,1512000,1213,1512000,1214,1026000,1217,0,1212,30,1214,12,1215,27,1217,0,
1319,3,1318,255,1319,697009,0,1319,320000,1320,0,1311,1026000,1314,1512000,1316,1026000,1318,0,1313,20,1315,9,1317,10,1318,0,
1423,3,1422,255,1423,822376,0,1424,200000,1424,0,1412,1026000,1414,1512000,1422,0,1423,0,1413,40,1421,22,1422,0,1423,0,
1528,3,1525,255,1527,597092,0,1529,200000,1531,0,1513,702000,1519,384000,1523,0,1526,0,1517,22,1522,30,1524,0,1527,0,
