App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 05:42:24 PM","17 sec","Trepn_2018.10.19_174222.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
2,3,68,255,1,1832611,707426,2,320000,3,0,60,1512000,62,1512000,66,0,69,0,61,100,63,100,68,100,1,0,
70,3,166,255,70,1894173,768988,70,320000,71,0,160,1512000,162,1512000,164,1512000,166,1512000,162,81,164,76,166,100,69,0,
168,3,267,255,168,2571362,1446177,168,320000,169,0,261,1512000,263,1512000,265,1512000,268,1512000,262,70,265,60,267,100,168,42,
270,3,367,255,270,2783411,1658226,270,320000,271,0,361,1512000,364,1512000,365,1512000,368,1512000,363,37,365,30,367,100,270,100,
370,3,468,255,370,2195146,1069961,370,320000,371,0,461,1512000,464,1512000,466,1512000,468,1512000,463,41,465,45,467,100,369,77,
471,3,569,255,470,2051500,926315,471,320000,472,0,562,1512000,565,1512000,567,1512000,569,1512000,564,55,567,50,569,100,470,37,
571,3,668,255,571,2407195,1282010,572,320000,572,0,662,1512000,665,1512000,667,1512000,669,1512000,664,16,666,25,668,100,571,70,
671,3,772,255,670,1743687,618502,671,320000,672,0,763,1512000,765,1512000,769,1512000,773,1512000,765,33,768,14,771,81,670,37,
775,3,871,255,775,1606881,481696,776,400000,776,0,865,1134000,867,1512000,869,1512000,871,1512000,867,75,869,88,870,77,775,30,
873,3,971,255,873,2501934,1376749,874,400000,874,0,965,1134000,967,1512000,969,1512000,971,1512000,967,54,969,66,971,50,873,77,
