App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 06:07:39 PM","17 sec","Trepn_2018.10.19_180738.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
32,3,28,255,29,2222507,965943,32,320000,33,0,92,1512000,20,1512000,26,1512000,29,0,19,100,21,84,28,64,29,0,
101,3,98,255,101,2865494,1608930,102,320000,102,0,193,1512000,94,1512000,96,1512000,99,1512000,94,100,96,100,98,85,100,57,
202,3,199,255,202,2489278,1232714,203,320000,204,0,293,1512000,195,1512000,196,1512000,199,1512000,194,50,196,100,198,37,202,100,
301,3,299,255,301,2407195,1150631,302,320000,302,0,394,1512000,295,1512000,297,1512000,299,1512000,295,66,297,54,299,55,301,100,
402,3,400,255,401,2092541,835977,402,320000,403,0,494,1512000,396,1512000,398,1512000,400,1512000,395,33,397,41,399,55,401,100,
503,3,501,255,503,1853131,596567,504,320000,505,0,594,1512000,496,1512000,499,1512000,501,1512000,496,28,498,33,500,33,503,100,
601,3,600,255,601,1476916,220352,602,320000,602,0,695,1512000,596,1512000,598,1512000,600,0,596,50,598,44,599,45,601,0,
702,3,701,255,701,1866812,610248,702,320000,702,0,795,1512000,697,1512000,699,1512000,701,0,697,88,699,50,700,58,701,0,
808,3,804,255,807,2886015,1629451,810,320000,814,0,896,1512000,798,1512000,800,1512000,805,1512000,798,81,800,88,803,76,807,100,
903,3,901,255,903,2715008,1458444,903,400000,904,0,996,1512000,898,1512000,899,1512000,901,1512000,897,77,899,60,901,83,903,100,
1004,3,1002,255,1003,1526926,270362,1004,400000,1005,0,1099,1512000,998,1512000,1000,1512000,1002,1026000,998,80,999,33,1001,12,1003,40,
1106,3,1105,255,1106,916012,0,1107,400000,1107,0,1197,1134000,1102,1512000,1104,0,1105,0,1102,45,1104,12,1104,0,1105,0,
