Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.518,20.518,screen bright,16.519821484
0,20.518,20.518,wifi running,0.2467043284
0,20.518,20.518,phone_scanning,9.5777490532
0.0,23.683007,23.683007,core 0 cpu_idle start,0.315398445722
23.683007,23.775597,0.0925900000002,core 0 cpu_idle,0.001233067325
23.775597,23.775627,3.00000028801e-05,core 0 cpu_frequency,1.97821968992e-05
23.775627,23.825524,0.0498969999971,core 0 cpu_idle,0.000664503297462
23.825524,23.825554,3.00000028801e-05,core 0 cpu_frequency,1.97821968992e-05
23.825554,23.925835,0.100280999999,core 0 cpu_idle,0.00133549221749
23.925835,23.92614,0.000304999997752,core 0 cpu_frequency,0.00027817784045
23.92614,24.375634,0.449494,core 0 cpu_idle,0.00598613634501
24.375634,24.375664,2.99999992421e-05,core 0 cpu_frequency,1.97821945003e-05
24.375664,24.425499,0.0498350000016,core 0 cpu_idle,0.000663677612522
24.425499,24.42556,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
24.42556,24.525658,0.100098000003,core 0 cpu_idle,0.00133305511503
24.525658,24.525719,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
24.525719,24.575554,0.0498350000016,core 0 cpu_idle,0.000663677612522
24.575554,24.576409,0.00085499999841,core 0 cpu_frequency,0.000563792556451
24.576409,24.725579,0.149170000001,core 0 cpu_idle,0.00198657147501
24.725579,24.72564,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
24.72564,24.775658,0.0500180000017,core 0 cpu_idle,0.000666114715023
24.775658,24.775688,2.99999992421e-05,core 0 cpu_frequency,1.38578096499e-05
24.775688,24.825676,0.0499879999988,core 0 cpu_idle,0.000665715189985
24.825676,24.825859,0.000183000000106,core 0 cpu_frequency,9.26795265539e-05
24.825859,24.883629,0.0577699999994,core 0 cpu_idle,0.000769351974992
24.883629,24.972039,0.0884100000003,core 0 cpu_frequency,0.0806350919853
24.972039,25.17852,0.206481000001,core 0 cpu_idle,0.00274981071751
25.17852,25.178551,3.09999995807e-05,core 0 cpu_frequency,2.04416012235e-05
25.178551,25.22567,0.0471189999989,core 0 cpu_idle,0.000627507282486
25.22567,25.225762,9.20000020415e-05,core 0 cpu_frequency,3.80165168436e-05
25.225762,25.275658,0.0498960000004,core 0 cpu_idle,0.000664489980006
25.275658,25.275719,6.09999988228e-05,core 0 cpu_frequency,3.08931749038e-05
25.275719,25.325676,0.0499569999993,core 0 cpu_idle,0.00066530234749
25.325676,25.325707,3.09999995807e-05,core 0 cpu_frequency,2.04416012235e-05
25.325707,25.375542,0.0498350000016,core 0 cpu_idle,0.000663677612522
25.375542,25.375603,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
25.375603,25.575524,0.199920999999,core 0 cpu_idle,0.00266244791749
25.575524,25.575585,6.10000024608e-05,core 0 cpu_frequency,4.02237981227e-05
25.575585,25.725548,0.149963,core 0 cpu_idle,0.0019971322525
25.725548,25.725609,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
25.725609,25.775566,0.0499569999993,core 0 cpu_idle,0.00066530234749
25.775566,25.775658,9.20000020415e-05,core 0 cpu_frequency,3.24155567193e-05
25.775658,25.825798,0.0501399999994,core 0 cpu_idle,0.000667739449992
25.825798,25.825829,3.09999995807e-05,core 0 cpu_frequency,1.56998102876e-05
25.825829,25.875695,0.0498660000012,core 0 cpu_idle,0.000664090455016
25.875695,25.886772,0.0110769999992,core 0 cpu_frequency,0.00730424579998
25.886772,25.979882,0.093109999998,core 0 cpu_idle,0.00123999242497
25.979882,25.979912,3.00000028801e-05,core 0 cpu_frequency,1.97821968992e-05
25.979912,26.075676,0.0957639999979,core 0 cpu_idle,0.00127533706997
26.075676,26.075737,6.09999988228e-05,core 0 cpu_frequency,2.75740734679e-05
26.075737,26.125756,0.0500190000021,core 0 cpu_idle,0.000666128032528
26.125756,26.125817,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
26.125817,26.17968,0.053863000001,core 0 cpu_idle,0.000717320502513
26.17968,26.217461,0.0377809999991,core 0 cpu_frequency,0.0344584821877
26.217461,26.378594,0.161133000001,core 0 cpu_idle,0.00214588872752
26.378594,26.378685,9.09999980649e-05,core 0 cpu_frequency,6.0005990224e-05
26.378685,26.475518,0.0968329999996,core 0 cpu_idle,0.00128957347749
26.475518,26.475548,3.00000028801e-05,core 0 cpu_frequency,1.97821968992e-05
26.475548,26.525811,0.0502629999974,core 0 cpu_idle,0.000669377502465
26.525811,26.525872,6.10000024608e-05,core 0 cpu_frequency,2.52066040169e-05
26.525872,26.575615,0.0497429999996,core 0 cpu_idle,0.000662452402494
26.575615,26.575676,6.09999988228e-05,core 0 cpu_frequency,2.14929225852e-05
26.575676,26.625725,0.0500490000013,core 0 cpu_idle,0.000666527557517
26.625725,26.626274,0.000549000000319,core 0 cpu_frequency,0.000278038579662
26.626274,26.72567,0.0993959999978,core 0 cpu_idle,0.00132370622997
26.72567,26.725701,3.09999995807e-05,core 0 cpu_frequency,2.04416012235e-05
26.725701,26.775505,0.049804000002,core 0 cpu_idle,0.000663264770027
26.775505,26.775566,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
26.775566,26.825768,0.0502020000022,core 0 cpu_idle,0.000668565135029
26.825768,26.825951,0.000183000000106,core 0 cpu_frequency,8.45326410492e-05
26.825951,26.875878,0.049927,core 0 cpu_idle,0.0006649028225
26.875878,26.875908,2.99999992421e-05,core 0 cpu_frequency,1.97821945003e-05
26.875908,27.025627,0.149719000001,core 0 cpu_idle,0.00199388278251
27.025627,27.027153,0.00152600000001,core 0 cpu_frequency,0.000689803884006
27.027153,27.075768,0.0486149999997,core 0 cpu_idle,0.000647430262496
27.075768,27.077629,0.00186099999701,core 0 cpu_frequency,0.000942495073984
27.077629,27.125756,0.0481270000018,core 0 cpu_idle,0.000640931322525
