App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 08:10:49 PM","17 sec","Trepn_2018.10.19_201047.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
73,3,67,255,72,2152922,892222,77,320000,85,0,50,1512000,52,1512000,64,1026000,68,1026000,51,100,63,100,66,60,72,11,
158,3,156,255,158,2749209,1488509,159,320000,159,0,150,1512000,152,1512000,154,1512000,157,1512000,152,75,154,100,156,50,158,100,
259,3,256,255,258,2523480,1262780,259,320000,260,0,250,1512000,253,1512000,254,1512000,257,1512000,252,42,254,100,255,50,258,100,
358,3,356,255,358,2550841,1290141,359,320000,359,0,351,1512000,353,1512000,354,1512000,356,1512000,352,66,354,100,355,50,358,80,
459,3,457,255,459,2345632,1084932,459,320000,460,0,451,1512000,453,1512000,455,1512000,457,1512000,453,80,454,100,456,50,458,36,
559,3,557,255,559,1981337,720637,560,320000,560,0,552,1512000,554,1512000,555,1512000,557,1134000,553,55,555,100,556,44,558,22,
658,3,657,255,658,1709485,448785,659,320000,660,0,652,1512000,654,1512000,656,1512000,658,0,653,40,655,100,657,33,658,0,
761,3,759,255,761,1635821,375121,762,320000,763,0,752,1512000,755,1512000,757,1134000,760,0,754,66,756,60,759,58,761,0,
876,3,865,255,876,2790069,1529369,877,320000,877,0,853,1512000,855,1512000,862,1512000,866,1134000,855,90,860,91,864,100,876,80,
961,3,959,255,960,2453226,1192526,961,320000,962,0,953,1512000,955,1512000,957,1512000,959,1134000,955,81,957,90,958,72,960,62,
1063,3,1060,255,1063,1604019,343319,1063,320000,1064,0,1054,1512000,1056,1512000,1058,1512000,1061,1026000,1056,30,1058,60,1060,50,1063,33,
1167,3,1163,255,1167,832241,0,1168,320000,1169,0,1155,1026000,1158,1026000,1161,1026000,1164,1026000,1157,22,1160,25,1163,10,1167,27,
1265,3,1264,255,1265,857752,0,1266,320000,1267,0,1255,1026000,1259,1026000,1261,1026000,1264,0,1258,33,1261,33,1263,25,1265,0,
1367,3,1365,255,1366,700241,0,1368,320000,1369,0,1356,384000,1359,1026000,1362,1026000,1365,0,1358,20,1361,18,1364,25,1366,0,
1468,3,1467,255,1468,939118,0,1469,320000,1470,0,1457,918000,1461,1026000,1464,810000,1467,0,1460,45,1463,45,1466,44,1468,0,
1581,3,1578,255,1581,677182,0,1582,200000,1585,0,1557,1026000,1571,384000,1575,1026000,1578,0,1569,10,1574,27,1577,25,1579,0,
1664,3,1663,255,1664,1225276,0,1665,200000,1665,0,1657,1026000,1660,1512000,1661,1026000,1663,0,1659,61,1661,50,1663,37,1664,0,
1771,3,1768,255,1771,806731,0,1773,128000,1774,18,1759,1026000,1762,1026000,1765,1026000,1769,0,1761,10,1765,27,1768,40,1770,0,
1866,3,1865,255,1866,1611950,351250,1866,128000,1867,18,1859,1026000,1861,1512000,1863,1026000,1865,0,1861,44,1863,90,1864,55,1866,0,
1968,3,1966,255,1967,842422,0,1968,128000,1969,18,1960,1026000,1962,1512000,1964,1026000,1967,0,1962,11,1964,10,1966,27,1967,0,
2066,3,2065,255,2066,703936,0,2066,128000,2067,18,2060,1026000,2062,1512000,2064,0,2065,0,2062,0,2063,10,2064,0,2066,0,
2183,3,2181,255,2183,799168,0,2184,128000,2185,18,2167,1026000,2173,486000,2177,0,2181,0,2172,36,2176,27,2178,0,2182,0,
2268,3,2267,255,2268,876061,0,2269,128000,2270,18,2261,1026000,2264,1026000,2266,0,2268,0,2263,33,2266,33,2267,0,2268,0,
2389,3,2386,255,2388,760058,0,2390,128000,2391,18,2363,1026000,2374,384000,2384,0,2387,0,2373,27,2383,30,2385,0,2388,0,
2470,3,2468,255,2469,1043701,0,2470,128000,2471,18,2463,1026000,2465,1026000,2467,0,2469,0,2465,50,2467,62,2468,0,2469,0,
2580,3,2578,255,2580,775439,0,2582,128000,2583,18,2564,1026000,2574,384000,2576,0,2579,0,2573,36,2576,10,2577,0,2579,0,
2672,3,2670,255,2672,981531,0,2673,128000,2674,18,2664,1026000,2667,918000,2669,0,2671,0,2666,42,2669,63,2670,0,2672,0,
2776,3,2773,255,2775,1001651,0,2777,128000,2778,17,2764,1026000,2770,918000,2772,0,2774,0,2768,45,2772,66,2773,0,2775,0,
2873,3,2871,255,2872,879073,0,2874,128000,2875,17,2865,702000,2868,1026000,2870,0,2871,0,2867,42,2869,45,2871,0,2872,0,
2974,3,2972,255,2974,972025,0,2974,128000,2975,17,2965,1026000,2969,1026000,2971,0,2973,0,2968,50,2971,44,2972,0,2973,0,
3074,3,3073,255,3074,735759,0,3075,128000,3075,17,3066,384000,3069,1026000,3072,0,3073,0,3068,30,3071,22,3072,0,3074,0,
3176,3,3174,255,3175,892919,0,3176,128000,3177,17,3167,918000,3170,1026000,3173,0,3175,0,3169,42,3173,37,3174,0,3175,0,
3284,3,3281,255,3283,753980,0,3285,128000,3287,17,3268,384000,3274,1026000,3279,0,3282,0,3273,30,3278,27,3280,0,3283,0,
3374,3,3373,255,3374,1117244,0,3375,128000,3375,17,3368,1512000,3370,1026000,3373,0,3374,0,3369,50,3372,40,3373,0,3374,0,
3474,3,3473,255,3474,727853,0,3475,128000,3475,17,3468,1512000,3471,1026000,3473,0,3474,0,3470,0,3472,27,3473,0,3474,0,
3578,3,3576,255,3577,818962,0,3578,128000,3579,17,3569,1026000,3572,1026000,3575,0,3577,0,3571,30,3574,22,3576,0,3577,0,
3679,3,3677,255,3678,946574,0,3679,128000,3680,17,3669,918000,3673,1026000,3676,0,3678,0,3672,50,3675,45,3677,0,3678,0,
3781,3,3780,255,3781,804384,0,3782,128000,3783,19,3770,1026000,3774,1026000,3778,0,3780,0,3773,18,3778,30,3779,0,3781,0,
3880,3,3879,255,3880,976953,0,3881,128000,3882,19,3871,1026000,3875,918000,3878,0,3880,0,3874,50,3877,50,3879,0,3880,0,
3987,3,3984,255,3986,791031,0,3988,128000,3989,19,3971,1026000,3978,1026000,3983,0,3985,0,3975,11,3982,30,3983,0,3986,0,
4082,3,4079,255,4081,970399,0,4083,128000,4084,19,4072,1026000,4075,918000,4078,0,4080,0,4075,44,4077,55,4079,0,4081,0,
4185,3,4184,255,4185,893073,0,4186,128000,4187,19,4173,1026000,4176,1026000,4183,0,4184,0,4175,33,4182,36,4183,0,4185,0,
4293,3,4286,255,4292,767024,0,4294,128000,4297,19,4274,594000,4280,384000,4284,0,4288,0,4278,54,4283,45,4285,0,4291,0,
