App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 08:30:01 PM","17 sec","Trepn_2018.10.19_203000.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
64,3,62,255,64,2680806,1488668,65,320000,0,0,55,1512000,57,1512000,60,1512000,62,1512000,57,100,59,100,61,60,64,55,
166,3,162,255,165,2728688,1536550,166,320000,65,0,156,1512000,158,1512000,160,1512000,163,1512000,157,90,160,60,162,100,165,72,
264,3,262,255,264,2667126,1474988,265,320000,168,0,256,1512000,258,1512000,260,1512000,263,1512000,258,80,260,33,262,100,264,100,
364,3,362,255,364,2311431,1119293,365,320000,266,0,356,1512000,358,1512000,360,1512000,362,1512000,358,50,359,41,361,100,363,70,
464,3,462,255,463,2468757,1276619,464,320000,366,0,457,1512000,458,1512000,460,1512000,462,1512000,458,54,460,70,461,100,463,60,
564,3,562,255,564,1836646,644508,565,320000,465,0,557,1512000,559,1512000,561,1512000,563,1026000,559,22,560,60,562,100,564,18,
664,3,663,255,664,1563369,371231,665,320000,566,0,657,1026000,659,1512000,661,1512000,664,0,659,50,661,25,662,100,664,0,
766,3,763,255,765,1567910,375772,766,320000,665,0,758,1026000,760,1512000,762,1512000,763,0,760,55,761,42,763,81,764,0,
868,3,864,255,867,2256708,1064570,868,320000,767,0,858,1512000,860,1512000,862,1512000,865,0,860,83,861,90,864,80,867,0,
970,3,965,255,969,2411173,1219035,970,320000,869,0,959,1512000,961,1512000,963,1512000,965,1026000,961,77,962,100,964,81,969,33,
1068,3,1065,255,1067,1825770,633632,1068,320000,971,0,1059,1512000,1061,1512000,1063,1512000,1065,1512000,1061,90,1063,45,1064,22,1067,33,
1168,3,1165,255,1168,1654763,462625,1169,320000,1069,0,1160,1512000,1162,1512000,1163,1512000,1165,1512000,1161,60,1163,50,1165,22,1168,33,
1266,3,1265,255,1266,526116,0,1266,320000,1169,0,1260,1512000,1263,1026000,1264,0,1265,0,1262,0,1264,0,1265,0,1266,0,
1367,3,1366,255,1367,785932,0,1367,320000,1267,0,1361,1512000,1364,1026000,1365,0,1366,0,1362,22,1365,30,1366,0,1367,0,
1471,3,1469,255,1470,686467,0,1472,320000,1368,0,1462,1026000,1465,1026000,1468,0,1469,0,1464,33,1467,11,1468,0,1470,0,
1571,3,1569,255,1571,752065,0,1571,320000,1473,0,1563,1026000,1566,1026000,1568,0,1570,0,1566,37,1568,25,1569,0,1570,0,
1679,3,1676,255,1679,616014,0,1681,320000,1573,0,1664,702000,1668,384000,1674,0,1677,0,1667,30,1671,33,1675,0,1679,0,
1774,3,1773,255,1774,956149,0,1775,320000,1682,0,1764,1026000,1767,1026000,1771,0,1773,0,1767,58,1769,60,1772,0,1774,0,
1890,3,1883,255,1889,596659,0,1891,200000,1776,0,1866,384000,1875,384000,1880,0,1886,0,1872,36,1879,45,1882,0,1888,0,
1923,3,1922,255,1923,1428805,236667,1924,200000,1893,0,1915,1512000,1919,1026000,1921,0,1922,0,1919,100,1921,60,1922,0,1923,0,
2021,3,2020,255,2020,914104,0,2021,128000,1925,0,2016,1512000,2018,1026000,2019,0,2020,0,2017,45,2019,22,2019,0,2020,0,
2124,3,2122,255,2123,960079,0,2124,128000,2022,0,2116,1512000,2119,1026000,2121,0,2123,0,2118,40,2121,44,2122,0,2123,0,
2227,3,2225,255,2227,831089,0,2228,128000,2125,13,2217,1026000,2220,1026000,2223,0,2225,0,2220,22,2222,40,2224,0,2226,0,
2339,3,2334,255,2338,692956,0,2340,128000,2231,13,2318,594000,2323,384000,2329,0,2336,0,2322,37,2328,33,2333,0,2337,0,
2432,3,2430,255,2432,933131,0,2433,128000,2341,13,2418,1026000,2422,1026000,2428,0,2431,0,2421,40,2427,50,2429,0,2432,0,
2528,3,2525,255,2527,749597,0,2528,128000,2434,13,2519,594000,2521,1026000,2524,0,2526,0,2521,22,2524,30,2525,0,2527,0,
2634,3,2630,255,2633,873106,0,2634,128000,2529,13,2619,918000,2623,1026000,2629,0,2632,0,2622,28,2627,50,2629,0,2633,0,
2729,3,2727,255,2728,733630,0,2730,128000,2635,13,2720,384000,2723,1026000,2725,0,2727,0,2722,22,2725,30,2726,0,2728,0,
2833,3,2832,255,2833,922105,0,2834,128000,2731,13,2820,918000,2829,1026000,2831,0,2833,0,2828,44,2831,50,2832,0,2833,0,
2930,3,2929,255,2930,954997,0,2931,128000,2845,13,2921,1026000,2924,1026000,2928,0,2929,0,2923,42,2927,54,2928,0,2930,0,
3032,3,3030,255,3031,951353,0,3032,128000,2932,13,3022,1026000,3027,1026000,3029,0,3031,0,3026,50,3029,45,3030,0,3031,0,
3131,3,3129,255,3130,896688,0,3131,128000,3033,13,3122,1026000,3125,1026000,3128,0,3130,0,3124,25,3127,55,3129,0,3130,0,
3231,3,3229,255,3230,1089838,0,3232,128000,3133,13,3223,1026000,3226,1026000,3228,0,3230,0,3225,70,3228,63,3229,0,3230,0,
3336,3,3333,255,3335,753091,0,3336,128000,3233,18,3323,1026000,3327,384000,3331,0,3334,0,3326,27,3330,22,3332,0,3335,0,
3434,3,3433,255,3434,1058278,0,3435,128000,3337,18,3424,1026000,3429,1026000,3432,0,3433,0,3428,66,3431,50,3432,0,3434,0,
3553,3,3548,255,3553,694756,0,3557,128000,3436,18,3526,384000,3537,384000,3544,0,3550,0,3533,30,3542,38,3547,0,3552,0,
3634,3,3632,255,3634,1061982,0,3636,128000,3558,18,3626,1026000,3629,918000,3631,0,3633,0,3628,75,3630,50,3632,0,3634,0,
3736,3,3734,255,3736,905216,0,3736,128000,3636,18,3727,1026000,3730,1026000,3733,0,3735,0,3730,33,3732,41,3734,0,3735,0,
3838,3,3836,255,3838,828109,0,3839,128000,3737,18,3828,384000,3831,1026000,3834,0,3837,0,3830,37,3833,44,3835,0,3838,0,
