Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.536,20.536,screen bright,16.534313968
0,20.536,20.536,wifi running,0.2469207568
0,20.536,20.536,phone_scanning,9.5861514064
0.0,23.926624,23.926624,core 0 cpu_idle start,0.31864281512
23.926624,23.948261,0.0216370000016,core 0 cpu_idle,0.000288150747522
23.948261,23.948322,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
23.948322,23.99831,0.0499880000025,core 0 cpu_idle,0.000665715190033
23.99831,23.998341,3.09999995807e-05,core 0 cpu_frequency,2.04416012235e-05
23.998341,24.04845,0.0501089999998,core 0 cpu_idle,0.000667326607497
24.04845,24.048512,6.19999991613e-05,core 0 cpu_frequency,4.0883202447e-05
24.048512,24.098286,0.0497739999992,core 0 cpu_idle,0.000662865244989
24.098286,24.098347,6.10000024608e-05,core 0 cpu_frequency,4.02237981227e-05
24.098347,24.202595,0.104248,core 0 cpu_idle,0.00138832274
24.202595,24.231647,0.029051999998,core 0 cpu_frequency,0.0264971235402
24.231647,24.648457,0.416810000002,core 0 cpu_idle,0.00555086717503
24.648457,24.648518,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
24.648518,24.698261,0.0497429999996,core 0 cpu_idle,0.000662452402494
24.698261,24.698353,9.19999984035e-05,core 0 cpu_frequency,6.06653969472e-05
24.698353,24.748554,0.0502010000018,core 0 cpu_idle,0.000668551817524
24.748554,24.748585,3.09999995807e-05,core 0 cpu_frequency,2.04416012235e-05
24.748585,24.798298,0.0497130000003,core 0 cpu_idle,0.000662052877505
24.798298,24.798328,2.99999992421e-05,core 0 cpu_frequency,1.97821945003e-05
24.798328,24.848408,0.0500800000009,core 0 cpu_idle,0.000666940400012
24.848408,24.848469,6.09999988228e-05,core 0 cpu_frequency,4.02237957238e-05
24.848469,24.99831,0.149841000002,core 0 cpu_idle,0.00199550751753
24.99831,25.003895,0.00558499999897,core 0 cpu_frequency,0.00368278530182
25.003895,25.04845,0.0445550000004,core 0 cpu_idle,0.000593361212505
25.04845,25.048512,6.19999991613e-05,core 0 cpu_frequency,4.0883202447e-05
