App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 08:48:12 PM","17 sec","Trepn_2018.10.19_204811.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
9,3,1,255,8,1839451,612027,10,320000,13,0,49,1512000,51,1512000,54,1026000,6,0,51,100,53,100,55,40,8,0,
60,3,56,255,60,2039947,812523,60,320000,61,0,149,1512000,152,1512000,154,1512000,58,0,151,100,153,70,156,77,60,0,
160,3,157,255,159,2352472,1125048,160,320000,161,0,250,1512000,252,1512000,255,1512000,157,1512000,252,100,254,37,256,50,159,20,
260,3,257,255,260,2489278,1261854,260,320000,261,0,350,1512000,352,1512000,354,1512000,257,1512000,352,100,353,55,355,55,259,100,
358,3,356,255,358,2352472,1125048,358,320000,359,0,450,1512000,452,1512000,454,1512000,356,1512000,452,27,454,100,456,53,358,57,
459,3,456,255,459,1942055,714631,459,320000,460,0,551,1134000,553,1512000,554,1512000,457,1512000,552,66,554,100,556,63,458,27,
558,3,556,255,558,2176185,948761,558,320000,559,0,651,1026000,653,1512000,655,1512000,556,1512000,653,11,654,100,656,22,558,37,
659,3,657,255,659,1469121,241697,659,320000,660,0,752,1026000,754,1512000,756,1026000,657,1512000,754,11,756,30,758,72,658,10,
762,3,759,255,761,1073893,0,762,320000,763,0,853,1026000,855,1512000,869,0,759,1026000,855,81,869,83,870,0,761,11,
874,3,872,255,873,1389052,161628,875,320000,876,0,953,1512000,958,1512000,965,1512000,872,0,956,90,960,87,967,80,873,0,
971,3,968,255,970,2579262,1351838,971,320000,979,0,1053,1512000,1055,1512000,1057,1512000,968,1026000,1055,80,1056,100,1058,62,970,81,
1060,3,1058,255,1060,2708167,1480743,1060,320000,1061,0,1154,1512000,1157,1512000,1159,1026000,1059,1512000,1156,33,1159,60,1161,30,1060,77,
1164,3,1161,255,1164,1723052,495628,1164,320000,1165,0,1254,1512000,1256,1512000,1258,1026000,1162,1512000,1256,45,1258,36,1259,40,1163,66,
1261,3,1259,255,1261,1567967,340543,1261,320000,1262,0,1355,1026000,1358,1026000,1361,1026000,1260,1512000,1358,11,1360,20,1363,20,1261,50,
1368,3,1364,255,1368,810375,0,1369,320000,1370,0,1456,1026000,1461,486000,1465,1026000,1365,1026000,1460,0,1464,30,1468,20,1367,27,
1479,3,1469,255,1477,671488,0,1482,320000,1489,0,1557,1026000,1562,384000,1566,0,1470,1026000,1561,44,1565,60,1568,0,1474,10,
1570,3,1568,255,1570,738722,0,1571,320000,1572,0,1659,1026000,1662,1026000,1665,0,1569,0,1661,36,1664,40,1665,0,1570,0,
