App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 09:14:01 AM","17 sec","Trepn_2018.10.21_091400.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
62,3,60,255,62,2749209,1689140,62,320000,2,0,51,1512000,53,1512000,58,1512000,60,1512000,53,87,55,100,59,100,61,38,
159,3,157,255,159,2701327,1641258,160,320000,63,0,151,1512000,153,1512000,155,1512000,157,1512000,153,62,155,100,156,66,159,90,
259,3,257,255,259,2824452,1764383,259,320000,160,0,252,1512000,254,1512000,255,1512000,257,1512000,253,70,255,100,257,100,259,66,
360,3,358,255,360,2441396,1381327,360,320000,260,0,352,1512000,354,1512000,356,1512000,358,1512000,354,60,355,100,357,70,360,50,
460,3,458,255,460,1825770,765701,461,320000,361,0,453,1512000,455,1512000,456,1512000,458,1512000,454,11,456,100,458,54,460,25,
563,3,561,255,563,1962576,902507,564,320000,461,0,553,1512000,555,1512000,559,1512000,562,0,555,50,558,100,561,60,563,0,
662,3,661,255,662,1469961,409892,663,320000,565,0,654,1026000,656,1512000,658,1512000,661,0,656,30,658,100,660,22,662,0,
762,3,760,255,762,2489278,1429209,763,320000,664,0,754,1512000,756,1512000,758,1512000,761,1512000,756,81,758,80,760,90,762,36,
862,3,860,255,861,3125425,2065356,862,320000,764,0,854,1512000,856,1512000,858,1512000,860,1512000,856,90,857,100,859,90,861,100,
961,3,959,255,961,2345632,1285563,961,320000,862,0,955,1512000,957,1512000,958,1512000,960,1512000,956,70,958,66,959,55,961,75,
1062,3,1060,255,1062,1565839,505770,1062,320000,962,0,1055,1512000,1057,1512000,1059,1512000,1060,1512000,1057,33,1058,33,1060,20,1062,66,
1166,3,1164,255,1166,772252,0,1167,320000,1063,0,1156,1512000,1159,1026000,1161,1026000,1165,0,1158,20,1161,0,1163,30,1165,0,
1267,3,1264,255,1266,770347,0,1267,320000,1168,0,1257,1026000,1260,918000,1262,0,1265,0,1259,25,1262,50,1263,0,1266,0,
1365,3,1363,255,1365,792153,0,1366,320000,1268,0,1357,1026000,1360,1026000,1362,0,1364,0,1359,40,1362,33,1363,0,1364,0,
1486,3,1471,255,1475,664466,0,1492,320000,1366,0,1458,594000,1463,1026000,1467,0,1472,0,1460,41,1465,20,1470,0,1475,0,
1567,3,1565,255,1567,1901013,840944,1567,200000,1512,0,1559,1512000,1561,1512000,1563,1512000,1565,1512000,1561,81,1563,77,1564,25,1566,18,
1668,3,1666,255,1668,1285387,225318,1669,200000,1568,0,1660,1512000,1662,1512000,1664,1512000,1667,1026000,1661,10,1663,20,1666,81,1668,0,
1770,3,1767,255,1769,1534492,474423,1770,128000,1669,0,1760,1026000,1763,1026000,1765,1512000,1768,1026000,1762,40,1765,27,1767,100,1769,22,
1891,3,1889,255,1891,1061430,1361,1892,128000,1771,18,1861,1026000,1874,918000,1888,0,1890,0,1870,53,1887,76,1888,0,1890,0,
1968,3,1967,255,1968,1159766,99697,1968,128000,1893,18,1961,1512000,1964,1026000,1966,0,1967,0,1963,50,1965,50,1966,0,1967,0,
2070,3,2068,255,2070,1022960,0,2071,128000,1969,18,2062,1512000,2064,1026000,2067,0,2069,0,2064,30,2066,50,2067,0,2070,0,
2172,3,2170,255,2172,2265650,1205581,2172,128000,2072,18,2163,1512000,2165,1512000,2168,1512000,2170,1026000,2165,90,2167,77,2169,50,2172,40,
2221,3,2219,255,2221,863448,0,2222,128000,2173,18,2213,1512000,2216,1512000,2217,1026000,2220,1026000,2215,20,2217,0,2219,0,2221,25,
2322,3,2320,255,2322,921701,0,2323,128000,2222,18,2314,1512000,2316,1512000,2318,1026000,2320,1026000,2315,0,2317,12,2319,18,2322,38,
2441,3,2437,255,2441,706077,0,2443,128000,2323,18,2416,384000,2422,384000,2427,384000,2439,0,2420,36,2426,9,2436,36,2440,0,
2525,3,2523,255,2525,856587,0,2526,128000,2444,18,2515,384000,2518,384000,2521,918000,2524,0,2518,45,2520,33,2523,50,2525,0,
2624,3,2623,255,2624,978132,0,2625,128000,2527,18,2616,918000,2619,1026000,2621,1026000,2623,0,2618,25,2620,40,2622,33,2624,0,
2728,3,2726,255,2728,845925,0,2729,128000,2626,18,2717,918000,2721,1026000,2724,0,2727,0,2720,33,2723,30,2725,0,2727,0,
2829,3,2826,255,2828,990246,0,2831,128000,2731,17,2817,1026000,2821,1026000,2824,0,2827,0,2820,55,2823,44,2825,0,2828,0,
2929,3,2928,255,2929,1737582,677513,2929,128000,2836,17,2924,1512000,2926,1512000,2927,0,2928,0,2925,81,2927,81,2928,0,2929,0,
3029,3,3028,255,3029,1101435,41366,3029,128000,2930,17,3023,1512000,3025,1512000,3027,0,3028,0,3025,36,3027,33,3027,0,3028,0,
3129,3,3128,255,3128,1080915,20846,3129,128000,3030,17,3124,1512000,3125,1512000,3127,0,3128,0,3125,33,3127,33,3127,0,3128,0,
3241,3,3239,255,3240,730186,0,3242,128000,3129,17,3225,594000,3229,486000,3236,0,3239,0,3228,36,3234,36,3237,0,3240,0,
3333,3,3332,255,3333,1088644,28575,3334,128000,3244,17,3325,1026000,3328,1026000,3330,0,3332,0,3327,66,3330,60,3331,0,3333,0,
3440,3,3437,255,3439,801357,0,3442,128000,3334,17,3426,1026000,3430,384000,3433,0,3438,0,3429,40,3432,30,3437,0,3438,0,
3540,3,3538,255,3539,840858,0,3540,128000,3444,17,3531,1026000,3535,918000,3537,0,3539,0,3534,37,3537,25,3538,0,3539,0,
3640,3,3638,255,3640,840828,0,3641,128000,3541,17,3632,1026000,3635,1026000,3637,0,3639,0,3634,33,3637,25,3638,0,3640,0,
3739,3,3738,255,3739,1079341,19272,3739,128000,3641,17,3732,1512000,3734,1026000,3737,0,3738,0,3734,37,3736,54,3737,0,3739,0,
3841,3,3840,255,3841,1155297,95228,3842,128000,3740,21,3832,1512000,3835,1026000,3837,0,3840,0,3834,60,3836,25,3839,0,3841,0,
3964,3,3955,255,3961,2165474,1105405,3965,128000,3843,21,3933,1512000,3935,1512000,3953,1026000,3958,1512000,3934,88,3952,100,3954,0,3960,33,
4041,3,4039,255,4041,1809779,749710,4042,200000,3966,21,4033,1512000,4035,1512000,4037,1512000,4039,1512000,4035,63,4037,44,4038,37,4041,25,
4141,3,4139,255,4141,1564797,504728,4141,200000,4042,21,4134,1512000,4136,1512000,4137,1512000,4139,1512000,4135,44,4137,12,4139,30,4140,30,
4246,3,4244,255,4246,952188,0,4247,200000,4142,21,4235,1026000,4238,1026000,4241,384000,4244,0,4238,20,4240,27,4243,11,4245,0,
4349,3,4344,255,4347,1234156,174087,4350,200000,4248,21,4335,1026000,4339,1026000,4341,1026000,4345,0,4338,37,4340,54,4344,36,4346,0,
4444,3,4442,255,4444,1726266,666197,4445,200000,4351,21,4436,1026000,4438,1026000,4440,1512000,4443,0,4438,50,4440,60,4442,81,4443,0,
4544,3,4543,255,4543,1217059,156990,4544,200000,4446,21,4537,1026000,4539,1026000,4541,1512000,4543,0,4538,33,4540,33,4542,30,4543,0,
4654,3,4652,255,4654,956703,0,4655,128000,4545,21,4638,1026000,4643,384000,4647,1026000,4652,0,4642,30,4646,12,4651,18,4653,0,
4751,3,4749,255,4751,1036427,0,4751,128000,4656,21,4738,1026000,4741,1026000,4744,1026000,4750,0,4740,20,4743,45,4749,40,4750,0,
4852,3,4846,255,4852,844329,0,4853,128000,4752,16,4838,1026000,4841,1026000,4843,384000,4850,0,4840,22,4843,36,4845,11,4851,0,
4956,3,4955,255,4956,907636,0,4957,128000,4855,16,4939,1026000,4951,1026000,4954,0,4955,0,4950,33,4953,45,4954,0,4956,0,
5057,3,5055,255,5057,758031,0,5058,128000,4958,16,5040,1026000,5047,384000,5052,0,5056,0,5045,25,5051,50,5054,0,5057,0,
5153,3,5152,255,5153,936850,0,5154,128000,5059,16,5140,1026000,5145,918000,5150,0,5152,0,5144,44,5149,50,5151,0,5153,0,
5250,3,5248,255,5250,747284,0,5251,128000,5155,16,5241,1026000,5244,1026000,5247,0,5248,0,5243,12,5246,22,5247,0,5249,0,
5370,3,5359,255,5369,1108075,48006,5370,128000,5252,16,5342,1026000,5350,1026000,5355,0,5360,0,5347,61,5354,72,5356,0,5369,0,
5453,3,5452,255,5453,2020589,960520,5456,128000,5371,16,5444,1512000,5446,1512000,5450,1026000,5452,0,5445,100,5447,100,5451,8,5453,0,
5550,3,5549,255,5550,1676781,616712,5550,128000,5457,16,5544,1512000,5546,1512000,5548,1512000,5550,0,5546,60,5547,50,5549,44,5550,0,
5651,3,5650,255,5651,972231,0,5652,128000,5551,16,5645,1512000,5647,1512000,5649,1512000,5651,0,5647,33,5648,0,5650,18,5651,0,
5753,3,5752,255,5753,849106,0,5754,128000,5653,16,5748,1512000,5750,1512000,5751,0,5753,0,5749,11,5751,22,5752,0,5753,0,
5853,3,5852,255,5853,806462,0,5854,128000,5754,15,5846,594000,5849,1026000,5851,0,5852,0,5848,50,5850,30,5851,0,5853,0,
5958,3,5957,255,5958,981733,0,5959,128000,5855,15,5947,1026000,5952,1026000,5956,0,5957,0,5951,60,5955,40,5956,0,5958,0,
6053,3,6051,255,6052,1698063,637994,6053,128000,5960,15,6047,1512000,6049,1512000,6050,0,6051,0,6048,70,6050,88,6051,0,6052,0,
6153,3,6152,255,6153,1499695,439626,6154,128000,6055,15,6148,1512000,6149,1512000,6151,0,6153,0,6149,66,6150,63,6151,0,6153,0,
6253,3,6252,255,6253,938791,0,6254,128000,6155,15,6248,1512000,6250,1512000,6252,0,6253,0,6250,36,6251,11,6252,0,6253,0,
6354,3,6353,255,6354,945631,0,6355,128000,6254,15,6349,1512000,6351,1512000,6352,0,6353,0,6351,30,6352,18,6353,0,6354,0,
6458,3,6456,255,6458,1018176,0,6459,128000,6357,15,6449,1026000,6453,1026000,6455,0,6457,0,6452,50,6455,60,6456,0,6457,0,
6566,3,6563,255,6566,697131,0,6567,128000,6459,15,6553,1026000,6559,594000,6562,0,6564,0,6558,0,6561,50,6563,0,6565,0,
6660,3,6658,255,6660,1102821,42752,6661,128000,6568,15,6650,1026000,6653,918000,6655,0,6658,0,6652,66,6655,80,6657,0,6659,0,
6759,3,6758,255,6759,1054620,0,6760,128000,6661,15,6751,1026000,6754,1026000,6757,0,6758,0,6753,60,6756,60,6758,0,6759,0,
6863,3,6861,255,6863,999969,0,6864,128000,6761,18,6852,1026000,6855,1026000,6859,0,6862,0,6854,50,6857,50,6860,0,6862,0,
6959,3,6958,255,6959,1620535,560466,6959,128000,6866,18,6954,1512000,6956,1512000,6957,0,6958,0,6955,72,6957,72,6958,0,6959,0,
7059,3,7059,255,7059,1025259,0,7060,128000,6960,18,7054,1026000,7056,1512000,7058,0,7059,0,7056,45,7058,33,7058,0,7059,0,
