App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 09:53:27 AM","17 sec","Trepn_2018.10.21_095326.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
53,3,51,255,53,2838133,975593,54,320000,55,0,0,1512000,46,1512000,49,1512000,51,1512000,37,92,48,100,50,46,53,100,
108,3,105,255,108,3262231,1399691,108,320000,110,0,100,1512000,102,1512000,104,1512000,106,1512000,102,100,103,100,105,100,107,100,
209,3,206,255,209,3132265,1269725,209,320000,210,0,201,1512000,203,1512000,205,1512000,207,1512000,202,100,204,100,206,81,208,100,
308,3,306,255,308,2886015,1023475,308,320000,309,0,301,1512000,303,1512000,305,1512000,306,1512000,303,100,304,75,306,70,308,100,
409,3,407,255,409,2434556,572016,409,320000,410,0,401,1512000,403,1512000,405,1512000,407,1512000,403,90,405,45,406,44,409,100,
512,3,511,255,512,1381152,0,513,320000,514,0,502,1512000,507,1512000,509,1512000,512,0,507,55,509,45,511,25,512,0,
609,3,608,255,609,2167785,305245,609,320000,610,0,603,1512000,605,1512000,606,1512000,608,0,604,90,606,100,608,50,609,0,
719,3,712,255,715,2119903,257363,725,320000,728,0,703,1512000,705,1512000,706,1512000,714,0,705,77,706,90,710,66,715,0,
824,3,817,255,824,3262231,1399691,825,320000,826,0,804,1512000,809,1512000,812,1512000,820,1512000,806,100,811,100,817,100,823,100,
913,3,911,255,913,2612403,749863,914,320000,914,0,905,1512000,906,1512000,908,1512000,911,1512000,906,80,908,88,910,50,913,87,
1013,3,1011,255,1012,1730006,0,1013,320000,1014,0,1005,1512000,1007,1512000,1009,1512000,1011,1512000,1007,55,1008,22,1010,63,1012,36,
1113,3,1111,255,1113,1527431,0,1114,320000,1115,0,1106,1512000,1107,1512000,1109,1512000,1111,1026000,1107,77,1108,25,1110,30,1113,27,
1214,3,1213,255,1214,783185,0,1214,320000,1215,0,1206,1512000,1209,1026000,1212,0,1213,0,1208,20,1211,33,1212,0,1214,0,
1312,3,1311,255,1311,648287,0,1312,320000,1318,0,1307,1512000,1309,1026000,1310,0,1311,0,1308,12,1310,11,1310,0,1311,0,
1422,3,1421,255,1422,633839,0,1423,320000,1424,0,1412,384000,1416,1026000,1419,0,1421,0,1415,40,1419,20,1420,0,1422,0,
1524,3,1523,255,1524,895142,0,1525,320000,1526,0,1511,918000,1519,1026000,1522,0,1523,0,1514,61,1521,50,1522,0,1524,0,
1622,3,1620,255,1621,743170,0,1622,320000,1623,0,1612,384000,1617,1026000,1619,0,1621,0,1617,40,1619,50,1620,0,1621,0,
1726,3,1723,255,1726,1013813,0,1730,200000,1732,0,1714,918000,1718,1026000,1722,0,1724,0,1717,70,1721,75,1723,0,1725,0,
1834,3,1833,255,1834,1319475,0,1835,128000,1835,0,1815,1026000,1818,1512000,1832,0,1833,0,1817,30,1832,100,1833,0,1834,0,
1936,3,1919,255,1935,1702645,0,1936,128000,1937,0,1915,1512000,1917,1512000,1918,0,1935,0,1916,72,1918,100,1919,0,1935,0,
2020,3,2019,255,2020,1210144,0,2021,128000,2022,0,2015,1512000,2017,1512000,2018,0,2019,0,2016,50,2018,50,2019,0,2020,0,
2121,3,2120,255,2121,1237505,0,2121,128000,2122,13,2116,1512000,2118,1512000,2120,0,2121,0,2117,50,2119,54,2120,0,2121,0,
2221,3,2220,255,2221,1015557,0,2221,128000,2222,13,2216,1512000,2218,1512000,2219,0,2220,0,2217,20,2219,40,2220,0,2221,0,
2322,3,2320,255,2321,1355606,0,2322,128000,2323,13,2316,1026000,2318,1512000,2319,0,2321,0,2318,37,2319,90,2320,0,2321,0,
2422,3,2421,255,2422,829915,0,2422,128000,2423,13,2417,1026000,2419,1512000,2420,0,2421,0,2418,11,2420,27,2421,0,2422,0,
2531,3,2529,255,2530,693128,0,2531,128000,2532,13,2519,1026000,2525,594000,2527,0,2529,0,2524,11,2527,30,2528,0,2530,0,
