Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.323,20.323,screen bright,18.3237777148
0,20.323,20.323,wifi running,0.27364431748
0,20.323,20.323,phone_scanning,10.623634452
0.0,11.475207,11.475207,core 0 cpu_idle start,0.171135499594
11.475207,11.72539,0.250182999996,core 0 cpu_idle,0.00373110417045
11.72539,11.771807,0.046417000005,core 0 cpu_frequency,0.041435504356
11.771807,11.930987,0.159179999988,core 0 cpu_frequency,0.162580355394
11.930987,12.12163,0.190643000009,core 0 cpu_idle,0.00284315438063
12.12163,12.121661,3.10000032187e-05,core 0 cpu_frequency,2.76730673732e-05
12.121661,12.171679,0.0500179999945,core 0 cpu_idle,0.000745943442917
12.171679,12.17174,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
12.17174,12.221545,0.0498050000024,core 0 cpu_idle,0.000742766867535
12.221545,12.227252,0.00570700000389,core 0 cpu_frequency,0.00295214777981
12.227252,12.271685,0.0444329999882,core 0 cpu_idle,0.000662651545324
12.271685,12.271746,6.10000133747e-05,core 0 cpu_frequency,3.45954926853e-05
12.271746,12.37163,0.0998839999957,core 0 cpu_idle,0.00148962003394
12.37163,12.371691,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
12.371691,12.624682,0.252991000001,core 0 cpu_idle,0.00377298127852
12.624682,12.624957,0.00027499999851,core 0 cpu_frequency,0.000280874465978
12.624957,12.721575,0.0966179999959,core 0 cpu_idle,0.00144091254294
12.721575,12.721636,6.09999988228e-05,core 0 cpu_frequency,5.44534484491e-05
12.721636,12.771655,0.0500190000021,core 0 cpu_idle,0.000745958356531
12.771655,12.793536,0.0218810000079,core 0 cpu_frequency,0.0161576152811
12.793536,12.821703,0.0281669999968,core 0 cpu_idle,0.000420068554452
12.821703,12.821734,3.10000032187e-05,core 0 cpu_frequency,3.16622159874e-05
12.821734,12.921526,0.0997919999936,core 0 cpu_idle,0.0014882479919
12.921526,12.921557,3.10000032187e-05,core 0 cpu_frequency,2.28913726768e-05
12.921557,12.971453,0.0498959999968,core 0 cpu_idle,0.000744123995952
12.971453,12.971484,3.10000032187e-05,core 0 cpu_frequency,2.28913726768e-05
12.971484,13.021685,0.0502009999909,core 0 cpu_idle,0.000748672613365
13.021685,13.021716,3.10000032187e-05,core 0 cpu_frequency,2.28913726768e-05
13.021716,13.07149,0.0497739999992,core 0 cpu_idle,0.000742304548987
13.07149,13.07152,3.00000101561e-05,core 0 cpu_frequency,2.21529464996e-05
13.07152,13.126879,0.0553589999909,core 0 cpu_idle,0.000825596446364
13.126879,13.12694,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
13.12694,13.221606,0.0946660000045,core 0 cpu_idle,0.00141180139107
13.221606,13.221636,2.99999956042e-05,core 0 cpu_frequency,2.2152935754e-05
13.221636,13.271502,0.0498660000012,core 0 cpu_idle,0.000743676591018
13.271502,13.271594,9.20000020415e-05,core 0 cpu_frequency,3.63003120055e-05
13.271594,13.322314,0.0507199999993,core 0 cpu_idle,0.000756412719989
13.322314,13.32503,0.00271600000269,core 0 cpu_frequency,0.00154034979713
13.32503,13.421649,0.0966190000036,core 0 cpu_idle,0.00144092745655
13.421649,13.42174,9.0999994427e-05,core 0 cpu_frequency,6.71972441847e-05
13.42174,13.571459,0.149718999994,core 0 cpu_idle,0.00223283430641
13.571459,13.572314,0.000855000005686,core 0 cpu_frequency,0.000631358765699
13.572314,13.671496,0.0991820000054,core 0 cpu_idle,0.00147915075708
13.671496,13.671679,0.000182999996468,core 0 cpu_frequency,0.000135132925292
13.671679,13.721423,0.0497440000036,core 0 cpu_idle,0.000741857144053
13.721423,13.73308,0.0116569999955,core 0 cpu_frequency,0.00860789366075
13.73308,13.771655,0.0385749999987,core 0 cpu_idle,0.00057528826248
13.771655,13.771685,2.99999956042e-05,core 0 cpu_frequency,3.06408465103e-05
13.771685,14.121752,0.350067000007,core 0 cpu_idle,0.0052207242046
14.121752,14.121783,3.10000032187e-05,core 0 cpu_frequency,2.28913726768e-05
14.121783,14.221423,0.0996400000004,core 0 cpu_idle,0.00148598114001
14.221423,14.222552,0.00112899999658,core 0 cpu_frequency,0.000833688935175
14.222552,14.271868,0.0493160000042,core 0 cpu_idle,0.000735474166062
14.271868,14.274828,0.00295999999798,core 0 cpu_frequency,0.00218575664651
14.274828,14.324877,0.0500489999977,core 0 cpu_idle,0.000746405761465
14.324877,14.330554,0.00567699999374,core 0 cpu_frequency,0.0057982703645
14.330554,15.521624,1.19107,core 0 cpu_idle,0.017763022445
15.521624,15.521685,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
15.521685,15.571429,0.0497440000036,core 0 cpu_idle,0.000741857144053
15.571429,15.571459,2.99999956042e-05,core 0 cpu_frequency,2.2152935754e-05
15.571459,15.671435,0.0999760000122,core 0 cpu_idle,0.00149099207618
15.671435,15.671465,2.99999956042e-05,core 0 cpu_frequency,2.2152935754e-05
15.671465,15.721423,0.0499580000032,core 0 cpu_idle,0.000745048633048
15.721423,15.72246,0.00103699999454,core 0 cpu_frequency,0.000765753254068
15.72246,15.772021,0.0495610000071,core 0 cpu_idle,0.000739127973606
15.772021,15.773943,0.00192199999583,core 0 cpu_frequency,0.00196305718314
15.773943,15.921557,0.147614000001,core 0 cpu_idle,0.00220144138902
