App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 10:51:25 AM","17 sec","Trepn_2018.10.21_105124.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
38,3,34,255,38,2086534,880836,39,320000,40,0,10,1512000,30,1134000,32,1026000,34,1512000,30,83,32,33,34,46,37,100,
127,3,117,255,127,2851528,1645830,128,320000,129,0,110,1512000,112,1512000,115,1026000,118,1512000,112,100,114,100,117,75,125,100,
222,3,217,255,222,2715008,1509310,223,320000,224,0,211,1512000,213,1512000,215,1512000,218,1512000,212,70,214,100,217,50,221,100,
321,3,318,255,321,2728688,1522990,321,320000,322,0,311,1512000,313,1512000,316,1512000,319,1512000,313,66,315,90,318,66,320,100,
419,3,417,255,419,2133583,927885,419,320000,420,0,412,1512000,414,1512000,415,1512000,417,1512000,413,45,415,50,416,40,418,100,
522,3,519,255,522,2297750,1092052,523,320000,523,0,512,1512000,514,1512000,517,1512000,520,1512000,514,44,516,40,519,75,522,100,
620,3,618,255,620,1677974,472276,620,320000,621,0,613,1512000,615,1026000,616,1512000,618,1512000,614,50,616,12,617,12,619,100,
753,3,724,255,753,1794259,588561,753,320000,755,0,713,1512000,716,1026000,718,1512000,725,1512000,715,44,717,12,722,45,752,90,
830,3,827,255,830,3015980,1810282,831,320000,832,0,817,1512000,820,1512000,824,1512000,828,1512000,819,100,823,100,826,81,829,83,
931,3,928,255,931,3009140,1803442,932,320000,933,0,917,1512000,922,1512000,924,1512000,929,1512000,921,100,924,75,928,88,931,100,
1025,3,1023,255,1025,1846291,640593,1026,320000,1027,0,1018,1512000,1020,1512000,1021,1512000,1023,1512000,1019,22,1021,50,1023,77,1025,44,
