App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 09:42:10 AM","17 sec","Trepn_2018.10.21_094209.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
72,3,69,255,72,1939461,891315,73,320000,74,0,61,1512000,63,1512000,65,384000,69,0,63,100,65,100,68,52,70,0,
170,3,167,255,170,2106222,1058076,171,320000,171,0,162,1512000,164,1512000,165,1512000,168,1512000,163,100,165,50,167,62,169,19,
219,3,217,255,219,2756049,1707903,220,320000,221,0,212,1512000,214,1512000,215,1512000,218,1512000,213,100,215,60,217,66,219,100,
321,3,318,255,320,2646605,1598459,321,320000,322,0,312,1512000,314,1512000,316,1512000,318,1512000,314,100,316,50,317,60,320,100,
420,3,418,255,420,2407195,1359049,421,320000,422,0,413,1512000,415,1512000,417,1512000,419,1512000,414,80,416,37,418,58,420,100,
521,3,519,255,521,1976257,928111,521,320000,522,0,513,1512000,515,1512000,517,1512000,519,1512000,515,60,517,40,519,12,521,100,
627,3,624,255,627,1819656,771510,628,320000,629,0,615,1512000,618,1026000,621,1026000,625,1512000,617,63,620,22,623,27,627,100,
725,3,724,255,725,1221746,173600,726,320000,726,0,716,1512000,718,1026000,721,1026000,724,0,718,66,720,37,723,30,725,0,
826,3,825,255,826,1611023,562877,826,320000,827,0,818,1512000,821,1026000,823,1026000,825,0,820,100,822,60,824,50,825,0,
940,3,935,255,940,2995459,1947313,941,400000,947,0,918,1512000,921,1512000,924,1512000,936,1512000,920,81,923,90,933,100,939,90,
1029,3,1027,255,1029,3091224,2043078,1030,400000,1030,0,1019,1512000,1022,1512000,1025,1512000,1027,1512000,1021,88,1023,100,1026,100,1029,87,
1127,3,1125,255,1127,2715008,1666862,1128,400000,1128,0,1120,1512000,1122,1512000,1123,1512000,1125,1512000,1121,88,1123,81,1125,81,1127,70,
1228,3,1226,255,1228,1254325,206179,1229,400000,1230,0,1220,1512000,1222,1512000,1224,1512000,1227,1026000,1222,30,1224,42,1226,27,1228,14,
1329,3,1327,255,1329,984301,0,1330,400000,1330,0,1321,1512000,1323,1512000,1325,1512000,1327,1026000,1323,11,1324,30,1326,10,1329,30,
1434,3,1431,255,1433,715622,0,1435,400000,1436,0,1423,1026000,1426,1026000,1429,0,1432,0,1425,22,1428,30,1430,0,1433,0,
1531,3,1530,255,1531,628157,0,1532,400000,1533,0,1523,1026000,1526,1026000,1529,0,1530,0,1525,28,1528,0,1529,0,1531,0,
1648,3,1645,255,1648,717382,0,1651,320000,1653,0,1626,1026000,1634,486000,1643,0,1647,0,1633,36,1641,50,1644,0,1648,0,
1732,3,1730,255,1731,1504277,456131,1732,320000,1733,0,1725,1512000,1727,1512000,1728,0,1730,0,1726,88,1728,55,1729,0,1731,0,
1853,3,1851,255,1852,1302316,254170,1853,200000,1854,18,1825,1512000,1839,1134000,1851,0,1852,0,1838,66,1850,76,1851,0,1852,0,
1936,3,1935,255,1935,2224615,1176469,1936,128000,1937,18,1926,1512000,1928,1512000,1929,1026000,1935,0,1927,100,1929,100,1934,33,1935,0,
2034,3,2033,255,2034,1914831,866685,2034,128000,2035,18,2027,1512000,2029,1512000,2031,1026000,2033,0,2028,80,2030,66,2032,77,2034,0,
2135,3,2134,255,2135,1149786,101640,2136,128000,2137,18,2127,1512000,2130,1512000,2132,1026000,2135,0,2129,20,2131,36,2134,36,2135,0,
2234,3,2233,255,2234,1125173,77027,2234,128000,2235,18,2227,1512000,2229,1512000,2231,1026000,2233,0,2229,36,2231,18,2232,33,2233,0,
