App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 09:49:24 AM","17 sec","Trepn_2018.10.21_094923.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
26,3,21,255,25,1894173,814814,26,320000,27,0,57,1512000,63,1512000,69,1512000,21,0,62,100,69,100,20,0,22,0,
77,3,75,255,77,2258388,1179029,77,320000,78,0,108,1512000,109,1512000,111,1512000,75,1026000,109,100,111,33,74,33,77,38,
116,3,113,255,116,1983097,903738,117,320000,117,0,208,1512000,210,1512000,211,1512000,114,1512000,209,100,211,81,112,0,115,80,
215,3,213,255,215,2653445,1574086,216,320000,216,0,308,1512000,310,1512000,312,1512000,213,1512000,310,100,311,100,213,60,215,70,
315,3,313,255,315,2742369,1663010,316,320000,316,0,409,1512000,411,1512000,412,1512000,314,1512000,410,100,412,66,313,69,315,55,
416,3,414,255,416,2277229,1197870,417,320000,417,0,509,1512000,511,1512000,513,1512000,415,1512000,511,100,512,50,414,40,416,50,
516,3,514,255,516,1983097,903738,517,320000,517,0,610,1512000,612,1512000,614,1134000,515,1512000,611,100,613,66,514,33,516,30,
617,3,615,255,616,1849611,770252,617,320000,618,0,710,1512000,713,1512000,715,1026000,616,0,712,25,714,100,615,44,616,0,
718,3,717,255,718,1479549,400190,719,320000,719,0,811,1026000,817,1512000,838,0,717,0,815,41,837,100,716,27,718,0,
846,3,841,255,846,1359563,280204,847,320000,848,0,911,1512000,913,1512000,919,1512000,842,0,912,100,916,90,839,0,845,0,
945,3,943,255,945,2701327,1621968,946,320000,946,0,1011,1512000,1014,1512000,1017,1512000,943,1512000,1013,100,1016,100,943,100,945,28,
1032,3,1020,255,1032,3262231,2182872,1033,320000,1034,0,1112,1512000,1114,1512000,1115,1512000,1020,1512000,1113,100,1115,87,1019,100,1027,100,
