App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 10:15:11 AM","17 sec","Trepn_2018.10.21_101510.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
36,3,34,255,36,2101901,865311,37,320000,38,0,3,1512000,29,1512000,31,1026000,35,0,27,100,31,100,33,57,36,0,
116,3,111,255,116,2727620,1491030,117,320000,117,0,103,1512000,105,1512000,108,1512000,113,1026000,105,100,107,100,110,100,116,41,
211,3,209,255,211,2790251,1553661,212,320000,212,0,204,1512000,206,1512000,208,1512000,210,1512000,205,71,207,100,209,100,211,60,
313,3,311,255,313,2502959,1266369,314,320000,314,0,305,1512000,307,1512000,309,1512000,311,1512000,306,53,308,66,310,100,313,70,
413,3,411,255,413,2085701,849111,414,320000,414,0,405,1512000,407,1512000,409,1512000,411,1512000,406,50,409,33,410,100,412,45,
513,3,511,255,513,2414035,1177445,514,320000,514,0,506,1512000,507,1512000,509,1512000,511,1512000,507,55,509,66,511,100,513,55,
612,3,611,255,612,1565839,329249,613,320000,613,0,606,1512000,608,1512000,610,1512000,612,0,607,40,609,22,611,90,612,0,
729,3,726,255,729,1501692,265102,730,320000,731,0,707,1026000,712,1026000,721,1512000,726,0,711,40,718,40,725,100,729,0,
818,3,814,255,818,2803931,1567341,818,320000,819,0,807,1512000,809,1512000,811,1512000,816,1512000,808,100,811,100,814,88,818,45,
919,3,915,255,919,2756049,1519459,920,320000,920,0,909,1512000,911,1512000,913,1512000,916,1512000,910,83,913,72,915,90,918,81,
1016,3,1014,255,1016,3057022,1820432,1016,320000,1017,0,1009,1512000,1011,1512000,1012,1512000,1014,1512000,1010,90,1012,100,1014,90,1016,90,
1116,3,1115,255,1116,2393514,1156924,1117,320000,1118,0,1110,1512000,1111,1512000,1113,1512000,1115,1512000,1111,80,1112,58,1114,69,1116,66,
1217,3,1215,255,1217,1185474,0,1217,320000,1218,0,1210,1512000,1212,1512000,1214,1512000,1216,1026000,1212,33,1213,30,1215,27,1217,12,
