App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 05:28:05 PM","17 sec","Trepn_2018.10.21_172804.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
17,3,13,255,17,2578202,1262745,17,320000,19,0,7,1512000,10,1512000,11,1512000,16,0,9,100,11,100,12,100,16,0,
116,3,113,255,115,2605563,1290106,116,320000,117,0,107,1512000,110,1512000,111,1512000,114,1512000,109,90,111,80,113,77,115,57,
216,3,213,255,216,2393514,1078057,217,320000,218,0,208,1512000,210,1512000,211,1512000,214,1512000,209,42,211,50,213,81,216,100,
317,3,314,255,317,2810772,1495315,318,320000,319,0,308,1512000,310,1512000,312,1512000,315,1512000,310,71,311,63,314,100,317,100,
418,3,415,255,417,2174625,859168,418,320000,419,0,409,1512000,411,1512000,412,1512000,416,1512000,410,36,412,42,415,63,417,100,
517,3,515,255,517,2003618,688161,517,320000,518,0,509,1512000,511,1512000,513,1512000,515,1512000,510,50,512,45,514,88,517,33,
617,3,614,255,616,2174625,859168,617,320000,617,0,609,1512000,611,1512000,613,1512000,615,1512000,611,25,612,72,614,100,616,44,
727,3,721,255,726,1368490,53033,731,320000,734,0,710,1026000,712,1134000,715,1512000,725,0,711,20,714,20,720,100,726,0,
818,3,816,255,818,2226486,911029,819,320000,819,0,810,1512000,812,1512000,814,1512000,816,1026000,812,100,814,81,815,50,817,33,
936,3,934,255,936,2968098,1652641,936,320000,937,0,911,1512000,913,1512000,927,1512000,934,1512000,912,81,926,92,932,100,936,84,
1022,3,1019,255,1021,2468757,1153300,1022,320000,1023,0,1011,1512000,1015,1512000,1017,1512000,1020,1512000,1014,80,1016,55,1019,87,1021,62,
1119,3,1117,255,1119,2372993,1057536,1120,320000,1120,0,1112,1512000,1114,1512000,1115,1512000,1118,1512000,1113,66,1115,63,1117,70,1119,71,
1219,3,1217,255,1219,854449,0,1220,320000,1220,0,1212,1512000,1214,1512000,1216,1512000,1218,1512000,1214,27,1215,11,1217,10,1219,0,
1324,3,1321,255,1324,777576,0,1325,320000,1325,0,1313,1026000,1316,1026000,1318,1026000,1322,1026000,1315,20,1318,22,1320,18,1323,9,
1429,3,1426,255,1429,646080,0,1431,200000,1432,0,1413,702000,1418,594000,1424,0,1427,0,1417,33,1422,33,1425,0,1428,0,
1523,3,1522,255,1523,781220,0,1524,200000,1525,0,1514,1026000,1517,1026000,1520,0,1522,0,1517,28,1519,42,1521,0,1523,0,
1637,3,1632,255,1636,664186,0,1638,128000,1639,0,1616,384000,1622,1026000,1629,0,1635,0,1621,33,1627,30,1631,0,1636,0,
1723,3,1721,255,1723,897619,0,1724,128000,1724,0,1715,1512000,1717,1026000,1720,0,1721,0,1717,33,1719,40,1720,0,1722,0,
1821,3,1820,255,1821,796865,0,1821,128000,1823,21,1815,1512000,1817,1026000,1819,0,1820,0,1817,22,1819,33,1819,0,1820,0,
