App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 04:19:31 PM","17 sec","Trepn_2018.10.21_161930.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
56,3,53,255,56,2222165,1172944,57,320000,58,0,48,1512000,50,1512000,52,1026000,54,1026000,49,100,51,100,53,85,55,5,
156,3,154,255,156,2461917,1412696,157,320000,157,0,148,1512000,150,1512000,152,1512000,154,1512000,150,100,151,100,154,50,156,33,
257,3,254,255,256,2427716,1378495,257,320000,258,0,248,1512000,251,1512000,252,1512000,254,1512000,250,100,252,28,253,50,256,100,
357,3,355,255,356,2434556,1385335,357,320000,358,0,349,1512000,351,1512000,353,1512000,355,1512000,351,100,352,37,354,42,356,100,
460,3,457,255,460,2331952,1282731,461,320000,462,0,449,1512000,451,1512000,454,1512000,457,1512000,451,100,454,60,456,50,459,54,
557,3,555,255,557,2133583,1084362,557,320000,558,0,550,1512000,552,1512000,553,1512000,555,1512000,551,100,553,25,555,33,557,77,
657,3,655,255,656,1569160,519939,657,320000,658,0,650,1512000,652,1512000,654,1134000,656,0,652,80,653,45,655,44,656,0,
757,3,756,255,757,1346950,297729,757,320000,758,0,751,1512000,752,1512000,754,1512000,756,0,752,0,754,20,755,100,756,0,
858,3,857,255,858,1050348,1127,858,320000,859,0,851,1026000,853,1512000,856,0,857,0,853,50,855,50,856,0,857,0,
961,3,956,255,961,1894173,844952,962,320000,963,0,952,1512000,954,1512000,955,0,956,0,953,100,955,100,955,0,961,0,
1071,3,1062,255,1070,2790251,1741030,1071,400000,1072,0,1054,1512000,1057,1512000,1059,1512000,1062,1512000,1056,100,1059,100,1061,91,1070,40,
1161,3,1158,255,1160,3193828,2144607,1161,400000,1162,0,1153,1512000,1155,1512000,1157,1512000,1159,1512000,1154,100,1156,90,1158,100,1160,100,
1261,3,1259,255,1261,1423196,373975,1261,400000,1262,0,1253,1512000,1255,1512000,1257,1026000,1259,1026000,1255,20,1256,60,1258,60,1261,36,
1360,3,1359,255,1360,1647246,598025,1361,320000,1361,0,1354,1512000,1356,1512000,1357,1512000,1359,1026000,1355,37,1357,33,1358,63,1360,58,
1468,3,1465,255,1467,635446,0,1469,320000,1470,0,1454,1026000,1458,1026000,1463,0,1465,0,1457,12,1461,18,1464,0,1466,0,
1564,3,1561,255,1563,937927,0,1565,320000,1566,0,1555,1026000,1558,1026000,1560,0,1562,0,1558,58,1560,55,1561,0,1563,0,
1685,3,1675,255,1685,693341,0,1689,320000,1692,0,1657,384000,1663,1026000,1668,0,1676,0,1660,33,1666,38,1672,0,1683,0,
1778,3,1773,255,1777,1021747,0,1778,320000,1780,0,1757,1026000,1761,1026000,1772,0,1774,0,1760,70,1771,66,1773,0,1777,0,
1862,3,1861,255,1862,965125,0,1862,320000,1863,0,1857,1512000,1859,1026000,1861,0,1861,0,1859,45,1860,36,1861,0,1862,0,
1966,3,1962,255,1965,1113704,64483,1968,320000,1973,0,1958,1512000,1960,1026000,1961,0,1962,0,1960,55,1961,58,1962,0,1965,0,
2064,3,2063,255,2064,1248492,199271,2064,200000,2065,0,2058,1134000,2060,1512000,2062,0,2063,0,2060,57,2062,70,2063,0,2064,0,
2194,3,2170,255,2193,1403295,354074,2194,128000,2195,0,2159,1026000,2167,1512000,2169,0,2193,0,2167,53,2169,100,2170,0,2193,0,
2265,3,2264,255,2265,1812090,762869,2265,128000,2266,0,2259,1512000,2261,1512000,2263,0,2264,0,2261,88,2263,100,2264,0,2265,0,
2366,3,2365,255,2366,1203304,154083,2366,128000,2367,13,2360,1512000,2362,1512000,2364,0,2365,0,2361,54,2363,45,2365,0,2366,0,
2467,3,2466,255,2467,805579,0,2468,128000,2469,13,2460,1026000,2463,1026000,2465,0,2467,0,2462,22,2465,33,2466,0,2467,0,
2572,3,2571,255,2572,918554,0,2573,128000,2573,13,2561,1026000,2566,1026000,2569,0,2571,0,2564,33,2568,53,2570,0,2572,0,
2685,3,2682,255,2685,765076,0,2686,128000,2687,13,2662,384000,2668,1026000,2676,0,2683,0,2667,33,2674,36,2678,0,2683,0,
2772,3,2770,255,2772,1000259,0,2773,128000,2773,13,2763,918000,2766,1026000,2769,0,2771,0,2765,60,2768,58,2769,0,2772,0,
2873,3,2871,255,2873,794646,0,2874,128000,2875,13,2864,1026000,2867,1026000,2870,0,2872,0,2866,22,2869,30,2870,0,2872,0,
2972,3,2970,255,2972,992235,0,2973,128000,2974,13,2964,1026000,2967,918000,2969,0,2971,0,2966,60,2968,55,2969,0,2972,0,
3074,3,3072,255,3074,722376,0,3075,128000,3075,13,3065,384000,3068,1026000,3071,0,3072,0,3068,30,3070,25,3071,0,3073,0,
