Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.571,20.571,screen bright,18.5473813596
0,20.571,20.571,wifi running,0.27698357796
0,20.571,20.571,phone_scanning,10.7532738431
0.0,11.319221,11.319221,core 0 cpu_idle start,0.168809202383
11.319221,11.593147,0.273925999994,core 0 cpu_idle,0.00408519540092
11.593147,11.593208,6.10000133747e-05,core 0 cpu_frequency,4.50443191763e-05
11.593208,11.643165,0.0499569999956,core 0 cpu_idle,0.000745033719435
11.643165,11.706154,0.0629889999982,core 0 cpu_frequency,0.0643345521195
11.706154,12.193061,0.486906999999,core 0 cpu_idle,0.00726148754448
12.193061,12.193123,6.20000064373e-05,core 0 cpu_frequency,4.57827453535e-05
12.193123,12.24308,0.0499569999956,core 0 cpu_idle,0.000745033719435
12.24308,12.243171,9.0999994427e-05,core 0 cpu_frequency,4.21097560211e-05
12.243171,12.293464,0.0502930000075,core 0 cpu_idle,0.000750044655612
12.293464,12.294136,0.000671999994665,core 0 cpu_frequency,0.000381117472175
12.294136,12.393135,0.0989990000089,core 0 cpu_idle,0.00147642158663
12.393135,12.398353,0.00521799999115,core 0 cpu_frequency,0.00385313451686
12.398353,12.44297,0.0446170000068,core 0 cpu_idle,0.000665395629602
12.44297,12.443031,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
12.443031,12.493141,0.0501099999965,core 0 cpu_idle,0.000747315484948
12.493141,12.493202,6.09999988228e-05,core 0 cpu_frequency,3.15544087911e-05
12.493202,12.546302,0.0531000000046,core 0 cpu_idle,0.000791906850069
12.546302,12.546516,0.000213999999687,core 0 cpu_frequency,0.000158024297969
12.546516,12.595802,0.049285999994,core 0 cpu_idle,0.000735026760911
12.595802,12.609565,0.0137629999954,core 0 cpu_frequency,0.0140570010724
12.609565,13.196113,0.586548000007,core 0 cpu_idle,0.0087474835981
13.196113,13.196144,3.10000032187e-05,core 0 cpu_frequency,2.28913726768e-05
13.196144,13.242958,0.0468140000012,core 0 cpu_idle,0.000698160589018
13.242958,13.243019,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
13.243019,13.393165,0.150146,core 0 cpu_idle,0.002239202371
13.393165,13.393226,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
13.393226,13.443092,0.0498660000012,core 0 cpu_idle,0.000743676591018
13.443092,13.443153,6.09999988228e-05,core 0 cpu_frequency,3.08786142041e-05
13.443153,13.493049,0.0498959999968,core 0 cpu_idle,0.000744123995952
13.493049,13.493354,0.000305000008666,core 0 cpu_frequency,0.000120343426419
13.493354,13.545967,0.0526129999926,core 0 cpu_idle,0.000784643975389
13.545967,13.546028,6.09999988228e-05,core 0 cpu_frequency,3.45954844324e-05
13.546028,13.593147,0.0471189999953,core 0 cpu_idle,0.00070270920643
13.593147,13.593208,6.10000133747e-05,core 0 cpu_frequency,4.50443191763e-05
13.593208,13.643257,0.0500489999977,core 0 cpu_idle,0.000746405761465
13.643257,13.643318,6.09999988228e-05,core 0 cpu_frequency,3.08786142041e-05
13.643318,13.693061,0.0497429999959,core 0 cpu_idle,0.000741842230439
13.693061,13.693153,9.20000020415e-05,core 0 cpu_frequency,3.63003120055e-05
13.693153,13.743354,0.0502010000055,core 0 cpu_idle,0.000748672613582
13.743354,13.74665,0.00329599999532,core 0 cpu_frequency,0.00186929047094
13.74665,13.843177,0.0965270000015,core 0 cpu_idle,0.00143955541452
13.843177,13.843208,3.10000032187e-05,core 0 cpu_frequency,2.28913726768e-05
13.843208,13.893196,0.0499879999988,core 0 cpu_idle,0.000745496037983
13.893196,13.893348,0.00015199999325,core 0 cpu_frequency,0.000112241552615
13.893348,13.992958,0.0996100000048,core 0 cpu_idle,0.00148553373507
13.992958,13.993019,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
13.993019,14.043007,0.0499879999988,core 0 cpu_idle,0.000745496037983
14.043007,14.043037,2.99999956042e-05,core 0 cpu_frequency,2.2152935754e-05
14.043037,14.146736,0.103698999999,core 0 cpu_idle,0.00154651503649
14.146736,14.157173,0.0104370000045,core 0 cpu_frequency,0.0106599520675
14.157173,14.393074,0.235900999993,core 0 cpu_idle,0.00351810956339
14.393074,14.393135,6.10000133747e-05,core 0 cpu_frequency,4.50443191763e-05
14.393135,14.543098,0.149962999989,core 0 cpu_idle,0.00223647320033
14.543098,14.55088,0.00778200000059,core 0 cpu_frequency,0.00574647237703
14.55088,14.595802,0.044922000001,core 0 cpu_idle,0.000669944247014
14.595802,14.602211,0.00640900000872,core 0 cpu_frequency,0.00473260620814
14.602211,14.743202,0.140990999993,core 0 cpu_idle,0.00210266927839
14.743202,14.743354,0.000152000007802,core 0 cpu_frequency,0.000112241563361
14.743354,14.793007,0.0496529999946,core 0 cpu_idle,0.000740500015419
14.793007,14.793037,2.99999956042e-05,core 0 cpu_frequency,2.2152935754e-05
14.793037,15.093147,0.300109999996,core 0 cpu_idle,0.00447569048495
15.093147,15.093177,3.00000101561e-05,core 0 cpu_frequency,1.62727645089e-05
15.093177,15.143196,0.0500190000021,core 0 cpu_idle,0.000745958356531
15.143196,15.14402,0.000823999987915,core 0 cpu_frequency,0.000608467382276
15.14402,15.293251,0.149231000003,core 0 cpu_idle,0.00222555651855
15.293251,15.293342,9.10000089789e-05,core 0 cpu_frequency,3.59057461428e-05
15.293342,15.348335,0.0549929999979,core 0 cpu_idle,0.000820138105469
15.348335,15.35157,0.00323499999649,core 0 cpu_frequency,0.00330410509592
15.35157,15.595985,0.244414999994,core 0 cpu_idle,0.00364508310241
15.595985,15.643226,0.0472410000075,core 0 cpu_frequency,0.0348842330488
15.643226,15.643806,0.000579999992624,core 0 cpu_frequency,0.000592389778466
15.643806,15.998787,0.354981000011,core 0 cpu_idle,0.00529400914367
15.998787,15.998848,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
15.998848,16.143013,0.144164999991,core 0 cpu_idle,0.00215000472736
16.143013,16.143104,9.10000089789e-05,core 0 cpu_frequency,6.71972549303e-05
16.143104,16.19297,0.0498660000012,core 0 cpu_idle,0.000743676591018
16.19297,16.193,2.99999956042e-05,core 0 cpu_frequency,2.2152935754e-05
16.193,16.342994,0.149993999992,core 0 cpu_idle,0.00223693551888
16.342994,16.343025,3.10000032187e-05,core 0 cpu_frequency,2.28913726768e-05
16.343025,16.393104,0.0500790000078,core 0 cpu_idle,0.000746853166617
16.393104,16.393165,6.09999988228e-05,core 0 cpu_frequency,2.40686841355e-05
16.393165,16.446724,0.0535589999927,core 0 cpu_idle,0.000798752146391
16.446724,16.448402,0.00167800000054,core 0 cpu_frequency,0.00171384493315
16.448402,16.597114,0.148712000009,core 0 cpu_idle,0.00221781641214
16.597114,16.597175,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
16.597175,16.794471,0.197295999998,core 0 cpu_idle,0.00294237389598
16.794471,16.794563,9.20000020415e-05,core 0 cpu_frequency,3.63003120055e-05
16.794563,16.852272,0.0577090000006,core 0 cpu_idle,0.000860643171509
16.852272,16.876533,0.0242609999987,core 0 cpu_frequency,0.0247792562023
16.876533,17.196388,0.319854999994,core 0 cpu_idle,0.00477015754241
17.196388,17.196479,9.10000089789e-05,core 0 cpu_frequency,3.59057461428e-05
17.196479,17.243202,0.0467229999922,core 0 cpu_idle,0.000696803460384
17.243202,17.246071,0.00286900000356,core 0 cpu_frequency,0.00162712207992
17.246071,17.29322,0.0471489999909,core 0 cpu_idle,0.000703156611364
17.29322,17.293281,6.10000133747e-05,core 0 cpu_frequency,4.50443191763e-05
17.293281,17.343208,0.049927,core 0 cpu_idle,0.0007445863145
17.343208,17.343849,0.000640999991447,core 0 cpu_frequency,0.000473334456984
17.343849,17.392982,0.0491330000077,core 0 cpu_idle,0.000732744995615
17.392982,17.393043,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
17.393043,17.843177,0.450133999999,core 0 cpu_idle,0.00671307340898
17.843177,17.844276,0.00109900000098,core 0 cpu_frequency,0.000811535999421
17.844276,17.893104,0.048827999999,core 0 cpu_idle,0.000728196377986
17.893104,17.893165,6.09999988228e-05,core 0 cpu_frequency,3.15544087911e-05
17.893165,17.943123,0.0499580000032,core 0 cpu_idle,0.000745048633048
17.943123,17.949623,0.00649999998859,core 0 cpu_frequency,0.00368640414353
17.949623,18.043098,0.0934750000015,core 0 cpu_idle,0.00139403941252
18.043098,18.043159,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
18.043159,18.093116,0.0499570000102,core 0 cpu_idle,0.000745033719652
18.093116,18.093208,9.20000020415e-05,core 0 cpu_frequency,4.25725041447e-05
18.093208,18.147224,0.0540159999946,core 0 cpu_idle,0.000805567615919
18.147224,18.157386,0.0101619999914,core 0 cpu_frequency,0.00576326752932
18.157386,18.24311,0.0857240000041,core 0 cpu_idle,0.00127844487406
18.24311,18.243141,3.10000032187e-05,core 0 cpu_frequency,2.28913726768e-05
18.243141,18.293068,0.049927,core 0 cpu_idle,0.0007445863145
18.293068,18.293159,9.0999994427e-05,core 0 cpu_frequency,3.59057404011e-05
18.293159,18.397468,0.104309000002,core 0 cpu_idle,0.00155561227153
18.397468,18.39756,9.20000020415e-05,core 0 cpu_frequency,9.39652784851e-05
18.39756,18.793068,0.395508000001,core 0 cpu_idle,0.00589840855802
18.793068,18.79319,0.000121999997646,core 0 cpu_frequency,0.000108906896898
18.79319,18.893104,0.0999140000058,core 0 cpu_idle,0.00149006743909
18.893104,18.893135,3.10000032187e-05,core 0 cpu_frequency,2.28913726768e-05
18.893135,19.092994,0.199858999986,core 0 cpu_idle,0.00298059719629
19.092994,19.093025,3.10000032187e-05,core 0 cpu_frequency,2.28913726768e-05
19.093025,19.242988,0.149963000003,core 0 cpu_idle,0.00223647320055
19.242988,19.243019,3.10000032187e-05,core 0 cpu_frequency,2.28913726768e-05
19.243019,19.293037,0.0500179999945,core 0 cpu_idle,0.000745943442917
19.293037,19.293129,9.20000020415e-05,core 0 cpu_frequency,3.63003120055e-05
19.293129,19.345192,0.0520629999955,core 0 cpu_idle,0.000776441550434
19.345192,19.351661,0.00646899999992,core 0 cpu_frequency,0.00366882283786
19.351661,19.443153,0.0914920000068,core 0 cpu_idle,0.0013644659421
19.443153,19.451362,0.00820899999235,core 0 cpu_frequency,0.00606178253605
19.451362,19.493049,0.0416870000045,core 0 cpu_idle,0.000621699074566
19.493049,19.49308,3.10000032187e-05,core 0 cpu_frequency,2.28913726768e-05
19.49308,19.543007,0.049927,core 0 cpu_idle,0.0007445863145
19.543007,19.555488,0.0124809999979,core 0 cpu_frequency,0.00921636105377
19.555488,19.793098,0.237609999996,core 0 cpu_idle,0.00354359673495
19.793098,19.793159,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
19.793159,19.843391,0.0502320000087,core 0 cpu_idle,0.00074913493213
19.843391,19.844398,0.00100699999894,core 0 cpu_frequency,0.000571109073096
19.844398,19.896217,0.0518190000003,core 0 cpu_idle,0.000772802656504
19.896217,19.896461,0.000243999995291,core 0 cpu_frequency,0.000249212249991
19.896461,19.996071,0.0996100000048,core 0 cpu_idle,0.00148553373507
19.996071,19.996132,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
19.996132,20.04319,0.0470579999965,core 0 cpu_idle,0.000701799482947
20.04319,20.043861,0.000671000001603,core 0 cpu_frequency,0.000347098504229
20.043861,20.093147,0.049285999994,core 0 cpu_idle,0.000735026760911
20.093147,20.096565,0.00341800000751,core 0 cpu_frequency,0.00193848144806
20.096565,20.143226,0.0466610000003,core 0 cpu_idle,0.000695878823505
20.143226,20.14463,0.00140399999509,core 0 cpu_frequency,0.00103675754158
20.14463,20.243019,0.0983890000061,core 0 cpu_idle,0.00146732435159
20.243019,20.24308,6.09999988228e-05,core 0 cpu_frequency,2.40686841355e-05
20.24308,20.294929,0.0518489999959,core 0 cpu_idle,0.000773250061438
20.294929,20.295021,9.20000020415e-05,core 0 cpu_frequency,5.21767983578e-05
20.295021,20.443123,0.148102000006,core 0 cpu_idle,0.0022087191771
20.443123,20.443153,2.99999956042e-05,core 0 cpu_frequency,2.2152935754e-05
20.443153,20.544777,0.101624000003,core 0 cpu_idle,0.00151556952404
20.544777,20.545234,0.000457000001916,core 0 cpu_frequency,0.000337463105515
20.545234,20.742958,0.197723999998,core 0 cpu_idle,0.00294875687397
20.742958,20.743019,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
20.743019,20.793068,0.0500489999977,core 0 cpu_idle,0.000746405761465
20.793068,20.793129,6.09999988228e-05,core 0 cpu_frequency,2.40686841355e-05
20.793129,20.8433,0.0501709999953,core 0 cpu_idle,0.00074822520843
20.8433,20.845131,0.0018310000014,core 0 cpu_frequency,0.0010384316929
20.845131,20.895973,0.0508419999969,core 0 cpu_idle,0.000758232166954
20.895973,20.896003,3.00000101561e-05,core 0 cpu_frequency,3.0640861373e-05
20.896003,21.195686,0.29968299999,core 0 cpu_idle,0.00446932242035
21.195686,21.195717,3.10000032187e-05,core 0 cpu_frequency,1.75813139254e-05
21.195717,21.293129,0.0974120000028,core 0 cpu_idle,0.00145275386204
21.293129,21.29319,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
21.29319,21.343025,0.049834999998,core 0 cpu_idle,0.00074321427247
21.343025,21.3433,0.00027499999851,core 0 cpu_frequency,0.000108506364412
21.3433,21.396431,0.0531310000079,core 0 cpu_idle,0.000792369168617
21.396431,21.405067,0.00863599999866,core 0 cpu_frequency,0.00882047963983
21.405067,21.596199,0.191131999993,core 0 cpu_idle,0.00285044708189
21.596199,21.59626,6.10000133747e-05,core 0 cpu_frequency,4.50443191763e-05
21.59626,21.643043,0.046782999998,core 0 cpu_idle,0.00069769827047
21.643043,21.643104,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
21.643104,21.693123,0.0500190000021,core 0 cpu_idle,0.000745958356531
21.693123,21.693184,6.09999988228e-05,core 0 cpu_frequency,3.15544087911e-05
21.693184,21.74311,0.0499259999924,core 0 cpu_idle,0.000744571400887
21.74311,21.744575,0.00146500000847,core 0 cpu_frequency,0.000677920842917
21.744575,21.793281,0.0487060000014,core 0 cpu_idle,0.000726376931021
21.793281,21.793403,0.000121999997646,core 0 cpu_frequency,6.91909688647e-05
21.793403,21.893135,0.0997320000024,core 0 cpu_idle,0.00148735318204
21.893135,21.893196,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
21.893196,21.943,0.0498039999948,core 0 cpu_idle,0.000742751953922
21.943,21.943031,3.10000032187e-05,core 0 cpu_frequency,2.28913726768e-05
21.943031,22.093422,0.150391000003,core 0 cpu_idle,0.00224285617854
22.093422,22.093513,9.0999994427e-05,core 0 cpu_frequency,3.59057404011e-05
22.093513,22.196266,0.102752999999,core 0 cpu_idle,0.00153240686549
22.196266,22.196296,2.99999956042e-05,core 0 cpu_frequency,3.06408465103e-05
22.196296,22.396705,0.200408999997,core 0 cpu_idle,0.00298879962146
22.396705,22.396888,0.00018300001102,core 0 cpu_frequency,0.000135132936038
22.396888,22.493293,0.0964049999893,core 0 cpu_idle,0.00143773596734
22.493293,22.493354,6.10000133747e-05,core 0 cpu_frequency,4.50443191763e-05
22.493354,22.543342,0.0499879999988,core 0 cpu_idle,0.000745496037983
22.543342,22.545936,0.00259399999049,core 0 cpu_frequency,0.001200359488
22.545936,22.5933,0.0473639999982,core 0 cpu_idle,0.000706363013973
22.5933,22.593391,9.10000089789e-05,core 0 cpu_frequency,5.16096631923e-05
22.593391,22.693153,0.099761999998,core 0 cpu_idle,0.00148780058697
22.693153,22.694374,0.00122099999862,core 0 cpu_frequency,0.000901624616283
22.694374,22.743171,0.0487969999958,core 0 cpu_idle,0.000727734059438
22.743171,22.743232,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
22.743232,22.796241,0.0530090000102,core 0 cpu_idle,0.000790549721652
22.796241,22.796272,3.09999886667e-05,core 0 cpu_frequency,3.16622011246e-05
22.796272,22.996162,0.199890000004,core 0 cpu_idle,0.00298105951505
22.996162,22.996315,0.000153000000864,core 0 cpu_frequency,0.000112979989538
22.996315,23.094459,0.0981440000032,core 0 cpu_idle,0.00146367054405
23.094459,23.094581,0.000121999997646,core 0 cpu_frequency,4.8137368271e-05
23.094581,23.1464,0.0518190000003,core 0 cpu_idle,0.000772802656504
23.1464,23.155464,0.00906399999803,core 0 cpu_frequency,0.00514054880128
23.155464,23.196083,0.0406190000067,core 0 cpu_idle,0.0006057714566
23.196083,23.209816,0.0137329999998,core 0 cpu_frequency,0.0140263602259
23.209816,24.593147,1.38333099999,core 0 cpu_idle,0.0206303068684
