App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 10:20:01 AM","17 sec","Trepn_2018.10.21_102000.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
114,3,113,255,114,2079978,641560,114,320000,115,0,43,1512000,96,1512000,104,1026000,113,0,95,100,102,92,112,66,113,0,
158,3,154,255,157,2818729,1380311,158,320000,159,0,144,1512000,149,1512000,152,1512000,155,1026000,148,100,151,100,154,100,157,66,
256,3,253,255,256,2817612,1379194,256,320000,257,0,244,1512000,247,1512000,249,1512000,254,1512000,246,87,248,88,253,60,255,100,
353,3,350,255,353,2379834,941416,353,320000,354,0,345,1512000,347,1512000,349,1512000,351,1512000,346,60,348,66,350,45,353,100,
454,3,452,255,454,1962576,524158,455,320000,455,0,445,1512000,447,1512000,450,1512000,452,1512000,447,22,449,33,451,55,454,100,
553,3,551,255,553,2598723,1160305,553,320000,554,0,546,1512000,547,1512000,549,1512000,551,1512000,547,63,549,60,550,80,552,100,
654,3,651,255,654,1702645,264227,655,320000,655,0,646,1512000,648,1512000,650,1512000,652,1512000,648,25,649,27,651,20,654,100,
756,3,753,255,755,1337697,0,756,320000,757,0,747,1026000,749,1026000,751,1026000,754,1512000,749,25,751,0,753,10,755,100,
866,3,862,255,865,1595321,156903,877,320000,878,0,848,1026000,851,1026000,853,1512000,863,0,850,75,852,87,856,70,864,0,
966,3,962,255,966,3132265,1693847,967,320000,968,0,949,1512000,951,1512000,957,1512000,963,1512000,951,100,955,91,961,100,966,90,
1057,3,1055,255,1057,2790251,1351833,1058,400000,1058,0,1049,1512000,1051,1512000,1053,1512000,1055,1512000,1051,83,1053,70,1055,90,1057,88,
1158,3,1155,255,1158,1556529,118111,1158,400000,1159,0,1150,1512000,1152,1512000,1153,1512000,1156,1026000,1151,28,1153,66,1155,30,1158,50,
1257,3,1255,255,1256,1308485,0,1257,400000,1257,0,1250,1512000,1252,1512000,1254,1512000,1255,1026000,1252,36,1253,12,1255,44,1256,42,
1357,3,1355,255,1357,790979,0,1357,400000,1358,0,1351,1026000,1353,1512000,1354,0,1356,0,1352,22,1354,27,1355,0,1356,0,
1458,3,1457,255,1458,918140,0,1459,400000,1459,0,1453,1026000,1455,1512000,1457,0,1458,0,1455,40,1456,36,1457,0,1458,0,
1567,3,1565,255,1567,582278,0,1568,400000,1570,0,1554,384000,1559,486000,1563,0,1566,0,1558,30,1562,25,1564,0,1566,0,
1660,3,1659,255,1660,1688964,250546,1660,400000,1661,0,1655,1512000,1657,1512000,1658,0,1659,0,1656,70,1658,100,1659,0,1660,0,
1760,3,1759,255,1760,1308542,0,1761,400000,1761,0,1755,1026000,1757,1512000,1759,0,1760,0,1757,27,1758,100,1759,0,1760,0,
1867,3,1866,255,1867,1624149,185731,1867,320000,1868,16,1857,1512000,1859,1512000,1863,1026000,1866,0,1858,72,1862,80,1865,16,1866,0,
1964,3,1963,255,1964,1225795,0,1964,320000,1965,16,1957,1512000,1959,1512000,1961,1026000,1963,0,1959,27,1961,18,1962,0,1964,0,
2064,3,2063,255,2064,1626511,188093,2064,200000,2065,16,2058,1512000,2060,1512000,2061,1026000,2063,0,2059,36,2061,50,2062,33,2063,0,
2165,3,2164,255,2165,974046,0,2165,128000,2166,16,2158,1512000,2160,1026000,2162,1026000,2164,0,2160,11,2162,18,2163,33,2164,0,
2266,3,2265,255,2266,945987,0,2266,128000,2267,16,2259,1512000,2261,1026000,2263,1026000,2265,0,2261,12,2262,30,2264,36,2265,0,
2377,3,2375,255,2377,696599,0,2377,128000,2379,16,2361,486000,2366,384000,2373,0,2376,0,2365,45,2370,22,2374,0,2376,0,
2468,3,2467,255,2468,940435,0,2469,128000,2470,16,2460,1026000,2464,1026000,2466,0,2467,0,2463,50,2465,37,2466,0,2468,0,
2568,3,2567,255,2568,778477,0,2568,128000,2570,16,2561,384000,2563,1026000,2566,0,2567,0,2563,40,2565,33,2566,0,2568,0,
2673,3,2671,255,2673,940342,0,2674,128000,2675,16,2662,918000,2667,1026000,2669,0,2672,0,2666,44,2669,50,2671,0,2673,0,
2777,3,2770,255,2777,984167,0,2778,128000,2779,16,2762,1026000,2766,1026000,2769,0,2771,0,2765,33,2768,66,2770,0,2771,0,
2873,3,2871,255,2873,1013322,0,2874,128000,2875,17,2863,1026000,2868,1026000,2870,0,2871,0,2867,63,2869,44,2871,0,2873,0,
2978,3,2976,255,2977,774493,0,2979,128000,2980,17,2964,1026000,2969,384000,2974,0,2976,0,2968,30,2974,41,2975,0,2977,0,
3073,3,3071,255,3072,1019215,0,3075,128000,3076,17,3064,1026000,3067,918000,3070,0,3071,0,3066,33,3069,88,3070,0,3072,0,
3170,3,3169,255,3170,894319,0,3170,128000,3171,17,3164,1026000,3166,1512000,3168,0,3169,0,3166,22,3168,27,3168,0,3170,0,
3272,3,3271,255,3272,929360,0,3274,128000,3276,17,3264,1026000,3267,1512000,3268,0,3271,0,3266,41,3268,22,3271,0,3272,0,
