Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.368,20.368,screen bright,17.4894475904
0,20.368,20.368,wifi running,0.26118456704
0,20.368,20.368,phone_scanning,10.1399122419
0.0,11.539038,11.539038,core 0 cpu_idle start,0.163888956714
11.539038,11.663122,0.124083999981,core 0 cpu_idle,0.00176236505173
11.663122,11.683691,0.0205690000148,core 0 cpu_frequency,0.014465178057
11.683691,11.713873,0.0301819999877,core 0 cpu_idle,0.000428674945825
11.713873,11.761725,0.0478520000179,core 0 cpu_frequency,0.0465457648326
11.761725,12.063116,0.301390999986,core 0 cpu_idle,0.00428065637281
12.063116,12.063177,6.09999988228e-05,core 0 cpu_frequency,4.28983345721e-05
12.063177,12.114752,0.0515749999904,core 0 cpu_idle,0.000732519724864
12.114752,12.114783,3.10000032187e-05,core 0 cpu_frequency,2.18007956635e-05
12.114783,12.163031,0.0482480000064,core 0 cpu_idle,0.000685266344091
12.163031,12.163092,6.09999988228e-05,core 0 cpu_frequency,4.28983345721e-05
12.163092,12.213141,0.0500490000122,core 0 cpu_idle,0.000710845947174
12.213141,12.213202,6.09999988228e-05,core 0 cpu_frequency,4.28983345721e-05
12.213202,12.613348,0.400146,core 0 cpu_idle,0.005683273638
12.613348,12.617163,0.00381500000367,core 0 cpu_frequency,0.00371086042257
12.617163,13.066229,0.449066000001,core 0 cpu_idle,0.00637808439801
13.066229,13.06629,6.09999988228e-05,core 0 cpu_frequency,4.28983345721e-05
13.06629,13.113043,0.0467530000024,core 0 cpu_idle,0.000664032859033
13.113043,13.113104,6.09999988228e-05,core 0 cpu_frequency,4.28983345721e-05
13.113104,13.313238,0.200133999984,core 0 cpu_idle,0.00284250320178
13.313238,13.316443,0.00320500001544,core 0 cpu_frequency,0.00154509973944
13.316443,13.36347,0.0470269999932,core 0 cpu_idle,0.000667924480904
13.36347,13.363501,3.10000032187e-05,core 0 cpu_frequency,2.18007956635e-05
13.363501,13.46311,0.0996089999971,core 0 cpu_idle,0.00141474662696
13.46311,13.463171,6.09999988228e-05,core 0 cpu_frequency,4.28983345721e-05
13.463171,13.513098,0.0499269999855,core 0 cpu_idle,0.000709113180794
13.513098,13.53269,0.0195919999969,core 0 cpu_frequency,0.00736210151244
13.53269,13.566565,0.0338750000228,core 0 cpu_idle,0.000481126625324
13.566565,13.566748,0.000182999996468,core 0 cpu_frequency,0.000178004572365
