Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.39,20.39,screen bright,18.384186764
0,20.39,20.39,wifi running,0.2745464564
0,20.39,20.39,phone_scanning,10.6586579972
0.0,11.354885,11.354885,core 0 cpu_idle start,0.169341077448
11.354885,11.519344,0.164459000007,core 0 cpu_idle,0.0024526592966
11.519344,11.525692,0.00634799999534,core 0 cpu_frequency,0.00468756188896
11.525692,11.620632,0.09494000001,core 0 cpu_idle,0.00141588769015
11.620632,11.622372,0.00173999999242,core 0 cpu_frequency,0.00177716935026
11.622372,12.132381,0.510009000005,core 0 cpu_idle,0.00760601922158
12.132381,12.132442,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
12.132442,12.219265,0.0868229999905,core 0 cpu_idle,0.00129483481036
12.219265,12.219906,0.000641000005999,core 0 cpu_frequency,0.00047333446773
12.219906,12.269131,0.0492249999952,core 0 cpu_idle,0.000734117037428
12.269131,12.269314,0.00018300001102,core 0 cpu_frequency,0.000135132936038
12.269314,12.319424,0.0501099999965,core 0 cpu_idle,0.000747315484948
12.319424,12.32037,0.000946000000113,core 0 cpu_frequency,0.000437756391652
12.32037,12.36993,0.0495599999995,core 0 cpu_idle,0.000739113059992
12.36993,12.370541,0.000610999995843,core 0 cpu_frequency,0.000346521987742
12.370541,12.469234,0.0986930000072,core 0 cpu_idle,0.00147185805561
12.469234,12.470242,0.001007999992,core 0 cpu_frequency,0.000744338744491
12.470242,12.519405,0.0491630000033,core 0 cpu_idle,0.000733192400549
12.519405,12.520748,0.00134299999627,core 0 cpu_frequency,0.000529905628328
12.520748,12.572231,0.0514830000029,core 0 cpu_idle,0.000767791720544
12.572231,12.57275,0.000518999993801,core 0 cpu_frequency,0.000530086715969
12.57275,12.723019,0.150269000005,core 0 cpu_idle,0.00224103673158
12.723019,12.723049,2.99999956042e-05,core 0 cpu_frequency,2.2152935754e-05
12.723049,12.822079,0.0990300000121,core 0 cpu_idle,0.00147688390518
12.822079,12.855526,0.0334469999943,core 0 cpu_frequency,0.0341614847741
12.855526,13.119198,0.263672000001,core 0 cpu_idle,0.00393227237201
13.119198,13.11993,0.000732000000426,core 0 cpu_frequency,0.000540531711914
13.11993,13.169491,0.0495609999925,core 0 cpu_idle,0.000739127973389
13.169491,13.170406,0.000915000011446,core 0 cpu_frequency,0.000463179227794
13.170406,13.219936,0.0495299999893,core 0 cpu_idle,0.000738665654841
13.219936,13.220272,0.000336000011885,core 0 cpu_frequency,0.00019055874434
13.220272,13.269833,0.0495609999925,core 0 cpu_idle,0.000739127973389
13.269833,13.269894,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
13.269894,13.31979,0.0498959999968,core 0 cpu_idle,0.000744123995952
13.31979,13.319881,9.10000089789e-05,core 0 cpu_frequency,3.59057461428e-05
13.319881,13.373257,0.0533759999962,core 0 cpu_idle,0.000796022975943
13.373257,13.373318,6.09999988228e-05,core 0 cpu_frequency,6.23030624977e-05
13.373318,13.52264,0.149321999997,core 0 cpu_idle,0.00222691364696
13.52264,13.522701,6.09999988228e-05,core 0 cpu_frequency,3.30879426615e-05
13.522701,13.570003,0.0473020000063,core 0 cpu_idle,0.000705438377094
13.570003,13.570156,0.000153000000864,core 0 cpu_frequency,8.67722827902e-05
13.570156,13.669308,0.0991519999952,core 0 cpu_idle,0.00147870335193
13.669308,13.669918,0.00061000000278,core 0 cpu_frequency,0.000450443095053
13.669918,13.719845,0.049927,core 0 cpu_idle,0.0007445863145
13.719845,13.719936,9.0999994427e-05,core 0 cpu_frequency,6.71972441847e-05
13.719936,13.919613,0.199677000011,core 0 cpu_idle,0.00297788293967
13.919613,13.919643,2.99999956042e-05,core 0 cpu_frequency,2.2152935754e-05
13.919643,13.969082,0.0494389999949,core 0 cpu_idle,0.000737308526424
13.969082,13.96957,0.000488000005134,core 0 cpu_frequency,0.000360354478191
13.96957,14.019863,0.050292999993,core 0 cpu_idle,0.000750044655395
14.019863,14.019985,0.000121999997646,core 0 cpu_frequency,9.00886168614e-05
14.019985,14.119259,0.0992740000074,core 0 cpu_idle,0.00148052279911
14.119259,14.11935,9.0999994427e-05,core 0 cpu_frequency,6.71972441847e-05
14.11935,14.17001,0.0506600000081,core 0 cpu_idle,0.00075551791012
14.17001,14.170315,0.000304999994114,core 0 cpu_frequency,0.000141137100276
14.170315,14.219509,0.0491940000065,core 0 cpu_idle,0.000733654719097
14.219509,14.22015,0.000640999991447,core 0 cpu_frequency,0.000363536158249
14.22015,14.273769,0.0536189999984,core 0 cpu_idle,0.000799646956477
14.273769,14.274136,0.000367000000551,core 0 cpu_frequency,0.000374839744463
14.274136,14.31921,0.0450740000088,core 0 cpu_idle,0.000672211099131
14.31921,14.31979,0.000579999992624,core 0 cpu_frequency,0.000428290148553
14.31979,14.369778,0.0499879999988,core 0 cpu_idle,0.000745496037983
14.369778,14.3699,0.000122000012198,core 0 cpu_frequency,4.81373740128e-05
14.3699,14.472866,0.102965999991,core 0 cpu_idle,0.00153558344087
14.472866,14.485073,0.012207000007,core 0 cpu_frequency,0.0124677622791
14.485073,14.722988,0.237914999991,core 0 cpu_idle,0.00354814535236
14.722988,14.723049,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
14.723049,14.76968,0.0466310000047,core 0 cpu_idle,0.00069543141857
14.76968,14.769772,9.20000020415e-05,core 0 cpu_frequency,3.63003120055e-05
14.769772,14.8204,0.0506279999972,core 0 cpu_idle,0.000755040677959
14.8204,14.820644,0.000243999995291,core 0 cpu_frequency,0.000138381937729
14.820644,14.969692,0.149048000007,core 0 cpu_idle,0.0022228273481
14.969692,14.97015,0.000457999994978,core 0 cpu_frequency,0.000338201531692
14.97015,15.019924,0.0497739999992,core 0 cpu_idle,0.000742304548987
