App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 10:34:31 AM","17 sec","Trepn_2018.10.21_103430.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
74,3,70,255,73,2134700,990810,75,320000,75,0,56,1512000,63,1512000,66,1026000,70,1026000,58,100,65,100,68,50,72,16,
164,3,162,255,164,2721848,1577958,165,320000,165,0,156,1512000,158,1512000,160,1512000,162,1512000,157,66,159,100,161,100,164,55,
266,3,263,255,265,2728688,1584798,266,320000,267,0,256,1512000,259,1512000,261,1512000,264,1512000,258,62,260,100,263,100,265,60,
365,3,362,255,365,2687647,1543757,365,320000,366,0,357,1512000,359,1512000,361,1512000,363,1512000,358,62,360,100,362,100,364,54,
466,3,464,255,466,2147264,1003374,466,320000,467,0,457,1512000,460,1512000,462,1512000,464,1512000,459,62,461,100,463,50,466,25,
565,3,563,255,565,2113062,969172,565,320000,566,0,558,1512000,560,1512000,561,1512000,563,1512000,559,50,561,100,563,62,565,20,
665,3,664,255,665,1661603,517713,665,320000,666,0,658,1512000,660,1512000,662,1512000,664,0,660,30,661,100,663,36,664,0,
765,3,764,255,765,1216985,73095,766,320000,766,0,759,1512000,761,1512000,762,1512000,765,0,760,0,762,90,764,11,765,0,
934,3,928,255,934,2865494,1721604,935,400000,935,0,860,1512000,862,1512000,864,1512000,928,1512000,861,90,864,87,866,90,933,75,
966,3,965,255,966,3262231,2118341,967,400000,967,0,959,1512000,961,1512000,963,1512000,965,1512000,961,100,963,100,964,100,966,100,
1066,3,1064,255,1066,2448236,1304346,1067,400000,1067,0,1060,1512000,1062,1512000,1063,1512000,1065,1512000,1061,90,1063,63,1064,66,1066,62,
1168,3,1166,255,1168,1641082,497192,1168,320000,1169,0,1160,1512000,1162,1512000,1164,1512000,1166,1512000,1162,55,1163,70,1165,27,1167,11,
1270,3,1269,255,1270,713045,0,1271,320000,1272,0,1262,1512000,1265,1026000,1267,1026000,1270,0,1264,22,1266,10,1268,0,1270,0,
1369,3,1368,255,1369,992429,0,1369,320000,1370,0,1362,1512000,1364,1026000,1366,1026000,1368,0,1364,41,1366,33,1367,18,1368,0,
1473,3,1471,255,1473,606291,0,1474,320000,1477,0,1464,1026000,1467,1026000,1470,0,1472,0,1466,0,1469,22,1471,0,1472,0,
1572,3,1570,255,1572,806731,0,1573,320000,1574,0,1564,1026000,1567,1026000,1569,0,1571,0,1566,33,1569,44,1570,0,1571,0,
1696,3,1674,255,1693,677894,0,1701,320000,1702,0,1665,1026000,1669,702000,1672,0,1692,0,1668,12,1671,53,1673,0,1693,0,
1773,3,1769,255,1773,1634242,490352,1774,320000,1774,0,1765,1512000,1767,1512000,1769,0,1770,0,1767,62,1768,100,1769,0,1770,0,
1872,3,1871,255,1872,1392362,248472,1876,320000,1880,0,1866,1026000,1868,1512000,1870,0,1871,0,1868,50,1869,100,1870,0,1872,0,
1971,3,1970,255,1970,1100700,0,1971,200000,1971,0,1966,1512000,1968,1512000,1969,0,1970,0,1967,40,1969,44,1969,0,1970,0,
2081,3,2074,255,2081,755710,0,2082,128000,2083,0,2067,1026000,2070,1026000,2073,0,2075,0,2069,30,2072,33,2073,0,2081,0,
2191,3,2184,255,2189,632419,0,2192,128000,2194,13,2168,384000,2175,1026000,2181,0,2186,0,2174,30,2180,22,2183,0,2187,0,
2282,3,2281,255,2282,1007853,0,2283,128000,2284,13,2268,918000,2272,1026000,2274,0,2281,0,2271,72,2274,50,2275,0,2282,0,
2393,3,2391,255,2393,713734,0,2394,128000,2396,13,2370,1026000,2379,384000,2388,0,2392,0,2378,20,2387,41,2390,0,2393,0,
2485,3,2483,255,2485,1007853,0,2486,128000,2488,13,2469,1026000,2473,918000,2482,0,2484,0,2472,50,2481,72,2483,0,2484,0,
2578,3,2576,255,2578,882110,0,2579,128000,2582,13,2570,1026000,2573,1026000,2575,0,2577,0,2572,36,2575,40,2576,0,2578,0,
2683,3,2682,255,2683,947709,0,2684,128000,2684,13,2671,1026000,2678,1026000,2680,0,2682,0,2676,54,2680,40,2681,0,2683,0,
2778,3,2777,255,2778,874822,0,2779,128000,2779,13,2771,1026000,2774,1026000,2776,0,2777,0,2773,37,2775,37,2776,0,2778,0,
2888,3,2885,255,2888,676580,0,2888,128000,2890,13,2874,1026000,2881,384000,2884,0,2886,0,2880,11,2883,36,2885,0,2887,0,
2981,3,2979,255,2980,922105,0,2981,128000,2982,13,2973,1026000,2976,918000,2978,0,2980,0,2975,50,2977,44,2979,0,2980,0,
3109,3,3107,255,3109,666974,0,3110,128000,3111,13,3077,384000,3094,384000,3106,0,3108,0,3092,30,3104,41,3106,0,3108,0,
3184,3,3182,255,3184,948134,0,3185,128000,3186,13,3175,918000,3178,918000,3181,0,3183,0,3177,50,3180,62,3182,0,3184,0,
3284,3,3283,255,3284,922258,0,3285,128000,3285,17,3276,918000,3279,1026000,3282,0,3283,0,3278,50,3281,45,3282,0,3284,0,
3386,3,3384,255,3386,819579,0,3387,128000,3388,17,3376,1026000,3380,384000,3382,0,3385,0,3379,45,3382,30,3383,0,3385,0,
3481,3,3481,255,3481,1288643,144753,3482,128000,3482,17,3477,1512000,3478,1026000,3480,0,3481,0,3478,66,3480,57,3480,0,3481,0,
3585,3,3584,255,3584,939005,0,3585,128000,3586,17,3577,1512000,3581,1026000,3583,0,3584,0,3580,33,3582,23,3583,0,3584,0,
3687,3,3684,255,3687,973554,0,3689,128000,3690,17,3678,918000,3681,1026000,3683,0,3685,0,3681,60,3683,44,3684,0,3686,0,
3789,3,3788,255,3789,972025,0,3790,128000,3791,17,3779,1026000,3783,1026000,3786,0,3788,0,3782,80,3785,14,3787,0,3789,0,
3889,3,3887,255,3888,1019401,0,3889,128000,3890,17,3879,1026000,3884,1026000,3886,0,3888,0,3883,53,3885,54,3886,0,3888,0,
4000,3,3997,255,4000,823866,0,4002,128000,4005,17,3982,384000,3989,1026000,3994,0,3998,0,3988,14,3993,50,3996,0,3999,0,
4090,3,4089,255,4090,977351,0,4091,128000,4092,17,4081,918000,4085,1026000,4088,0,4089,0,4084,66,4087,40,4088,0,4090,0,
4193,3,4190,255,4192,731015,0,4193,128000,4195,17,4182,384000,4186,1026000,4188,0,4190,0,4185,12,4188,25,4189,0,4192,0,
4294,3,4292,255,4293,995420,0,4294,128000,4295,20,4282,918000,4288,1026000,4291,0,4293,0,4287,60,4290,50,4292,0,4293,0,
4393,3,4392,255,4393,727867,0,4394,128000,4395,20,4383,1026000,4387,1026000,4390,0,4392,0,4386,22,4389,0,4391,0,4393,0,
4495,3,4493,255,4494,1019415,0,4495,128000,4496,20,4483,1026000,4489,1026000,4492,0,4494,0,4485,60,4491,42,4493,0,4494,0,
4596,3,4594,255,4595,888219,0,4596,128000,4599,20,4584,1026000,4588,1026000,4592,0,4595,0,4587,33,4592,33,4593,0,4595,0,
4696,3,4694,255,4695,935595,0,4696,128000,4697,20,4684,1026000,4690,1026000,4693,0,4695,0,4687,42,4692,37,4694,0,4695,0,
4795,3,4792,255,4794,799308,0,4796,128000,4797,20,4785,384000,4788,1026000,4791,0,4793,0,4787,36,4790,33,4792,0,4794,0,
4894,3,4893,255,4894,935655,0,4895,128000,4896,20,4886,918000,4889,1026000,4892,0,4893,0,4888,50,4891,37,4892,0,4894,0,
4996,3,4994,255,4996,789821,0,4997,128000,4998,20,4986,1026000,4990,1026000,4993,0,4995,0,4989,12,4992,27,4994,0,4996,0,
5095,3,5094,255,5095,1106880,0,5095,128000,5096,20,5087,1026000,5090,1026000,5093,0,5094,0,5089,60,5092,66,5093,0,5094,0,
5201,3,5197,255,5199,786177,0,5202,128000,5206,20,5189,1026000,5193,1026000,5196,0,5198,0,5192,27,5195,11,5196,0,5198,0,
5296,3,5295,255,5296,1026704,0,5297,128000,5298,18,5288,1026000,5292,1026000,5294,0,5295,0,5291,50,5293,54,5294,0,5296,0,
5407,3,5405,255,5406,755797,0,5407,128000,5408,18,5389,1026000,5393,1026000,5403,0,5406,0,5392,22,5399,11,5405,0,5406,0,
5524,3,5523,255,5524,1626079,482189,5526,128000,5527,18,5498,1026000,5511,1512000,5517,1026000,5523,0,5510,81,5516,91,5522,20,5524,0,
5596,3,5595,255,5596,1458439,314549,5597,128000,5598,18,5589,1512000,5592,1512000,5593,1026000,5596,0,5591,63,5593,28,5595,55,5596,0,
5697,3,5696,255,5697,1516357,372467,5697,128000,5698,18,5690,1512000,5692,1026000,5694,1026000,5696,0,5692,100,5693,18,5695,36,5697,0,
5796,3,5795,255,5796,1172941,29051,5796,128000,5797,18,5790,1512000,5792,1026000,5793,1026000,5795,0,5792,45,5793,33,5795,30,5796,0,
5896,3,5895,255,5896,712065,0,5897,128000,5897,18,5891,1512000,5892,1026000,5894,1026000,5896,0,5892,0,5893,11,5895,10,5896,0,
5998,3,5997,255,5998,858907,0,5999,128000,6001,18,5991,1512000,5994,1026000,5996,0,5997,0,5993,22,5995,20,5996,0,5997,0,
6108,3,6106,255,6107,1200408,56518,6108,128000,6109,18,6092,1026000,6103,1026000,6105,0,6107,0,6098,75,6104,80,6105,0,6107,0,
6201,3,6198,255,6200,2465869,1321979,6201,128000,6202,18,6192,1512000,6195,1512000,6196,1026000,6199,1512000,6194,100,6196,100,6198,33,6200,50,
6301,3,6298,255,6301,1490570,346680,6301,128000,6302,18,6292,1512000,6295,1512000,6296,1512000,6298,1512000,6294,30,6296,22,6298,40,6300,33,
6404,3,6398,255,6403,1356397,212507,6405,128000,6406,17,6393,1512000,6395,1512000,6396,1512000,6398,1026000,6394,33,6396,36,6397,22,6402,27,
6505,3,6502,255,6505,1012112,0,6506,128000,6514,17,6494,1026000,6497,1026000,6501,0,6504,0,6497,45,6500,60,6502,0,6505,0,
6603,3,6601,255,6603,957447,0,6604,128000,6605,17,6594,1026000,6598,1026000,6600,0,6602,0,6597,45,6600,45,6601,0,6602,0,
6658,3,6657,255,6658,873627,0,6659,128000,6660,17,6645,1026000,6650,1026000,6653,0,6657,0,6649,25,6652,42,6656,0,6658,0,
6754,3,6751,255,6753,966265,0,6755,128000,6756,17,6745,918000,6748,1026000,6750,0,6752,0,6747,60,6750,42,6751,0,6753,0,
6857,3,6855,255,6857,1004730,0,6858,128000,6859,17,6846,918000,6850,1026000,6854,0,6856,0,6849,44,6853,66,6854,0,6857,0,
6957,3,6954,255,6957,866338,0,6958,128000,6958,17,6946,1026000,6950,1026000,6952,0,6956,0,6949,25,6951,40,6953,0,6956,0,
7055,3,7054,255,7055,942870,0,7056,128000,7057,17,7047,1026000,7050,1026000,7053,0,7054,0,7050,50,7052,36,7053,0,7055,0,
7157,3,7154,255,7157,840413,0,7158,128000,7159,17,7147,384000,7151,1026000,7153,0,7155,0,7150,33,7152,50,7153,0,7156,0,
7255,3,7254,255,7255,884620,0,7256,128000,7256,17,7248,918000,7251,1026000,7253,0,7254,0,7250,50,7252,28,7253,0,7255,0,
7361,3,7356,255,7357,731585,0,7362,128000,7363,18,7348,384000,7352,702000,7354,0,7356,0,7351,33,7354,36,7355,0,7357,0,
7457,3,7456,255,7457,923404,0,7458,128000,7460,18,7449,918000,7452,918000,7455,0,7457,0,7452,44,7454,50,7455,0,7457,0,
7577,3,7574,255,7576,787150,0,7582,128000,7586,18,7550,384000,7565,1026000,7569,0,7575,0,7559,36,7568,33,7573,0,7576,0,
7662,3,7657,255,7661,1873626,729736,7664,128000,7665,18,7650,1512000,7653,1512000,7655,0,7660,0,7652,100,7654,81,7656,0,7661,0,
7758,3,7757,255,7758,1709459,565569,7758,128000,7759,18,7751,1512000,7753,1512000,7755,1512000,7757,0,7752,50,7754,54,7756,53,7757,0,
7857,3,7856,255,7857,2010431,866541,7858,128000,7858,18,7851,1512000,7853,1512000,7855,1512000,7857,0,7853,80,7854,66,7856,55,7857,0,
7958,3,7957,255,7958,2106195,962305,7959,128000,7960,18,7951,1512000,7953,1512000,7955,1512000,7957,0,7953,70,7954,58,7956,87,7958,0,
8058,3,8057,255,8058,1490570,346680,8059,320000,8060,18,8052,1512000,8054,1512000,8056,1512000,8058,0,8054,41,8055,30,8057,54,8058,0,
8160,3,8158,255,8160,1117452,0,8160,320000,8161,18,8152,1512000,8155,1512000,8157,1512000,8159,0,8154,22,8156,0,8158,0,8160,0,
8263,3,8262,255,8263,1192120,48230,8264,320000,8265,18,8254,1026000,8257,702000,8261,0,8262,0,8257,45,8260,30,8261,0,8263,0,
8411,3,8410,255,8411,1247487,103597,8412,320000,8417,22,8355,1026000,8362,918000,8366,0,8411,0,8359,40,8365,44,8367,0,8411,0,
8466,3,8464,255,8466,2275663,1131773,8467,320000,8467,22,8455,1512000,8457,1512000,8460,0,8465,0,8456,100,8459,77,8464,20,8465,0,
8568,3,8565,255,8567,2254972,1111082,8568,320000,8569,22,8555,1512000,8558,1512000,8561,1026000,8566,0,8557,100,8560,50,8564,45,8567,0,
8668,3,8666,255,8668,2403045,1259155,8669,200000,8669,22,8656,1512000,8658,1512000,8662,1026000,8667,0,8658,90,8661,63,8665,80,8667,0,
8763,3,8762,255,8763,1455982,312092,8763,320000,8764,22,8756,1512000,8758,1512000,8760,1026000,8762,0,8758,40,8760,44,8761,27,8763,0,
8876,3,8875,255,8876,1486112,342222,8877,320000,8877,22,8859,1512000,8872,1026000,8873,1026000,8876,0,8871,36,8873,36,8875,12,8876,0,
8966,3,8964,255,8965,2072184,928294,8966,320000,8967,22,8958,1512000,8961,1026000,8963,1026000,8965,0,8960,70,8962,75,8964,70,8965,0,
9066,3,9065,255,9066,1206222,62332,9067,320000,9068,22,9059,1512000,9061,1026000,9063,1026000,9065,0,9061,10,9063,0,9065,20,9066,0,
9166,3,9165,255,9166,1573519,429629,9166,400000,9167,22,9160,1512000,9162,1026000,9163,1026000,9165,0,9161,28,9163,50,9165,37,9166,0,
9268,3,9266,255,9267,1541733,397843,9268,400000,9269,22,9260,1512000,9262,1026000,9264,1026000,9267,0,9261,11,9264,11,9266,33,9267,0,
9369,3,9368,255,9369,1763370,619480,9369,400000,9370,20,9360,1512000,9362,1026000,9367,1026000,9368,0,9362,45,9366,14,9368,27,9369,0,
9472,3,9471,255,9472,1581441,437551,9473,400000,9474,20,9461,1026000,9467,1026000,9470,0,9472,0,9463,55,9469,40,9471,0,9472,0,
9572,3,9570,255,9572,1504910,361020,9574,400000,9575,20,9561,1026000,9564,1026000,9568,0,9571,0,9564,30,9567,44,9569,0,9571,0,
9668,3,9666,255,9668,2069906,926016,9669,400000,9669,20,9662,1026000,9664,1512000,9665,0,9667,0,9663,77,9665,81,9666,0,9668,0,
9768,3,9767,255,9768,1520612,376722,9769,400000,9770,20,9762,1026000,9764,1512000,9766,0,9768,0,9764,22,9766,30,9767,0,9768,0,
9881,3,9879,255,9880,1759460,615570,9881,400000,9882,20,9863,1026000,9868,1512000,9879,0,9880,0,9864,50,9877,50,9879,0,9880,0,
9970,3,9969,255,9970,1444920,301030,9970,320000,9971,20,9963,1026000,9966,1512000,9968,0,9969,0,9965,20,9967,20,9968,0,9970,0,
10077,3,10071,255,10073,1252832,108942,10079,320000,10080,20,10064,1026000,10067,1026000,10070,0,10072,0,10066,40,10069,25,10071,0,10073,0,
10185,3,10183,255,10185,1752109,608219,10186,128000,10187,20,10165,1026000,10177,1026000,10180,1026000,10184,0,10175,81,10180,81,10182,40,10184,0,
10272,3,10271,255,10271,1190145,46255,10272,320000,10272,20,10265,1512000,10268,1026000,10269,1026000,10271,0,10267,50,10269,33,10270,22,10271,0,
10377,3,10376,255,10377,1436118,292228,10378,320000,10379,19,10367,1512000,10369,1026000,10372,1026000,10376,0,10369,22,10371,54,10375,20,10377,0,
10474,3,10473,255,10474,1595865,451975,10475,320000,10476,19,10467,1512000,10469,1026000,10471,1026000,10474,0,10469,50,10471,50,10473,22,10474,0,
10575,3,10573,255,10574,1078922,0,10575,320000,10576,19,10567,1512000,10569,1026000,10571,1026000,10574,0,10569,0,10571,12,10573,12,10574,0,
10687,3,10684,255,10686,1403269,259379,10687,320000,10689,19,10673,1026000,10678,1026000,10682,0,10685,0,10676,50,10681,63,10683,0,10686,0,
10780,3,10779,255,10780,1744110,600220,10780,320000,10782,19,10773,1512000,10775,1026000,10778,0,10779,0,10775,77,10777,62,10778,0,10780,0,
10887,3,10882,255,10885,1880695,736805,10888,200000,10933,19,10873,1512000,10875,1512000,10878,0,10883,0,10875,40,10877,90,10882,0,10885,0,
10982,3,10978,255,10982,2466726,1322836,10983,128000,10984,19,10974,1512000,10976,1512000,10977,1026000,10980,1026000,10975,100,10977,90,10978,60,10982,55,
11085,3,11083,255,11085,1972607,828717,11086,400000,11087,19,11074,1512000,11077,1512000,11081,1026000,11084,1512000,11076,44,11080,33,11083,33,11085,100,
11184,3,11181,255,11184,2606009,1462119,11185,400000,11185,19,11175,1512000,11177,1512000,11179,1026000,11181,1512000,11176,54,11178,44,11180,33,11184,90,
11285,3,11281,255,11284,2175348,1031458,11285,400000,11286,19,11275,1026000,11277,1026000,11279,1026000,11282,1512000,11277,33,11279,11,11281,36,11284,100,
11394,3,11390,255,11393,1531408,387518,11394,400000,11395,19,11376,1026000,11380,1026000,11383,1026000,11391,0,11378,25,11382,33,11385,33,11393,0,
11487,3,11485,255,11487,1983307,839417,11488,400000,11488,19,11476,1026000,11479,1026000,11482,1026000,11486,0,11479,70,11481,75,11484,70,11486,0,
11583,3,11582,255,11583,1878134,734244,11584,400000,11585,19,11577,1026000,11578,1512000,11580,1026000,11582,0,11578,18,11580,72,11581,33,11582,0,
11683,3,11682,255,11682,2432140,1288250,11683,400000,11684,19,11677,1026000,11679,1512000,11680,1512000,11682,0,11678,66,11680,70,11681,75,11682,0,
11784,3,11783,255,11784,1425501,281611,11784,400000,11785,19,11778,1026000,11780,1512000,11781,1512000,11783,0,11779,0,11781,33,11783,0,11784,0,
11892,3,11890,255,11892,1633449,489559,11893,400000,11894,19,11880,1026000,11883,1026000,11887,1026000,11891,0,11882,36,11886,33,11889,50,11891,0,
11989,3,11987,255,11988,1487675,343785,11989,400000,11990,19,11979,1026000,11982,1026000,11985,1026000,11988,0,11981,33,11984,36,11986,10,11988,0,
12089,3,12087,255,12088,1527763,383873,12089,400000,12090,19,12080,1026000,12083,1026000,12085,1026000,12088,0,12082,30,12084,40,12086,20,12088,0,
12190,3,12188,255,12189,1761244,617354,12190,400000,12191,19,12180,1026000,12183,1026000,12185,918000,12188,0,12182,40,12185,46,12187,81,12189,0,
12287,3,12286,255,12287,2330547,1186657,12287,400000,12288,19,12281,1512000,12283,1026000,12284,1512000,12286,0,12282,100,12284,40,12286,44,12287,0,
12397,3,12392,255,12397,2313165,1169275,12398,320000,12400,12,12382,1512000,12384,1026000,12390,1512000,12395,0,12383,90,12389,54,12391,44,12396,0,
12487,3,12486,255,12487,1800248,656358,12487,400000,12488,12,12482,1512000,12483,1512000,12485,1026000,12486,0,12483,70,12484,44,12486,55,12487,0,
12590,3,12588,255,12590,1160827,16937,12590,400000,12591,12,12582,1512000,12584,1512000,12586,1026000,12589,0,12584,11,12586,10,12588,18,12589,0,
12690,3,12689,255,12690,1567763,423873,12690,400000,12691,12,12683,1026000,12685,1512000,12687,1026000,12689,0,12684,50,12686,40,12688,44,12690,0,
12790,3,12789,255,12790,1256028,112138,12790,400000,12791,12,12783,1026000,12785,1512000,12787,1026000,12789,0,12785,10,12786,20,12788,36,12790,0,
12906,3,12905,255,12906,1355430,211540,12907,400000,12908,12,12884,1026000,12888,1026000,12900,918000,12905,0,12887,40,12898,33,12904,45,12906,0,
12995,3,12994,255,12995,1454503,310613,12996,320000,12997,12,12984,1026000,12988,1026000,12991,1026000,12994,0,12987,61,12990,44,12993,33,12995,0,
13101,3,13099,255,13100,1089698,0,13103,200000,13104,12,13087,1026000,13091,1026000,13094,1026000,13099,0,13090,14,13093,30,13098,30,13100,0,
13200,3,13198,255,13200,1108789,0,13201,200000,13202,12,13187,918000,13191,1026000,13194,594000,13199,0,13190,75,13194,33,13197,58,13200,0,
13296,3,13295,255,13296,1555187,411297,13297,128000,13298,12,13288,1026000,13290,1026000,13293,1512000,13295,0,13290,45,13292,30,13294,90,13296,0,
13396,3,13395,255,13396,1467215,323325,13397,128000,13398,12,13388,1512000,13391,1026000,13393,1512000,13396,0,13390,100,13392,28,13395,12,13396,0,
13496,3,13495,255,13496,1334950,191060,13497,128000,13498,15,13489,1512000,13491,1026000,13494,0,13495,0,13491,90,13493,33,13494,0,13496,0,
13596,3,13594,255,13596,2049046,905156,13596,320000,13597,15,13589,1512000,13591,1512000,13593,1026000,13595,1512000,13591,75,13592,80,13594,40,13596,33,
13699,3,13697,255,13699,1228551,84661,13700,320000,13701,15,13690,1512000,13692,1512000,13694,1026000,13697,1026000,13692,22,13694,11,13696,18,13699,12,
13799,3,13796,255,13799,1107219,0,13802,320000,13803,15,13790,1512000,13793,1512000,13795,1026000,13797,1026000,13792,11,13794,0,13796,27,13798,11,
13907,3,13905,255,13907,1425566,281676,13907,320000,13908,15,13893,1026000,13899,1026000,13904,0,13906,0,13898,66,13903,80,13905,0,13907,0,
13998,3,13997,255,13998,1172369,28479,13998,320000,13999,15,13991,1026000,13994,1512000,13996,0,13997,0,13993,54,13995,12,13996,0,13997,0,
14102,3,14101,255,14102,1175174,31284,14103,200000,14104,15,14092,1026000,14097,1512000,14100,0,14102,0,14096,36,14100,22,14101,0,14102,0,
14200,3,14199,255,14200,1058190,0,14201,128000,14201,15,14192,1026000,14195,1512000,14198,0,14199,0,14194,36,14197,33,14198,0,14200,0,
14298,3,14297,255,14297,982858,0,14298,128000,14299,15,14293,1026000,14295,1512000,14296,0,14297,0,14294,44,14296,30,14296,0,14297,0,
14402,3,14398,255,14402,934136,0,14403,128000,14405,15,14393,1026000,14395,1512000,14397,0,14399,0,14395,25,14396,33,14398,0,14401,0,
14503,3,14502,255,14503,897913,0,14504,128000,14505,17,14494,1026000,14497,1026000,14500,0,14502,0,14496,40,14499,37,14501,0,14503,0,
14611,3,14607,255,14611,777977,0,14612,128000,14613,17,14595,384000,14598,1026000,14601,0,14608,0,14597,45,14600,30,14602,0,14611,0,
14707,3,14705,255,14707,1369348,225458,14708,128000,14709,17,14695,918000,14699,1026000,14702,1026000,14706,0,14698,75,14701,80,14705,60,14707,0,
14812,3,14808,255,14811,766588,0,14813,128000,14815,17,14796,1026000,14799,1026000,14803,384000,14809,0,14798,25,14802,10,14807,11,14810,0,
14908,3,14906,255,14908,1164959,21069,14908,128000,14910,17,14896,1026000,14899,1026000,14903,918000,14907,0,14899,54,14901,40,14905,63,14907,0,
15007,3,15006,255,15007,1026690,0,15008,128000,15009,17,14997,1026000,15001,1026000,15003,1026000,15006,0,15000,36,15003,33,15005,40,15007,0,
